삼정펄프(009770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-10-17,28380,30736,24153,24846,100982,62080.0,1280000.0
2006-10-18,24844,24896,22770,23155,30588,57856.0,1280000.0
2006-10-19,23411,23718,21951,22541,29029,56320.0,1280000.0
2006-10-20,23052,23206,22028,22515,17886,56256.0,1280000.0
2006-10-23,22488,22540,20926,20952,21154,52352.0,1280000.0
2006-10-24,21003,21310,20055,20338,13903,50816.0,1280000.0
2006-10-25,20311,22744,20311,21926,54201,54784.0,1280000.0
2006-10-26,21822,22207,20490,21003,14642,52480.0,1280000.0
2006-10-27,21259,21259,19850,19877,9230,49664.0,1280000.0
2006-10-30,19311,20413,19311,19851,5790,49600.0,1280000.0
2006-10-31,19850,19876,19465,19698,4783,49216.0,1280000.0
2006-11-01,19722,19978,19516,19954,5740,49856.0,1280000.0
2006-11-02,20132,21976,20132,20645,11180,51584.0,1280000.0
2006-11-03,20490,20644,19620,20619,3800,51520.0,1280000.0
2006-11-06,20285,20362,19773,19928,4770,49792.0,1280000.0
2006-11-07,20157,20157,19773,19902,2741,49728.0,1280000.0
2006-11-08,19876,20285,19799,20030,3800,50048.0,1280000.0
2006-11-09,19952,20055,19491,19902,1996,49728.0,1280000.0
2006-11-10,19671,20004,19491,19979,2253,49920.0,1280000.0
2006-11-13,20183,20413,19722,19774,1840,49408.0,1280000.0
2006-11-14,19722,20157,19516,19595,4824,48960.0,1280000.0
2006-11-15,19516,20004,19465,19723,5142,49280.0,1280000.0
2006-11-16,19594,19773,19363,19621,17609,49024.0,1280000.0
2006-11-17,19132,19158,17724,18084,57821,45184.0,1280000.0
2006-11-20,18339,18339,17519,17571,15954,43904.0,1280000.0
2006-11-21,17417,17776,16904,17008,16893,42496.0,1280000.0
2006-11-22,17160,17468,17058,17187,12369,42944.0,1280000.0
2006-11-23,17417,17494,17058,17213,9510,43008.0,1280000.0
2006-11-24,17315,17929,17315,17571,8311,43904.0,1280000.0
2006-11-27,17852,17852,17340,17622,4058,44032.0,1280000.0
2006-11-28,17417,17904,17366,17802,5820,44480.0,1280000.0
2006-11-29,17980,19824,17929,19237,26693,48064.0,1280000.0
2006-11-30,19645,19645,18748,19237,12304,48064.0,1280000.0
2006-12-01,18953,19235,18723,19237,8650,48064.0,1280000.0
2006-12-04,18953,19414,18953,19160,10880,47872.0,1280000.0
2006-12-05,18953,19312,18953,19058,10240,47616.0,1280000.0
2006-12-06,19056,19363,18262,18442,19310,46080.0,1280000.0
2006-12-07,18339,18697,18134,18442,13001,46080.0,1280000.0
2006-12-08,18441,18646,18185,18442,5580,46080.0,1280000.0
2006-12-11,18288,18620,18236,18519,2800,46272.0,1280000.0
2006-12-12,18518,19491,18518,18698,7370,46720.0,1280000.0
2006-12-13,18723,19107,18595,19058,16820,47616.0,1280000.0
2006-12-14,19312,20285,19004,20261,22183,50624.0,1280000.0
2006-12-15,19978,20208,19594,19979,7055,49920.0,1280000.0
2006-12-18,19901,20234,19337,19518,17762,48768.0,1280000.0
2006-12-19,19260,19824,19056,19314,10561,48256.0,1280000.0
2006-12-20,19465,19465,19107,19109,8577,47744.0,1280000.0
