LG유플러스(032640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-09-21,5720,5720,5720,5720,3,1090804.0,190700000.0
2000-09-22,6400,6400,6400,6400,1,1220480.0,190700000.0
2000-09-25,7160,7160,7160,7160,201,1365412.0,190700000.0
2000-09-26,8010,8010,8010,8010,1,1527507.0,190700000.0
2000-09-27,8970,8970,8970,8970,1,1710579.0,190700000.0
2000-09-28,10000,10000,10000,10000,506,1907000.0,190700000.0
2000-09-29,11200,11200,11200,11200,3,2135840.0,190700000.0
2000-10-02,12500,12500,12500,12500,1000,2383750.0,190700000.0
2000-10-04,14000,14000,14000,14000,1,2669800.0,190700000.0
2000-10-05,15650,15650,14800,15650,2068680,2984455.0,190700000.0
2000-10-06,16000,17400,15550,16600,4835441,3165620.0,190700000.0
2000-10-09,16600,16950,15100,15400,1951658,2936780.0,190700000.0
2000-10-10,15100,15650,14200,14600,1495473,2784220.0,190700000.0
2000-10-11,14250,14400,12850,12850,1937481,2450495.0,190700000.0
2000-10-12,12450,13450,12200,13250,2055790,2526775.0,190700000.0
2000-10-13,12650,12650,11800,12500,1380948,2383750.0,190700000.0
2000-10-16,13500,13800,12650,13050,1726293,2488635.0,190700000.0
2000-10-17,12500,12650,11500,11500,908891,2193050.0,190700000.0
2000-10-18,10750,10900,10150,10400,2180523,1983280.0,190700000.0
2000-10-19,10600,11300,10500,10900,1619853,2078630.0,190700000.0
2000-10-20,11650,11900,10900,10950,1630489,2088165.0,190700000.0
2000-10-23,10500,10600,9700,9730,1465497,1855511.0,190700000.0
2000-10-24,9500,9990,8900,9580,2431606,1826906.0,190700000.0
2000-10-25,9250,9560,8950,9060,1237405,1727742.0,190700000.0
2000-10-26,8710,8800,7980,8100,2067805,1544670.0,190700000.0
2000-10-27,8120,8290,7280,7350,1940395,1401645.0,190700000.0
2000-10-30,7020,7250,6810,6950,1462566,1325365.0,190700000.0
2000-10-31,6810,7780,6330,7780,3305160,1483646.0,190700000.0
2000-11-01,8200,8710,7950,8710,3344065,1660997.0,190700000.0
2000-11-02,8500,9500,8410,8700,3307439,1659090.0,190700000.0
2000-11-03,8990,9200,8410,8650,1621762,1649555.0,190700000.0
