애경유화(161000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-09-17,4600,5290,4600,5290,45885,169492.0,3204000.0
2012-09-18,5800,6080,5650,6080,181742,194803.0,3204000.0
2012-09-19,6650,6650,5820,6080,174039,194803.0,3204000.0
2012-09-20,6130,6900,5860,6350,155238,203454.0,3204000.0
2012-09-21,6400,6530,6220,6320,57561,202493.0,3204000.0
2012-09-24,6299,6320,6010,6150,52371,197046.0,3204000.0
2012-09-25,6150,6240,5950,6080,34569,194803.0,3204000.0
2012-09-26,6040,6100,5950,6080,24218,194803.0,3204000.0
2012-09-27,6099,6470,6010,6050,44166,193842.0,3204000.0
2012-09-28,6090,6090,5720,5800,40417,185832.0,3204000.0
2012-10-02,5770,5880,5640,5690,17790,182308.0,3204000.0
2012-10-04,5640,5860,5470,5800,34307,185832.0,3204000.0
2012-10-05,5800,5940,5720,5800,11281,185832.0,3204000.0
2012-10-08,5729,6040,5729,5940,14560,190318.0,3204000.0
2012-10-09,5880,5970,5830,5850,6585,187434.0,3204000.0
2012-10-10,5810,5840,5690,5710,8520,182948.0,3204000.0
2012-10-11,5720,5720,5600,5680,17666,181987.0,3204000.0
2012-10-12,5690,5740,5500,5600,8831,179424.0,3204000.0
2012-10-15,5549,5570,5370,5420,11721,173657.0,3204000.0
2012-10-16,5419,5470,5400,5430,12350,173977.0,3204000.0
2012-10-17,5470,5670,5450,5550,35190,177822.0,3204000.0
2012-10-18,5560,5800,5500,5780,11299,185191.0,3204000.0
2012-10-19,5780,5940,5740,5880,16414,188395.0,3204000.0
2012-10-22,5880,5950,5750,5880,7449,188395.0,3204000.0
2012-10-23,5910,6450,5790,6280,53648,201211.0,3204000.0
2012-10-24,6230,6440,6120,6310,34781,202172.0,3204000.0
2012-10-25,6310,6310,6150,6210,18232,198968.0,3204000.0
2012-10-26,6289,6320,6060,6100,15981,195444.0,3204000.0
2012-10-29,6010,6130,5760,5850,19847,187434.0,3204000.0
2012-10-30,5849,5990,5710,5940,26844,190318.0,3204000.0
2012-10-31,5940,6070,5899,5910,13993,189356.0,3204000.0
2012-11-01,5920,5920,5570,5660,13555,181346.0,3204000.0
2012-11-02,5690,5880,5680,5850,12618,187434.0,3204000.0
2012-11-05,5860,5880,5650,5670,9606,181667.0,3204000.0
2012-11-06,5640,5830,5600,5830,12337,186793.0,3204000.0
2012-11-07,5869,6000,5720,5820,10509,186473.0,3204000.0
2012-11-08,5710,6099,5690,6010,20351,192560.0,3204000.0
2012-11-09,5880,6040,5880,6010,8138,192560.0,3204000.0
2012-11-12,6100,6100,5840,5910,15821,189356.0,3204000.0
2012-11-13,5970,6520,5970,6230,69268,199609.0,3204000.0
2012-11-14,6310,6370,6160,6290,15888,201532.0,3204000.0
2012-11-15,6130,6190,5950,5970,26910,191279.0,3204000.0
2012-11-16,6050,6059,5730,5790,24038,185512.0,3204000.0
2012-11-19,5610,5880,5610,5790,9383,185512.0,3204000.0
2012-11-20,5830,5830,5700,5700,8204,182628.0,3204000.0
2012-11-21,5710,5929,5700,5860,14524,187754.0,3204000.0
2012-11-22,5870,5920,5810,5910,4355,189356.0,3204000.0
2012-11-23,5909,5920,5820,5820,16037,186473.0,3204000.0
2012-11-26,5809,5849,5760,5780,7620,185191.0,3204000.0
2012-11-27,5700,5870,5700,5790,8517,185512.0,3204000.0
2012-11-28,5740,5990,5650,5800,12315,185832.0,3204000.0
2012-11-29,5810,5920,5810,5870,4404,188075.0,3204000.0
2012-11-30,5880,5880,5760,5760,4174,184550.0,3204000.0
2012-12-03,5720,5880,5680,5720,5547,183269.0,3204000.0
2012-12-04,5720,5800,5680,5700,6206,182628.0,3204000.0
2012-12-05,5680,5740,5580,5600,7199,179424.0,3204000.0
2012-12-06,5540,5769,5540,5700,9477,182628.0,3204000.0
2012-12-07,5720,5730,5620,5630,9291,180385.0,3204000.0
2012-12-10,5630,5660,5580,5620,3489,180065.0,3204000.0
2012-12-11,5580,5690,5560,5650,4325,181026.0,3204000.0
2012-12-12,5600,5750,5600,5690,6326,182308.0,3204000.0
2012-12-13,5740,5740,5630,5700,2726,182628.0,3204000.0
2012-12-14,5700,5700,5630,5670,2629,181667.0,3204000.0
2012-12-17,5670,5779,5650,5730,6083,183589.0,3204000.0
2012-12-18,5750,5830,5750,5800,5385,185832.0,3204000.0
2012-12-20,5810,5850,5720,5790,11335,185512.0,3204000.0
2012-12-21,5760,5830,5720,5720,4344,183269.0,3204000.0
2012-12-24,5700,5789,5650,5740,4557,183910.0,3204000.0
2012-12-26,5660,5900,5660,5840,9242,187114.0,3204000.0
2012-12-27,5710,5830,5710,5780,3236,185191.0,3204000.0
2012-12-28,5760,5850,5730,5800,6175,185832.0,3204000.0
2013-01-02,5780,5850,5760,5800,6743,185832.0,3204000.0
2013-01-03,5810,5820,5699,5730,11107,183589.0,3204000.0
2013-01-04,5750,5770,5690,5730,3031,183589.0,3204000.0
2013-01-07,5770,6000,5730,5770,5237,184871.0,3204000.0
2013-01-08,5770,5790,5640,5680,10653,181987.0,3204000.0
2013-01-09,5700,5700,5579,5670,6917,181667.0,3204000.0
2013-01-10,5650,5680,5610,5650,5323,181026.0,3204000.0
2013-01-11,5650,5690,5580,5660,5557,181346.0,3204000.0
2013-01-14,5610,5680,5590,5640,8484,180706.0,3204000.0
2013-01-15,5580,5600,5500,5520,9555,176861.0,3204000.0
2013-01-16,5530,5590,5500,5520,2917,176861.0,3204000.0
2013-01-17,5490,5520,5400,5470,3961,175259.0,3204000.0
2013-01-18,5470,5470,5310,5330,13009,170773.0,3204000.0
2013-01-21,5390,5390,5220,5270,9029,168851.0,3204000.0
2013-01-22,5270,5270,5130,5150,9921,165006.0,3204000.0
2013-01-23,5150,5270,5120,5220,5781,167249.0,3204000.0
2013-01-24,5219,5219,5100,5170,4150,165647.0,3204000.0
2013-01-25,5170,5190,5100,5120,3079,164045.0,3204000.0
2013-01-28,5120,5170,5000,5060,4525,162122.0,3204000.0
2013-01-29,5060,5220,5000,5180,19661,165967.0,3204000.0
2013-01-30,5190,5200,5090,5190,2152,166288.0,3204000.0
2013-01-31,5190,5190,5070,5110,4446,163724.0,3204000.0
2013-02-01,5110,5160,5050,5150,4840,165006.0,3204000.0
2013-02-04,5120,5190,5010,5170,5113,165647.0,3204000.0
2013-02-05,5100,5190,5070,5140,1885,164686.0,3204000.0
2013-02-06,5050,5130,5050,5070,5692,162443.0,3204000.0
2013-02-07,5060,5080,5020,5030,5104,161161.0,3204000.0
2013-02-08,5030,5090,4980,5060,3315,162122.0,3204000.0
2013-02-12,5090,5090,4970,4980,3495,159559.0,3204000.0
2013-02-13,5000,5020,4965,4980,4679,159559.0,3204000.0
2013-02-14,4975,5020,4950,5020,1496,160841.0,3204000.0
2013-02-15,4980,5030,4975,5010,2650,160520.0,3204000.0
2013-02-18,5000,5070,4980,5020,1068,160841.0,3204000.0
2013-02-19,4980,5040,4945,4960,15043,158918.0,3204000.0
2013-02-20,4975,5030,4950,5000,4615,160200.0,3204000.0
2013-02-21,4980,5000,4930,4950,7186,158598.0,3204000.0
2013-02-22,4865,4970,4845,4960,13212,158918.0,3204000.0
2013-02-25,4955,4955,4875,4950,5120,158598.0,3204000.0
2013-02-26,4950,4980,4875,4970,3380,159239.0,3204000.0
2013-02-27,4910,5080,4910,5080,6262,162763.0,3204000.0
2013-02-28,5080,5320,5050,5230,8778,167569.0,3204000.0
2013-03-04,5240,5400,5240,5300,8290,169812.0,3204000.0
2013-03-05,5310,5480,5280,5450,7096,174618.0,3204000.0
2013-03-06,5460,5460,5310,5380,4612,172375.0,3204000.0
2013-03-07,5350,5370,5270,5330,2371,170773.0,3204000.0
2013-03-08,5270,5290,5140,5150,11132,165006.0,3204000.0
2013-03-11,5160,5160,4995,5100,12223,163404.0,3204000.0
2013-03-12,5120,5130,5030,5070,5750,162443.0,3204000.0
2013-03-13,5100,5220,5030,5200,8140,166608.0,3204000.0
2013-03-14,5250,5269,5109,5260,6162,168530.0,3204000.0
2013-03-15,5230,5240,5100,5110,7199,163724.0,3204000.0
2013-03-18,5090,5090,4965,4970,15775,159239.0,3204000.0
2013-03-19,4970,5000,4930,4980,4540,159559.0,3204000.0
2013-03-20,4980,4985,4860,4965,13149,159079.0,3204000.0
2013-03-21,4875,4985,4875,4910,3531,157316.0,3204000.0
2013-03-22,4910,4915,4845,4880,6239,156355.0,3204000.0
2013-03-25,4875,4900,4770,4795,8324,153632.0,3204000.0
2013-03-26,4795,4800,4720,4720,9185,151229.0,3204000.0
2013-03-27,4710,4865,4660,4820,7152,154433.0,3204000.0
2013-03-28,4830,4830,4735,4765,2883,152671.0,3204000.0
2013-03-29,4770,4825,4760,4800,5506,153792.0,3204000.0
2013-04-01,4775,4890,4775,4795,2901,153632.0,3204000.0
2013-04-02,4795,4795,4735,4755,1856,152350.0,3204000.0
2013-04-03,4760,4760,4705,4725,3751,151389.0,3204000.0
2013-04-04,4700,4700,4535,4570,9832,146423.0,3204000.0
2013-04-05,4550,4600,4400,4465,8123,143059.0,3204000.0
2013-04-08,4450,4485,4340,4380,9126,140335.0,3204000.0
2013-04-09,4350,4435,4290,4335,8022,138893.0,3204000.0
2013-04-10,4350,4350,4220,4290,7943,137452.0,3204000.0
2013-04-11,4325,4325,4210,4300,10381,137772.0,3204000.0
2013-04-12,4400,4945,4220,4855,90280,155554.0,3204000.0
2013-04-15,4840,5080,4520,5080,52284,162763.0,3204000.0
2013-04-16,4980,5070,4850,5050,23937,161802.0,3204000.0
2013-04-17,5060,5060,4855,4945,23951,158438.0,3204000.0
2013-04-18,4895,4900,4655,4740,35990,151870.0,3204000.0
2013-04-19,4660,4890,4660,4890,10514,156676.0,3204000.0
2013-04-22,4770,5180,4770,5150,15738,165006.0,3204000.0
2013-04-23,5130,5320,5130,5310,22990,170132.0,3204000.0
2013-04-24,5320,5740,5309,5500,25496,176220.0,3204000.0
2013-04-25,5480,5569,5350,5540,14159,177502.0,3204000.0
2013-04-26,5500,5580,5420,5540,9323,177502.0,3204000.0
2013-04-29,5540,5560,5370,5560,14599,178142.0,3204000.0
2013-04-30,5570,5600,5410,5600,21938,179424.0,3204000.0
2013-05-02,5590,5740,5480,5720,13488,183269.0,3204000.0
2013-05-03,5720,5740,5600,5600,6196,179424.0,3204000.0
2013-05-06,5530,5690,5450,5450,6725,174618.0,3204000.0
2013-05-07,5520,5610,5350,5600,10515,179424.0,3204000.0
2013-05-08,5640,5650,5550,5560,2255,178142.0,3204000.0
2013-05-09,5600,5670,5500,5640,4936,180706.0,3204000.0
2013-05-10,5650,5650,5450,5520,11804,176861.0,3204000.0
2013-05-13,5520,5570,5400,5500,3149,176220.0,3204000.0
2013-05-14,5499,5550,5419,5470,2726,175259.0,3204000.0
