신세계인터내셔날(031430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-07-14,103000,118000,100500,118000,1968850,842520.0,7140000.0
2011-07-15,123000,134500,119500,128000,1313533,913920.0,7140000.0
2011-07-18,130000,133500,126000,129000,338058,921060.0,7140000.0
2011-07-19,129000,129000,122000,124000,211359,885360.0,7140000.0
2011-07-20,126000,127500,116500,117500,154631,838950.0,7140000.0
2011-07-21,118000,127000,117000,126500,197359,903210.0,7140000.0
2011-07-22,125500,130000,123500,127000,132296,906780.0,7140000.0
2011-07-25,126000,129000,121000,123000,94341,878220.0,7140000.0
2011-07-26,125000,133500,122000,133500,103074,953190.0,7140000.0
2011-07-27,134000,140000,132000,136500,129473,974610.0,7140000.0
2011-07-28,135500,139000,132500,134000,115577,956760.0,7140000.0
2011-07-29,131000,139000,127500,137500,183478,981750.0,7140000.0
2011-08-01,138000,146000,134000,143500,146304,1024590.0,7140000.0
2011-08-02,142500,145000,138500,141000,77308,1006740.0,7140000.0
2011-08-03,136500,141500,132500,140500,77684,1003170.0,7140000.0
2011-08-04,142000,145500,134500,136500,76354,974610.0,7140000.0
2011-08-05,124000,133000,116500,133000,162065,949620.0,7140000.0
2011-08-08,132000,133000,117000,131000,92067,935340.0,7140000.0
2011-08-09,126000,128000,116500,117500,116925,838950.0,7140000.0
2011-08-10,124500,128500,121000,124000,125493,885360.0,7140000.0
2011-08-11,119500,129000,117000,128000,90941,913920.0,7140000.0
2011-08-12,131000,132500,126000,129500,73311,924630.0,7140000.0
2011-08-16,127000,132000,124500,125000,192996,892500.0,7140000.0
2011-08-17,125000,134000,118500,132500,176724,946050.0,7140000.0
2011-08-18,134000,135000,129500,134000,116550,956760.0,7140000.0
2011-08-19,130500,139000,128000,132000,146311,942480.0,7140000.0
2011-08-22,134500,135000,124000,124000,74574,885360.0,7140000.0
2011-08-23,127000,130000,125000,129500,47650,924630.0,7140000.0
2011-08-24,129500,130500,126000,127500,33664,910350.0,7140000.0
2011-08-25,131000,131500,126000,126000,27530,899640.0,7140000.0
2011-08-26,125000,128000,122500,123500,39699,881790.0,7140000.0
2011-08-29,125500,125500,121500,123000,61042,878220.0,7140000.0
2011-08-30,124500,127500,124000,126000,42244,899640.0,7140000.0
2011-08-31,126500,128500,123500,128500,70069,917490.0,7140000.0
2011-09-01,128500,129500,124500,126500,87721,903210.0,7140000.0
2011-09-02,126000,126000,122500,124000,76213,885360.0,7140000.0
2011-09-05,121000,125000,121000,121000,41745,863940.0,7140000.0
2011-09-06,119000,121000,115500,117000,32316,835380.0,7140000.0
2011-09-07,119500,132000,118500,127500,91058,910350.0,7140000.0
2011-09-08,129000,131000,122500,124000,49810,885360.0,7140000.0
2011-09-09,123000,125500,121000,123000,35419,878220.0,7140000.0
2011-09-14,123500,124000,120500,120500,16835,860370.0,7140000.0
2011-09-15,122500,124000,119000,121000,18219,863940.0,7140000.0
2011-09-16,123500,123500,120500,121000,23618,863940.0,7140000.0
2011-09-19,120500,126000,119500,119500,28376,853230.0,7140000.0
2011-09-20,119500,120000,114500,114500,51174,817530.0,7140000.0
2011-09-21,115000,117000,107000,110000,116818,785400.0,7140000.0
2011-09-22,108000,108500,103000,104000,84052,742560.0,7140000.0
2011-09-23,97000,107500,96200,105000,90578,749700.0,7140000.0
2011-09-26,105000,108000,97000,104000,83767,742560.0,7140000.0
2011-09-27,105000,118500,104500,116500,94017,831810.0,7140000.0
2011-09-28,122000,124000,119000,120000,86398,856800.0,7140000.0
2011-09-29,118000,124000,115500,123000,52142,878220.0,7140000.0
2011-09-30,123000,125000,120500,122000,35583,871080.0,7140000.0
2011-10-04,116000,124000,107000,122000,70440,871080.0,7140000.0
2011-10-05,122000,122000,109000,109000,78592,778260.0,7140000.0
2011-10-06,114000,114000,110000,111500,49119,796110.0,7140000.0
2011-10-07,113000,115000,110000,112000,52221,799680.0,7140000.0
2011-10-10,111500,113000,107500,108500,47114,774690.0,7140000.0
2011-10-11,111500,111500,106000,107500,63814,767550.0,7140000.0
2011-10-12,107000,113500,105000,112000,61807,799680.0,7140000.0
2011-10-13,114000,120500,113500,119000,90157,849660.0,7140000.0
2011-10-14,117500,121500,115000,119500,41367,853230.0,7140000.0
2011-10-17,120000,121500,118500,121500,36906,867510.0,7140000.0
2011-10-18,118000,127000,116000,125000,57097,892500.0,7140000.0
2011-10-19,126000,141500,122000,134000,134138,956760.0,7140000.0
2011-10-20,134500,140000,131000,131000,93783,935340.0,7140000.0
2011-10-21,135000,148000,135000,140500,95081,1003170.0,7140000.0
2011-10-24,145500,145500,135500,140500,70274,1003170.0,7140000.0
2011-10-25,139000,145000,137500,142000,33822,1013880.0,7140000.0
2011-10-26,141500,144000,138500,140000,24265,999600.0,7140000.0
2011-10-27,140000,141500,132500,135000,67830,963900.0,7140000.0
2011-10-28,137500,138000,131500,134000,65560,956760.0,7140000.0
2011-10-31,134000,138500,131500,137500,43013,981750.0,7140000.0
2011-11-01,136000,141000,134500,135000,39956,963900.0,7140000.0
2011-11-02,132000,135500,132000,134500,12365,960330.0,7140000.0
2011-11-03,135500,138500,134000,137500,20597,981750.0,7140000.0
2011-11-04,141000,141000,136000,140500,31177,1003170.0,7140000.0
2011-11-07,137500,138500,132500,136000,34881,971040.0,7140000.0
2011-11-08,136500,143500,134500,140500,56384,1003170.0,7140000.0
2011-11-09,141000,145000,139000,143500,31127,1024590.0,7140000.0
2011-11-10,139500,143000,138000,140000,18811,999600.0,7140000.0
2011-11-11,143000,144000,140500,143500,26829,1024590.0,7140000.0
2011-11-14,144000,150000,144000,148000,45527,1056720.0,7140000.0
2011-11-15,147000,148000,141000,145000,61179,1035300.0,7140000.0
2011-11-16,145000,146500,141000,142000,31399,1013880.0,7140000.0
2011-11-17,141500,142500,137000,137500,35654,981750.0,7140000.0
2011-11-18,137500,138500,132000,136000,20203,971040.0,7140000.0
2011-11-21,135500,139000,133500,138000,22408,985320.0,7140000.0
2011-11-22,135000,140000,134000,139000,26944,992460.0,7140000.0
2011-11-23,138000,142000,133000,138000,22519,985320.0,7140000.0
2011-11-24,138000,139500,135500,139500,11798,996030.0,7140000.0
2011-11-25,138500,139000,135500,137000,13524,978180.0,7140000.0
2011-11-28,136500,139500,136000,137000,11334,978180.0,7140000.0
2011-11-29,138000,139000,133500,135000,52139,963900.0,7140000.0
2011-11-30,136000,137000,132000,135500,45872,967470.0,7140000.0
2011-12-01,136500,138500,132500,133000,42565,949620.0,7140000.0
2011-12-02,133500,135000,131000,131500,25049,938910.0,7140000.0
2011-12-05,131500,133500,125500,126000,52073,899640.0,7140000.0
2011-12-06,126000,128500,124500,125500,29153,896070.0,7140000.0
2011-12-07,128000,128000,124500,124500,25005,888930.0,7140000.0
2011-12-08,122000,125500,120500,121500,42824,867510.0,7140000.0
2011-12-09,121000,122000,116500,116500,37484,831810.0,7140000.0
2011-12-12,119000,123500,118500,123000,37709,878220.0,7140000.0
2011-12-13,123000,123000,117500,118000,33021,842520.0,7140000.0
2011-12-14,117500,121000,117000,120000,26089,856800.0,7140000.0
2011-12-15,118500,120000,114000,119500,34607,853230.0,7140000.0
2011-12-16,120000,121000,116500,119000,21309,849660.0,7140000.0
2011-12-19,119000,119000,108500,109000,46244,778260.0,7140000.0
2011-12-20,111000,111500,106000,111500,49279,796110.0,7140000.0
2011-12-21,112500,113500,108000,112000,59920,799680.0,7140000.0
