HDC현대산업개발(294870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-06-12,75600,77900,68100,75600,3485779,3321729.0,43938220.0
2018-06-14,71900,73400,67100,70500,1164317,3097645.0,43938220.0
2018-06-15,69800,71000,66000,66300,573753,2913104.0,43938220.0
2018-06-18,65900,66500,59900,61000,854098,2680231.0,43938220.0
2018-06-19,60800,61400,55000,55000,968919,2416602.0,43938220.0
2018-06-20,56300,59200,55000,56900,904708,2500085.0,43938220.0
2018-06-21,56400,59000,55100,56000,709747,2460540.0,43938220.0
2018-06-22,56000,56300,53000,55500,585577,2438571.0,43938220.0
2018-06-25,55700,56800,54500,56500,401089,2482509.0,43938220.0
2018-06-26,55400,56300,54000,54000,372448,2372664.0,43938220.0
2018-06-27,54300,54400,51500,52500,500629,2306757.0,43938220.0
2018-06-28,52700,53200,50100,50100,379801,2201305.0,43938220.0
2018-06-29,51000,54900,50000,53900,464182,2368270.0,43938220.0
2018-07-02,54500,55800,53200,53700,550635,2359482.0,43938220.0
2018-07-03,55100,58700,54000,56700,634945,2491297.0,43938220.0
2018-07-04,57000,58400,56100,58200,289788,2557204.0,43938220.0
2018-07-05,56400,57900,55800,56700,217799,2491297.0,43938220.0
2018-07-06,57000,59900,55400,58400,311064,2565992.0,43938220.0
2018-07-09,57500,58800,56700,57000,257111,2504479.0,43938220.0
2018-07-10,57200,58200,55400,56700,260445,2491297.0,43938220.0
2018-07-11,55700,58500,55600,57400,277048,2522054.0,43938220.0
2018-07-12,57100,58700,56700,57400,213903,2522054.0,43938220.0
2018-07-13,57300,58400,56600,56600,211126,2486903.0,43938220.0
2018-07-16,57000,57000,54000,54000,247299,2372664.0,43938220.0
2018-07-17,54600,54600,52800,54000,155864,2372664.0,43938220.0
2018-07-18,53800,54000,51400,51900,233410,2280394.0,43938220.0
2018-07-19,51700,51900,49800,49800,245698,2188123.0,43938220.0
2018-07-20,50100,54400,49800,53100,315253,2333119.0,43938220.0
2018-07-23,53100,53800,52400,52900,196041,2324332.0,43938220.0
2018-07-24,53800,58000,53300,56500,525366,2482509.0,43938220.0
2018-07-25,57900,60300,56100,60300,519777,2649475.0,43938220.0
2018-07-26,60800,60800,58200,59200,343782,2601143.0,43938220.0
2018-07-27,59800,59800,57400,58900,223666,2587961.0,43938220.0
2018-07-30,59800,62300,59300,60700,347156,2667050.0,43938220.0
2018-07-31,60600,61100,57500,57500,286973,2526448.0,43938220.0
2018-08-01,57800,58600,56400,57300,376357,2517660.0,43938220.0
2018-08-02,57400,58300,56000,56300,305644,2473722.0,43938220.0
2018-08-03,56500,58200,56300,57900,134179,2544023.0,43938220.0
2018-08-06,58000,59000,57600,58100,114020,2552811.0,43938220.0
2018-08-07,58800,58800,56900,57200,150846,2513266.0,43938220.0
2018-08-08,57000,57200,56200,56600,203771,2486903.0,43938220.0
2018-08-09,56600,56900,56300,56700,113756,2491297.0,43938220.0
2018-08-10,57300,57700,56300,56400,148793,2478116.0,43938220.0
2018-08-13,56400,56800,56000,56100,177914,2464934.0,43938220.0
2018-08-14,56100,56400,55400,55700,256296,2447359.0,43938220.0
2018-08-16,55800,56800,55500,55800,259634,2451753.0,43938220.0
2018-08-17,55900,56200,55600,55700,147760,2447359.0,43938220.0
2018-08-20,56300,57100,56000,56600,116909,2486903.0,43938220.0
2018-08-21,56700,57100,56200,56300,178910,2473722.0,43938220.0
2018-08-22,56600,57500,56300,57200,162257,2513266.0,43938220.0
2018-08-23,57200,57300,56300,56900,137235,2500085.0,43938220.0
2018-08-24,56500,58300,56400,58000,213129,2548417.0,43938220.0
2018-08-27,57500,57500,56000,56100,304524,2464934.0,43938220.0
2018-08-28,56700,59800,56500,57400,495770,2522054.0,43938220.0
2018-08-29,58000,58000,56100,57500,260643,2526448.0,43938220.0
2018-08-30,57500,57600,56400,56700,218024,2491297.0,43938220.0
2018-08-31,56700,57300,55900,55900,214458,2456146.0,43938220.0
2018-09-03,56200,57500,56200,56700,110883,2491297.0,43938220.0
2018-09-04,56900,58300,56900,57900,205957,2544023.0,43938220.0
2018-09-05,58100,58400,56600,56600,169049,2486903.0,43938220.0
2018-09-06,57000,57800,56500,56500,188624,2482509.0,43938220.0
2018-09-07,57100,57800,55900,56400,261816,2478116.0,43938220.0
2018-09-10,56500,63400,56500,63200,858884,2776896.0,43938220.0
2018-09-11,63700,64200,61000,61400,558211,2697807.0,43938220.0
2018-09-12,62000,62500,59400,60900,400354,2675838.0,43938220.0
2018-09-13,61000,61000,58900,60200,405655,2645081.0,43938220.0
2018-09-14,60700,62400,60200,62300,422793,2737351.0,43938220.0
2018-09-17,63100,63200,61000,62100,252740,2728563.0,43938220.0
2018-09-18,62200,62200,59400,59600,366042,2618718.0,43938220.0
2018-09-19,59900,60000,57100,57100,432356,2508872.0,43938220.0
2018-09-20,57400,58100,53200,54800,686079,2407814.0,43938220.0
2018-09-21,55200,56700,54100,55500,311941,2438571.0,43938220.0
2018-09-27,55700,55700,52000,52700,509693,2315544.0,43938220.0
2018-09-28,52900,52900,50800,50900,740307,2236455.0,43938220.0
2018-10-01,51600,53400,51000,53200,316865,2337513.0,43938220.0
2018-10-02,52700,53400,51600,51700,201213,2271606.0,43938220.0
2018-10-04,52400,52600,49900,50400,314027,2214486.0,43938220.0
2018-10-05,50500,51500,49150,50800,190164,2232062.0,43938220.0
2018-10-08,50700,50700,48500,49000,307010,2152973.0,43938220.0
2018-10-10,48450,48850,44300,44900,726638,1972826.0,43938220.0
2018-10-11,42100,44600,42100,42200,352729,1854193.0,43938220.0
2018-10-12,42200,43500,42150,42650,296515,1873965.0,43938220.0
2018-10-15,42350,43000,41100,41600,185745,1827830.0,43938220.0
2018-10-16,41700,42250,40650,41000,229591,1801467.0,43938220.0
2018-10-17,41700,43800,41500,42600,267761,1871768.0,43938220.0
2018-10-18,42950,44250,42650,42900,209542,1884950.0,43938220.0
2018-10-19,42700,43400,41750,43350,177077,1904722.0,43938220.0
2018-10-22,43250,43250,41500,42350,178151,1860784.0,43938220.0
2018-10-23,42100,43250,42000,42250,265072,1856390.0,43938220.0
2018-10-24,42700,43850,42650,43400,351274,1906919.0,43938220.0
2018-10-25,42300,46300,40650,45050,498158,1979417.0,43938220.0
2018-10-26,45500,45500,41600,41750,233121,1834421.0,43938220.0
2018-10-29,41750,43700,41450,41450,192608,1821239.0,43938220.0
2018-10-30,40600,43700,40600,43200,151800,1898131.0,43938220.0
2018-10-31,42700,44650,42150,44000,133192,1933282.0,43938220.0
2018-11-01,44300,45950,43200,43500,140247,1911313.0,43938220.0
2018-11-02,44800,45300,44000,44950,198974,1975023.0,43938220.0
2018-11-05,44500,44500,42300,42800,229241,1880556.0,43938220.0
2018-11-06,43300,43450,41650,42400,172021,1862981.0,43938220.0
2018-11-07,42300,43250,41150,41900,281605,1841011.0,43938220.0
2018-11-08,42450,42900,41900,41900,246481,1841011.0,43938220.0
2018-11-09,42000,42350,41150,41600,161093,1827830.0,43938220.0
2018-11-12,41650,42200,41050,41450,120661,1821239.0,43938220.0
2018-11-13,40750,41600,40600,41500,107506,1823436.0,43938220.0
2018-11-14,41700,41750,39550,39700,227489,1744347.0,43938220.0
2018-11-15,39550,40000,38550,39800,231419,1748741.0,43938220.0
2018-11-16,40050,40450,39600,40000,137846,1757529.0,43938220.0
2018-11-19,40050,41650,40050,41100,167566,1805861.0,43938220.0
2018-11-20,40350,42500,40350,42250,170776,1856390.0,43938220.0
2018-11-21,41850,42150,41150,41250,88062,1812452.0,43938220.0
2018-11-22,41400,41800,40600,40650,70721,1786089.0,43938220.0
2018-11-23,40850,41800,40650,41000,59743,1801467.0,43938220.0
2018-11-26,41450,42100,40650,41800,63658,1836618.0,43938220.0
2018-11-27,41400,42250,40600,40900,203341,1797073.0,43938220.0
2018-11-28,41000,41200,40500,41200,155173,1810255.0,43938220.0
2018-11-29,41950,42050,41450,41700,154938,1832224.0,43938220.0
2018-11-30,41800,42800,41800,42000,324514,1845405.0,43938220.0
2018-12-03,42800,43400,42550,42750,141720,1878359.0,43938220.0
2018-12-04,42800,42800,41550,42100,265338,1849799.0,43938220.0
2018-12-05,41550,42350,41500,41850,108925,1838815.0,43938220.0
2018-12-06,42300,42300,41300,41600,112885,1827830.0,43938220.0
2018-12-07,41650,43000,41400,41500,110745,1823436.0,43938220.0
2018-12-10,41000,42150,40650,41000,114075,1801467.0,43938220.0
2018-12-11,40800,41050,39900,40550,137605,1781695.0,43938220.0
2018-12-12,41200,41200,40000,40200,192429,1766316.0,43938220.0
2018-12-13,40350,41450,40300,40800,463183,1792679.0,43938220.0
2018-12-14,40900,41700,40450,40950,157007,1799270.0,43938220.0
2018-12-17,41450,42950,41450,42600,212440,1871768.0,43938220.0
2018-12-18,42600,46750,42300,46400,569233,2038733.0,43938220.0
2018-12-19,47100,47150,45400,46200,316690,2029946.0,43938220.0
2018-12-20,46200,48650,45200,48650,316298,2137594.0,43938220.0
2018-12-21,48750,49650,47300,47500,278402,2087065.0,43938220.0
2018-12-24,47000,48850,46900,47950,150255,2106838.0,43938220.0
2018-12-26,47000,47900,46850,47100,129191,2069490.0,43938220.0
2018-12-27,47100,48100,46050,47350,114940,2080475.0,43938220.0
2018-12-28,47350,49200,46750,48200,90500,2117822.0,43938220.0
2019-01-02,47800,49500,47800,48450,129444,2128807.0,43938220.0
2019-01-03,49000,49300,46800,47050,113345,2067293.0,43938220.0
2019-01-04,47700,47700,45200,46000,157143,2021158.0,43938220.0
2019-01-07,46900,47700,45300,45800,161488,2012370.0,43938220.0
2019-01-08,45500,46400,43750,44300,215871,1946463.0,43938220.0
2019-01-09,44350,47850,44350,47100,175557,2069490.0,43938220.0
2019-01-10,46650,47500,45100,45350,155871,1992598.0,43938220.0
2019-01-11,45400,45850,44650,44650,98409,1961842.0,43938220.0
2019-01-14,44650,44850,43650,44250,129598,1944266.0,43938220.0
2019-01-15,44550,45000,44250,44700,81434,1964038.0,43938220.0
2019-01-16,44700,45700,44200,45550,115668,2001386.0,43938220.0
2019-01-17,45550,45850,43850,44000,160762,1933282.0,43938220.0
2019-01-18,44300,44500,43600,44050,87704,1935479.0,43938220.0
2019-01-21,44550,44600,42800,42900,131403,1884950.0,43938220.0
2019-01-22,42950,43500,42550,43100,94847,1893737.0,43938220.0
2019-01-23,42550,44050,42550,43900,89897,1928888.0,43938220.0
2019-01-24,43550,44700,43550,44350,90850,1948660.0,43938220.0
2019-01-25,44200,45000,43750,44850,143018,1970629.0,43938220.0
2019-01-28,44850,45100,44500,44750,122708,1966235.0,43938220.0
2019-01-29,44750,46900,44650,46800,306328,2056309.0,43938220.0
2019-01-30,47250,51700,47000,50600,657452,2223274.0,43938220.0
2019-01-31,50600,51000,48300,49250,312948,2163957.0,43938220.0
2019-02-01,49300,51000,48600,49550,199318,2177139.0,43938220.0
2019-02-07,49550,49700,47700,48700,164804,2139791.0,43938220.0
2019-02-08,48300,49200,47600,47750,85056,2098050.0,43938220.0
2019-02-11,48250,48500,47300,48050,70928,2111231.0,43938220.0
