BNK금융지주(138930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-03-30,14073,14725,13886,14633,2486239,3036064.0,193379899.0
2011-03-31,14818,14866,14632,14820,1360158,3074740.0,193379899.0
2011-04-01,14725,15332,14632,15193,2395651,3152092.0,193379899.0
2011-04-04,15098,15285,14959,15193,1521104,3152092.0,193379899.0
2011-04-05,15005,15145,14866,14959,1096267,3103747.0,193379899.0
2011-04-06,14866,14912,14259,14447,1741615,2997388.0,193379899.0
2011-04-07,14632,14632,14073,14120,785308,2929705.0,193379899.0
2011-04-08,14166,14213,13700,13747,1187996,2852354.0,193379899.0
2011-04-11,13793,13979,13654,13888,682156,2881360.0,193379899.0
2011-04-12,13793,14026,13560,13654,520905,2833016.0,193379899.0
2011-04-13,13606,13700,13327,13468,865036,2794340.0,193379899.0
2011-04-14,13420,13513,12955,13328,1180586,2765333.0,193379899.0
2011-04-15,13187,13420,13141,13328,845897,2765333.0,193379899.0
2011-04-18,13281,13420,12535,12676,1045927,2629967.0,193379899.0
2011-04-19,12582,13094,12396,13049,991303,2707319.0,193379899.0
2011-04-20,13281,13374,12908,12955,921644,2687981.0,193379899.0
2011-04-21,13048,13094,12535,12582,1151081,2610629.0,193379899.0
2011-04-22,12675,13700,12628,13468,1630857,2794340.0,193379899.0
2011-04-25,13747,13979,13374,13468,1388458,2794340.0,193379899.0
2011-04-26,13467,13513,12955,13281,1236783,2755664.0,193379899.0
2011-04-27,13513,13979,13281,13747,1452861,2852354.0,193379899.0
2011-04-28,13747,14073,13654,13981,1121614,2900698.0,193379899.0
2011-04-29,13840,14539,13654,14540,1862798,3016726.0,193379899.0
2011-05-02,14818,14866,14493,14680,1547018,3045733.0,193379899.0
2011-05-03,14679,14725,14352,14586,794402,3026395.0,193379899.0
2011-05-04,14679,14725,14026,14400,770692,2987719.0,193379899.0
2011-05-06,14213,14259,13979,14120,742470,2929705.0,193379899.0
2011-05-09,14213,14306,13747,13747,633842,2852354.0,193379899.0
2011-05-11,13747,13933,13606,13794,613384,2862023.0,193379899.0
2011-05-12,13700,13933,13560,13654,810067,2833016.0,193379899.0
2011-05-13,13606,13654,13281,13281,834982,2755664.0,193379899.0
2011-05-16,13187,13467,13001,13235,675313,2745995.0,193379899.0
2011-05-17,13141,13513,13141,13374,412298,2775002.0,193379899.0
2011-05-18,13513,13933,13420,13888,723366,2881360.0,193379899.0
2011-05-19,14073,14120,13467,13794,1686511,2862023.0,193379899.0
2011-05-20,13886,14166,13793,14120,705587,2929705.0,193379899.0
2011-05-23,14259,14259,13840,14074,557131,2920036.0,193379899.0
2011-05-24,13979,14446,13933,14400,631476,2987719.0,193379899.0
2011-05-25,14399,14399,13933,14074,458534,2920036.0,193379899.0
2011-05-26,14306,14352,14026,14354,349996,2978050.0,193379899.0
2011-05-27,14446,14446,14073,14447,523236,2997388.0,193379899.0
2011-05-30,14399,14446,13886,14120,424327,2929705.0,193379899.0
2011-05-31,14120,14539,13979,14540,2386475,3016726.0,193379899.0
2011-06-01,14166,14539,14166,14540,500504,3016726.0,193379899.0
2011-06-02,13979,14166,13886,13888,596718,2881360.0,193379899.0
2011-06-03,13933,14493,13886,14493,426138,3007057.0,193379899.0
2011-06-07,14306,14912,14259,14727,922909,3055402.0,193379899.0
2011-06-08,14725,14725,14259,14586,477965,3026395.0,193379899.0
2011-06-09,14446,14539,13979,14027,663797,2910367.0,193379899.0
2011-06-10,14073,14166,13467,13468,1027480,2794340.0,193379899.0
2011-06-13,13420,13793,13374,13794,405155,2862023.0,193379899.0
2011-06-14,13793,13886,13513,13654,362509,2833016.0,193379899.0
2011-06-15,13793,13793,13467,13515,783349,2804009.0,193379899.0
