가온전선(000500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5353,5635,5353,5364,46450,22269.0,3900000.0
1999-01-05,5419,5728,5221,5730,105080,23790.0,3900000.0
1999-01-06,5729,6293,5636,6200,292760,25740.0,3900000.0
1999-01-07,6575,7129,6406,6669,343440,27690.0,3900000.0
1999-01-08,6349,6527,6151,6247,118260,25935.0,3900000.0
1999-01-11,6480,7034,6292,6858,253780,28470.0,3900000.0
1999-01-12,7043,7786,6997,7506,382660,31161.0,3900000.0
1999-01-13,7702,7702,7233,7421,235170,30810.0,3900000.0
1999-01-14,7233,7233,6311,6388,124400,26520.0,3900000.0
1999-01-15,6762,6762,6396,6651,153060,27612.0,3900000.0
1999-01-18,6725,7645,6725,7515,303530,31200.0,3900000.0
1999-01-19,7138,7515,6772,6904,149480,28665.0,3900000.0
1999-01-20,6857,6914,6387,6435,99590,26715.0,3900000.0
1999-01-21,6761,6856,6292,6445,262630,26754.0,3900000.0
1999-01-22,6453,6453,5823,5918,88890,24570.0,3900000.0
1999-01-25,5833,5870,5354,5354,84490,22230.0,3900000.0
1999-01-26,5540,5728,4911,4913,97520,20397.0,3900000.0
1999-01-27,4912,5166,4705,5167,96180,21450.0,3900000.0
1999-01-28,5146,5606,5146,5496,109790,22815.0,3900000.0
1999-01-29,5654,5654,5354,5354,73040,22230.0,3900000.0
1999-02-01,5541,5729,5513,5617,65650,23322.0,3900000.0
1999-02-02,5729,5870,5448,5599,82650,23244.0,3900000.0
1999-02-03,5636,5636,5307,5401,66180,22425.0,3900000.0
1999-02-04,5259,5410,4987,5167,47380,21450.0,3900000.0
1999-02-05,5372,5494,5156,5270,35600,21879.0,3900000.0
1999-02-08,5165,5334,5127,5129,37860,21294.0,3900000.0
1999-02-09,5090,5165,4601,4660,43080,19344.0,3900000.0
1999-02-10,4424,4837,4368,4706,43880,19539.0,3900000.0
1999-02-11,4969,5072,4743,4885,31530,20280.0,3900000.0
1999-02-12,4940,5166,4931,5167,39190,21450.0,3900000.0
1999-02-18,5221,5306,5024,5026,35280,20865.0,3900000.0
1999-02-19,4884,5166,4696,5167,67370,21450.0,3900000.0
1999-02-22,4892,5682,4892,5543,198790,23010.0,3900000.0
1999-02-23,5493,5719,5184,5195,75020,21567.0,3900000.0
1999-02-24,5212,5307,4884,4885,29530,20280.0,3900000.0
1999-02-25,4893,5072,4837,4932,31330,20475.0,3900000.0
1999-02-26,5156,5636,4837,5336,99380,22152.0,3900000.0
1999-03-02,5362,5588,5362,5458,62300,22659.0,3900000.0
1999-03-03,5540,5822,5362,5543,102100,23010.0,3900000.0
1999-03-04,5636,5729,5448,5589,52250,23205.0,3900000.0
1999-03-05,5626,6011,5494,5871,172390,24375.0,3900000.0
1999-03-08,6105,6246,5936,5984,82120,24843.0,3900000.0
1999-03-09,6058,6171,5776,5815,73610,24141.0,3900000.0
1999-03-10,5822,6010,5775,6012,50910,24960.0,3900000.0
1999-03-11,6086,6104,5869,6059,42260,25155.0,3900000.0
1999-03-12,6151,6273,6010,6107,60510,25350.0,3900000.0
1999-03-15,6245,6480,6133,6163,49620,25584.0,3900000.0
1999-03-16,6161,6274,6011,6115,48300,25389.0,3900000.0
1999-03-17,6105,6208,5729,5786,66820,24024.0,3900000.0
1999-03-18,5822,5964,5540,5543,25660,23010.0,3900000.0
1999-03-19,5636,5965,5588,5683,28000,23595.0,3900000.0
1999-03-22,5822,5822,5550,5646,33510,23439.0,3900000.0
1999-03-23,5663,6198,5362,6012,207920,24960.0,3900000.0
1999-03-24,6104,6376,6057,6107,256010,25350.0,3900000.0
1999-03-25,6123,6273,5917,5947,75500,24687.0,3900000.0
1999-03-26,6011,6058,5870,5937,81660,24648.0,3900000.0
1999-03-29,5682,5917,5682,5825,33700,24180.0,3900000.0
1999-03-30,5833,5945,5786,5918,37880,24570.0,3900000.0
1999-03-31,5945,6199,5729,5965,110740,24765.0,3900000.0
1999-04-01,6021,6152,5983,6021,60200,24999.0,3900000.0
1999-04-02,6067,6189,5878,5891,71970,24453.0,3900000.0
1999-04-06,5965,6481,5926,6388,125010,26520.0,3900000.0
1999-04-07,6481,6716,6293,6482,149290,26910.0,3900000.0
1999-04-08,6771,7043,6761,6811,361390,28275.0,3900000.0
1999-04-09,7137,7467,6959,7140,443150,29640.0,3900000.0
1999-04-12,7137,7232,6856,7140,184640,29640.0,3900000.0
1999-04-13,7138,8208,7138,8211,424080,34086.0,3900000.0
1999-04-14,8208,8463,8021,8361,275820,34710.0,3900000.0
1999-04-15,8453,9392,8312,9394,321680,39000.0,3900000.0
1999-04-16,8922,9392,8922,9207,144170,38220.0,3900000.0
1999-04-19,9110,9768,8875,9159,147270,38025.0,3900000.0
1999-04-20,9205,9581,8942,9300,97120,38610.0,3900000.0
1999-04-21,9299,9487,8744,9102,126170,37791.0,3900000.0
1999-04-22,9017,9674,8556,9676,130760,40170.0,3900000.0
1999-04-23,9675,10051,9393,10051,149000,41730.0,3900000.0
1999-04-26,9862,10237,9674,9911,54430,41145.0,3900000.0
1999-04-27,9956,10332,8969,9159,74840,38025.0,3900000.0
1999-04-28,9158,9675,8933,8934,120810,37089.0,3900000.0
1999-04-29,9110,9298,8875,9122,103990,37869.0,3900000.0
1999-04-30,9392,9862,8969,9394,118410,39000.0,3900000.0
1999-05-03,9393,9863,9215,9582,107740,39780.0,3900000.0
1999-05-04,9580,10237,9486,10240,136570,42510.0,3900000.0
1999-05-06,10707,10801,10003,10005,186650,41535.0,3900000.0
1999-05-07,10286,10473,9957,10051,155260,41730.0,3900000.0
1999-05-10,10332,10332,10050,10240,114230,42510.0,3900000.0
1999-05-11,10333,10897,9769,9769,187820,40560.0,3900000.0
1999-05-12,9205,9675,9158,9582,64200,39780.0,3900000.0
1999-05-13,9581,9581,8313,8314,60020,34515.0,3900000.0
1999-05-14,8454,8548,7515,7966,68380,33072.0,3900000.0
1999-05-17,7993,8398,7552,7553,41740,31356.0,3900000.0
1999-05-18,7702,7890,7505,7797,43560,32370.0,3900000.0
1999-05-19,8078,8454,7608,8069,170160,33501.0,3900000.0
1999-05-20,7881,8031,7373,8032,50130,33345.0,3900000.0
1999-05-21,7701,8171,7570,8079,53970,33540.0,3900000.0
1999-05-24,8501,8501,7984,7985,35040,33150.0,3900000.0
1999-05-25,7608,8078,7608,7985,33870,33150.0,3900000.0
1999-05-26,8087,8736,8087,8370,61180,34749.0,3900000.0
1999-05-27,8368,8509,8086,8173,40480,33930.0,3900000.0
1999-05-28,7984,8200,7731,8032,58070,33345.0,3900000.0
1999-05-31,8030,8547,8030,8173,73560,33930.0,3900000.0
1999-06-01,8266,8266,7900,7900,22150,32799.0,3900000.0
1999-06-02,7983,8453,7908,8173,59420,33930.0,3900000.0
1999-06-03,8181,8265,7983,8173,37010,33930.0,3900000.0
1999-06-04,8359,9018,8219,8783,127290,36465.0,3900000.0
1999-06-07,9064,9195,8735,8925,101830,37050.0,3900000.0
1999-06-08,9017,9204,8640,9207,92600,38220.0,3900000.0
1999-06-09,9204,9580,8848,8925,85880,37050.0,3900000.0
1999-06-10,8313,9018,8313,8971,52120,37245.0,3900000.0
1999-06-11,9534,9581,8923,8934,128690,37089.0,3900000.0
