코오롱글로벌(003070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,26390,28802,25943,28803,388980,72094.0,11194749.0
1999-01-05,29072,30412,27728,28937,644970,72430.0,11194749.0
1999-01-06,29118,29521,27283,28177,362660,70527.0,11194749.0
1999-01-07,28628,29298,27375,27551,464570,68960.0,11194749.0
1999-01-08,27059,29074,27059,27953,318740,69967.0,11194749.0
1999-01-11,29026,29026,27507,28624,409350,71646.0,11194749.0
1999-01-12,28670,29296,26432,27282,305160,68288.0,11194749.0
1999-01-13,26388,27908,25718,27685,332710,69295.0,11194749.0
1999-01-14,24597,26747,23568,23704,221280,59332.0,11194749.0
1999-01-15,23704,25495,23481,25404,290000,63586.0,11194749.0
1999-01-18,25943,26390,24599,24822,226100,62131.0,11194749.0
1999-01-19,24150,28533,23927,26835,543650,67168.0,11194749.0
1999-01-20,27059,27282,24597,24778,216030,62019.0,11194749.0
1999-01-21,23483,25498,22143,22139,170760,55414.0,11194749.0
1999-01-22,21469,23260,20575,21736,308040,54406.0,11194749.0
1999-01-25,22589,22812,21064,21244,164980,53175.0,11194749.0
1999-01-26,21922,22368,19683,19679,161520,49257.0,11194749.0
1999-01-27,19903,21020,19010,20797,222830,52056.0,11194749.0
1999-01-28,22365,22365,20170,20909,158170,52335.0,11194749.0
1999-01-29,20171,21962,20171,21244,141750,53175.0,11194749.0
1999-02-01,21244,22229,20797,21870,175530,54742.0,11194749.0
1999-02-02,22367,22367,20352,21110,131960,52839.0,11194749.0
1999-02-03,21246,21873,20353,21557,186960,53959.0,11194749.0
1999-02-04,21244,21467,20574,21021,106150,52615.0,11194749.0
1999-02-05,20573,21423,20394,20797,131840,52056.0,11194749.0
1999-02-08,20354,21024,19907,19903,94620,49817.0,11194749.0
1999-02-09,19460,19460,17445,17465,183990,43715.0,11194749.0
1999-02-10,17891,20086,17445,20081,236290,50264.0,11194749.0
1999-02-11,20618,22006,20215,21468,643270,53735.0,11194749.0
1999-02-12,21920,23037,21920,22586,341450,56533.0,11194749.0
1999-02-18,23036,23929,22589,23168,342720,57989.0,11194749.0
1999-02-19,23121,24063,21063,23704,362430,59332.0,11194749.0
1999-02-22,23257,24821,23034,23928,578110,59892.0,11194749.0
1999-02-23,23571,24154,21537,23212,460770,58101.0,11194749.0
1999-02-24,23707,23707,21964,22810,939160,57093.0,11194749.0
1999-02-25,21514,23480,21466,23481,390570,58772.0,11194749.0
1999-02-26,23482,23929,22497,22944,242960,57429.0,11194749.0
1999-03-02,23927,24107,23481,23928,282130,59892.0,11194749.0
1999-03-03,24150,24286,23169,23481,164590,58772.0,11194749.0
1999-03-04,24151,25496,23928,24151,405760,60452.0,11194749.0
1999-03-05,24152,25497,23570,25046,224540,62691.0,11194749.0
