동아에스티(170900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-04-08,170500,173000,148500,148500,457548,1039736.0,7001588.0
2013-04-09,149500,162000,147500,152000,351390,1064241.0,7001588.0
2013-04-10,153500,156500,142500,153000,294955,1071243.0,7001588.0
2013-04-11,154000,175000,153500,170000,272987,1190270.0,7001588.0
2013-04-12,172000,184500,170500,175000,209749,1225278.0,7001588.0
2013-04-15,175000,189500,170000,178000,119520,1246283.0,7001588.0
2013-04-16,178000,178000,170000,171000,106598,1197272.0,7001588.0
2013-04-17,171000,174000,160000,170000,91113,1190270.0,7001588.0
2013-04-18,163500,171000,163500,166500,49906,1223928.0,7350916.0
2013-04-19,165000,168000,156500,166000,124623,1220252.0,7350916.0
2013-04-22,165500,168000,162500,163000,50775,1198199.0,7350916.0
2013-04-23,164000,164000,156000,156500,76809,1150418.0,7350916.0
2013-04-24,157500,158000,143000,144500,295972,1062207.0,7350916.0
2013-04-25,146000,151000,143500,147000,130756,1080585.0,7350916.0
2013-04-26,147500,148000,142000,145500,83819,1069558.0,7350916.0
2013-04-29,145500,147000,142500,143000,55603,1051181.0,7350916.0
2013-04-30,145000,151000,143000,149000,127450,1095286.0,7350916.0
2013-05-02,150000,154000,148500,148500,82588,1091611.0,7350916.0
2013-05-03,145500,165500,145000,163000,375036,1198199.0,7350916.0
2013-05-06,165000,168000,159500,166500,90981,1223928.0,7350916.0
2013-05-07,165000,169000,160500,163000,56345,1198199.0,7350916.0
2013-05-08,161000,163500,161000,163500,286514,1201875.0,7350916.0
2013-05-09,165500,167500,158500,160000,55879,1176147.0,7350916.0
2013-05-10,161000,167000,158000,165000,57597,1212901.0,7350916.0
2013-05-13,163500,167500,162000,165000,33415,1212901.0,7350916.0
2013-05-14,165000,165000,161000,161000,44604,1183497.0,7350916.0
2013-05-15,161000,162000,146500,156000,93331,1146743.0,7350916.0
2013-05-16,152500,155500,148000,153000,67244,1124690.0,7350916.0
2013-05-20,150000,153000,148000,148000,42658,1087936.0,7350916.0
2013-05-21,148000,156500,148000,156500,37676,1150418.0,7350916.0
2013-05-22,156500,156500,152500,153500,26507,1128366.0,7350916.0
2013-05-23,155500,155500,150500,150500,22704,1106313.0,7350916.0
2013-05-24,151000,156500,150000,151000,20523,1109988.0,7350916.0
2013-05-27,152000,154500,150000,150500,15495,1106313.0,7350916.0
2013-05-28,150500,154000,149500,154000,23800,1132041.0,7350916.0
2013-05-29,155000,155000,151000,153500,29885,1128366.0,7350916.0
2013-05-30,154000,154000,147000,148500,40111,1091611.0,7350916.0
2013-05-31,149500,149500,134000,142500,127413,1047506.0,7350916.0
2013-06-03,140000,142000,135500,135500,81359,996049.0,7350916.0
2013-06-04,135500,138500,125500,127000,133615,933566.0,7350916.0
2013-06-05,127500,130500,125000,125000,64486,918864.0,7350916.0
2013-06-07,126500,130000,126000,129000,35912,948268.0,7350916.0
2013-06-10,130000,131500,125500,127000,30320,933566.0,7350916.0
2013-06-11,127000,134500,126500,133500,64359,981347.0,7350916.0
