삼화전자공업(011230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,18179,18179,16789,16826,9750,40528.0,742262.0
1999-01-05,16669,17408,16020,16394,31150,39488.0,742262.0
1999-01-06,16329,16882,16329,16487,9600,39711.0,742262.0
1999-01-07,16480,16635,16171,16177,7350,38969.0,742262.0
1999-01-08,16172,16172,15804,15838,4650,38152.0,742262.0
1999-01-11,16020,16789,16020,16641,24400,40082.0,742262.0
1999-01-12,16789,16820,16079,16177,20000,38969.0,742262.0
1999-01-13,16178,16426,16024,16210,18950,39043.0,742262.0
1999-01-14,16210,16303,15561,15562,27700,37484.0,742262.0
1999-01-15,15556,16017,15556,16023,8500,38598.0,742262.0
1999-01-18,16054,17874,16023,17257,93850,41567.0,742262.0
1999-01-19,18490,19105,18122,18120,99650,43645.0,742262.0
1999-01-20,18425,18425,17871,18304,41500,44090.0,742262.0
1999-01-21,18491,18491,17875,18182,102750,43793.0,742262.0
1999-01-22,18184,18184,16948,17873,33650,43051.0,742262.0
1999-01-25,17872,17872,16825,17564,11150,42309.0,742262.0
1999-01-26,16981,17256,16793,17102,8150,41196.0,742262.0
1999-01-27,16789,16944,15464,16332,10050,39340.0,742262.0
1999-01-28,16333,16948,16179,16918,7950,40750.0,742262.0
1999-01-29,17131,18457,16948,17564,35550,42309.0,742262.0
1999-02-01,17594,20184,17594,20030,99300,48247.0,742262.0
1999-02-02,19720,19720,18672,18858,24500,45426.0,742262.0
1999-02-03,18853,19041,17744,19045,19150,45872.0,742262.0
1999-02-04,18329,18761,18329,18397,9350,44313.0,742262.0
1999-02-05,18517,18795,18424,18798,25450,45278.0,742262.0
1999-02-08,18854,19564,18208,18643,42350,44907.0,742262.0
1999-02-09,18645,18645,17875,17873,25750,43051.0,742262.0
1999-02-10,17720,17874,17257,17257,19200,41567.0,742262.0
1999-02-11,17253,17868,17253,17287,26750,41641.0,742262.0
1999-02-12,17566,17875,17319,17873,18900,43051.0,742262.0
1999-02-18,18429,18429,17656,18182,11950,43793.0,742262.0
1999-02-19,17597,17875,16982,17873,20400,43051.0,742262.0
1999-02-22,17285,17841,17257,17718,6700,42680.0,742262.0
1999-02-23,17561,17963,17561,17781,41800,42829.0,742262.0
1999-02-24,17776,17989,17559,17995,4050,43348.0,742262.0
1999-02-25,17872,19720,17872,19721,28800,47505.0,742262.0
1999-02-26,19653,19653,19097,19382,47300,46688.0,742262.0
1999-03-02,19382,20340,19382,19414,45950,46763.0,742262.0
1999-03-03,19414,20029,19136,19721,28250,47505.0,742262.0
1999-03-04,19410,19410,19098,19352,12550,46614.0,742262.0
1999-03-05,19352,19413,19104,19414,11500,46763.0,742262.0
1999-03-08,19877,19877,18489,19414,29500,46763.0,742262.0
1999-03-09,19409,19564,19162,19382,5900,46688.0,742262.0
1999-03-10,19253,19253,18944,19105,4750,46020.0,742262.0
1999-03-11,19099,19565,19099,19105,7000,46020.0,742262.0
1999-03-12,19099,19717,18823,19259,22850,46391.0,742262.0
1999-03-15,19717,19995,19099,19105,33600,46020.0,742262.0
1999-03-16,20031,20186,19413,19414,28150,46763.0,742262.0
1999-03-17,19722,20031,19413,19414,9000,46763.0,742262.0
1999-03-18,19565,19565,18944,19259,18550,46391.0,742262.0
1999-03-19,19259,19413,19104,19414,11150,46763.0,742262.0
1999-03-22,19410,19410,18483,18950,20150,45649.0,742262.0
1999-03-23,18919,18981,18703,18858,16050,45426.0,742262.0
1999-03-24,18858,19321,18799,19322,14750,46540.0,742262.0
1999-03-25,18827,19414,18827,18858,9150,45426.0,742262.0
1999-03-26,18792,19099,18792,18950,13900,45649.0,742262.0
