한화에어로스페이스(012450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5808,6106,5719,5842,600040,215800.0,32500000.0
1999-01-05,5904,6643,5851,6440,1818620,237900.0,32500000.0
1999-01-06,6696,7399,6634,7399,3142680,273325.0,32500000.0
1999-01-07,7918,8314,7478,7567,3392740,279500.0,32500000.0
1999-01-08,7655,8095,7567,7927,1815310,292825.0,32500000.0
1999-01-11,8360,8624,7963,8182,1272830,302250.0,32500000.0
1999-01-12,8227,8315,7567,8094,1083410,299000.0,32500000.0
1999-01-13,7610,8076,7584,7945,974890,293475.0,32500000.0
1999-01-14,7753,8624,7655,8182,1739220,302250.0,32500000.0
1999-01-15,8360,8535,7963,8094,920320,299000.0,32500000.0
1999-01-18,8349,8359,7918,7918,940710,292500.0,32500000.0
1999-01-19,7918,8095,7488,7567,984350,279500.0,32500000.0
1999-01-20,7567,7742,7259,7382,684240,272675.0,32500000.0
1999-01-21,7170,7302,6695,6863,834360,253500.0,32500000.0
1999-01-22,6862,6916,6608,6687,507330,247000.0,32500000.0
1999-01-25,6862,6951,6687,6687,498320,247000.0,32500000.0
1999-01-26,6862,7127,6687,6775,676610,250250.0,32500000.0
1999-01-27,6774,7126,6774,7127,537540,263250.0,32500000.0
1999-01-28,7127,7461,7127,7135,670590,263575.0,32500000.0
1999-01-29,7145,7285,6996,7109,428660,262600.0,32500000.0
1999-02-01,7214,7346,7038,7347,631970,271375.0,32500000.0
1999-02-02,7346,7354,7003,7127,403200,263250.0,32500000.0
1999-02-03,7020,7029,6580,6784,322080,250575.0,32500000.0
1999-02-04,6784,6907,6449,6537,338450,241475.0,32500000.0
1999-02-05,6598,6731,6475,6687,494940,247000.0,32500000.0
1999-02-08,6669,7055,6475,6474,209480,217750.0,32500000.0
1999-02-09,6280,6280,6000,6281,249920,211250.0,32500000.0
1999-02-10,5538,6282,5538,6184,259420,208000.0,32500000.0
1999-02-11,6281,6465,6087,6262,172530,210600.0,32500000.0
1999-02-12,6281,6503,6281,6426,184120,216125.0,32500000.0
1999-02-18,6764,6947,6580,6629,319280,222950.0,32500000.0
1999-02-19,6523,6523,6040,6213,313980,208975.0,32500000.0
1999-02-22,6001,6135,5884,5991,129990,201500.0,32500000.0
1999-02-23,6078,6078,5894,5904,147750,198575.0,32500000.0
1999-02-24,5856,6079,5731,5749,170880,193375.0,32500000.0
1999-02-25,5624,5884,5604,5817,250340,195650.0,32500000.0
1999-02-26,5894,6136,5894,6039,278570,203125.0,32500000.0
1999-03-02,6087,6232,6039,6136,403080,206375.0,32500000.0
1999-03-03,6135,6281,6087,6204,230660,208650.0,32500000.0
1999-03-04,6213,6213,6058,6204,319320,208650.0,32500000.0
1999-03-05,6087,6204,6087,6204,364940,208650.0,32500000.0
1999-03-08,6281,6765,6281,6648,1268410,223600.0,32500000.0
1999-03-09,6765,6765,6475,6474,700700,217750.0,32500000.0
1999-03-10,6475,6619,6397,6619,599410,222625.0,32500000.0
1999-03-11,6533,6745,6533,6667,618300,224250.0,32500000.0
1999-03-12,6765,7093,6717,6957,888200,234000.0,32500000.0
1999-03-15,7151,7343,6909,6996,578740,235300.0,32500000.0
1999-03-16,6938,7053,6831,6880,405490,231400.0,32500000.0
1999-03-17,6949,7016,6629,6677,572760,224575.0,32500000.0
1999-03-18,6533,6707,6378,6474,554080,217750.0,32500000.0
1999-03-19,6570,6918,6483,6861,878040,230750.0,32500000.0
1999-03-22,6860,7082,6715,6880,1378060,231400.0,32500000.0
1999-03-23,6958,6958,6687,6764,621650,227500.0,32500000.0
1999-03-24,6764,7431,6677,7247,1300800,243750.0,32500000.0
1999-03-25,7054,7373,7015,7199,913730,242125.0,32500000.0
1999-03-26,7295,7343,7111,7151,453680,240500.0,32500000.0
1999-03-29,6570,7246,6570,7054,583820,237250.0,32500000.0
1999-03-30,7247,7315,7132,7247,555560,243750.0,32500000.0
1999-03-31,7344,7586,7200,7392,730040,248625.0,32500000.0
1999-04-01,7441,7730,7286,7730,953020,260000.0,32500000.0
1999-04-02,7923,8107,7730,7779,887700,261625.0,32500000.0
1999-04-06,7730,8077,7634,8069,1111790,271375.0,32500000.0
1999-04-07,7973,8601,7925,8165,1806750,274625.0,32500000.0
1999-04-08,8019,8502,7933,8494,2321930,461475.0,52500000.0
1999-04-09,8610,8745,8214,8310,1484150,451500.0,52500000.0
1999-04-12,8359,8745,8117,8503,1827470,462000.0,52500000.0
1999-04-13,8417,8746,8360,8416,1330290,457275.0,52500000.0
1999-04-14,8320,9180,8262,9015,3096460,489825.0,52500000.0
1999-04-15,9277,9374,9113,9363,1734630,508725.0,52500000.0
1999-04-16,9547,9567,7972,8900,1561730,483525.0,52500000.0
1999-04-19,8997,9355,8910,9112,1408840,495075.0,52500000.0
1999-04-20,9112,9325,8832,8842,1349330,480375.0,52500000.0
1999-04-21,8842,8842,8300,8310,977660,451500.0,52500000.0
