대신증권(003540),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14543,15095,13853,14819,1448350,489440.0,30400000.0
1999-01-05,14819,15095,13991,14727,1011940,486400.0,30400000.0
1999-01-06,15188,15326,14359,14635,912730,483360.0,30400000.0
1999-01-07,14819,15095,14359,14727,961380,486400.0,30400000.0
1999-01-08,14727,16016,14543,15279,1460960,504640.0,30400000.0
1999-01-11,15924,16108,15326,16015,997810,528960.0,30400000.0
1999-01-12,16108,16292,14773,15095,783400,498560.0,30400000.0
1999-01-13,14267,15188,14267,14681,725670,484880.0,30400000.0
1999-01-14,13899,14221,12518,13070,761690,431680.0,30400000.0
1999-01-15,13347,13899,13162,13714,665090,452960.0,30400000.0
1999-01-18,14635,14635,13669,13714,587770,452960.0,30400000.0
1999-01-19,13669,14451,13070,13990,724150,462080.0,30400000.0
1999-01-20,13899,14175,13255,13254,410550,437760.0,30400000.0
1999-01-21,12610,12978,11874,11965,683880,395200.0,30400000.0
1999-01-22,11552,12656,11184,12057,979320,398240.0,30400000.0
1999-01-25,12794,12794,11506,11689,612500,386080.0,30400000.0
1999-01-26,12104,12242,10769,11045,672650,364800.0,30400000.0
1999-01-27,11045,12564,10677,12057,1114870,398240.0,30400000.0
1999-01-28,11690,12334,11506,11551,574630,381520.0,30400000.0
1999-01-29,11552,12150,11414,11873,471130,392160.0,30400000.0
1999-02-01,11874,12564,11644,12334,793130,407360.0,30400000.0
1999-02-02,12242,12334,11598,11873,403340,392160.0,30400000.0
1999-02-03,11506,11782,11276,11321,282570,373920.0,30400000.0
1999-02-04,11322,11690,11137,11505,331290,380000.0,30400000.0
1999-02-05,11690,12380,11414,11735,791600,387600.0,30400000.0
1999-02-08,11966,12518,11782,11919,673130,393680.0,30400000.0
1999-02-09,11920,12058,11414,11781,505990,389120.0,30400000.0
1999-02-10,11920,12104,11690,11965,445960,395200.0,30400000.0
1999-02-11,11966,12472,11966,12288,545000,405840.0,30400000.0
1999-02-12,12426,13347,12426,12886,1123290,425600.0,30400000.0
1999-02-18,13070,13301,12472,12564,875160,414960.0,30400000.0
1999-02-19,12288,12288,11598,11781,605630,389120.0,30400000.0
1999-02-22,11598,11690,10861,11229,355040,370880.0,30400000.0
1999-02-23,11230,11506,10815,11045,381160,364800.0,30400000.0
1999-02-24,11045,11276,10585,10585,320070,349600.0,30400000.0
1999-02-25,10217,10585,10033,10217,451320,337440.0,30400000.0
1999-02-26,10217,10769,10125,10631,351040,351120.0,30400000.0
1999-03-02,10677,11368,10677,10907,528500,360240.0,30400000.0
1999-03-03,10907,11230,10677,10723,527220,354160.0,30400000.0
1999-03-04,10723,10907,10539,10585,442400,349600.0,30400000.0
1999-03-05,10493,10677,10309,10677,379270,352640.0,30400000.0
1999-03-08,10861,12242,10861,12242,1151460,404320.0,30400000.0
1999-03-09,12334,12840,11966,12380,1361390,408880.0,30400000.0
1999-03-10,11966,12380,11966,12380,705160,408880.0,30400000.0
1999-03-11,12380,13669,12334,13162,1576620,434720.0,30400000.0
1999-03-12,13347,13577,12932,13346,1117300,440800.0,30400000.0
1999-03-15,13991,13991,13347,13346,1054770,440800.0,30400000.0
