디와이(013570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,803,803,740,803,473800,23385.0,2420859.0
1999-01-05,832,890,815,873,1136100,25419.0,2420859.0
1999-01-06,889,981,856,956,945800,27840.0,2420859.0
1999-01-07,973,1097,922,1031,1221100,30019.0,2420859.0
1999-01-08,985,1097,985,1039,1024500,30261.0,2420859.0
1999-01-11,1097,1123,1039,1089,700100,31713.0,2420859.0
1999-01-12,1106,1147,1048,1097,719500,31955.0,2420859.0
1999-01-13,1081,1189,1081,1164,880600,33892.0,2420859.0
1999-01-14,1123,1147,1006,1081,721100,31471.0,2420859.0
1999-01-15,1081,1140,1006,1097,657600,31955.0,2420859.0
1999-01-18,1089,1205,1081,1164,889100,33892.0,2420859.0
1999-01-19,1205,1205,1114,1131,507000,32924.0,2420859.0
1999-01-20,1139,1139,1081,1085,448600,31592.0,2420859.0
1999-01-21,1039,1102,1023,1031,409200,30019.0,2420859.0
1999-01-22,1030,1072,981,981,189900,28566.0,2420859.0
1999-01-25,981,981,919,948,173800,27598.0,2420859.0
1999-01-26,973,1039,964,1031,346200,30019.0,2420859.0
1999-01-27,1065,1089,1006,1064,460300,30987.0,2420859.0
1999-01-28,1072,1222,1047,1131,872100,32924.0,2420859.0
1999-01-29,1147,1147,1081,1081,283200,31471.0,2420859.0
1999-02-01,1123,1123,1048,1097,302300,31955.0,2420859.0
1999-02-02,1105,1114,1048,1072,235500,31229.0,2420859.0
1999-02-03,1072,1072,1014,1014,171300,29534.0,2420859.0
1999-02-04,1006,1006,955,964,206200,28082.0,2420859.0
1999-02-05,948,1035,915,952,187500,27719.0,2420859.0
1999-02-08,947,1034,947,964,256300,28082.0,2420859.0
1999-02-09,965,990,915,931,169500,27114.0,2420859.0
1999-02-10,882,932,873,931,214100,27114.0,2420859.0
1999-02-11,890,939,890,915,155900,26629.0,2420859.0
1999-02-12,1039,1039,931,956,137200,27840.0,2420859.0
1999-02-18,956,956,915,915,39000,26629.0,2420859.0
1999-02-19,873,873,852,865,126600,25177.0,2420859.0
1999-02-22,815,873,815,823,81400,23967.0,2420859.0
1999-02-23,847,847,798,831,145700,24209.0,2420859.0
1999-02-24,831,831,798,798,105200,23240.0,2420859.0
1999-02-25,749,798,749,786,73000,22877.0,2420859.0
1999-02-26,757,823,757,823,239700,23967.0,2420859.0
1999-03-02,943,943,898,944,573500,27477.0,2420859.0
1999-03-03,989,1006,914,964,680700,28082.0,2420859.0
1999-03-04,922,981,914,981,244100,28566.0,2420859.0
1999-03-05,997,1039,955,981,637400,28566.0,2420859.0
1999-03-08,1055,1055,1001,1018,440300,29656.0,2420859.0
1999-03-09,1018,1060,997,998,339200,29050.0,2420859.0
1999-03-10,997,1014,976,998,218300,29050.0,2420859.0
1999-03-11,980,1039,980,1039,240100,30261.0,2420859.0
1999-03-12,1039,1048,1018,1018,201400,29656.0,2420859.0
1999-03-15,1056,1060,1006,1027,494600,29898.0,2420859.0
1999-03-16,1043,1043,997,1014,286700,29534.0,2420859.0
1999-03-17,997,1022,981,981,379800,28566.0,2420859.0
1999-03-18,948,997,922,939,267200,27356.0,2420859.0
1999-03-19,915,973,915,973,247700,28324.0,2420859.0
1999-03-22,956,990,948,948,145900,27598.0,2420859.0
1999-03-23,948,981,923,969,226500,28203.0,2420859.0
1999-03-24,973,1006,955,964,240200,28082.0,2420859.0
1999-03-25,981,1006,956,1006,417000,29292.0,2420859.0
1999-03-26,998,998,956,989,207000,28808.0,2420859.0
1999-03-29,993,1056,965,1023,627200,29777.0,2420859.0
1999-03-30,1039,1072,1022,1039,649400,30261.0,2420859.0
1999-03-31,1064,1072,1030,1039,419900,30261.0,2420859.0
1999-04-01,1039,1122,1022,1072,929800,31229.0,2420859.0
1999-04-02,1081,1097,1039,1056,383100,30745.0,2420859.0
1999-04-06,1055,1081,1027,1072,452900,31229.0,2420859.0
1999-04-07,1089,1135,1089,1114,948100,32440.0,2420859.0
1999-04-08,1122,1135,1101,1131,511500,32924.0,2420859.0
1999-04-09,1180,1189,1147,1156,935200,33650.0,2420859.0
1999-04-12,1206,1281,1173,1226,1294100,35708.0,2420859.0
1999-04-13,1242,1255,1205,1206,573900,35102.0,2420859.0
1999-04-14,1205,1239,1164,1214,586600,35345.0,2420859.0
1999-04-15,1206,1239,1181,1189,843400,34618.0,2420859.0
1999-04-16,1189,1196,1122,1131,526900,32924.0,2420859.0
1999-04-19,1065,1131,1065,1097,860800,31955.0,2420859.0
1999-04-20,1105,1197,1105,1164,1102900,33892.0,2420859.0
1999-04-21,1164,1180,1123,1122,586400,32682.0,2420859.0
1999-04-22,1139,1164,1105,1106,184200,32197.0,2420859.0
1999-04-23,1114,1184,1114,1164,669800,33892.0,2420859.0
1999-04-26,1201,1201,1123,1172,537200,34134.0,2420859.0
1999-04-27,1189,1222,1147,1172,631300,34134.0,2420859.0
1999-04-28,1172,1305,1155,1297,1425600,37765.0,2420859.0
1999-04-29,1347,1381,1314,1355,1324300,39460.0,2420859.0
1999-04-30,1397,1434,1322,1380,965100,40186.0,2420859.0
1999-05-03,1347,1456,1347,1413,742500,41155.0,2420859.0
1999-05-04,1438,1492,1388,1480,1261700,43091.0,2420859.0
1999-05-06,1496,1512,1446,1463,899700,42607.0,2420859.0
1999-05-07,1455,1488,1405,1455,1068200,42365.0,2420859.0
1999-05-10,1472,1555,1463,1472,1502700,42849.0,2420859.0
1999-05-11,1480,1513,1414,1413,1289900,41155.0,2420859.0
1999-05-12,1372,1418,1313,1347,823200,39218.0,2420859.0
1999-05-13,1388,1405,1330,1363,923200,39702.0,2420859.0
