조흥(002600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,28100,28100,28100,28100,0,16860.0,600000.0
1999-01-05,28100,28100,28100,28100,20,16860.0,600000.0
1999-01-06,28100,28100,28100,28100,0,,
1999-01-07,28100,28100,28100,28100,0,,
1999-01-08,28100,28100,28100,28100,0,,
1999-01-11,28300,28300,28300,28300,10,16980.0,600000.0
1999-01-12,28300,28300,28300,28300,0,16980.0,600000.0
1999-01-13,29000,29000,29000,29000,140,17400.0,600000.0
1999-01-14,29000,29000,29000,29000,0,17400.0,600000.0
1999-01-15,29000,29000,29000,29000,0,,
1999-01-18,29000,29000,29000,29000,0,,
1999-01-19,29000,29000,29000,29000,10,17400.0,600000.0
1999-01-20,29000,29000,29000,29000,0,,
1999-01-21,29000,29000,29000,29000,0,,
1999-01-22,29000,29000,29000,29000,0,,
1999-01-25,29000,29000,29000,29000,0,,
1999-01-26,29000,29000,29000,29000,0,,
1999-01-27,29000,29000,29000,29000,0,,
1999-01-28,29000,29000,29000,29000,0,,
1999-01-29,29000,29000,29000,29000,0,,
1999-02-01,29000,29000,29000,29000,0,,
1999-02-02,27000,27000,27000,27000,30,16200.0,600000.0
1999-02-03,27000,27000,27000,27000,0,16200.0,600000.0
1999-02-04,27000,27000,27000,27000,0,,
1999-02-05,27000,27000,27000,27000,0,,
1999-02-08,26000,26000,26000,26000,20,15600.0,600000.0
1999-02-09,26000,26000,26000,26000,10,15600.0,600000.0
1999-02-10,28000,28000,28000,28000,170,16800.0,600000.0
1999-02-11,27950,27950,27950,27950,0,16770.0,600000.0
1999-02-12,27950,27950,27950,27950,0,16770.0,600000.0
1999-02-18,27950,27950,27950,27950,0,,
1999-02-19,27950,27950,27950,27950,0,,
1999-02-22,27950,27950,27950,27950,0,,
1999-02-23,27950,27950,27950,27950,0,,
1999-02-24,27950,27950,27950,27950,0,,
1999-02-25,27950,27950,27950,27950,0,,
1999-02-26,28000,28000,28000,28000,30,16800.0,600000.0
1999-03-02,28000,28000,28000,28000,0,16800.0,600000.0
1999-03-03,28000,28000,28000,28000,0,,
1999-03-04,30500,30500,30500,30500,100,18300.0,600000.0
1999-03-05,30700,30700,28000,28000,120,16800.0,600000.0
1999-03-08,31000,31000,31000,31000,450,18600.0,600000.0
1999-03-09,32000,32000,32000,32000,20,19200.0,600000.0
1999-03-10,32000,32000,32000,32000,0,19200.0,600000.0
1999-03-11,30000,30000,30000,30000,10,18000.0,600000.0
1999-03-12,30000,30000,30000,30000,110,18000.0,600000.0
1999-03-15,32500,32500,32500,32500,0,19500.0,600000.0
1999-03-16,35500,35500,35500,35500,230,21300.0,600000.0
1999-03-17,35000,37500,35000,37500,400,22500.0,600000.0
1999-03-18,31900,35500,31900,34500,350,20700.0,600000.0
1999-03-19,35500,35550,35500,35500,210,21300.0,600000.0
1999-03-22,31800,31800,31550,31800,110,19080.0,600000.0
1999-03-23,32000,33500,32000,32100,250,19260.0,600000.0
1999-03-24,32400,33000,32400,33000,50,19800.0,600000.0
1999-03-25,34000,34000,34000,34000,110,20400.0,600000.0
1999-03-26,35000,35500,34500,35500,130,21300.0,600000.0
1999-03-29,34500,35000,32000,32000,120,19200.0,600000.0
1999-03-30,32700,32700,32700,32700,0,19620.0,600000.0
1999-03-31,34500,34500,34500,34500,50,20700.0,600000.0
1999-04-01,32000,32200,32000,32200,30,19320.0,600000.0
1999-04-02,33000,33000,33000,33000,20,19800.0,600000.0
1999-04-06,35300,37950,35300,37900,350,22740.0,600000.0
1999-04-07,39000,40000,39000,39000,300,23400.0,600000.0
1999-04-08,39200,41400,39200,41400,370,24840.0,600000.0
1999-04-09,42000,45000,42000,45000,240,27000.0,600000.0
1999-04-12,45000,45000,45000,45000,250,27000.0,600000.0
1999-04-13,45000,45000,45000,45000,140,27000.0,600000.0
