진원생명과학(011000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,873,960,850,970,988500,6016.0,758680.0
1999-01-05,979,1099,942,1013,1822250,6282.0,758680.0
1999-01-06,989,1012,957,1000,479000,6221.0,758680.0
1999-01-07,1020,1093,1010,1021,251000,6343.0,758680.0
1999-01-08,1009,1019,968,1029,168500,6373.0,758680.0
1999-01-11,1027,1165,872,1139,672250,7056.0,758680.0
1999-01-12,1206,1206,999,1148,128500,7132.0,758680.0
1999-01-13,1071,1168,1048,1160,225750,7207.0,758680.0
1999-01-14,1177,1177,1066,1063,121000,6601.0,758680.0
1999-01-15,1035,1081,1035,1050,79500,6525.0,758680.0
1999-01-18,1059,1128,1059,1139,354000,7056.0,758680.0
1999-01-19,1151,1252,1128,1194,284750,7435.0,758680.0
1999-01-20,1191,1191,1117,1160,210750,7207.0,758680.0
1999-01-21,1094,1177,1030,1160,287500,7207.0,758680.0
1999-01-22,1169,1169,1096,1148,132750,7132.0,758680.0
1999-01-25,1010,1125,1010,1122,50750,6980.0,758680.0
1999-01-26,953,1128,949,1042,205000,6449.0,758680.0
1999-01-27,1060,1120,1042,1130,258750,7018.0,758680.0
1999-01-28,1121,1203,1075,1173,263500,7283.0,758680.0
1999-01-29,1122,1181,1112,1160,215250,7185.0,758680.0
1999-02-01,1153,1254,1130,1223,515500,7587.0,758680.0
1999-02-02,1188,1220,1151,1194,135000,7435.0,758680.0
1999-02-03,1163,1186,1103,1109,352000,6866.0,758680.0
1999-02-04,1113,1123,1012,1050,116000,6525.0,758680.0
1999-02-05,1047,1079,1047,1072,221750,6638.0,758680.0
1999-02-08,1070,1093,1010,1021,312250,6335.0,758680.0
1999-02-09,1028,1028,931,1029,139750,6373.0,758680.0
1999-02-10,969,1001,909,920,88750,5698.0,758680.0
1999-02-11,923,1020,923,966,217250,5978.0,758680.0
1999-02-12,958,999,935,996,66750,6183.0,758680.0
1999-02-18,1043,1043,969,1021,130750,6327.0,758680.0
1999-02-19,1035,1035,962,1000,132000,6221.0,758680.0
1999-02-22,921,1009,921,987,41750,6123.0,758680.0
1999-02-23,968,973,918,928,150250,5766.0,758680.0
1999-02-24,876,945,867,878,115250,5462.0,758680.0
1999-02-25,867,881,849,878,107500,5462.0,758680.0
1999-02-26,828,916,828,894,39500,5554.0,758680.0
1999-03-02,916,953,902,954,161250,5910.0,758680.0
1999-03-03,918,918,863,920,228000,5705.0,758680.0
1999-03-04,913,918,913,928,85250,5774.0,758680.0
1999-03-05,925,966,916,954,82250,5918.0,758680.0
1999-03-08,945,982,936,983,143500,6077.0,758680.0
1999-03-09,963,1027,949,1038,302000,6411.0,758680.0
1999-03-10,987,1015,987,1016,104500,6297.0,758680.0
1999-03-11,997,1010,987,1016,73750,6297.0,758680.0
1999-03-12,1020,1167,1020,1072,1376750,6638.0,758680.0
1999-03-15,1081,1081,1031,1050,155500,6525.0,758680.0
1999-03-16,1075,1075,1020,1076,842000,6676.0,758680.0
1999-03-17,1056,1222,1056,1122,1190000,6972.0,758680.0
1999-03-18,1122,1145,1066,1063,190500,6593.0,758680.0
1999-03-19,1029,1070,1020,1076,155000,6676.0,758680.0
1999-03-22,1071,1071,1034,1063,115250,6601.0,758680.0
1999-03-23,1054,1054,1021,1050,90250,6525.0,758680.0
1999-03-24,1001,1075,1001,1076,150500,6676.0,758680.0
1999-03-25,1025,1066,1025,1063,88750,6601.0,758680.0
1999-03-26,1036,1068,1027,1042,189500,6449.0,758680.0
1999-03-29,995,1050,986,1042,149500,6449.0,758680.0
1999-03-30,1066,1066,1034,1063,157500,6593.0,758680.0
1999-03-31,1047,1070,1043,1072,197250,6638.0,758680.0
1999-04-01,1070,1070,1033,1072,105500,6638.0,758680.0
1999-04-02,1058,1100,1058,1101,560500,6828.0,758680.0
1999-04-06,1105,1105,1068,1088,127500,6729.0,758680.0
1999-04-07,1068,1142,1068,1088,112000,6752.0,758680.0
1999-04-08,1108,1117,1076,1118,153750,6942.0,758680.0
1999-04-09,1141,1141,1090,1101,132250,6828.0,758680.0
1999-04-12,1099,1126,1099,1109,160250,6904.0,758680.0
1999-04-13,1079,1121,1070,1122,118500,6965.0,758680.0
1999-04-14,1117,1140,1094,1118,153000,6942.0,758680.0
1999-04-15,1148,1167,1116,1173,166000,7283.0,758680.0
1999-04-16,1218,1218,1135,1169,160500,7245.0,758680.0
1999-04-19,1120,1175,1120,1186,225750,7359.0,758680.0
1999-04-20,1185,1213,1176,1223,50750,7587.0,758680.0
1999-04-21,1230,1230,1152,1241,111500,7701.0,758680.0
1999-04-22,1271,1271,1198,1236,40500,7663.0,758680.0
1999-04-23,1167,1254,1167,1223,20750,7587.0,758680.0
1999-04-26,1198,1248,1184,1236,120000,7663.0,758680.0
1999-04-27,1196,1260,1196,1257,150250,7814.0,758680.0
1999-04-28,1256,1302,1224,1303,167500,8118.0,758680.0
1999-04-29,1281,1506,1281,1502,457000,9332.0,758680.0
1999-04-30,1577,1586,1369,1586,260750,9863.0,758680.0
1999-05-03,1508,1624,1508,1616,87000,10015.0,758680.0
1999-05-04,1701,1760,1577,1586,125250,9863.0,758680.0
1999-05-06,1581,1830,1581,1826,1941750,11342.0,758680.0
1999-05-07,1784,1798,1651,1674,3908750,10394.0,758680.0
1999-05-10,1674,1711,1559,1619,1218500,10053.0,758680.0
1999-05-11,1656,1675,1519,1515,582500,9408.0,758680.0
1999-05-12,1395,1477,1395,1451,550750,9028.0,758680.0
1999-05-13,1462,1503,1424,1476,530500,9142.0,758680.0
1999-05-14,1480,1531,1424,1430,362000,8877.0,758680.0
1999-05-17,1419,1442,1327,1379,204250,8573.0,758680.0
1999-05-18,1316,1367,1312,1345,360250,8345.0,758680.0
1999-05-19,1329,1361,1325,1358,291750,8421.0,758680.0
1999-05-20,1332,1332,1190,1223,327250,7587.0,758680.0
1999-05-21,1219,1265,1173,1257,224000,7814.0,758680.0
