경보제약(214390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-29,30000,38500,30000,34250,5743250,818810.0,23906860.0
2015-06-30,33050,34000,28100,32000,1511196,765020.0,23906860.0
2015-07-01,33450,34800,32600,33300,831224,796098.0,23906860.0
2015-07-02,33000,33750,32600,33000,483945,788926.0,23906860.0
2015-07-03,33300,36300,33050,34700,882569,829568.0,23906860.0
2015-07-06,34000,36350,33500,35050,701187,837935.0,23906860.0
2015-07-07,36100,37600,30050,32150,941628,768606.0,23906860.0
2015-07-08,32150,32500,28900,30750,405291,735136.0,23906860.0
2015-07-09,29550,30450,28500,29800,372776,712424.0,23906860.0
2015-07-10,30000,30700,28100,28150,354564,672978.0,23906860.0
2015-07-13,28200,28300,25400,26550,446824,634727.0,23906860.0
2015-07-14,26550,28400,26550,26800,385673,640704.0,23906860.0
2015-07-15,26850,27700,26450,26900,293000,643095.0,23906860.0
2015-07-16,27150,28950,26650,28700,389261,686127.0,23906860.0
2015-07-17,28700,28700,27050,27050,223210,646681.0,23906860.0
2015-07-20,27000,27150,26000,26850,159326,641899.0,23906860.0
2015-07-21,27250,27400,26750,27000,112465,645485.0,23906860.0
2015-07-22,26850,27000,26050,26050,127395,622774.0,23906860.0
2015-07-23,26150,26450,25200,25550,101297,610820.0,23906860.0
2015-07-24,25550,26500,24900,25600,186002,612016.0,23906860.0
2015-07-27,25800,25800,24400,24500,94618,585718.0,23906860.0
2015-07-28,23850,24100,22550,23250,176621,555834.0,23906860.0
2015-07-29,23000,23000,19700,19900,708808,475747.0,23906860.0
2015-07-30,19900,20350,18550,18700,323279,447058.0,23906860.0
2015-07-31,18900,21750,18600,20650,539454,493677.0,23906860.0
2015-08-03,20200,20400,19450,19500,146893,466184.0,23906860.0
2015-08-04,19200,19950,18850,19850,149814,474551.0,23906860.0
2015-08-05,20100,20850,19500,20450,192326,488895.0,23906860.0
2015-08-06,20550,20700,19900,20000,127164,478137.0,23906860.0
2015-08-07,19800,19950,19300,19950,66759,476942.0,23906860.0
2015-08-10,20150,20250,19600,20100,82711,480528.0,23906860.0
2015-08-11,20200,21300,20050,20250,227754,484114.0,23906860.0
2015-08-12,20050,20200,18650,19350,163994,462598.0,23906860.0
2015-08-13,19000,19750,19000,19500,89584,466184.0,23906860.0
2015-08-17,19650,19650,18950,19150,78899,457816.0,23906860.0
2015-08-18,19200,19200,17700,17950,119640,429128.0,23906860.0
2015-08-19,17700,17750,15750,16350,188818,390877.0,23906860.0
2015-08-20,15950,16750,15800,16000,96849,382510.0,23906860.0
2015-08-21,14500,15400,14500,15000,157289,358603.0,23906860.0
2015-08-24,14650,15450,14250,14600,110581,349040.0,23906860.0
2015-08-25,14950,15800,14600,15600,137807,372947.0,23906860.0
2015-08-26,15550,17850,15400,16950,253394,405221.0,23906860.0
2015-08-27,17600,18000,16950,17500,136190,418370.0,23906860.0
2015-08-28,18000,19350,17850,18850,179197,450644.0,23906860.0
2015-08-31,18700,19100,18300,18450,56769,441082.0,23906860.0
2015-09-01,18200,18500,17850,17900,78412,427933.0,23906860.0
2015-09-02,17350,17600,17100,17500,84145,418370.0,23906860.0
2015-09-03,17700,17950,17250,17600,46284,420761.0,23906860.0
2015-09-04,17900,17900,16450,17000,55911,406417.0,23906860.0
2015-09-07,16700,17350,16100,17000,58442,406417.0,23906860.0
2015-09-08,17200,17300,15950,16200,51407,387291.0,23906860.0
2015-09-09,16650,17850,16500,17650,98040,421956.0,23906860.0
2015-09-10,17250,17800,16550,17800,62430,425542.0,23906860.0
2015-09-11,17550,17800,17250,17400,44796,415979.0,23906860.0
2015-09-14,17400,17650,16800,17200,48501,411198.0,23906860.0
2015-09-15,16950,17450,16800,17200,46773,411198.0,23906860.0
2015-09-16,17450,17550,17200,17350,48768,414784.0,23906860.0
2015-09-17,17500,18600,17150,17800,153383,425542.0,23906860.0
2015-09-18,18400,19350,18200,19000,210941,454230.0,23906860.0
2015-09-21,19000,19000,18350,18900,59099,451840.0,23906860.0
2015-09-22,18900,18900,18250,18350,101139,438691.0,23906860.0
2015-09-23,18300,18800,18000,18000,80296,430323.0,23906860.0
2015-09-24,18200,18400,17850,18000,40627,430323.0,23906860.0
2015-09-25,18000,18150,17150,17300,85018,413589.0,23906860.0
2015-09-30,14950,15250,13900,14100,2055825,337087.0,23906860.0
2015-10-01,14300,15100,14300,14750,892484,352626.0,23906860.0
2015-10-02,14900,15300,14750,14900,368602,356212.0,23906860.0
2015-10-05,15250,15450,14700,14800,338574,353822.0,23906860.0
2015-10-06,15200,15250,14800,14950,211406,357408.0,23906860.0
2015-10-07,14950,15100,14650,15100,164932,360994.0,23906860.0
2015-10-08,15350,15550,14900,15050,207663,359798.0,23906860.0
2015-10-12,15150,15200,14700,14700,153818,351431.0,23906860.0
2015-10-13,14700,14850,14300,14400,166470,344259.0,23906860.0
2015-10-14,14400,14500,13950,14150,183327,338282.0,23906860.0
2015-10-15,14000,14300,14000,14100,175197,337087.0,23906860.0
2015-10-16,14300,14450,14000,14100,232286,337087.0,23906860.0
2015-10-19,14200,14250,13900,14250,152063,340673.0,23906860.0
2015-10-20,14300,14700,14100,14700,188435,351431.0,23906860.0
2015-10-21,14800,14850,14400,14650,113804,350235.0,23906860.0
2015-10-22,14550,14550,13950,14100,178953,337087.0,23906860.0
2015-10-23,14200,14450,13900,14000,191025,334696.0,23906860.0
2015-10-26,14150,14250,13950,14100,108294,337087.0,23906860.0
2015-10-27,14100,14550,14050,14500,163073,346649.0,23906860.0
2015-10-28,14600,14950,14400,14800,250694,353822.0,23906860.0
2015-10-29,14900,15150,14750,14950,289082,357408.0,23906860.0
2015-10-30,14950,15000,14650,14800,164595,353822.0,23906860.0
2015-11-02,14950,14950,14200,14250,123742,340673.0,23906860.0
2015-11-03,14400,14500,14100,14200,78597,339477.0,23906860.0
2015-11-04,14400,15200,14200,14700,301606,351431.0,23906860.0
2015-11-05,14850,15700,14700,15350,503854,366970.0,23906860.0
2015-11-06,16050,16100,15250,15400,575340,368166.0,23906860.0
2015-11-09,15650,15750,15100,15250,499451,364580.0,23906860.0
2015-11-10,15300,15300,14050,14550,294942,347845.0,23906860.0
2015-11-11,14450,14950,14400,14900,155004,356212.0,23906860.0
2015-11-12,15100,16650,15100,15900,1211587,380119.0,23906860.0
2015-11-13,15750,16550,15600,16200,522764,387291.0,23906860.0
2015-11-16,15850,16950,15500,16600,625850,396854.0,23906860.0
2015-11-17,16900,16950,16100,16300,434326,389682.0,23906860.0
2015-11-18,16250,16400,15750,15900,277260,380119.0,23906860.0
2015-11-19,16050,16450,15550,16400,376931,392073.0,23906860.0
2015-11-20,16400,16450,15650,15900,295223,380119.0,23906860.0
2015-11-23,15900,16100,15400,15550,293987,371752.0,23906860.0
2015-11-24,15550,15800,15450,15550,191318,371752.0,23906860.0
2015-11-25,15650,16150,15600,16000,302426,382510.0,23906860.0
2015-11-26,16100,16250,15700,15750,196442,376533.0,23906860.0
2015-11-27,15850,16400,15800,16100,306342,384900.0,23906860.0
2015-11-30,16000,16150,15250,15650,327180,374142.0,23906860.0
2015-12-01,15700,15800,15200,15500,219964,370556.0,23906860.0
2015-12-02,15550,15650,15200,15350,161531,366970.0,23906860.0
2015-12-03,15250,15350,14900,15050,209858,359798.0,23906860.0
2015-12-04,14750,15050,14700,14950,92301,357408.0,23906860.0
2015-12-07,15050,15100,14400,14500,224853,346649.0,23906860.0
2015-12-08,14400,14500,13950,14050,250180,335891.0,23906860.0
2015-12-09,13900,14300,13500,13600,336916,325133.0,23906860.0
2015-12-10,13500,13600,13100,13400,193527,320352.0,23906860.0
2015-12-11,13500,13600,13250,13450,94229,321547.0,23906860.0
2015-12-14,13200,13250,12650,12700,176391,303617.0,23906860.0
2015-12-15,12650,13200,12650,13150,103235,314375.0,23906860.0
2015-12-16,13450,13500,13200,13400,103548,320352.0,23906860.0
2015-12-17,13500,13600,13300,13550,65384,323938.0,23906860.0
2015-12-18,13350,14050,13300,13800,78228,329915.0,23906860.0
2015-12-21,13600,13850,13600,13800,58661,329915.0,23906860.0
2015-12-22,13800,13900,13450,13500,91563,322743.0,23906860.0
2015-12-23,13600,13600,13350,13400,80618,320352.0,23906860.0
2015-12-24,13400,13550,13200,13400,105876,320352.0,23906860.0
2015-12-28,13400,13400,13000,13100,110899,313180.0,23906860.0
2015-12-29,13200,14000,13100,13900,171950,332305.0,23906860.0
2015-12-30,14100,14200,13850,14200,152196,339477.0,23906860.0
2016-01-04,14050,14400,13950,14000,152997,334696.0,23906860.0
2016-01-05,13700,14300,13700,14200,126601,339477.0,23906860.0
2016-01-06,14750,16450,14750,16300,1803629,389682.0,23906860.0
2016-01-07,16450,17100,15700,16400,1110192,392073.0,23906860.0
2016-01-08,16000,17000,15900,16750,927242,400440.0,23906860.0
2016-01-11,16800,17150,16200,16250,465387,388486.0,23906860.0
2016-01-12,16450,16600,15500,15600,385472,372947.0,23906860.0
2016-01-13,15750,16000,15350,15800,242771,377728.0,23906860.0
2016-01-14,15400,15700,15000,15500,232147,370556.0,23906860.0
2016-01-15,15700,16000,15450,15500,241913,370556.0,23906860.0
2016-01-18,15150,15600,15050,15600,166576,372947.0,23906860.0
2016-01-19,15750,16350,15400,16350,332798,390877.0,23906860.0
2016-01-20,16650,17650,16250,17150,1035969,410003.0,23906860.0
2016-01-21,17550,18200,16850,17000,628939,406417.0,23906860.0
2016-01-22,17200,17400,16350,16800,335451,401635.0,23906860.0
2016-01-25,17000,17400,16650,17300,299599,413589.0,23906860.0
2016-01-26,17150,17950,17100,17850,422622,426737.0,23906860.0
2016-01-27,18000,18050,16900,17100,299745,408807.0,23906860.0
2016-01-28,16950,17250,16500,16950,196681,405221.0,23906860.0
2016-01-29,17000,17050,16200,17000,221275,406417.0,23906860.0
2016-02-01,17150,17450,16500,16850,245754,402831.0,23906860.0
2016-02-02,16700,16850,16500,16550,155206,395659.0,23906860.0
2016-02-03,16400,16550,15800,15950,252556,381314.0,23906860.0
2016-02-04,16200,16250,15500,16000,199402,382510.0,23906860.0
