우진(105840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-07-26,15000,17250,15000,17250,310880,271860.0,7880000.0
2010-07-27,16175,19725,15150,18125,3294481,285650.0,7880000.0
2010-07-28,18650,19900,18275,18450,943653,290772.0,7880000.0
2010-07-29,18075,18750,17150,17250,396516,271860.0,7880000.0
2010-07-30,17275,17425,15050,15850,436884,249796.0,7880000.0
2010-08-02,15850,16075,14150,14275,336101,224974.0,7880000.0
2010-08-03,14350,14500,12675,13000,576325,204880.0,7880000.0
2010-08-04,12800,13499,12800,13150,301851,207244.0,7880000.0
2010-08-05,13125,13275,12100,13150,317167,207244.0,7880000.0
2010-08-06,13250,13375,12675,13150,150717,207244.0,7880000.0
2010-08-09,13100,13850,12800,13450,202940,211972.0,7880000.0
2010-08-10,13400,13450,12525,12525,239691,197394.0,7880000.0
2010-08-11,12700,13324,11750,11875,314484,187150.0,7880000.0
2010-08-12,11550,11875,11200,11225,143397,176906.0,7880000.0
2010-08-13,11325,12600,11200,12425,166898,195818.0,7880000.0
2010-08-16,12649,12950,12425,12500,144285,197000.0,7880000.0
2010-08-17,12550,12775,12300,12425,68673,195818.0,7880000.0
2010-08-18,12600,12849,12475,12500,88924,197000.0,7880000.0
2010-08-19,12550,13700,12475,13175,169616,207638.0,7880000.0
2010-08-20,13000,14175,12900,14000,229555,220640.0,7880000.0
2010-08-23,14075,14200,13649,13700,94493,215912.0,7880000.0
2010-08-24,14000,14425,13375,13700,113213,215912.0,7880000.0
2010-08-25,13649,14225,13175,13700,120589,215912.0,7880000.0
2010-08-26,13524,13524,12900,13000,268402,204880.0,7880000.0
2010-08-27,12699,12875,12425,12550,99031,197788.0,7880000.0
2010-08-30,12800,13075,12650,12975,55543,204486.0,7880000.0
2010-08-31,13249,13425,12975,13300,125431,209608.0,7880000.0
2010-09-01,13500,13800,13150,13600,122364,214336.0,7880000.0
2010-09-02,13550,13600,13175,13200,82878,208032.0,7880000.0
2010-09-03,13275,13750,13200,13625,73218,214730.0,7880000.0
2010-09-06,14074,14725,14000,14325,253275,225762.0,7880000.0
2010-09-07,14400,14750,14275,14550,146022,229308.0,7880000.0
2010-09-08,14775,15400,14600,15100,179716,237976.0,7880000.0
2010-09-09,15075,15500,14700,15275,154426,240734.0,7880000.0
2010-09-10,15475,15475,15075,15250,100207,240340.0,7880000.0
2010-09-13,15250,15699,15150,15250,95982,240340.0,7880000.0
2010-09-14,15450,15450,14675,14775,89263,232854.0,7880000.0
2010-09-15,14850,15225,14625,15225,101493,239946.0,7880000.0
2010-09-16,15125,15450,14874,15000,80540,236400.0,7880000.0
2010-09-17,15175,15225,14825,14875,42790,234430.0,7880000.0
2010-09-20,14975,15100,14800,14850,33879,234036.0,7880000.0
2010-09-24,14850,15425,14700,15425,86745,243098.0,7880000.0
2010-09-27,15800,15849,15200,15300,98472,241128.0,7880000.0
2010-09-28,15174,15250,14850,15000,56651,236400.0,7880000.0
2010-09-29,15000,15375,14950,14950,71978,235612.0,7880000.0
2010-09-30,15100,15100,14675,14725,67900,232066.0,7880000.0
2010-10-01,14750,14850,14250,14325,95010,225762.0,7880000.0
2010-10-04,14450,14450,13799,13825,115745,217882.0,7880000.0
2010-10-05,14075,14500,13875,14500,85791,228520.0,7880000.0
2010-10-06,14600,14600,13975,14000,84521,220640.0,7880000.0
2010-10-07,13875,13899,13400,13550,126475,213548.0,7880000.0
2010-10-08,13500,13850,13475,13650,48061,215124.0,7880000.0
2010-10-11,13850,13975,13600,13600,41627,214336.0,7880000.0
2010-10-12,13600,13600,13000,13100,61346,206456.0,7880000.0
2010-10-13,13050,13250,12950,13125,40379,206850.0,7880000.0
2010-10-14,13274,13525,13150,13525,41254,213154.0,7880000.0
2010-10-15,13700,13700,13300,13325,45085,210002.0,7880000.0
2010-10-18,13425,13500,13200,13250,28662,208820.0,7880000.0
2010-10-19,13450,14350,13450,13550,172897,213548.0,7880000.0
2010-10-20,13349,13725,13100,13500,49591,212760.0,7880000.0
2010-10-21,13550,13900,13375,13875,60543,218670.0,7880000.0
2010-10-22,14000,14500,13799,14425,129528,227338.0,7880000.0
2010-10-25,14575,14625,14225,14275,67490,224974.0,7880000.0
2010-10-26,14275,14400,14025,14325,45546,225762.0,7880000.0
2010-10-27,14550,14875,14450,14675,116082,231278.0,7880000.0
2010-10-28,14575,14699,14325,14350,47082,226156.0,7880000.0
2010-10-29,14600,14600,14125,14400,41134,226944.0,7880000.0
2010-11-01,14400,14625,14075,14375,80595,226550.0,7880000.0
2010-11-02,14400,14400,13499,13750,147283,216700.0,7880000.0
2010-11-03,13925,14075,13575,13600,130728,214336.0,7880000.0
2010-11-04,13700,13924,13550,13800,48963,217488.0,7880000.0
2010-11-05,13824,14000,13424,13975,57819,220246.0,7880000.0
2010-11-08,13975,14125,13800,14075,50403,221822.0,7880000.0
2010-11-09,14000,14550,13750,14525,131184,228914.0,7880000.0
2010-11-10,14550,15074,14100,14200,160570,223792.0,7880000.0
2010-11-11,14099,14300,13625,13650,129410,215124.0,7880000.0
2010-11-12,13650,13750,12675,13125,124127,206850.0,7880000.0
2010-11-15,12750,12750,11900,12025,147824,189514.0,7880000.0
2010-11-16,12000,12350,11950,12175,50094,191878.0,7880000.0
2010-11-17,11925,12275,11900,12250,32261,193060.0,7880000.0
2010-11-18,12199,12950,12199,12825,71010,202122.0,7880000.0
2010-11-19,13000,13125,12725,12800,24210,201728.0,7880000.0
2010-11-22,12625,12800,12425,12425,36067,195818.0,7880000.0
2010-11-23,12499,12750,12300,12450,29982,196212.0,7880000.0
2010-11-24,11500,12550,11500,12275,48961,193454.0,7880000.0
2010-11-25,12275,12275,11875,11925,85345,187938.0,7880000.0
2010-11-26,12000,12025,11375,11450,67525,180452.0,7880000.0
2010-11-29,11400,11650,11225,11350,27738,178876.0,7880000.0
2010-11-30,11250,11800,11250,11800,47880,185968.0,7880000.0
2010-12-01,11500,11900,11500,11850,28183,186756.0,7880000.0
2010-12-02,11875,12025,11550,11675,87961,183998.0,7880000.0
2010-12-03,11700,12124,11375,11400,160879,179664.0,7880000.0
2010-12-06,11575,11725,11275,11300,74971,178088.0,7880000.0
2010-12-07,11350,11775,11350,11750,54552,185180.0,7880000.0
2010-12-08,11775,11775,11575,11750,39207,185180.0,7880000.0
2010-12-09,11650,11825,11475,11525,54895,181634.0,7880000.0
2010-12-10,11525,11550,11375,11550,67814,182028.0,7880000.0
2010-12-13,11925,12800,11750,12450,342177,196212.0,7880000.0
2010-12-14,12549,12575,12225,12300,80936,193848.0,7880000.0
2010-12-15,12325,12425,12025,12325,63778,194242.0,7880000.0
2010-12-16,12325,12800,12225,12550,73133,197788.0,7880000.0
2010-12-17,12450,12550,12275,12350,49480,194636.0,7880000.0
2010-12-20,12275,12275,11500,12200,61129,192272.0,7880000.0
2010-12-21,12599,12599,12275,12375,51000,195030.0,7880000.0
2010-12-22,12500,12675,12149,12225,46835,192666.0,7880000.0
2010-12-23,12300,12300,12049,12100,25398,190696.0,7880000.0
2010-12-24,12075,12149,11800,11900,42644,187544.0,7880000.0
2010-12-27,11849,12075,11600,11975,35030,188726.0,7880000.0
2010-12-28,11875,12150,11850,12075,38020,190302.0,7880000.0
2010-12-29,12075,12175,11925,11975,13217,188726.0,7880000.0
2010-12-30,12000,12225,11950,12025,28246,189514.0,7880000.0
2011-01-03,12150,12150,11925,11925,37740,187938.0,7880000.0
2011-01-04,11899,12050,11750,11950,54444,188332.0,7880000.0
2011-01-05,11850,12425,11800,12400,64910,195424.0,7880000.0
2011-01-06,12475,12500,12200,12350,62734,194636.0,7880000.0
2011-01-07,12300,12300,12150,12250,30192,193060.0,7880000.0
2011-01-10,12225,12525,12100,12100,99120,190696.0,7880000.0
2011-01-11,12050,12175,11950,11975,41727,188726.0,7880000.0
2011-01-12,12025,12275,12025,12275,54830,193454.0,7880000.0
2011-01-13,12275,12675,12025,12025,195635,189514.0,7880000.0
2011-01-14,12150,12300,12025,12100,46248,190696.0,7880000.0
2011-01-17,12250,12250,11750,11800,53694,185968.0,7880000.0
2011-01-18,11700,12350,11649,11875,113970,187150.0,7880000.0
2011-01-19,12025,12175,11900,11975,47044,188726.0,7880000.0
2011-01-20,11850,12150,11700,11950,61311,188332.0,7880000.0
2011-01-21,12100,12100,11725,11800,32547,185968.0,7880000.0
2011-01-24,11799,11799,11450,11475,49808,180846.0,7880000.0
2011-01-25,11400,11750,11250,11600,30742,182816.0,7880000.0
2011-01-26,11600,11675,11375,11400,31380,179664.0,7880000.0
2011-01-27,11300,11550,11250,11400,53324,179664.0,7880000.0
2011-01-28,11575,11575,11375,11375,23670,179270.0,7880000.0
2011-01-31,11225,11300,10975,11250,44150,177300.0,7880000.0
2011-02-01,11025,11175,10200,10475,141897,165086.0,7880000.0
2011-02-07,10675,10675,10000,10475,48772,165086.0,7880000.0
2011-02-08,10350,10500,10225,10450,49169,181412.0,8680000.0
2011-02-09,10500,10500,10000,10150,48064,176204.0,8680000.0
2011-02-10,10075,10175,9525,9525,61053,165354.0,8680000.0
2011-02-11,9650,9950,9550,9750,40625,169260.0,8680000.0
2011-02-14,9675,10225,9675,9875,36045,171430.0,8680000.0
2011-02-15,9700,10000,9700,9850,14627,170996.0,8680000.0
2011-02-16,9725,10075,9725,10000,14951,173600.0,8680000.0
2011-02-17,9900,10050,9525,9525,36050,165354.0,8680000.0
2011-02-18,9550,10000,9450,10000,37371,173600.0,8680000.0
2011-02-21,9850,9975,9750,9875,14316,171430.0,8680000.0
2011-02-22,9850,9850,9375,9600,33146,166656.0,8680000.0
2011-02-23,9475,9825,8950,9775,89471,169694.0,8680000.0
2011-02-24,9700,10250,9350,9850,82723,170996.0,8680000.0
2011-02-25,9875,10075,9650,9825,12900,170562.0,8680000.0
2011-02-28,9800,9825,9400,9400,20889,163184.0,8680000.0
2011-03-02,9350,9625,9350,9500,40832,164920.0,8680000.0
