현대제철(004020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5433,5722,5351,5680,136720,165600.0,24000000.0
1999-01-05,5845,6084,5680,5836,286750,170160.0,24000000.0
1999-01-06,5837,5993,5804,5927,274980,172800.0,24000000.0
1999-01-07,6183,6816,6133,6816,766440,198720.0,24000000.0
1999-01-08,6668,7648,6586,7014,1040780,204480.0,24000000.0
1999-01-11,7409,8060,7261,8059,966800,234960.0,24000000.0
1999-01-12,8216,8932,8208,8644,1193230,252000.0,24000000.0
1999-01-13,8644,8644,8068,8067,603680,235200.0,24000000.0
1999-01-14,7821,7821,6874,6915,475750,201600.0,24000000.0
1999-01-15,6998,7492,6956,7409,393080,216000.0,24000000.0
1999-01-18,7738,7821,7286,7310,381370,213120.0,24000000.0
1999-01-19,7088,7228,6792,6997,226090,204000.0,24000000.0
1999-01-20,7162,7195,6602,6635,256270,193440.0,24000000.0
1999-01-21,6553,6635,5853,6174,188560,180000.0,24000000.0
1999-01-22,5927,6133,5598,5680,276930,165600.0,24000000.0
1999-01-25,5689,5845,5516,5598,192320,163200.0,24000000.0
1999-01-26,5689,5820,5269,5268,172360,153600.0,24000000.0
1999-01-27,5269,5680,5186,5606,184910,163440.0,24000000.0
1999-01-28,5598,5969,5598,5770,285550,168240.0,24000000.0
1999-01-29,5845,6051,5639,5705,225250,166320.0,24000000.0
1999-02-01,5927,6257,5927,6050,303440,176400.0,24000000.0
1999-02-02,6174,6174,5763,5886,177700,171600.0,24000000.0
1999-02-03,5969,5969,5722,5721,162720,166800.0,24000000.0
1999-02-04,5598,5680,5516,5556,110150,162000.0,24000000.0
1999-02-05,5722,5845,5557,5598,150060,163200.0,24000000.0
1999-02-08,5516,5722,5516,5598,104110,163200.0,24000000.0
1999-02-09,5516,5516,5104,5145,134650,150000.0,24000000.0
1999-02-10,5022,5228,4898,5145,174740,150000.0,24000000.0
1999-02-11,5178,5343,5145,5186,114450,151200.0,24000000.0
1999-02-12,5269,5425,5269,5351,308010,156000.0,24000000.0
1999-02-18,5269,5351,5022,5145,580910,150000.0,24000000.0
1999-02-19,5022,5104,4775,4783,341770,139440.0,24000000.0
1999-02-22,4783,4783,4528,4527,204080,132000.0,24000000.0
1999-02-23,4643,4692,4363,4519,404860,131760.0,24000000.0
1999-02-24,4528,4692,4437,4527,344700,132000.0,24000000.0
1999-02-25,4413,4446,4281,4280,190340,124800.0,24000000.0
1999-02-26,4363,4610,4363,4610,210890,134400.0,24000000.0
1999-03-02,4767,4841,4660,4774,344790,139200.0,24000000.0
1999-03-03,4849,4857,4536,4643,143560,135360.0,24000000.0
1999-03-04,4643,4692,4528,4577,161350,133440.0,24000000.0
1999-03-05,4692,4767,4544,4758,165820,138720.0,24000000.0
1999-03-08,4907,5145,4816,5145,777800,150000.0,24000000.0
1999-03-09,5145,5178,4874,4980,384920,145200.0,24000000.0
1999-03-10,4997,5022,4783,5013,156950,146160.0,24000000.0
1999-03-11,4898,5096,4898,5021,376950,146400.0,24000000.0
1999-03-12,5145,5335,5022,5268,662140,153600.0,24000000.0
1999-03-15,5516,5549,5318,5351,425500,156000.0,24000000.0
1999-03-16,5310,5351,5186,5268,198700,153600.0,24000000.0
1999-03-17,5351,5433,5228,5342,565610,155760.0,24000000.0
1999-03-18,5154,5368,4939,5309,352510,154800.0,24000000.0
1999-03-19,5186,5343,5121,5268,369160,153600.0,24000000.0
1999-03-22,5293,5392,5186,5186,384930,151200.0,24000000.0
1999-03-23,5104,5178,4997,5054,271400,147360.0,24000000.0
1999-03-24,5121,5252,5005,5227,421970,152400.0,24000000.0
1999-03-25,5186,5680,5121,5433,1430410,290400.0,44000000.0
1999-03-26,5491,5516,5310,5425,637040,289960.0,44000000.0
1999-03-29,5359,5680,5269,5589,1228580,298760.0,44000000.0
1999-03-30,5722,5837,5598,5680,988260,303600.0,44000000.0
1999-03-31,5689,5903,5598,5787,1317730,309320.0,44000000.0
1999-04-01,5845,6257,5804,6116,1442900,326920.0,44000000.0
1999-04-02,6158,6413,6051,6190,1251560,330880.0,44000000.0
1999-04-06,6215,6578,6174,6421,1593740,343200.0,44000000.0
1999-04-07,6578,6751,6051,6264,9529220,334840.0,44000000.0
1999-04-08,6174,6380,5944,6133,1663900,327800.0,44000000.0
1999-04-09,6174,6298,5985,6092,1560150,325600.0,44000000.0
1999-04-12,6092,6215,5927,5927,1359240,316800.0,44000000.0
1999-04-13,5862,6158,5812,5919,1181070,316360.0,44000000.0
1999-04-14,5919,6339,5919,6174,2601000,330000.0,44000000.0
1999-04-15,6257,6504,6183,6380,2747380,341000.0,44000000.0
1999-04-16,6421,6537,5524,6017,1958740,321640.0,44000000.0
1999-04-19,6092,6174,5969,6026,1440270,322080.0,44000000.0
1999-04-20,6923,6923,6586,6824,5092090,364760.0,44000000.0
1999-04-21,6841,7368,6751,7038,4136390,376200.0,44000000.0
1999-04-22,6998,8092,6627,8067,4445940,431200.0,44000000.0
1999-04-23,8224,8232,7080,7244,6785550,387200.0,44000000.0
1999-04-26,7154,7162,6586,6767,3658910,361680.0,44000000.0
1999-04-27,7006,7162,6751,7162,2374240,382800.0,44000000.0
1999-04-28,6677,7162,6677,6915,1822570,369600.0,44000000.0
1999-04-29,6998,7327,6833,6907,1566240,369160.0,44000000.0
1999-04-30,7080,7080,6709,6791,1205190,363000.0,44000000.0
1999-05-03,6923,6956,6668,6709,1303330,358600.0,44000000.0
1999-05-04,6718,6915,6594,6907,2145120,369160.0,44000000.0
1999-05-06,6915,7162,6792,6800,3252860,363440.0,44000000.0
