호전실업(111110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-02-02,24500,25200,23550,24250,1291848,194000.0,8000000.0
2017-02-03,24600,25300,23600,24950,500791,199600.0,8000000.0
2017-02-06,25300,25400,24150,24150,166409,193200.0,8000000.0
2017-02-07,24300,25300,23800,25200,251815,201600.0,8000000.0
2017-02-08,25000,25050,24350,24800,124241,198400.0,8000000.0
2017-02-09,24700,24800,23750,24100,191569,192800.0,8000000.0
2017-02-10,24150,24850,23800,24150,155765,193200.0,8000000.0
2017-02-13,24400,25150,24200,24800,221173,198400.0,8000000.0
2017-02-14,24900,25100,24200,24650,99365,197200.0,8000000.0
2017-02-15,24500,24800,24100,24750,87774,198000.0,8000000.0
2017-02-16,24850,25300,24650,25100,186040,200800.0,8000000.0
2017-02-17,24700,24950,24150,24600,115177,196800.0,8000000.0
2017-02-20,24750,24800,24450,24650,68655,197200.0,8000000.0
2017-02-21,24750,24950,24250,24700,70679,197600.0,8000000.0
2017-02-22,24500,24750,24400,24450,72801,195600.0,8000000.0
2017-02-23,24500,24550,22950,23450,165883,187600.0,8000000.0
2017-02-24,23150,23300,22300,22950,203645,183600.0,8000000.0
2017-02-27,23000,23450,22150,23000,128448,184000.0,8000000.0
2017-02-28,23000,24650,22700,24450,206547,195600.0,8000000.0
2017-03-02,24200,24550,23650,24000,82322,192000.0,8000000.0
2017-03-03,24000,24300,23400,24200,77608,193600.0,8000000.0
2017-03-06,24200,24200,23350,23650,50759,189200.0,8000000.0
2017-03-07,23650,23850,23400,23800,31351,190400.0,8000000.0
2017-03-08,23600,23850,23000,23050,56656,184400.0,8000000.0
2017-03-09,23100,23250,22800,23050,23026,184400.0,8000000.0
2017-03-10,23050,23250,22350,22700,44046,181600.0,8000000.0
2017-03-13,22600,23850,22400,23800,88726,190400.0,8000000.0
2017-03-14,23900,23900,22900,23150,32472,185200.0,8000000.0
2017-03-15,23250,23300,22550,22700,26677,181600.0,8000000.0
2017-03-16,22900,23250,22600,22750,11772,182000.0,8000000.0
2017-03-17,22700,22950,22100,22400,62730,179200.0,8000000.0
2017-03-20,22400,22450,21500,21800,60611,174400.0,8000000.0
2017-03-21,21850,22850,21850,22150,62660,177200.0,8000000.0
2017-03-22,22150,23100,21950,22900,56443,183200.0,8000000.0
2017-03-23,22900,23000,22350,22450,22553,179600.0,8000000.0
2017-03-24,22700,22800,21800,22050,42159,176400.0,8000000.0
2017-03-27,22050,22550,21750,21800,27544,174400.0,8000000.0
2017-03-28,21950,22250,21100,21200,57644,169600.0,8000000.0
2017-03-29,21350,21450,20750,21300,59136,170400.0,8000000.0
2017-03-30,21400,21950,20900,21700,35782,173600.0,8000000.0
2017-03-31,22000,22000,21150,21600,34015,172800.0,8000000.0
2017-04-03,21750,21750,21350,21750,6081,174000.0,8000000.0
2017-04-04,21750,21750,21250,21500,18721,172000.0,8000000.0
2017-04-05,21500,21700,21150,21500,28067,172000.0,8000000.0
2017-04-06,21600,22350,21200,22150,36919,177200.0,8000000.0
2017-04-07,22100,22900,21850,22900,47833,183200.0,8000000.0
2017-04-10,22900,22900,21700,22000,22674,176000.0,8000000.0
2017-04-11,21700,22250,21600,22000,20775,176000.0,8000000.0
2017-04-12,22150,22150,21450,21900,8486,175200.0,8000000.0
2017-04-13,22000,23450,21650,23200,93204,185600.0,8000000.0
2017-04-14,23100,23300,22350,22800,24567,182400.0,8000000.0
2017-04-17,23100,23300,22550,23100,27354,184800.0,8000000.0
2017-04-18,23250,23400,23000,23400,22420,187200.0,8000000.0
2017-04-19,23150,23500,22950,23200,21332,185600.0,8000000.0
2017-04-20,23000,23500,23000,23400,23214,187200.0,8000000.0
2017-04-21,23400,23550,23000,23500,33180,188000.0,8000000.0
2017-04-24,23600,23600,22200,23100,43555,184800.0,8000000.0
2017-04-25,23050,23050,22400,22500,32568,180000.0,8000000.0
2017-04-26,22600,22800,22350,22750,24144,182000.0,8000000.0
2017-04-27,22500,22650,22200,22450,23100,179600.0,8000000.0
2017-04-28,22450,22550,21700,22000,32601,176000.0,8000000.0
2017-05-02,22000,22050,21550,21800,12298,174400.0,8000000.0
2017-05-04,21800,22950,21300,22900,52258,183200.0,8000000.0
2017-05-08,22700,23000,22100,22300,12325,178400.0,8000000.0
2017-05-10,22300,22700,21600,21800,53375,174400.0,8000000.0
2017-05-11,21800,21900,21500,21800,26107,174400.0,8000000.0
2017-05-12,21800,21950,21100,21350,35104,170800.0,8000000.0
2017-05-15,21100,21500,20200,20450,80829,163600.0,8000000.0
2017-05-16,20700,20800,19850,20000,38250,160000.0,8000000.0
