AK홀딩스(006840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-08-11,20349,23166,20349,20349,444090,195000.0,6000000.0
1999-08-12,20286,20348,17312,17312,271400,165900.0,6000000.0
1999-08-13,17155,18219,15402,16905,237290,162000.0,6000000.0
1999-08-16,15965,17499,15965,15966,88610,153000.0,6000000.0
1999-08-17,16028,16404,14087,14088,74700,135000.0,6000000.0
1999-08-18,13523,14712,13210,14088,88940,135000.0,6000000.0
1999-08-19,14211,16185,14211,16185,96620,155100.0,6000000.0
1999-08-20,15652,17530,15025,16905,127800,162000.0,6000000.0
1999-08-23,17154,17154,16340,16780,42220,160800.0,6000000.0
1999-08-24,16592,16717,15715,16467,58300,157800.0,6000000.0
1999-08-25,15840,16466,15652,15966,70580,153000.0,6000000.0
1999-08-26,16028,16278,15151,15653,49610,150000.0,6000000.0
1999-08-27,16904,17906,16090,17093,177090,163800.0,6000000.0
1999-08-30,16529,16904,16279,16279,39390,156000.0,6000000.0
1999-08-31,16592,17029,16341,16905,55970,162000.0,6000000.0
1999-09-01,16716,17843,16466,17719,154120,169800.0,6000000.0
1999-09-02,17217,18156,16592,17656,76650,169200.0,6000000.0
1999-09-03,17342,18281,17342,17845,92500,171000.0,6000000.0
1999-09-06,17969,18093,17154,17406,40940,166800.0,6000000.0
1999-09-07,17467,17843,17154,17469,44960,167400.0,6000000.0
1999-09-08,17531,17781,17218,17531,40250,168000.0,6000000.0
1999-09-09,17656,17843,16967,17782,32990,170400.0,6000000.0
1999-09-10,17843,18657,17780,18158,102790,174000.0,6000000.0
1999-09-13,18594,19095,17656,18784,112900,180000.0,6000000.0
1999-09-14,18845,19095,18469,18784,40780,180000.0,6000000.0
1999-09-15,18844,18970,18156,18158,44620,174000.0,6000000.0
1999-09-16,18219,18907,17593,18158,40790,174000.0,6000000.0
1999-09-17,18219,18469,17655,17845,27190,171000.0,6000000.0
1999-09-20,17906,18282,17843,17970,19140,172200.0,6000000.0
1999-09-21,18031,18970,17937,18784,58020,180000.0,6000000.0
1999-09-22,18782,18939,18219,18753,52630,179700.0,6000000.0
1999-09-27,18657,18657,17843,18471,36120,177000.0,6000000.0
1999-09-28,18532,18532,17718,18158,40050,174000.0,6000000.0
1999-09-29,18219,18219,17405,17406,14880,166800.0,6000000.0
1999-09-30,17467,17656,17060,17406,25460,166800.0,6000000.0
1999-10-01,17467,17467,16403,17406,19210,166800.0,6000000.0
1999-10-04,15965,17718,15965,17656,21310,169200.0,6000000.0
1999-10-05,17718,17843,17280,17406,24370,166800.0,6000000.0
1999-10-06,16279,17656,16279,17656,15940,169200.0,6000000.0
1999-10-07,16998,18094,16998,17531,10670,168000.0,6000000.0
1999-10-08,17656,17781,16905,17531,27250,168000.0,6000000.0
1999-10-11,17530,18751,17530,18096,55110,173400.0,6000000.0
1999-10-12,17780,18563,17780,18471,50660,177000.0,6000000.0
1999-10-13,17969,18438,17530,18440,14060,176700.0,6000000.0
1999-10-14,18500,18688,17906,18502,24150,177300.0,6000000.0
1999-10-15,18093,18469,18093,18409,6570,176400.0,6000000.0
1999-10-18,18156,18344,17781,18346,10680,175800.0,6000000.0
1999-10-19,17812,18156,17812,17845,2870,171000.0,6000000.0
1999-10-20,17593,17843,17593,17813,4820,170700.0,6000000.0
1999-10-21,17530,17624,17436,17437,6320,167100.0,6000000.0
1999-10-22,17217,17436,17092,17093,9160,163800.0,6000000.0
1999-10-25,17092,17123,16592,16592,8750,159000.0,6000000.0
1999-10-26,16592,16905,16279,16905,3370,162000.0,6000000.0
1999-10-27,16842,16905,16716,16905,3550,162000.0,6000000.0
1999-10-28,16905,17342,16905,16936,2700,162300.0,6000000.0
1999-10-29,17217,17718,17029,17093,6370,163800.0,6000000.0
1999-11-01,17218,18219,17186,18221,9790,174600.0,6000000.0
1999-11-02,18219,18251,17342,18221,38990,174600.0,6000000.0
1999-11-03,18219,18720,17938,18596,49370,178200.0,6000000.0
1999-11-04,18469,21287,18219,19348,101460,185400.0,6000000.0
1999-11-05,20348,20504,19471,19473,46910,186600.0,6000000.0
1999-11-08,19909,20662,19909,20349,56840,195000.0,6000000.0
1999-11-09,20159,20912,20035,20662,41310,198000.0,6000000.0
1999-11-10,20849,21225,20349,20662,51980,198000.0,6000000.0
1999-11-11,20661,22226,20661,21914,118400,210000.0,6000000.0
1999-11-12,21600,22226,21600,21789,72230,208800.0,6000000.0
1999-11-15,25043,25043,22070,24357,91020,233400.0,6000000.0
1999-11-16,24354,25231,23979,25045,64580,240000.0,6000000.0
1999-11-17,25043,27486,24480,26360,115320,252600.0,6000000.0
1999-11-18,26297,27235,25670,26360,105330,252600.0,6000000.0
1999-11-19,26484,26923,25545,26297,54920,252000.0,6000000.0
1999-11-22,26108,26610,25357,25609,43390,245400.0,6000000.0
1999-11-23,25106,25670,23478,24732,56300,237000.0,6000000.0
1999-11-24,23791,24730,23791,24419,41690,234000.0,6000000.0
1999-11-25,23792,24355,22539,23105,42740,221400.0,6000000.0
1999-11-26,22853,23792,21976,23167,73690,222000.0,6000000.0
1999-11-29,22602,23979,22602,23793,30230,228000.0,6000000.0
1999-11-30,24104,24793,23791,24732,47220,237000.0,6000000.0
1999-12-01,23166,24919,23166,23793,27870,228000.0,6000000.0
1999-12-02,23792,24418,22883,23793,64450,228000.0,6000000.0
1999-12-03,23541,25670,22977,25671,28090,246000.0,6000000.0
1999-12-06,25357,25357,23166,24106,125180,231000.0,6000000.0
1999-12-07,23479,24730,23322,23543,27030,225600.0,6000000.0
1999-12-08,23103,23791,22289,23230,24160,222600.0,6000000.0
1999-12-09,23040,24918,22539,24732,135730,237000.0,6000000.0
1999-12-10,24730,25106,24104,24231,34570,232200.0,6000000.0
1999-12-13,23541,23791,22727,22853,33360,219000.0,6000000.0
1999-12-14,22539,23353,22226,22478,65960,215400.0,6000000.0
1999-12-15,21913,22539,21162,21726,28450,208200.0,6000000.0
1999-12-16,20975,22226,20787,20975,8520,201000.0,6000000.0
1999-12-17,20661,21850,20661,21601,18280,207000.0,6000000.0
1999-12-20,21600,23040,21381,21852,9000,209400.0,6000000.0
