계룡건설산업(013580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6700,7483,6700,7482,127540,54400.0,6860000.0
1999-01-05,7766,8398,7737,8162,298990,59339.0,6860000.0
1999-01-06,8823,8870,8256,8313,236680,60437.0,6860000.0
1999-01-07,8964,9530,8587,8681,237150,63112.0,6860000.0
1999-01-08,8304,8917,8304,8633,155640,62769.0,6860000.0
1999-01-11,8681,8964,8398,8869,163070,64484.0,6860000.0
1999-01-12,8870,9059,8304,8492,107960,61740.0,6860000.0
1999-01-13,8304,8492,8115,8209,89610,59682.0,6860000.0
1999-01-14,7926,7926,7124,7265,78200,52822.0,6860000.0
1999-01-15,7549,8096,7171,8020,96150,58310.0,6860000.0
1999-01-18,8021,8304,7737,7879,96730,57281.0,6860000.0
1999-01-19,7870,8870,7492,7879,176390,57281.0,6860000.0
1999-01-20,8398,8398,7454,7454,76460,54194.0,6860000.0
1999-01-21,7643,7643,6558,6699,98080,48706.0,6860000.0
1999-01-22,6511,6888,6133,6699,78910,48706.0,6860000.0
1999-01-25,6435,6841,6435,6463,54990,46991.0,6860000.0
1999-01-26,6464,6973,5954,5954,82080,43287.0,6860000.0
1999-01-27,6133,6133,5662,5991,102870,43561.0,6860000.0
1999-01-28,6039,6313,5850,5944,93160,43218.0,6860000.0
1999-01-29,6228,6464,5954,6133,101650,44590.0,6860000.0
1999-02-01,6454,6577,6133,6576,94530,47814.0,6860000.0
1999-02-02,6615,6794,6379,6557,66530,47677.0,6860000.0
1999-02-03,6558,7077,6511,6888,126460,50078.0,6860000.0
1999-02-04,7077,7077,6416,6520,37300,47403.0,6860000.0
1999-02-05,6605,6605,6284,6416,35910,46648.0,6860000.0
1999-02-08,6039,6511,6039,6227,35610,45276.0,6860000.0
1999-02-09,6039,6039,5662,5944,38650,43218.0,6860000.0
1999-02-10,6086,6832,5850,6690,100080,48637.0,6860000.0
1999-02-11,6416,6983,6416,6510,105680,47334.0,6860000.0
1999-02-12,6605,6747,6511,6652,54300,48363.0,6860000.0
1999-02-18,6888,6983,6416,6416,40730,46648.0,6860000.0
1999-02-19,6181,6520,6039,6520,71570,47403.0,6860000.0
1999-02-22,6426,6784,6124,6322,49110,45962.0,6860000.0
1999-02-23,6322,6426,6048,6133,26670,44590.0,6860000.0
1999-02-24,6133,6388,5954,6039,40350,43904.0,6860000.0
1999-02-25,5954,6181,5945,5944,36110,43218.0,6860000.0
1999-02-26,5860,6275,5860,6256,20250,45482.0,6860000.0
1999-03-02,6322,6586,6322,6435,25620,46785.0,6860000.0
1999-03-03,6464,6511,6143,6322,24410,45962.0,6860000.0
1999-03-04,6700,6888,6143,6652,88150,48363.0,6860000.0
1999-03-05,6596,6794,6322,6784,87710,49323.0,6860000.0
1999-03-08,6888,7794,6888,7794,278030,56664.0,6860000.0
1999-03-09,7832,8304,7549,7737,240300,56252.0,6860000.0
1999-03-10,8021,8021,7549,7822,140590,56869.0,6860000.0
1999-03-11,7936,8304,7756,8067,232180,58653.0,6860000.0
1999-03-12,8068,8162,7747,7954,125200,57830.0,6860000.0
1999-03-15,8304,8304,7737,7926,147930,57624.0,6860000.0
1999-03-16,7917,8068,7653,7926,67240,57624.0,6860000.0
1999-03-17,8049,8304,7832,7926,169410,57624.0,6860000.0
1999-03-18,7804,7926,7171,7171,70330,52136.0,6860000.0
1999-03-19,7275,7502,7200,7360,42030,53508.0,6860000.0
1999-03-22,7360,7530,7171,7360,42630,53508.0,6860000.0
1999-03-23,7360,7832,7360,7643,42990,55566.0,6860000.0
1999-03-24,7737,7832,7379,7822,74640,56869.0,6860000.0
1999-03-25,7747,7926,7587,7652,55060,55635.0,6860000.0
1999-03-26,8021,8021,7596,7595,38050,55223.0,6860000.0
1999-03-29,7502,7643,7454,7501,35980,54537.0,6860000.0
1999-03-30,7737,7785,7596,7595,66130,55223.0,6860000.0
1999-03-31,7737,7785,7454,7548,64410,54880.0,6860000.0
1999-04-01,7096,7737,7096,7595,57930,55223.0,6860000.0
1999-04-02,7653,7737,7407,7737,70900,56252.0,6860000.0
1999-04-06,8021,8492,8021,8492,301560,61740.0,6860000.0
1999-04-07,8587,8634,8209,8209,178850,59682.0,6860000.0
1999-04-08,8162,8398,7926,8114,81330,58996.0,6860000.0
1999-04-09,8492,8587,8256,8303,161120,60368.0,6860000.0
1999-04-12,8304,8483,7945,8114,164300,58996.0,6860000.0
1999-04-13,8021,8492,7832,8105,258620,58927.0,6860000.0
1999-04-14,8209,8379,7926,7926,100700,57624.0,6860000.0
1999-04-15,8021,8870,8021,8869,404830,64484.0,6860000.0
1999-04-16,9059,9577,8870,8964,423960,65170.0,6860000.0
1999-04-19,8964,9247,8964,9058,323800,65856.0,6860000.0
1999-04-20,9059,9106,8681,8822,121870,64141.0,6860000.0
1999-04-21,8823,9059,8492,8492,191790,61740.0,6860000.0
1999-04-22,8304,8492,8115,8473,98120,61603.0,6860000.0
1999-04-23,8398,8587,8304,8350,129580,60711.0,6860000.0
1999-04-26,8021,8889,8021,8633,214590,62769.0,6860000.0
1999-04-27,8634,8681,8304,8492,386660,61740.0,6860000.0
1999-04-28,8313,8634,8209,8492,201130,61740.0,6860000.0
1999-04-29,8681,8945,8492,8492,225720,61740.0,6860000.0
1999-04-30,8634,9059,8634,9058,276720,65856.0,6860000.0
1999-05-03,10380,10380,9766,10379,636040,75460.0,6860000.0
1999-05-04,10757,11040,10096,10096,472720,73402.0,6860000.0
1999-05-06,10851,11323,10615,11323,537460,82320.0,6860000.0
1999-05-07,11606,11795,10851,11040,410910,80262.0,6860000.0
1999-05-10,11040,11229,10663,10804,318710,78547.0,6860000.0
1999-05-11,10851,10993,9672,9907,361590,72030.0,6860000.0
1999-05-12,9955,10191,9483,9766,169530,71001.0,6860000.0
1999-05-13,9813,10144,9360,9435,138180,68600.0,6860000.0
1999-05-14,9417,9530,8587,8964,151040,65170.0,6860000.0
1999-05-17,8955,9342,8540,9341,131090,67914.0,6860000.0
1999-05-18,9059,9153,8870,9152,100740,66542.0,6860000.0
1999-05-19,9153,9247,8775,8869,159250,64484.0,6860000.0
1999-05-20,8870,8870,8030,8030,229920,58379.0,6860000.0
1999-05-21,7400,8410,7400,7700,92060,52822.0,6860000.0
1999-05-24,7400,7600,7200,7300,61560,50078.0,6860000.0
1999-05-25,7020,7600,7000,7100,84150,48706.0,6860000.0
1999-05-26,7400,8160,7200,8160,196400,55978.0,6860000.0
1999-05-27,9300,9300,8700,8860,261990,60780.0,6860000.0
1999-05-28,8870,9490,8800,9250,248350,63455.0,6860000.0
1999-05-31,9410,9700,9000,9100,124460,62426.0,6860000.0
1999-06-01,9300,9400,9000,9200,105260,63112.0,6860000.0
