에이리츠(140910),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-07-14,7080,7080,7080,7082,3960,13490.0,2134550.0
2011-07-15,8134,8134,8134,8136,6070,15497.0,2134550.0
2011-07-18,9345,9345,9345,9346,359,17802.0,2134550.0
2011-07-19,10747,10747,10747,10747,1139,20470.0,2134550.0
2011-07-20,12325,12325,12325,12327,148070,23480.0,2134550.0
2011-07-21,12606,14175,12101,14177,1612381,27002.0,2134550.0
2011-07-22,14175,15408,13054,14401,1064273,27429.0,2134550.0
2011-07-25,13783,14007,12269,13560,601991,25828.0,2134550.0
2011-07-26,13559,14848,11933,13336,638207,25401.0,2134550.0
2011-07-27,13335,13783,12381,12607,344054,24014.0,2134550.0
2011-07-28,12549,12829,11597,12383,258556,23587.0,2134550.0
2011-07-29,12773,14230,11541,11543,818040,21986.0,2134550.0
2011-08-01,11597,12325,11484,12160,195075,23160.0,2134550.0
2011-08-02,12493,12493,11541,11991,85350,22840.0,2134550.0
2011-08-03,11933,12269,11260,12215,127364,23267.0,2134550.0
2011-08-04,12325,12773,11428,11487,85315,21879.0,2134550.0
2011-08-05,10375,11317,10196,11195,92514,21324.0,2134550.0
2011-08-08,11205,12830,11205,12831,346582,24441.0,2134550.0
2011-08-09,12829,13446,10924,10927,431166,20812.0,2134550.0
2011-08-10,10936,11709,10308,10310,268129,19638.0,2134550.0
2011-08-11,10006,10006,8965,9638,142726,18357.0,2134550.0
2011-08-12,10085,10477,9300,9301,114849,17717.0,2134550.0
2011-08-16,9557,9860,9299,9862,76133,18784.0,2134550.0
2011-08-17,9693,9984,9570,9638,101777,18357.0,2134550.0
2011-08-18,9748,9861,8739,8898,100724,16948.0,2134550.0
2011-08-19,8493,8684,8079,8292,75994,15796.0,2134550.0
2011-08-22,8303,8460,7956,8181,61305,15582.0,2134550.0
2011-08-23,8258,8560,8022,8292,47640,15796.0,2134550.0
2011-08-24,8404,9290,8167,8730,84720,16628.0,2134550.0
2011-08-25,8684,8908,8292,8315,35699,15838.0,2134550.0
2011-08-26,8336,8616,8269,8405,24170,16009.0,2134550.0
2011-08-29,8628,8628,8292,8292,28051,15796.0,2134550.0
2011-08-30,8325,8561,8068,8158,40470,15540.0,2134550.0
2011-08-31,8167,8381,8034,8181,21133,15582.0,2134550.0
2011-09-01,8179,8347,8078,8170,23079,15561.0,2134550.0
2011-09-02,8112,8236,8034,8181,12721,15582.0,2134550.0
2011-09-05,8123,8123,7910,7967,15335,15177.0,2134550.0
2011-09-06,7843,7854,7406,7453,28990,14195.0,2134550.0
2011-09-07,7395,7731,7395,7497,6619,14280.0,2134550.0
2011-09-08,7732,7732,7305,7508,9736,14301.0,2134550.0
2011-09-09,7238,7787,7238,7732,11160,14728.0,2134550.0
2011-09-14,7732,7933,7508,7710,13446,14686.0,2134550.0
2011-09-15,7888,7900,7340,7732,4430,14728.0,2134550.0
2011-09-16,8011,8011,7597,7732,5240,14728.0,2134550.0
2011-09-19,7619,7731,7417,7531,4165,14344.0,2134550.0
2011-09-20,7496,7732,7238,7621,15699,14515.0,2134550.0
2011-09-21,7619,7619,7396,7598,6780,14472.0,2134550.0
2011-09-22,7597,7619,7283,7284,7050,13875.0,2134550.0
2011-09-23,6779,7025,6498,6724,26610,12807.0,2134550.0
2011-09-26,6611,7227,5725,5738,39850,10929.0,2134550.0
2011-09-27,5825,6140,5825,5962,11660,11356.0,2134550.0
2011-09-28,5916,6196,5916,5973,13651,11377.0,2134550.0
2011-09-29,5972,6420,5972,6410,8805,12210.0,2134550.0
2011-09-30,6385,6611,6095,6478,4190,12338.0,2134550.0
2011-10-04,6397,6397,5937,5940,14798,11313.0,2134550.0
2011-10-05,5848,6252,5713,5996,8980,11420.0,2134550.0
2011-10-06,5993,6273,5993,6186,3521,11783.0,2134550.0
2011-10-07,6397,7103,6005,7105,38425,13533.0,2134550.0
2011-10-10,7171,8068,7171,7621,66045,14515.0,2134550.0
2011-10-11,8045,8045,6846,7374,37836,14045.0,2134550.0
2011-10-12,7732,7732,6823,6948,26181,13234.0,2134550.0
2011-10-13,6948,7115,6744,7060,15742,13448.0,2134550.0
2011-10-14,6913,7327,6835,7116,7369,13554.0,2134550.0
2011-10-17,7115,7227,6286,7004,19192,13341.0,2134550.0
2011-10-18,6835,8045,6789,7721,90855,14707.0,2134550.0
2011-10-19,7630,8292,7316,7531,78781,14344.0,2134550.0
2011-10-20,7485,8269,6768,7262,57182,13832.0,2134550.0
2011-10-21,7485,7676,7070,7621,18876,14515.0,2134550.0
2011-10-24,7911,8079,7630,7900,38713,15049.0,2134550.0
2011-10-25,8157,8157,7597,7845,14849,14942.0,2134550.0
2011-10-26,7732,7877,7473,7621,6042,14515.0,2134550.0
2011-10-27,7832,7832,7395,7621,14779,14515.0,2134550.0
2011-10-28,7832,7832,7451,7621,12628,14515.0,2134550.0
2011-10-31,7686,7686,7395,7453,5920,14195.0,2134550.0
2011-11-01,7317,7563,7317,7508,7290,14301.0,2134550.0
2011-11-02,7249,7809,7238,7621,8680,14515.0,2134550.0
2011-11-03,7809,7809,7451,7621,5200,14515.0,2134550.0
2011-11-04,7663,7943,7495,7497,10778,14280.0,2134550.0
2011-11-07,7396,7598,7373,7542,2550,14366.0,2134550.0
2011-11-08,7619,7619,7395,7508,8450,14301.0,2134550.0
2011-11-09,7731,7731,7383,7407,1820,14109.0,2134550.0
2011-11-10,7383,7395,6857,7340,5250,13981.0,2134550.0
2011-11-11,7171,7676,6948,7396,10032,14088.0,2134550.0
2011-11-14,7619,7843,7395,7755,9940,14771.0,2134550.0
2011-11-15,7720,7788,7473,7598,2330,14472.0,2134550.0
2011-11-16,7395,7719,7395,7721,5210,14707.0,2134550.0
2011-11-17,7685,8089,7416,7632,6500,14536.0,2134550.0
2011-11-18,7395,7619,7395,7621,7870,14515.0,2134550.0
2011-11-21,7619,7955,7472,7688,17482,14643.0,2134550.0
2011-11-22,7473,8045,7473,7990,14383,15219.0,2134550.0
2011-11-23,7989,9142,7989,8831,50807,16820.0,2134550.0
2011-11-24,9435,9435,8202,8517,16682,16223.0,2134550.0
2011-11-25,8516,8616,7799,7990,13108,15219.0,2134550.0
2011-11-28,7990,8203,7620,7990,15612,15219.0,2134550.0
2011-11-29,7990,8079,7720,7822,8320,14899.0,2134550.0
2011-11-30,7663,7887,7653,7833,6890,14921.0,2134550.0
2011-12-01,8055,8055,7719,7744,2390,14750.0,2134550.0
2011-12-02,7821,7821,7529,7621,6649,14515.0,2134550.0
2011-12-05,7619,7754,7564,7598,10600,14472.0,2134550.0
2011-12-06,7508,7843,7508,7642,29090,14558.0,2134550.0
2011-12-07,7663,7843,7607,7778,5030,14814.0,2134550.0
2011-12-08,7832,7955,7585,7946,13433,15134.0,2134550.0
2011-12-09,7653,7888,7619,7621,4691,14515.0,2134550.0
2011-12-12,7641,7686,7395,7621,5671,14515.0,2134550.0
2011-12-13,7619,7653,7429,7609,5500,14494.0,2134550.0
2011-12-14,7607,7743,7395,7564,4950,14408.0,2134550.0
2011-12-15,7439,7574,7372,7497,4440,14280.0,2134550.0
2011-12-16,7395,7507,7237,7239,4284,13789.0,2134550.0
2011-12-19,6800,7093,6465,6724,21250,12807.0,2134550.0
2011-12-20,6722,6890,6666,6713,17610,12786.0,2134550.0
2011-12-21,7025,7059,6689,6724,11575,12807.0,2134550.0
2011-12-22,6723,6980,6667,6948,6460,13234.0,2134550.0
2011-12-23,7081,7081,6701,6701,18890,12765.0,2134550.0
2011-12-26,6745,7081,6701,6814,11330,12978.0,2134550.0
2011-12-27,6980,6980,6554,6556,14070,12487.0,2134550.0
2011-12-28,6949,6949,6615,6913,1770,12380.0,2134550.0
2011-12-29,7091,7091,6686,7057,1060,12637.0,2134550.0
2012-01-02,7032,7210,6853,7128,720,12765.0,2134550.0
2012-01-03,7008,7139,6698,7140,13010,12786.0,2134550.0
2012-01-04,6888,7043,6865,7033,2089,12594.0,2134550.0
2012-01-05,7198,7198,6912,7128,2071,12765.0,2134550.0
2012-01-06,7055,7091,6972,7021,2590,12572.0,2134550.0
2012-01-09,7032,7127,6912,6985,9930,12508.0,2134550.0
2012-01-10,6972,7043,6912,6996,4902,12530.0,2134550.0
2012-01-11,6912,7127,6912,6985,3679,12508.0,2134550.0
2012-01-12,7246,7246,6829,6830,7880,12231.0,2134550.0
2012-01-13,7008,7127,6674,6854,3170,12274.0,2134550.0
2012-01-16,6996,7163,6770,7045,3153,12615.0,2134550.0
2012-01-17,7151,7234,6853,6949,3150,12444.0,2134550.0
2012-01-18,6793,6853,6638,6747,9520,12082.0,2134550.0
2012-01-19,6758,6888,6591,6747,5458,12082.0,2134550.0
2012-01-20,6674,6876,6638,6758,4622,12103.0,2134550.0
2012-01-25,6758,7008,6340,6508,8802,11655.0,2134550.0
2012-01-26,6531,6603,6197,6532,14770,11697.0,2134550.0
2012-01-27,6554,7509,6554,7509,39549,13448.0,2134550.0
2012-01-30,7627,8403,6949,8212,194200,14707.0,2134550.0
2012-01-31,6996,7914,6984,6985,113701,12508.0,2134550.0
2012-02-01,7032,7032,6436,6448,49179,11548.0,2134550.0
2012-02-02,6364,6603,6257,6269,23313,11228.0,2134550.0
2012-02-03,6233,6436,6233,6293,29441,11270.0,2134550.0
2012-02-06,6161,6436,5971,6175,19298,11057.0,2134550.0
2012-02-07,6173,6173,6078,6175,26998,11057.0,2134550.0
2012-02-08,6233,6364,6078,6151,5777,11014.0,2134550.0
2012-02-09,6197,6436,6173,6342,8404,11356.0,2134550.0
2012-02-10,6340,6376,6078,6210,15610,11121.0,2134550.0
2012-02-13,6257,6554,6078,6401,29636,11463.0,2134550.0
2012-02-14,6460,6460,6222,6389,5578,11441.0,2134550.0
2012-02-15,6471,6471,6257,6389,5870,11441.0,2134550.0
2012-02-16,6209,6460,6209,6306,3714,11292.0,2134550.0
2012-02-17,6424,6424,6197,6269,4257,11228.0,2134550.0
2012-02-20,6316,6316,6090,6210,8445,11121.0,2134550.0
2012-02-21,6257,6900,6257,6413,30226,11484.0,2134550.0
2012-02-22,6281,6412,6209,6281,11742,19123.0,3628735.0
2012-02-23,6376,6376,6197,6318,15404,19232.0,3628735.0
2012-02-24,6412,6412,6209,6293,3071,19160.0,3628735.0
2012-02-27,6316,6436,6197,6281,14132,19123.0,3628735.0
2012-02-28,6197,6412,6138,6198,3180,18869.0,3628735.0
2012-02-29,6185,6352,6138,6186,1606,18833.0,3628735.0
2012-03-02,6376,6376,6149,6246,5920,19015.0,3628735.0
2012-03-05,6161,6483,6138,6163,7370,18761.0,3628735.0
2012-03-06,6281,6293,6078,6079,2342,18507.0,3628735.0
2012-03-07,6030,6138,5971,6043,1930,18398.0,3628735.0
2012-03-08,6078,6245,6055,6246,3580,19015.0,3628735.0
2012-03-09,6245,6364,6138,6246,5250,19015.0,3628735.0
2012-03-12,6281,6293,6066,6151,5280,18724.0,3628735.0
2012-03-13,6055,6149,6018,6139,4350,18688.0,3628735.0
2012-03-14,6340,6340,6114,6163,2470,18761.0,3628735.0
2012-03-15,6161,6161,5911,6127,7893,18652.0,3628735.0
2012-03-16,6006,6126,5911,6043,7852,18398.0,3628735.0
2012-03-19,6043,6078,5923,6008,2534,18289.0,3628735.0
2012-03-20,5929,5982,5923,5930,3397,18053.0,3628735.0
2012-03-21,5851,5959,5363,5888,7955,17926.0,3628735.0
2012-03-22,6006,6006,5721,5757,5793,17527.0,3628735.0
2012-03-23,6138,6138,5721,5835,4625,17763.0,3628735.0
2012-03-26,6114,6114,5810,5918,5285,18017.0,3628735.0
2012-03-27,5739,5959,5691,5960,7530,18144.0,3628735.0
2012-03-28,5768,5959,5678,5888,8730,17926.0,3628735.0
2012-03-29,5601,5870,5601,5864,4238,17853.0,3628735.0
2012-03-30,5864,5959,5411,5960,33730,18144.0,3628735.0
2012-04-02,6055,6055,5994,5996,60,18253.0,3628735.0
2012-04-03,6030,6043,5768,5960,3064,18144.0,3628735.0
2012-04-04,5959,6018,5660,5948,3480,18107.0,3628735.0
2012-04-05,5721,5947,5721,5930,270,18053.0,3628735.0
2012-04-06,5953,5953,5923,5924,40,18035.0,3628735.0
2012-04-09,5935,5935,5399,5399,1500,16438.0,3628735.0
2012-04-10,5851,5935,5399,5829,1985,17745.0,3628735.0
2012-04-12,5827,5900,5827,5900,60,17962.0,3628735.0
2012-04-13,5577,5947,5577,5948,840,18107.0,3628735.0
2012-04-16,5959,5959,5482,5936,3859,18071.0,3628735.0
2012-04-17,5982,5982,5660,5936,2730,18071.0,3628735.0
2012-04-18,5953,5953,5631,5721,3080,17418.0,3628735.0
2012-04-19,5833,5953,5637,5924,780,18035.0,3628735.0
2012-04-20,5780,5947,5601,5924,950,18035.0,3628735.0
2012-04-23,5637,5935,5637,5936,30,18071.0,3628735.0
2012-04-24,5660,5929,5637,5930,1523,18053.0,3628735.0
2012-04-25,5691,5911,5601,5853,2883,17817.0,3628735.0
2012-04-26,5601,5851,5601,5841,2940,17781.0,3628735.0
2012-04-27,5804,5804,5721,5793,81,17636.0,3628735.0
2012-04-30,5548,5804,5422,5805,3740,17672.0,3628735.0
2012-05-02,5554,5780,5554,5781,351,17599.0,3628735.0
2012-05-03,5666,5821,5637,5811,2010,17690.0,3628735.0
2012-05-04,5733,5816,5715,5781,1081,17599.0,3628735.0
2012-05-07,5572,5750,5572,5709,401,17382.0,3628735.0
2012-05-08,5691,5798,5601,5715,440,17400.0,3628735.0
2012-05-09,5715,5744,5494,5495,1350,16728.0,3628735.0
2012-05-10,5655,5655,5494,5626,391,17128.0,3628735.0
2012-05-11,5851,5851,5488,5566,1770,16946.0,3628735.0
2012-05-14,5566,5583,5428,5584,875,17001.0,3628735.0
2012-05-15,5542,5577,5482,5578,1170,16982.0,3628735.0
2012-05-16,5387,5536,5244,5287,991,16093.0,3628735.0
2012-05-17,5291,5482,5184,5483,2730,16692.0,3628735.0
2012-05-18,5267,5577,5250,5525,1220,16819.0,3628735.0
2012-05-21,5238,5721,5238,5566,730,16946.0,3628735.0
2012-05-22,5762,5762,5482,5656,662,17218.0,3628735.0
2012-05-23,5721,5727,5387,5662,2640,17236.0,3628735.0
2012-05-24,5649,5685,5601,5662,690,17236.0,3628735.0
2012-05-25,5482,5655,5482,5650,320,17200.0,3628735.0
2012-05-29,5428,5625,5428,5590,794,17019.0,3628735.0
2012-05-30,5416,5601,5416,5584,450,17001.0,3628735.0
2012-05-31,5482,5482,5482,5483,20,16692.0,3628735.0
2012-06-01,5542,5660,5434,5615,1680,17091.0,3628735.0
2012-06-04,5649,5649,5476,5603,1480,17055.0,3628735.0
2012-06-05,5381,5595,5369,5542,790,16874.0,3628735.0
