LF(093050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-12-01,17800,20450,17500,20000,2934032,584800.0,29240000.0
2006-12-04,20000,20250,19300,19450,539960,568718.0,29240000.0
2006-12-05,19000,19350,18200,19000,800783,555560.0,29240000.0
2006-12-06,19300,20100,19100,19700,747656,576028.0,29240000.0
2006-12-07,19750,20700,19500,20500,591254,599420.0,29240000.0
2006-12-08,20750,20800,20250,20550,535216,600882.0,29240000.0
2006-12-11,20500,21700,20150,21000,459510,614040.0,29240000.0
2006-12-12,21000,21450,20550,20950,437516,612578.0,29240000.0
2006-12-13,20850,21450,20600,21000,452491,614040.0,29240000.0
2006-12-14,21000,21800,20800,21700,533657,634508.0,29240000.0
2006-12-15,21700,22550,21650,22450,479696,656438.0,29240000.0
2006-12-18,22700,22850,22200,22500,283382,657900.0,29240000.0
2006-12-19,22550,22550,21450,22000,534198,643280.0,29240000.0
2006-12-20,21800,22150,21450,22100,296369,646204.0,29240000.0
2006-12-21,21950,22100,21250,21700,322298,634508.0,29240000.0
2006-12-22,21300,21500,20550,21200,432551,619888.0,29240000.0
2006-12-26,20850,21000,20200,20350,386941,595034.0,29240000.0
2006-12-27,20400,20650,19900,20350,252344,595034.0,29240000.0
2006-12-28,20500,21200,20350,21000,463725,614040.0,29240000.0
2007-01-02,21000,21050,20250,20600,259093,602344.0,29240000.0
2007-01-03,20400,20700,19550,20200,613865,590648.0,29240000.0
2007-01-04,19750,20150,19600,20050,331040,586262.0,29240000.0
2007-01-05,19850,20300,19550,20300,232050,593572.0,29240000.0
2007-01-08,20300,20450,19900,20300,166064,593572.0,29240000.0
2007-01-09,20250,20950,20000,20750,335360,606730.0,29240000.0
2007-01-10,20650,20750,20050,20650,281104,603806.0,29240000.0
2007-01-11,20450,20850,20350,20800,125052,608192.0,29240000.0
2007-01-12,20800,20850,20250,20450,233821,597958.0,29240000.0
2007-01-15,20450,20450,20000,20300,170121,593572.0,29240000.0
2007-01-16,20100,20400,20050,20300,118477,593572.0,29240000.0
2007-01-17,20100,20100,19550,20000,293051,584800.0,29240000.0
2007-01-18,20000,20200,19700,20050,262881,586262.0,29240000.0
2007-01-19,19900,20050,19700,20000,133650,584800.0,29240000.0
2007-01-22,20000,20150,19950,20000,119989,584800.0,29240000.0
2007-01-23,20000,20750,19950,20700,130221,605268.0,29240000.0
2007-01-24,20800,21200,20650,21000,199031,614040.0,29240000.0
2007-01-25,21200,21200,20600,21200,166010,619888.0,29240000.0
2007-01-26,20850,21200,20800,21200,3048071,619888.0,29240000.0
2007-01-29,21200,22000,21050,21900,971700,640356.0,29240000.0
2007-01-30,22000,22000,21500,21700,168895,634508.0,29240000.0
2007-01-31,21700,21850,21350,21600,122465,631584.0,29240000.0
2007-02-01,21800,21900,20900,21300,269168,622812.0,29240000.0
2007-02-02,21050,21400,20900,21400,184523,625736.0,29240000.0
2007-02-05,21300,21300,20950,21050,154359,615502.0,29240000.0
2007-02-06,21050,21200,20400,20400,245557,596496.0,29240000.0
2007-02-07,20500,20850,20100,20550,1440141,600882.0,29240000.0
2007-02-08,20900,21700,20800,21650,410556,633046.0,29240000.0
2007-02-09,21650,21650,21150,21250,166517,621350.0,29240000.0
2007-02-12,20950,21350,20850,21250,150300,621350.0,29240000.0
2007-02-13,21250,21600,21150,21600,197746,631584.0,29240000.0
2007-02-14,21800,21800,21000,21600,384212,631584.0,29240000.0
2007-02-15,21400,21500,20950,20950,228352,612578.0,29240000.0
2007-02-16,20900,20900,20300,20600,353238,602344.0,29240000.0
2007-02-20,20500,21200,20500,20500,138909,599420.0,29240000.0
2007-02-21,20650,20700,20400,20500,175353,599420.0,29240000.0
2007-02-22,20500,21300,20500,21300,275513,622812.0,29240000.0
2007-02-23,21250,21550,21100,21450,210166,627198.0,29240000.0
2007-02-26,21450,21650,21250,21450,186690,627198.0,29240000.0
2007-02-27,21450,21600,20850,21600,203367,631584.0,29240000.0
2007-02-28,20500,21300,20500,21300,179362,622812.0,29240000.0
2007-03-02,21200,21250,20800,20900,102415,611116.0,29240000.0
2007-03-05,20750,20900,20450,20600,73678,602344.0,29240000.0
2007-03-06,20850,20950,20300,20950,142541,612578.0,29240000.0
2007-03-07,20950,21100,20550,20900,94045,611116.0,29240000.0
2007-03-08,20850,21000,20700,21000,144676,614040.0,29240000.0
2007-03-09,21150,21200,20450,20450,186201,597958.0,29240000.0
2007-03-12,20550,20700,20300,20400,126671,596496.0,29240000.0
2007-03-13,20350,20700,20250,20700,140527,605268.0,29240000.0
2007-03-14,20400,20650,20250,20450,260601,597958.0,29240000.0
2007-03-15,20500,20900,20500,20800,104979,608192.0,29240000.0
2007-03-16,20800,21300,20600,21200,177888,619888.0,29240000.0
2007-03-19,21100,21450,20950,21400,143488,625736.0,29240000.0
2007-03-20,21400,22200,21250,22150,475525,647666.0,29240000.0
2007-03-21,22250,22400,21900,22250,283559,650590.0,29240000.0
2007-03-22,22400,22500,22050,22450,227910,656438.0,29240000.0
2007-03-23,22300,22500,22100,22350,114250,653514.0,29240000.0
2007-03-26,22350,22400,22000,22400,139369,654976.0,29240000.0
2007-03-27,22600,23000,22200,23000,307450,672520.0,29240000.0
