부산산업(011390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,9000,10400,9000,9690,11290,10233.0,1056000.0
1999-01-05,10500,10850,9700,10700,23940,11299.0,1056000.0
1999-01-06,11000,11600,10600,11300,23290,11933.0,1056000.0
1999-01-07,11100,12000,10900,11100,39090,11722.0,1056000.0
1999-01-08,11350,11600,11100,11100,18000,11722.0,1056000.0
1999-01-11,11400,12750,11400,12750,38490,13464.0,1056000.0
1999-01-12,12100,12900,12000,12500,28080,13200.0,1056000.0
1999-01-13,12850,14350,12700,14150,123780,14942.0,1056000.0
1999-01-14,13600,13600,12050,12050,36110,12725.0,1056000.0
1999-01-15,11800,13200,11500,12600,70480,13306.0,1056000.0
1999-01-18,12600,14100,12600,13500,61340,14256.0,1056000.0
1999-01-19,13850,13850,11700,12000,20090,12672.0,1056000.0
1999-01-20,11800,12600,11500,12000,18390,12672.0,1056000.0
1999-01-21,11700,11800,10200,10600,20190,11194.0,1056000.0
1999-01-22,10300,10600,9800,10100,26130,10666.0,1056000.0
1999-01-25,10000,10900,10000,10100,11440,10666.0,1056000.0
1999-01-26,10100,10700,9800,9800,16110,10349.0,1056000.0
1999-01-27,10300,10300,9400,9600,4640,10138.0,1056000.0
1999-01-28,9650,10900,9650,10600,16020,11194.0,1056000.0
1999-01-29,10300,10850,10200,10500,6530,11088.0,1056000.0
1999-02-01,10800,12050,10700,10900,20630,11510.0,1056000.0
1999-02-02,11600,11600,10650,10900,21250,11510.0,1056000.0
1999-02-03,11000,11700,10900,11200,40940,11827.0,1056000.0
1999-02-04,11200,11200,9900,10500,13300,11088.0,1056000.0
1999-02-05,10500,10800,10200,10200,14390,10771.0,1056000.0
1999-02-08,10200,10850,10200,10200,14080,10771.0,1056000.0
1999-02-09,10200,10400,9120,9120,16550,9631.0,1056000.0
1999-02-10,9200,9500,8500,9450,17050,9979.0,1056000.0
1999-02-11,9100,10000,9100,9500,13130,10032.0,1056000.0
1999-02-12,9500,10100,9500,10000,8320,10560.0,1056000.0
1999-02-18,9500,10000,9500,9850,4020,10402.0,1056000.0
1999-02-19,9560,9600,9000,9200,1660,9715.0,1056000.0
1999-02-22,9300,9490,8750,9000,1620,9504.0,1056000.0
1999-02-23,8260,9100,8260,8500,4950,8976.0,1056000.0
1999-02-24,8800,9100,8350,8350,8220,8818.0,1056000.0
1999-02-25,8350,8400,7900,8000,2880,8448.0,1056000.0
1999-02-26,8650,8650,8200,8400,3910,8870.0,1056000.0
1999-03-02,8600,8900,8500,8750,3280,9240.0,1056000.0
1999-03-03,8500,9100,8500,8660,7970,9145.0,1056000.0
1999-03-04,8450,9200,8450,9180,7270,9694.0,1056000.0
1999-03-05,9220,9220,8800,9150,4760,9662.0,1056000.0
1999-03-08,10000,10000,9210,9250,8840,9768.0,1056000.0
1999-03-09,9500,9750,9200,9200,6950,9715.0,1056000.0
1999-03-10,9200,10000,9050,9350,16320,9874.0,1056000.0
1999-03-11,9430,9600,9150,9600,16430,10138.0,1056000.0
1999-03-12,9600,10000,9600,9850,11870,10402.0,1056000.0
1999-03-15,10000,11300,10000,11300,83170,11933.0,1056000.0
1999-03-16,11400,11900,11000,11250,58910,11880.0,1056000.0
1999-03-17,11700,11900,10600,11850,75580,12514.0,1056000.0
1999-03-18,12200,12250,11200,11200,37600,11827.0,1056000.0
1999-03-19,11200,12400,10800,11400,58270,12038.0,1056000.0
1999-03-22,11400,12300,11400,11500,39010,12144.0,1056000.0
1999-03-23,11700,12000,11300,11300,17090,11933.0,1056000.0
1999-03-24,11300,11600,10900,10900,31620,11510.0,1056000.0
1999-03-25,10800,11300,10800,10800,22310,11405.0,1056000.0
1999-03-26,11000,11200,10650,10800,9320,11405.0,1056000.0
1999-03-29,10800,11000,10500,10600,15620,11194.0,1056000.0
1999-03-30,10800,11000,10800,11000,10410,11616.0,1056000.0
1999-03-31,11000,11400,11000,11000,18600,11616.0,1056000.0
1999-04-01,11000,11200,10800,10800,16590,11405.0,1056000.0
1999-04-02,11000,11000,10500,10600,15750,11194.0,1056000.0
1999-04-06,10700,11100,10500,11000,16550,11616.0,1056000.0
1999-04-07,11500,11800,11100,11300,39870,11933.0,1056000.0
1999-04-08,11500,11500,10800,11000,21180,11616.0,1056000.0
1999-04-09,11300,11300,10800,10800,20280,11405.0,1056000.0
1999-04-12,10700,11300,10700,11300,22060,11933.0,1056000.0
1999-04-13,11300,11500,11050,11100,19990,11722.0,1056000.0
1999-04-14,11000,12400,10800,11200,50200,11827.0,1056000.0
1999-04-15,12000,12000,11250,11350,39460,11986.0,1056000.0
1999-04-16,11400,11500,11100,11150,19180,11774.0,1056000.0
1999-04-19,11000,11100,10700,10800,20270,11405.0,1056000.0
1999-04-20,10500,11300,10500,10900,26820,11510.0,1056000.0
