신한알파리츠(293940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-08-08,5264,5284,5047,5136,3989083,198152.0,38106123.0
2018-08-09,5146,5185,5037,5136,468517,198152.0,38106123.0
2018-08-10,5136,5175,5096,5136,271084,198152.0,38106123.0
2018-08-13,5136,5175,5116,5156,200393,198914.0,38106123.0
2018-08-14,5136,5166,5116,5166,137711,199295.0,38106123.0
2018-08-16,5185,5185,5116,5146,85718,198533.0,38106123.0
2018-08-17,5166,5166,5126,5156,59220,198914.0,38106123.0
2018-08-20,5156,5185,5136,5176,58573,199676.0,38106123.0
2018-08-21,5185,5284,5185,5255,244082,202725.0,38106123.0
2018-08-22,5245,5264,5215,5245,144396,202344.0,38106123.0
2018-08-23,5264,5314,5235,5295,290060,204249.0,38106123.0
2018-08-24,5294,5432,5294,5334,315879,205773.0,38106123.0
2018-08-27,5324,5373,5284,5295,129299,204249.0,38106123.0
2018-08-28,5314,5353,5284,5295,97067,204249.0,38106123.0
2018-08-29,5294,5353,5294,5324,72865,205392.0,38106123.0
2018-08-30,5324,5353,5314,5334,103750,205773.0,38106123.0
2018-08-31,5334,5363,5324,5334,127794,205773.0,38106123.0
2018-09-03,5334,5373,5324,5324,84092,205392.0,38106123.0
2018-09-04,5324,5343,5314,5324,71984,205392.0,38106123.0
2018-09-05,5314,5343,5294,5314,128071,205011.0,38106123.0
2018-09-06,5324,5324,5304,5324,33523,205392.0,38106123.0
2018-09-07,5324,5334,5314,5324,55049,205392.0,38106123.0
2018-09-10,5324,5334,5304,5324,55996,205392.0,38106123.0
2018-09-11,5334,5383,5294,5344,131694,206154.0,38106123.0
2018-09-12,5413,5413,5324,5383,137328,207678.0,38106123.0
2018-09-13,5413,5926,5383,5680,380296,219110.0,38106123.0
2018-09-14,5630,5679,5521,5670,331096,218729.0,38106123.0
2018-09-17,5679,5867,5600,5798,315207,223683.0,38106123.0
2018-09-18,5827,5847,5729,5798,327362,223683.0,38106123.0
2018-09-19,5798,5818,5650,5798,121482,223683.0,38106123.0
2018-09-20,5729,5788,5521,5700,266663,219872.0,38106123.0
2018-09-21,5719,5729,5620,5670,224350,218729.0,38106123.0
2018-09-27,5669,5739,5660,5680,150869,219110.0,38106123.0
2018-09-28,5748,5768,5679,5729,72268,221016.0,38106123.0
2018-10-01,5719,5719,5650,5680,80990,219110.0,38106123.0
2018-10-02,5679,5729,5630,5660,63096,218348.0,38106123.0
2018-10-04,5699,5699,5640,5680,60059,219110.0,38106123.0
2018-10-05,5689,5758,5610,5719,108686,220634.0,38106123.0
2018-10-08,5748,5857,5679,5828,110003,224826.0,38106123.0
2018-10-10,5778,5976,5778,5897,250718,227494.0,38106123.0
2018-10-11,5818,5897,5778,5788,140987,223302.0,38106123.0
2018-10-12,5867,5877,5768,5828,74262,224826.0,38106123.0
2018-10-15,5827,5916,5729,5818,142472,224445.0,38106123.0
2018-10-16,5818,5877,5709,5739,90617,221397.0,38106123.0
2018-10-17,5748,5758,5620,5719,73810,220634.0,38106123.0
2018-10-18,5719,5788,5679,5769,35273,222540.0,38106123.0
2018-10-19,5768,5827,5709,5769,65206,222540.0,38106123.0
2018-10-22,5768,5818,5729,5808,43909,224064.0,38106123.0
2018-10-23,5808,5808,5719,5739,92683,221397.0,38106123.0
2018-10-24,5739,5739,5650,5709,75053,220253.0,38106123.0
2018-10-25,5630,5709,5620,5680,42658,219110.0,38106123.0
2018-10-26,5679,5679,5561,5640,75395,217586.0,38106123.0
2018-10-29,5699,5709,5531,5581,58715,215300.0,38106123.0
2018-10-30,5561,5650,5511,5512,65982,212632.0,38106123.0
2018-10-31,5531,5600,5521,5591,47513,215681.0,38106123.0
2018-11-01,5610,5660,5571,5601,26578,216062.0,38106123.0
2018-11-02,5630,5630,5571,5591,37254,215681.0,38106123.0
2018-11-05,5571,5630,5571,5601,22823,216062.0,38106123.0
2018-11-06,5561,5630,5551,5581,30369,215300.0,38106123.0
2018-11-07,5580,5630,5580,5591,36586,215681.0,38106123.0
2018-11-08,5580,5630,5561,5561,46275,214537.0,38106123.0
2018-11-09,5561,5600,5521,5561,36293,214537.0,38106123.0
2018-11-12,5521,5610,5521,5532,21353,213394.0,38106123.0
2018-11-13,5580,5580,5432,5492,36462,211870.0,38106123.0
2018-11-14,5521,5531,5472,5492,15540,211870.0,38106123.0
2018-11-15,5492,5521,5413,5462,92081,210727.0,38106123.0
2018-11-16,5482,5482,5413,5462,53230,210727.0,38106123.0
2018-11-19,5462,5482,5432,5472,12135,211108.0,38106123.0
2018-11-20,5511,5511,5442,5462,18875,210727.0,38106123.0
2018-11-21,5462,5482,5442,5482,11949,211489.0,38106123.0
2018-11-22,5482,5521,5462,5502,23504,212251.0,38106123.0
2018-11-23,5501,5501,5442,5502,20680,212251.0,38106123.0
2018-11-26,5501,5580,5501,5551,44003,214156.0,38106123.0
2018-11-27,5610,5610,5511,5571,28984,214919.0,38106123.0
2018-11-28,5610,5610,5531,5561,23533,214537.0,38106123.0
2018-11-29,5610,5610,5531,5581,66813,215300.0,38106123.0
2018-11-30,5551,5580,5531,5581,67001,215300.0,38106123.0
2018-12-03,5580,5610,5561,5601,47202,216062.0,38106123.0
2018-12-04,5600,5610,5561,5581,27687,215300.0,38106123.0
2018-12-05,5571,5620,5561,5620,22665,216824.0,38106123.0
2018-12-06,5630,5650,5600,5601,9020,216062.0,38106123.0
2018-12-07,5580,5630,5561,5591,11244,215681.0,38106123.0
2018-12-10,5590,5610,5541,5611,15977,216443.0,38106123.0
2018-12-11,5610,5689,5600,5630,108660,217205.0,38106123.0
2018-12-12,5610,5659,5610,5640,59492,217586.0,38106123.0
2018-12-13,5660,5660,5620,5660,73800,218348.0,38106123.0
2018-12-14,5660,5710,5660,5680,46465,216443.0,38106123.0
2018-12-17,5680,5720,5660,5700,60582,217205.0,38106123.0
2018-12-18,5700,5770,5680,5720,90111,217967.0,38106123.0
2018-12-19,5740,5750,5700,5740,55606,218729.0,38106123.0
