우진아이엔에스(010400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-09-14,15150,19650,14500,19650,11527865,149772.0,7622000.0
2018-09-17,23050,25000,19900,19900,8306848,151678.0,7622000.0
2018-09-18,20350,20700,16950,17300,3419737,131861.0,7622000.0
2018-09-19,17550,17850,15550,16150,1510305,123095.0,7622000.0
2018-09-20,16250,16350,14950,15000,1086411,114330.0,7622000.0
2018-09-21,15250,17600,15250,15500,3377846,118141.0,7622000.0
2018-09-27,15700,16350,15600,16100,698071,122714.0,7622000.0
2018-09-28,16250,16450,15300,15400,658403,117379.0,7622000.0
2018-10-01,15750,15950,14900,14900,612147,113568.0,7622000.0
2018-10-02,15050,15100,13700,13900,676953,105946.0,7622000.0
2018-10-04,13800,13850,12750,13050,411865,99467.0,7622000.0
2018-10-05,12850,13550,12550,12850,398392,97943.0,7622000.0
2018-10-08,12900,16250,12750,14550,4085908,110900.0,7622000.0
2018-10-10,14900,16600,14750,15250,2492759,116236.0,7622000.0
2018-10-11,14750,15650,12900,13000,1056647,99086.0,7622000.0
2018-10-12,12900,14100,12900,13400,798289,102135.0,7622000.0
2018-10-15,13450,13700,12850,12950,381371,98705.0,7622000.0
2018-10-16,13050,13550,12950,13300,361659,101373.0,7622000.0
2018-10-17,13550,13800,13000,13400,366954,102135.0,7622000.0
2018-10-18,13450,13600,13150,13150,230198,100229.0,7622000.0
2018-10-19,13050,13300,12750,13200,203408,100610.0,7622000.0
2018-10-22,13000,13850,12900,13800,333606,105184.0,7622000.0
2018-10-23,13650,13750,12750,13050,228894,99467.0,7622000.0
2018-10-24,13250,13350,12000,12050,307512,91845.0,7622000.0
2018-10-25,11550,11700,11000,11300,235303,86129.0,7622000.0
2018-10-26,11400,11550,10300,10450,264703,79650.0,7622000.0
2018-10-29,10700,10750,9340,9340,280295,71189.0,7622000.0
2018-10-30,8810,9800,8810,9500,208194,72409.0,7622000.0
2018-10-31,9750,10750,9700,10150,331259,77363.0,7622000.0
2018-11-01,10250,10600,10000,10000,184957,76220.0,7622000.0
2018-11-02,10100,10550,10100,10450,170575,79650.0,7622000.0
2018-11-05,10450,10500,10050,10300,93803,78507.0,7622000.0
2018-11-06,10400,11200,10200,10900,264440,83080.0,7622000.0
2018-11-07,10900,11150,10150,10500,170824,80031.0,7622000.0
2018-11-08,10800,11100,10700,10850,127939,82699.0,7622000.0
2018-11-09,10800,13050,10700,12050,1877653,91845.0,7622000.0
2018-11-12,12000,12700,11800,12600,376882,96037.0,7622000.0
2018-11-13,12300,13450,12000,12600,654796,96037.0,7622000.0
2018-11-14,12600,13250,12400,12400,334020,94513.0,7622000.0
2018-11-15,12250,12750,12250,12450,147353,94894.0,7622000.0
2018-11-16,12550,12650,12000,12050,140536,91845.0,7622000.0
2018-11-19,12550,12600,12100,12100,174098,92226.0,7622000.0
2018-11-20,11900,11950,11450,11500,149249,87653.0,7622000.0
2018-11-21,11350,11450,11200,11250,69550,85748.0,7622000.0
2018-11-22,11350,12000,11350,11500,134207,87653.0,7622000.0
2018-11-23,11400,11550,11050,11100,89292,84604.0,7622000.0
