한화케미칼(009830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4550,4851,4504,4773,1130220,357284.0,57626402.0
1999-01-05,4774,4928,4627,4850,1701270,363046.0,57626402.0
1999-01-06,4928,5343,4851,5235,1870520,391860.0,57626402.0
1999-01-07,5351,5382,5090,5089,1656060,380911.0,57626402.0
1999-01-08,5081,5313,4936,5235,1440920,391860.0,57626402.0
1999-01-11,5389,6020,5389,6020,2288860,450638.0,57626402.0
1999-01-12,6313,6313,5697,6182,2574790,462740.0,57626402.0
1999-01-13,6197,6305,5928,6012,1729240,450062.0,57626402.0
1999-01-14,5936,5936,5474,5658,1375630,423554.0,57626402.0
1999-01-15,5705,6383,5705,6082,1926440,455249.0,57626402.0
1999-01-18,6529,6851,6467,6774,2072690,507112.0,57626402.0
1999-01-19,6928,7006,6336,6336,2430480,474265.0,57626402.0
1999-01-20,6391,6522,5774,5966,1152830,446605.0,57626402.0
1999-01-21,6782,6782,5982,6235,3261600,466774.0,57626402.0
1999-01-22,6251,6305,5620,5620,1351040,420673.0,57626402.0
1999-01-25,5467,5736,5174,5197,946880,388978.0,57626402.0
1999-01-26,5396,5651,5004,5004,1588480,374572.0,57626402.0
1999-01-27,5081,5313,4858,5119,2674210,383216.0,57626402.0
1999-01-28,5198,5236,5020,5150,1830610,385521.0,57626402.0
1999-01-29,5312,5612,5119,5543,2295990,414910.0,57626402.0
1999-02-01,5536,5652,5397,5536,885920,414334.0,57626402.0
1999-02-02,5536,6082,5466,5835,2660800,436808.0,57626402.0
1999-02-03,6044,6044,5436,5466,986030,409147.0,57626402.0
1999-02-04,5313,5582,5120,5351,605130,400503.0,57626402.0
1999-02-05,5274,5427,5157,5157,893370,386097.0,57626402.0
1999-02-08,5158,5275,5043,5089,1018440,380911.0,57626402.0
1999-02-09,5013,5036,4627,4773,724120,357284.0,57626402.0
1999-02-10,4550,4988,4550,4888,956540,365928.0,57626402.0
1999-02-11,4928,5043,4812,4935,702610,369385.0,57626402.0
1999-02-12,4980,5065,4942,5042,565820,377453.0,57626402.0
1999-02-18,5143,5143,4620,4619,732950,345758.0,57626402.0
1999-02-19,4542,4604,4404,4581,591330,342877.0,57626402.0
1999-02-22,4503,4503,4388,4450,619670,333081.0,57626402.0
1999-02-23,4459,4504,4135,4180,631170,312911.0,57626402.0
1999-02-24,4088,4235,3896,4003,951510,299657.0,57626402.0
1999-02-25,3887,4121,3662,4081,664750,302539.0,57626402.0
1999-02-26,4081,4469,4042,4469,978760,331352.0,57626402.0
1999-03-02,4501,4548,4432,4431,995080,328470.0,57626402.0
1999-03-03,4354,4432,4214,4353,477330,322708.0,57626402.0
1999-03-04,4353,4664,4283,4578,1251490,339420.0,57626402.0
1999-03-05,4361,4586,4361,4477,713810,331928.0,57626402.0
1999-03-08,4587,4735,4525,4664,1064850,345758.0,57626402.0
1999-03-09,4703,5092,4672,4812,1392910,356707.0,57626402.0
1999-03-10,4812,5068,4679,4881,940840,361894.0,57626402.0
1999-03-11,4983,5100,4898,5099,1184240,378029.0,57626402.0
1999-03-12,5286,5519,5139,5278,1323430,391283.0,57626402.0
1999-03-15,5356,5441,5091,5091,1116370,377453.0,57626402.0
1999-03-16,5131,5224,5014,5091,606880,377453.0,57626402.0
