풍산홀딩스(005810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,8832,8832,8267,8696,642270,159465.0,19189552.0
1999-01-05,8791,8791,7953,8476,533450,155435.0,19189552.0
1999-01-06,8895,9575,8790,9156,1000000,167909.0,19189552.0
1999-01-07,9314,9408,8895,9208,544350,168868.0,19189552.0
1999-01-08,9105,9188,8844,8947,388990,164071.0,19189552.0
1999-01-11,9052,9398,8999,9156,495960,167909.0,19189552.0
1999-01-12,9209,9732,9156,9324,575410,170979.0,19189552.0
1999-01-13,9733,10309,9523,9627,835370,176544.0,19189552.0
1999-01-14,9106,9315,8267,8476,405850,155435.0,19189552.0
1999-01-15,8372,9304,8372,9177,561150,168292.0,19189552.0
1999-01-18,9314,9471,9188,9229,473120,169252.0,19189552.0
1999-01-19,9230,9230,8686,8790,296070,161192.0,19189552.0
1999-01-20,8790,8947,8267,8528,278510,156395.0,19189552.0
1999-01-21,8111,8477,7744,7900,229620,144881.0,19189552.0
1999-01-22,7325,7630,7137,7273,316190,133367.0,19189552.0
1999-01-25,7429,7472,6959,6959,190540,127611.0,19189552.0
1999-01-26,7022,7325,6363,6383,234840,117056.0,19189552.0
1999-01-27,6489,7117,6342,7116,328280,130489.0,19189552.0
1999-01-28,7220,7618,6593,7220,360170,132408.0,19189552.0
1999-01-29,7220,7848,7032,7649,329950,140276.0,19189552.0
1999-02-01,7849,7849,7451,7796,217200,142962.0,19189552.0
1999-02-02,7754,7838,7482,7482,225730,137205.0,19189552.0
1999-02-03,7483,7640,7095,7639,239230,140084.0,19189552.0
1999-02-04,7618,7744,7221,7325,151720,134327.0,19189552.0
1999-02-05,7441,7482,7252,7325,123200,134327.0,19189552.0
1999-02-08,7325,7429,6959,6959,111260,127611.0,19189552.0
1999-02-09,6970,7263,6594,6592,173060,120894.0,19189552.0
1999-02-10,6593,7012,6489,6718,221480,123197.0,19189552.0
1999-02-11,6823,7723,6802,7723,638100,141619.0,19189552.0
1999-02-12,7879,8110,7608,7712,796130,141427.0,19189552.0
1999-02-18,7849,7922,7535,7566,219190,138740.0,19189552.0
1999-02-19,7430,7430,6928,7116,300780,130489.0,19189552.0
1999-02-22,7252,7848,7221,7524,600460,137973.0,19189552.0
1999-02-23,7545,7691,7116,7325,233160,134327.0,19189552.0
1999-02-24,7306,7430,7054,7053,192000,129338.0,19189552.0
1999-02-25,6938,7221,6843,6969,157140,127802.0,19189552.0
1999-02-26,7043,7325,7043,7325,175500,134327.0,19189552.0
1999-03-02,7451,7817,7451,7639,392750,140084.0,19189552.0
1999-03-03,7744,7797,7429,7492,246090,137397.0,19189552.0
1999-03-04,7587,7630,7378,7534,202480,138165.0,19189552.0
1999-03-05,7482,8163,7378,8016,686840,146992.0,19189552.0
1999-03-08,8895,9210,8592,9208,1580360,168868.0,19189552.0
1999-03-09,9314,9617,8895,9208,1169220,168868.0,19189552.0
1999-03-10,9010,9313,8916,9188,472250,168484.0,19189552.0
1999-03-11,9052,9628,9010,9418,606780,172706.0,19189552.0
1999-03-12,9336,9576,9210,9208,554880,168868.0,19189552.0
1999-03-15,9367,9367,8844,8884,518520,162919.0,19189552.0
1999-03-16,8948,9115,8844,8947,274810,164071.0,19189552.0
1999-03-17,8958,9105,8655,8738,392340,160233.0,19189552.0
1999-03-18,8633,8843,8393,8738,271990,160233.0,19189552.0
1999-03-19,8738,9293,8738,9010,516700,165222.0,19189552.0
1999-03-22,9178,9293,9011,9208,353160,168868.0,19189552.0
1999-03-23,9409,9680,9314,9407,779370,172514.0,19189552.0
1999-03-24,9314,9523,9125,9208,387630,168868.0,19189552.0
1999-03-25,9105,9418,9011,9072,376740,166373.0,19189552.0
1999-03-26,9042,9210,8948,8947,172610,164071.0,19189552.0
1999-03-29,8696,8938,8361,8507,669690,156011.0,19189552.0
1999-03-30,8633,8895,8633,8874,254710,162727.0,19189552.0
1999-03-31,8875,9031,8655,8779,286460,161000.0,19189552.0
1999-04-01,8769,8895,8686,8895,316850,163111.0,19189552.0
1999-04-02,8989,8989,8759,8842,240470,162152.0,19189552.0
1999-04-06,9052,9733,8948,9627,685840,176544.0,19189552.0
1999-04-07,9732,9931,9313,9313,626630,170787.0,19189552.0
1999-04-08,9313,9722,9313,9512,325780,174433.0,19189552.0
1999-04-09,9628,9732,9313,9386,342050,172130.0,19189552.0
1999-04-12,9367,9387,9115,9198,314350,168676.0,19189552.0
1999-04-13,9210,9566,9200,9208,301390,168868.0,19189552.0
1999-04-14,9241,9513,9011,9072,261760,166373.0,19189552.0
1999-04-15,9418,9837,9314,9784,811040,179422.0,19189552.0
1999-04-16,9732,9889,9240,9313,366270,170787.0,19189552.0
1999-04-19,9471,9628,9261,9334,519410,171171.0,19189552.0
1999-04-20,10255,10726,9962,10726,1657000,196693.0,19189552.0
1999-04-21,11094,11721,10832,11040,1685800,202450.0,19189552.0
1999-04-22,11198,11983,11145,11615,1091930,213004.0,19189552.0
1999-04-23,11878,12453,11878,12243,1127400,224518.0,19189552.0
1999-04-26,12767,13813,11720,13499,1013270,247545.0,19189552.0
1999-04-27,13814,14965,13604,14755,1161300,270573.0,19189552.0
1999-04-28,14650,14755,13709,14022,720210,257140.0,19189552.0
1999-04-29,14024,14547,12872,12871,597080,236031.0,19189552.0
1999-04-30,13029,13448,12349,13290,670620,243707.0,19189552.0
1999-05-03,13709,14022,13394,13499,688880,247545.0,19189552.0
1999-05-04,13394,13709,13080,13499,660590,247545.0,19189552.0
1999-05-06,13917,15173,13865,14964,1471070,274411.0,19189552.0
1999-05-07,15173,15173,14337,14650,948590,268654.0,19189552.0
1999-05-10,14860,14860,14337,14493,656280,265775.0,19189552.0
1999-05-11,14494,15802,14284,14650,1288140,268654.0,19189552.0
1999-05-12,14650,15122,13918,14231,702500,260978.0,19189552.0
1999-05-13,14232,14337,12871,13080,744440,239869.0,19189552.0
1999-05-14,13290,13760,12924,13394,1118540,245626.0,19189552.0
1999-05-17,13394,13709,12577,12577,411590,191896.0,19189552.0
1999-05-18,12388,13646,12388,13143,847530,200531.0,19189552.0
1999-05-19,13331,13520,12577,12702,661530,193814.0,19189552.0
1999-05-20,12954,13206,11948,12262,582070,187098.0,19189552.0
1999-05-21,12451,12564,12023,12074,230010,184220.0,19189552.0
1999-05-24,11948,12086,11080,11684,312450,178271.0,19189552.0
1999-05-25,11696,12074,11571,11948,292160,182301.0,19189552.0
1999-05-26,11948,13709,11571,13520,1490070,206288.0,19189552.0
1999-05-27,13647,14150,12954,12954,976930,197652.0,19189552.0
1999-05-28,13206,13834,12954,13143,520770,200531.0,19189552.0
1999-05-31,13207,13521,12954,12954,264120,197652.0,19189552.0
1999-06-01,12577,12954,12577,12828,219460,195733.0,19189552.0
1999-06-02,12954,14400,12828,13834,1010410,211085.0,19189552.0
1999-06-03,14463,14840,13331,13960,1278730,213004.0,19189552.0
1999-06-04,13834,14337,13646,13834,531590,211085.0,19189552.0
1999-06-07,14463,15092,14463,14840,1009290,226437.0,19189552.0
