아주캐피탈(033660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-06-25,7852,8389,6957,6958,8505485,400400.0,57200000.0
2009-06-26,7057,7415,6868,7008,1841997,403260.0,57200000.0
2009-06-29,7027,7067,6272,6272,1323433,360932.0,57200000.0
2009-06-30,6113,6272,5824,5825,1103298,335192.0,57200000.0
2009-07-01,5765,6291,5735,6024,923762,346632.0,57200000.0
2009-07-02,6132,6132,5884,5884,272215,338624.0,57200000.0
2009-07-03,5765,5983,5715,5894,249009,339196.0,57200000.0
2009-07-06,5894,6152,5894,5964,227696,343200.0,57200000.0
2009-07-07,6172,6520,6073,6371,1019691,366652.0,57200000.0
2009-07-08,6311,6441,6182,6362,358602,366080.0,57200000.0
2009-07-09,6361,6450,6242,6252,231405,359788.0,57200000.0
2009-07-10,6172,6262,6013,6024,327876,346632.0,57200000.0
2009-07-13,6063,6063,5824,5835,238979,335764.0,57200000.0
2009-07-14,5914,5953,5665,5805,186460,334048.0,57200000.0
2009-07-15,5844,5953,5745,5904,236812,339768.0,57200000.0
2009-07-16,5963,6063,5884,6004,214658,345488.0,57200000.0
2009-07-17,6063,6113,5884,5894,150763,339196.0,57200000.0
2009-07-20,6003,6093,5894,5974,213325,343772.0,57200000.0
2009-07-21,5993,6321,5944,6322,590638,363792.0,57200000.0
2009-07-22,6351,6361,6142,6272,242558,360932.0,57200000.0
2009-07-23,6301,6301,6142,6212,111732,357500.0,57200000.0
2009-07-24,6272,6282,6073,6073,294313,349492.0,57200000.0
2009-07-27,6073,6113,5705,5934,254543,341484.0,57200000.0
2009-07-28,5934,6033,5884,5944,106040,342056.0,57200000.0
2009-07-29,6003,6003,5894,5944,112350,342056.0,57200000.0
2009-07-30,5934,5953,5765,5835,114198,335764.0,57200000.0
2009-07-31,5864,5904,5804,5835,92221,335764.0,57200000.0
2009-08-03,5804,5834,5665,5745,178517,330616.0,57200000.0
2009-08-04,5765,5874,5755,5835,102413,335764.0,57200000.0
2009-08-05,5864,5864,5785,5785,59767,332904.0,57200000.0
2009-08-06,5834,5983,5775,5904,141069,339768.0,57200000.0
2009-08-07,5963,6321,5914,6242,517558,359216.0,57200000.0
2009-08-10,6262,6282,6043,6163,164163,354640.0,57200000.0
2009-08-11,6103,6282,6103,6262,199950,360360.0,57200000.0
2009-08-12,6262,6431,6212,6421,262544,369512.0,57200000.0
2009-08-13,6490,6490,6331,6362,180897,366080.0,57200000.0
2009-08-14,6421,6421,6282,6282,121583,361504.0,57200000.0
2009-08-17,6282,6282,6023,6024,136995,346632.0,57200000.0
2009-08-18,6063,6122,5914,5944,160914,342056.0,57200000.0
2009-08-19,6083,6282,5993,6193,325350,356356.0,57200000.0
2009-08-20,6282,7116,6202,6938,1352112,399256.0,57200000.0
2009-08-21,6987,7156,6689,7157,602501,411840.0,57200000.0
2009-08-24,7146,7256,6928,7077,402941,407264.0,57200000.0
2009-08-25,7047,7047,6639,6809,366415,391820.0,57200000.0
2009-08-26,6769,6908,6510,6610,354834,380380.0,57200000.0
2009-08-27,6570,6659,6311,6322,400791,363792.0,57200000.0
2009-08-28,6401,6540,6351,6461,310205,371800.0,57200000.0
