신송홀딩스(006880),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-11-21,10900,11500,9370,10100,3342821,119471.0,11828858.0
2013-11-22,9900,10150,8600,8600,1314680,101728.0,11828858.0
2013-11-25,8500,8850,8370,8690,772006,102793.0,11828858.0
2013-11-26,8640,8770,8460,8460,332599,100072.0,11828858.0
2013-11-27,8460,8620,8320,8400,194822,99362.0,11828858.0
2013-11-28,8410,8500,7520,8100,220347,95814.0,11828858.0
2013-11-29,8120,8120,7570,7670,383607,90727.0,11828858.0
2013-12-02,7610,7800,7300,7300,214454,86351.0,11828858.0
2013-12-03,7370,7920,7290,7510,342050,88835.0,11828858.0
2013-12-04,7550,7670,7280,7320,120766,86587.0,11828858.0
2013-12-05,7430,8010,7380,7670,284550,90727.0,11828858.0
2013-12-06,7630,8100,7630,7800,211902,92265.0,11828858.0
2013-12-09,8200,8300,7860,7910,339577,93566.0,11828858.0
2013-12-10,7970,9090,7970,9090,1067973,107524.0,11828858.0
2013-12-11,9210,9400,8720,9090,1096078,107524.0,11828858.0
2013-12-12,8980,9050,8400,8400,442987,99362.0,11828858.0
2013-12-13,8500,8870,8220,8750,389029,103503.0,11828858.0
2013-12-16,8650,8780,8310,8320,227149,98416.0,11828858.0
2013-12-17,8430,8670,8300,8300,233350,98180.0,11828858.0
2013-12-18,8340,8490,8150,8360,142492,98889.0,11828858.0
2013-12-19,8380,8440,8150,8270,112749,97825.0,11828858.0
2013-12-20,8250,8660,8190,8510,203822,100664.0,11828858.0
2013-12-23,8390,8470,8180,8240,735620,97470.0,11828858.0
2013-12-24,8250,8320,8200,8250,143241,97588.0,11828858.0
2013-12-26,8330,8500,8250,8380,432943,99126.0,11828858.0
2013-12-27,8380,8640,8290,8550,348653,101137.0,11828858.0
2013-12-30,8600,8630,8340,8400,239816,99362.0,11828858.0
2014-01-02,8450,8620,8380,8620,340711,101965.0,11828858.0
2014-01-03,8550,8870,8550,8760,429840,103621.0,11828858.0
2014-01-06,8900,9000,8730,8780,297833,103857.0,11828858.0
2014-01-07,8820,8830,8610,8650,249389,102320.0,11828858.0
2014-01-08,8660,8750,8300,8320,336390,98416.0,11828858.0
2014-01-09,8300,8420,8160,8370,210467,99008.0,11828858.0
2014-01-10,8290,8650,8290,8590,214025,101610.0,11828858.0
2014-01-13,8570,9030,8540,9000,542294,106460.0,11828858.0
2014-01-14,8990,9550,8900,9130,547187,107997.0,11828858.0
2014-01-15,9180,9270,9050,9140,137412,108116.0,11828858.0
2014-01-16,9140,9380,9040,9300,215062,110008.0,11828858.0
2014-01-17,9250,9450,9190,9360,221548,110718.0,11828858.0
2014-01-20,9360,9490,9120,9140,188847,108116.0,11828858.0
2014-01-21,9140,9140,8660,8900,211529,105277.0,11828858.0
2014-01-22,8820,9060,8820,8990,67238,106341.0,11828858.0
2014-01-23,9000,9060,8840,8860,67298,104804.0,11828858.0
2014-01-24,8860,8860,8640,8820,107093,104331.0,11828858.0
2014-01-27,8610,8650,8440,8500,126422,100545.0,11828858.0
2014-01-28,8560,8620,8430,8620,62952,101965.0,11828858.0
2014-01-29,8700,8950,8670,8930,139200,105632.0,11828858.0
2014-02-03,8760,8870,8720,8770,85966,103739.0,11828858.0
2014-02-04,8620,8750,8560,8750,55527,103503.0,11828858.0
2014-02-05,8760,9130,8750,9080,215908,107406.0,11828858.0
2014-02-06,9150,9730,9150,9600,620281,113557.0,11828858.0
2014-02-07,9850,10050,9720,9820,388545,116159.0,11828858.0
2014-02-10,9840,9930,9750,9860,161993,116633.0,11828858.0
2014-02-11,9950,10050,9690,9930,167006,117461.0,11828858.0
2014-02-12,9960,10750,9960,10600,664196,125386.0,11828858.0
2014-02-13,10550,10750,10300,10450,244769,123612.0,11828858.0
2014-02-14,10500,10650,10300,10650,190252,125977.0,11828858.0
2014-02-17,10450,10950,10450,10700,295805,126569.0,11828858.0
2014-02-18,10750,10800,10350,10350,154987,122429.0,11828858.0
2014-02-19,10450,10900,10450,10800,146505,127752.0,11828858.0
2014-02-20,10800,10950,10550,10650,104306,125977.0,11828858.0
2014-02-21,10650,10800,10500,10650,106245,125977.0,11828858.0
2014-02-24,10550,10600,10150,10200,162150,120654.0,11828858.0
2014-02-25,10300,10300,10000,10300,189421,121837.0,11828858.0
2014-02-26,10250,10700,10100,10650,191347,125977.0,11828858.0
2014-02-27,10650,10900,10500,10500,163085,124203.0,11828858.0
2014-02-28,10500,11500,10500,11200,514582,132483.0,11828858.0
2014-03-03,11200,11550,11050,11050,341836,130709.0,11828858.0
2014-03-04,10950,11250,10850,11000,186743,130117.0,11828858.0
2014-03-05,10900,11400,10750,11300,296334,133666.0,11828858.0
2014-03-06,11350,11350,10900,11150,190241,131892.0,11828858.0
2014-03-07,11150,11250,10800,10950,145622,129526.0,11828858.0
2014-03-10,10900,10950,10700,10800,142894,127752.0,11828858.0
2014-03-11,10850,10950,10300,10500,336519,124203.0,11828858.0
2014-03-12,10400,10450,10000,10250,253167,121246.0,11828858.0
2014-03-13,10300,10500,10250,10250,182962,121246.0,11828858.0
2014-03-14,10100,10450,10050,10350,121995,122429.0,11828858.0
2014-03-17,10450,10550,10200,10200,86392,120654.0,11828858.0
2014-03-18,10300,10700,10300,10600,205503,125386.0,11828858.0
2014-03-19,10700,10700,10400,10650,126876,125977.0,11828858.0
2014-03-20,10550,10900,10500,10600,197357,125386.0,11828858.0
2014-03-21,10600,10850,10500,10600,122094,125386.0,11828858.0
2014-03-24,10600,10700,10000,10300,344860,121837.0,11828858.0
2014-03-25,10150,10200,9950,10000,241732,118289.0,11828858.0
2014-03-26,10100,10100,9810,10000,147363,118289.0,11828858.0
2014-03-27,9920,10150,9920,10150,104098,120063.0,11828858.0
2014-03-28,10250,10400,10000,10150,185275,120063.0,11828858.0
2014-03-31,10050,10100,9950,9960,96126,117815.0,11828858.0
2014-04-01,10050,10300,9980,10100,178600,119471.0,11828858.0
2014-04-02,10100,10150,10050,10100,97914,119471.0,11828858.0
2014-04-03,10150,10450,10100,10250,218673,121246.0,11828858.0
2014-04-04,10250,10450,10100,10400,192011,123020.0,11828858.0
2014-04-07,10250,10350,10100,10100,101120,119471.0,11828858.0
2014-04-08,10000,10100,9600,9600,261485,113557.0,11828858.0
2014-04-09,9730,9810,9600,9780,71116,115686.0,11828858.0
2014-04-10,9830,9830,9660,9720,72805,114976.0,11828858.0
2014-04-11,9610,9700,9530,9590,59381,113439.0,11828858.0
2014-04-14,9550,9560,9310,9390,107360,111073.0,11828858.0
2014-04-15,9420,9460,9250,9260,97116,109535.0,11828858.0
2014-04-16,9270,9360,9260,9320,43230,110245.0,11828858.0
2014-04-17,9380,9780,9380,9720,178305,114976.0,11828858.0
2014-04-18,9770,9860,9660,9810,81513,116041.0,11828858.0
2014-04-21,9800,9800,9610,9750,47941,115331.0,11828858.0
2014-04-22,9780,9920,9690,9780,74261,115686.0,11828858.0
2014-04-23,9780,9790,9540,9540,77663,112847.0,11828858.0
2014-04-24,9620,9630,9460,9590,31510,113439.0,11828858.0
2014-04-25,9530,9670,9340,9540,48613,112847.0,11828858.0
2014-04-28,9500,9500,9290,9350,42189,110600.0,11828858.0
2014-04-29,9350,9390,9040,9200,130157,108825.0,11828858.0
2014-04-30,9160,9260,9030,9030,50902,106815.0,11828858.0
2014-05-02,9030,9070,8940,8960,47195,105987.0,11828858.0
2014-05-07,8900,9040,8700,9000,69221,106460.0,11828858.0
2014-05-08,9000,9070,8870,9000,25936,106460.0,11828858.0
2014-05-09,8950,9030,8920,9000,28897,106460.0,11828858.0
2014-05-12,8950,8970,8830,8870,29041,104922.0,11828858.0
2014-05-13,8870,9250,8830,9250,82936,109417.0,11828858.0
2014-05-14,9150,9310,9100,9230,33332,109180.0,11828858.0
2014-05-15,9270,9270,9010,9100,44641,107643.0,11828858.0
2014-05-16,9060,9060,8840,8900,68407,105277.0,11828858.0
2014-05-19,8900,9070,8860,8960,48167,105987.0,11828858.0
2014-05-20,8970,9100,8950,9000,31721,106460.0,11828858.0
2014-05-21,9000,9360,9000,9340,114770,110482.0,11828858.0
2014-05-22,9360,9760,9350,9530,163804,112729.0,11828858.0
2014-05-23,9570,9700,9450,9700,92865,114740.0,11828858.0
2014-05-26,9700,9720,9550,9610,50756,113675.0,11828858.0
2014-05-27,9580,9670,9420,9510,38901,112492.0,11828858.0
2014-05-28,9520,9550,9400,9540,35860,112847.0,11828858.0
2014-05-29,9460,9530,9320,9400,58211,111191.0,11828858.0
2014-05-30,9350,9390,9230,9260,83539,109535.0,11828858.0
2014-06-02,8930,9030,8460,8650,263444,102320.0,11828858.0
2014-06-03,8650,8650,8220,8310,85910,98298.0,11828858.0
2014-06-05,8310,8370,7950,8010,91794,94749.0,11828858.0
2014-06-09,7870,8380,7870,8190,80342,96878.0,11828858.0
2014-06-10,8010,8280,8010,8240,37485,97470.0,11828858.0
2014-06-11,8340,8480,8290,8400,26318,99362.0,11828858.0
2014-06-12,8320,8500,8320,8500,30345,100545.0,11828858.0
2014-06-13,8540,8540,8400,8500,28524,100545.0,11828858.0
2014-06-16,8520,8630,8390,8590,19399,101610.0,11828858.0
2014-06-17,8610,9290,8570,8800,87946,104094.0,11828858.0
2014-06-18,8870,8910,8670,8800,26458,104094.0,11828858.0
2014-06-19,8800,8850,8600,8700,26873,102911.0,11828858.0
2014-06-20,8590,8760,8590,8720,28726,103148.0,11828858.0
2014-06-23,8650,8830,8650,8720,30985,103148.0,11828858.0
2014-06-24,8720,8800,8650,8800,43877,104094.0,11828858.0
2014-06-25,8820,8840,8610,8750,12824,103503.0,11828858.0
2014-06-26,8690,8780,8610,8660,18604,102438.0,11828858.0
2014-06-27,8560,8750,8560,8640,18344,102201.0,11828858.0
2014-06-30,8650,8650,8450,8560,18623,101255.0,11828858.0
2014-07-01,8560,8560,8400,8450,38708,99954.0,11828858.0
2014-07-02,8530,8530,8350,8410,46249,99481.0,11828858.0
2014-07-03,8410,8500,8400,8500,26820,100545.0,11828858.0
2014-07-04,8500,9050,8420,9050,135820,107051.0,11828858.0
2014-07-07,9050,9220,9010,9150,57645,108234.0,11828858.0
2014-07-08,9100,9310,9070,9310,50758,110127.0,11828858.0
2014-07-09,9290,9290,9020,9230,65215,109180.0,11828858.0
2014-07-10,9180,9200,9040,9120,31897,107879.0,11828858.0
2014-07-11,9100,9160,9030,9040,22051,106933.0,11828858.0
2014-07-14,9020,9400,8930,9320,98150,110245.0,11828858.0
2014-07-15,9370,9480,9330,9410,71598,111310.0,11828858.0
2014-07-16,9410,9660,9270,9640,104361,114030.0,11828858.0
2014-07-17,9740,9890,9580,9580,191466,113320.0,11828858.0
2014-07-18,9500,9620,9330,9580,100729,113320.0,11828858.0
2014-07-21,9520,9750,9510,9710,44282,114858.0,11828858.0
2014-07-22,9740,9820,9640,9700,69214,114740.0,11828858.0
2014-07-23,9680,9890,9680,9790,80772,115805.0,11828858.0
2014-07-24,9800,9880,9600,9770,99150,115568.0,11828858.0
2014-07-25,9870,9960,9770,9800,81712,115923.0,11828858.0
2014-07-28,9800,9840,9460,9460,46164,111901.0,11828858.0
2014-07-29,9390,9540,9170,9400,93457,111191.0,11828858.0
2014-07-30,9450,9600,9300,9460,75572,111901.0,11828858.0
2014-07-31,9550,9560,9380,9530,49488,112729.0,11828858.0
2014-08-01,9450,9870,9450,9610,103793,113675.0,11828858.0
2014-08-04,9650,9870,9600,9830,89277,116278.0,11828858.0
2014-08-05,9880,9880,9690,9820,94298,116159.0,11828858.0
2014-08-06,9900,9910,9790,9850,58889,116514.0,11828858.0
2014-08-07,9850,9980,9570,9570,65592,113202.0,11828858.0
2014-08-08,9570,9640,9410,9470,59852,112019.0,11828858.0
2014-08-11,9570,9790,9520,9610,60930,113675.0,11828858.0
2014-08-12,9780,9860,9580,9690,85267,114622.0,11828858.0
2014-08-13,9750,9840,9610,9840,133755,116396.0,11828858.0
2014-08-14,9870,10300,9790,10200,334949,120654.0,11828858.0
2014-08-18,10250,10500,10150,10450,151241,123612.0,11828858.0
2014-08-19,10450,10450,10150,10250,131849,121246.0,11828858.0
2014-08-20,10250,10350,10100,10300,73753,121837.0,11828858.0
2014-08-21,10300,10650,10150,10500,186489,124203.0,11828858.0
2014-08-22,10550,11050,10550,10750,366853,127160.0,11828858.0
2014-08-25,10800,10850,10500,10700,122883,126569.0,11828858.0
2014-08-26,10750,10800,10400,10400,133762,123020.0,11828858.0
2014-08-27,10350,10450,10150,10350,126286,122429.0,11828858.0
2014-08-28,10350,10500,10150,10200,81520,120654.0,11828858.0
2014-08-29,10350,10400,10050,10250,69985,121246.0,11828858.0
2014-09-01,10000,10050,9530,9530,242375,112729.0,11828858.0
2014-09-02,9500,9620,9360,9500,85440,112374.0,11828858.0
2014-09-03,9550,9550,9430,9550,66781,112966.0,11828858.0
2014-09-04,9600,9670,9540,9600,92447,113557.0,11828858.0
2014-09-05,9600,9650,9450,9650,82134,114148.0,11828858.0
2014-09-11,9650,9730,9590,9700,66986,114740.0,11828858.0
2014-09-12,9700,9730,9540,9540,72351,112847.0,11828858.0
2014-09-15,9450,9590,9120,9220,97112,109062.0,11828858.0
2014-09-16,9300,9400,9260,9370,45244,110836.0,11828858.0
2014-09-17,9400,9680,9400,9650,62539,114148.0,11828858.0
2014-09-18,9700,9940,9640,9750,99864,115331.0,11828858.0
2014-09-19,9850,9850,9650,9770,41579,115568.0,11828858.0
2014-09-22,9750,9760,9360,9450,103640,111783.0,11828858.0
2014-09-23,9450,9520,9270,9440,46880,111664.0,11828858.0
2014-09-24,9330,9440,9300,9420,64603,111428.0,11828858.0
2014-09-25,9400,9540,9380,9480,21439,112138.0,11828858.0
2014-09-26,9470,9470,9290,9310,40098,110127.0,11828858.0
2014-09-29,9400,9400,9060,9130,38019,107997.0,11828858.0
2014-09-30,9130,9250,9100,9230,18786,109180.0,11828858.0
2014-10-01,9200,9450,9150,9160,49863,108352.0,11828858.0
