삼성전자(005930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1776,1776,1624,1693,666160,10688976.0,123571976.0
1999-01-05,1692,1712,1649,1673,643209,10565404.0,123571976.0
1999-01-06,1702,1720,1651,1718,645110,10849619.0,123571976.0
1999-01-07,1761,1858,1723,1841,1412320,11628123.0,123571976.0
1999-01-08,1802,1839,1741,1742,830500,10997906.0,123571976.0
1999-01-11,1780,1800,1780,1790,710689,11306836.0,123571976.0
1999-01-12,1886,1886,1723,1743,573720,11010263.0,123571976.0
1999-01-13,1741,1741,1706,1732,386490,10936120.0,123571976.0
1999-01-14,1676,1702,1653,1702,505121,10750762.0,123571976.0
1999-01-15,1702,1755,1692,1742,331251,10997906.0,123571976.0
1999-01-18,1800,1800,1745,1777,474000,11220335.0,123571976.0
1999-01-19,1761,1790,1719,1769,365490,11170907.0,123571976.0
1999-01-20,1790,1839,1761,1800,977480,11368622.0,123571976.0
1999-01-21,1780,1810,1723,1751,562704,11059692.0,123571976.0
1999-01-22,1751,1751,1604,1605,448442,10132902.0,123571976.0
1999-01-25,1643,1702,1608,1683,654250,10627190.0,123571976.0
1999-01-26,1755,1766,1684,1685,536840,10639547.0,123571976.0
1999-01-27,1702,1798,1700,1787,784947,11282121.0,123571976.0
1999-01-28,1786,1817,1774,1808,789332,11418051.0,123571976.0
1999-01-29,1790,1806,1753,1759,510570,11109121.0,123571976.0
1999-02-01,1800,1800,1763,1788,238890,11294479.0,123571976.0
1999-02-02,1788,1788,1739,1747,315480,11034977.0,123571976.0
1999-02-03,1718,1731,1684,1693,342576,10688976.0,123571976.0
1999-02-04,1702,1712,1663,1702,363810,10750762.0,123571976.0
1999-02-05,1692,1761,1653,1761,695955,11121478.0,123571976.0
1999-02-08,1680,1751,1680,1702,380690,10750762.0,123571976.0
1999-02-09,1682,1698,1657,1675,381820,10577761.0,123571976.0
1999-02-10,1653,1675,1604,1634,664282,10318260.0,123571976.0
1999-02-11,1661,1678,1643,1644,287590,10380046.0,123571976.0
1999-02-12,1682,1751,1667,1743,403600,11010263.0,123571976.0
1999-02-18,1712,1721,1682,1687,440930,10651904.0,123571976.0
1999-02-19,1663,1663,1602,1653,503847,10441832.0,123571976.0
1999-02-22,1624,1624,1583,1605,390357,10132902.0,123571976.0
1999-02-23,1616,1624,1538,1595,489420,10071116.0,123571976.0
1999-02-24,1586,1637,1579,1605,450797,10918462.0,133151976.0
1999-02-25,1584,1667,1577,1644,428566,11184766.0,133151976.0
1999-02-26,1663,1696,1653,1687,444970,11477700.0,133151976.0
1999-03-02,1704,1712,1657,1657,419963,11277972.0,133151976.0
1999-03-03,1663,1690,1635,1642,346979,11171451.0,133151976.0
1999-03-04,1641,1641,1610,1616,218289,10998353.0,133151976.0
1999-03-05,1604,1643,1596,1620,260752,11024984.0,133151976.0
1999-03-08,1653,1716,1647,1700,425791,11570907.0,133151976.0
1999-03-09,1700,1712,1684,1712,464166,11650798.0,133151976.0
1999-03-10,1708,1708,1643,1667,312011,11344548.0,133151976.0
1999-03-11,1653,1712,1643,1691,685802,11504331.0,133151976.0
1999-03-12,1716,1716,1688,1716,349850,11677428.0,133151976.0
1999-03-15,1716,1727,1688,1698,416435,11557592.0,133151976.0
1999-03-16,1700,1716,1696,1706,297728,11610852.0,133151976.0
1999-03-17,1751,1761,1712,1722,398828,11717374.0,133151976.0
1999-03-18,1735,1800,1723,1736,606874,11810580.0,133151976.0
1999-03-19,1761,1894,1759,1853,1298440,12609492.0,133151976.0
1999-03-22,1878,2025,1841,1947,1575773,13248622.0,133151976.0
1999-03-23,1956,1995,1923,1937,641837,13182046.0,133151976.0
1999-03-24,1937,1937,1884,1892,580796,12875796.0,133151976.0
1999-03-25,1894,1937,1841,1859,620630,12649438.0,133151976.0
1999-03-26,1858,1896,1819,1820,471650,12383134.0,133151976.0
1999-03-29,1735,1827,1735,1810,605308,12316558.0,133151976.0
1999-03-30,1856,1882,1839,1859,509939,12649438.0,133151976.0
1999-03-31,1825,1862,1825,1859,321202,12649438.0,133151976.0
1999-04-01,1860,1888,1839,1878,388500,12782590.0,133151976.0
1999-04-02,1878,1937,1864,1878,272639,12782590.0,133151976.0
1999-04-06,1878,1927,1855,1859,508559,12649438.0,133151976.0
1999-04-07,1858,1954,1843,1918,1160590,13048894.0,133151976.0
1999-04-08,1907,1935,1878,1902,462018,12942372.0,133151976.0
1999-04-09,1933,1937,1866,1933,531670,13155415.0,133151976.0
1999-04-12,1933,1933,1858,1873,528800,12742644.0,133151976.0
1999-04-13,1874,1894,1862,1867,370175,12702699.0,133151976.0
1999-04-14,1915,1915,1839,1839,541010,12516286.0,133151976.0
1999-04-15,1858,1907,1858,1882,434226,12809220.0,133151976.0
1999-04-16,1884,2113,1884,1957,1179779,13315198.0,133151976.0
1999-04-19,2064,2181,2015,2172,1238429,14779869.0,133151976.0
1999-04-20,2172,2230,2054,2094,735432,14247261.0,133151976.0
1999-04-21,2054,2083,1947,1947,662461,13248622.0,133151976.0
1999-04-22,1956,1976,1905,1953,928226,13288567.0,133151976.0
1999-04-23,1952,2093,1941,1996,588279,13581502.0,133151976.0
1999-04-26,1995,2035,1927,1976,941633,13448350.0,133151976.0
1999-04-27,1976,2035,1907,1925,1090788,13102154.0,133151976.0
1999-04-28,1917,1954,1909,1925,608370,13102154.0,133151976.0
1999-04-29,1917,1917,1819,1820,739553,12383134.0,133151976.0
1999-04-30,1817,1817,1757,1788,1128711,12170091.0,133151976.0
1999-05-03,1798,1800,1770,1785,435785,12143460.0,133151976.0
1999-05-04,1790,1829,1761,1761,554765,11983678.0,133151976.0
1999-05-06,1780,1878,1774,1816,1127199,12356503.0,133151976.0
1999-05-07,1854,1927,1845,1867,964737,12702699.0,133151976.0
1999-05-10,1870,1927,1845,1920,504842,13062209.0,133151976.0
1999-05-11,1917,1917,1827,1830,647789,12449710.0,133151976.0
1999-05-12,1819,1827,1745,1810,942356,12316558.0,133151976.0
1999-05-13,1840,1850,1794,1798,580832,11970363.0,133151976.0
1999-05-14,1830,1930,1820,1880,816407,12516286.0,133151976.0
1999-05-17,1840,1860,1808,1808,579474,12036939.0,133151976.0
