한신공영(004960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,52929,59036,52929,59035,4290,4530.0,1561945.0
1999-01-05,59036,59036,52929,52928,7210,4061.0,1561945.0
1999-01-06,53946,54964,47229,54964,9770,4217.0,1561945.0
1999-01-07,55168,55168,49061,53946,10910,4139.0,1561945.0
1999-01-08,53743,53946,50893,50892,17190,3905.0,1561945.0
1999-01-11,48857,53336,48857,52928,13730,4061.0,1561945.0
1999-01-12,55168,55168,52929,53946,20700,4139.0,1561945.0
1999-01-13,54048,55066,51911,55066,28640,4225.0,1561945.0
1999-01-14,55066,55066,52929,53946,39240,4139.0,1561945.0
1999-01-15,54964,61988,54964,61987,26300,4756.0,1561945.0
1999-01-18,60868,61988,59138,61885,33490,4748.0,1561945.0
1999-01-19,61071,67382,59036,59035,20260,4530.0,1561945.0
1999-01-20,59036,59036,57000,57610,9910,4420.0,1561945.0
1999-01-21,49061,57000,49061,51300,12950,3936.0,1561945.0
1999-01-22,50689,54964,50689,52928,7980,4061.0,1561945.0
1999-01-25,56796,56796,50893,50892,6790,3905.0,1561945.0
1999-01-26,50893,54964,50893,50892,10280,3905.0,1561945.0
1999-01-27,48857,52929,47839,50689,5060,3889.0,1561945.0
1999-01-28,52929,53132,50893,53132,9960,4077.0,1561945.0
1999-01-29,53946,53946,50893,53132,5190,4077.0,1561945.0
1999-02-01,53132,57204,51096,54862,15840,4209.0,1561945.0
1999-02-02,57000,57000,53946,53946,6050,4139.0,1561945.0
1999-02-03,52929,53946,51096,51300,16440,3936.0,1561945.0
1999-02-04,52725,52725,50893,51096,5190,3920.0,1561945.0
1999-02-05,52929,52929,48857,51096,8760,3920.0,1561945.0
1999-02-08,51300,52013,50893,51300,3390,3936.0,1561945.0
1999-02-09,44786,48857,44786,46821,8050,3592.0,1561945.0
1999-02-10,42954,50893,42954,50689,4790,3889.0,1561945.0
1999-02-11,50486,50486,47229,47228,4670,3624.0,1561945.0
1999-02-12,47839,49875,47025,48857,6340,3749.0,1561945.0
1999-02-18,48857,48857,48857,48857,2100,3749.0,1561945.0
1999-02-19,48857,48857,46821,47025,2310,3608.0,1561945.0
1999-02-22,41732,48246,41732,46821,2060,3592.0,1561945.0
1999-02-23,45600,45702,44786,44785,3740,3436.0,1561945.0
1999-02-24,44786,47839,42750,42750,7070,3280.0,1561945.0
1999-02-25,42750,42852,40714,41223,950,3163.0,1561945.0
1999-02-26,38882,42546,38882,42546,6780,3264.0,1561945.0
1999-03-02,38882,42750,38882,42750,9070,3280.0,1561945.0
1999-03-03,42750,43768,38679,40714,4260,3124.0,1561945.0
1999-03-04,40714,42750,40714,42546,1800,3264.0,1561945.0
1999-03-05,40714,40816,40714,40816,4830,3132.0,1561945.0
1999-03-08,39289,44786,39289,43971,17760,3374.0,1561945.0
1999-03-09,44888,44989,40714,42750,8350,3280.0,1561945.0
1999-03-10,42750,44582,42750,44582,2270,3421.0,1561945.0
1999-03-11,44684,45193,44684,44785,14360,3436.0,1561945.0
1999-03-12,48857,48857,44786,48857,20880,3749.0,1561945.0
1999-03-15,48857,48857,46821,46821,43310,3592.0,1561945.0
1999-03-16,47025,48654,47025,48450,22740,3717.0,1561945.0
1999-03-17,48246,48348,46821,46821,17920,3592.0,1561945.0
1999-03-18,46821,46821,46211,46210,13930,3546.0,1561945.0
1999-03-19,46211,46211,43768,44175,7820,3389.0,1561945.0
1999-03-22,44175,44175,43768,43971,15570,3374.0,1561945.0
1999-03-23,43971,44379,43768,43767,20820,3358.0,1561945.0
