웅진씽크빅(095720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-05-31,18222,18618,16875,18342,789572,564495.0,24384228.0
2007-06-01,18578,18658,17311,17312,507828,532795.0,24384228.0
2007-06-04,17430,17707,16400,16638,583314,512069.0,24384228.0
2007-06-05,16598,18975,16518,18896,587001,583971.0,24485152.0
2007-06-07,18896,19925,18261,19491,556657,602335.0,24485152.0
2007-06-08,19252,20004,18658,19371,443266,598662.0,24485152.0
2007-06-11,19925,19925,18658,18659,247712,576625.0,24485152.0
2007-06-12,18658,19173,17905,18500,264305,571728.0,24485152.0
2007-06-13,18302,19093,18024,18144,212990,560710.0,24485152.0
2007-06-14,18302,18499,17905,18144,228973,560710.0,24485152.0
2007-06-15,18302,18618,18143,18500,233684,571728.0,24485152.0
2007-06-18,18539,19450,18420,18738,904669,579074.0,24485152.0
2007-06-19,19331,19529,18935,19095,400714,590092.0,24485152.0
2007-06-20,19173,19292,18777,19016,212814,587644.0,24485152.0
2007-06-21,19093,19252,18341,18421,276683,569280.0,24485152.0
2007-06-22,18460,18737,17430,17628,343807,544795.0,24485152.0
2007-06-25,17628,17667,16796,16876,426683,521534.0,24485152.0
2007-06-26,16835,17034,15885,16044,279686,495824.0,24485152.0
2007-06-27,16123,16321,15727,15846,443718,489703.0,24485152.0
2007-06-28,16321,17746,16162,17549,523105,542346.0,24485152.0
2007-06-29,17905,17945,17390,17431,218640,538673.0,24485152.0
2007-07-02,17509,18222,17192,18184,134012,561934.0,24485152.0
2007-07-03,18420,18697,18103,18460,145304,570504.0,24485152.0
2007-07-04,18539,18539,17905,17985,153494,555813.0,24485152.0
2007-07-05,17628,17985,17430,17431,236411,538673.0,24485152.0
2007-07-06,17746,18024,16954,17193,301858,531328.0,24485152.0
2007-07-09,17509,17588,16954,17193,156893,531328.0,24485152.0
2007-07-10,17271,17311,16717,17034,180342,526431.0,24485152.0
2007-07-11,16677,17034,16677,16797,176810,519085.0,24485152.0
2007-07-12,16796,17430,16796,17193,147793,531328.0,24485152.0
2007-07-13,17430,17430,16321,16321,376884,504394.0,24485152.0
2007-07-16,16241,16835,16241,16321,198946,504394.0,24485152.0
2007-07-18,16321,16559,16202,16401,229251,506843.0,24485152.0
2007-07-19,16281,16994,16281,16717,229914,516637.0,24485152.0
2007-07-20,16875,16914,16241,16599,518251,512964.0,24485152.0
2007-07-23,16321,16598,16162,16163,206286,499497.0,24485152.0
2007-07-24,16082,16082,15528,15569,298957,481133.0,24485152.0
2007-07-25,15409,15845,15409,15688,188026,484806.0,24485152.0
2007-07-26,15687,15687,15370,15410,235589,476236.0,24485152.0
2007-07-27,15092,15251,14816,14895,166551,460321.0,24485152.0
2007-07-30,14816,14974,14419,14816,96375,457872.0,24485152.0
2007-07-31,14736,14816,14459,14499,223003,448078.0,24485152.0
2007-08-01,14538,14855,13785,13865,445081,428490.0,24485152.0
2007-08-02,14102,14221,13548,13905,283850,429714.0,24485152.0
2007-08-03,14102,15330,14102,14974,316834,462769.0,24485152.0
2007-08-06,14538,14934,14380,14856,138858,459097.0,24485152.0
2007-08-07,15013,15132,14538,14737,109942,455424.0,24485152.0
2007-08-08,14895,14934,14459,14776,112286,456648.0,24485152.0
2007-08-09,14895,14934,14657,14737,127362,455424.0,24485152.0
2007-08-10,14380,14498,13904,14103,103176,435836.0,24485152.0
2007-08-13,13984,14221,13864,13945,64488,430939.0,24485152.0
2007-08-14,14023,14260,13785,13826,113011,427266.0,24485152.0
2007-08-16,13152,13468,12201,12954,173881,400332.0,24485152.0
2007-08-17,12478,12676,11963,12637,191478,390538.0,24485152.0
2007-08-20,12637,13231,12637,13152,129289,406454.0,24485152.0
2007-08-21,13032,13706,12834,13627,106036,421145.0,24485152.0
2007-08-22,13627,13864,13152,13588,153668,419920.0,24485152.0
2007-08-23,13825,14023,13587,13945,124942,430939.0,24485152.0
2007-08-24,13785,14023,13152,13945,95430,430939.0,24485152.0
2007-08-27,13944,14023,13864,13905,65006,429714.0,24485152.0
2007-08-28,13904,14023,13428,13984,139865,432163.0,24485152.0
2007-08-29,13508,13825,13310,13826,98950,427266.0,24485152.0
2007-08-30,14023,14023,13666,13984,98882,432163.0,24485152.0
2007-08-31,13984,14142,13904,14103,68602,435836.0,24485152.0
2007-09-03,14102,14380,13984,14183,52532,438284.0,24485152.0
2007-09-04,14459,14459,14102,14222,38637,439508.0,24485152.0
2007-09-05,14260,14339,13508,13627,104661,421145.0,24485152.0
2007-09-06,13468,13745,13468,13667,21657,422369.0,24485152.0
2007-09-07,13864,13864,13389,13469,35770,416248.0,24485152.0
2007-09-10,13191,13270,12914,12915,64268,399108.0,24485152.0
2007-09-11,12716,13152,12716,13033,78025,402781.0,24485152.0
2007-09-12,13152,13191,12874,12915,33026,399108.0,24485152.0
2007-09-13,12716,13032,12716,12954,24467,400332.0,24485152.0
2007-09-14,12795,13231,12795,12954,122923,400332.0,24485152.0
2007-09-17,12993,13152,12874,12915,152160,399108.0,24485152.0
2007-09-18,12914,13349,12834,13152,39330,406454.0,24485152.0
2007-09-19,13428,13666,13191,13667,52380,422369.0,24485152.0
2007-09-20,13785,13944,13389,13667,51232,422369.0,24485152.0
2007-09-21,13468,13864,13270,13826,59955,427266.0,24485152.0
2007-09-27,13864,14577,13864,14380,95565,444406.0,24485152.0
2007-09-28,14419,15330,14419,15252,227790,471339.0,24485152.0
2007-10-01,15211,15607,15013,15370,98683,475012.0,24485152.0
2007-10-02,15607,15607,14895,15370,100936,475012.0,24485152.0
2007-10-04,15053,15489,15053,15490,69230,478685.0,24485152.0
2007-10-05,15489,15647,15013,15173,55664,468891.0,24485152.0
2007-10-08,14974,14974,14063,14658,166349,452975.0,24485152.0
2007-10-09,14498,14657,14221,14459,42551,446854.0,24485152.0
2007-10-10,14419,15211,14300,14974,66154,462769.0,24485152.0
2007-10-11,15053,15449,14816,14895,65317,460321.0,24485152.0
2007-10-12,14736,14895,14181,14538,76827,449303.0,24485152.0
2007-10-15,14775,15449,14775,15450,138473,477460.0,24485152.0
2007-10-16,15409,16559,15291,16202,279285,500721.0,24485152.0
2007-10-17,16202,16638,15687,16361,208851,505618.0,24485152.0
2007-10-18,16400,16835,15845,16440,139981,508067.0,24485152.0
2007-10-19,16559,16559,15885,15885,72522,490927.0,24485152.0
2007-10-22,14895,15647,14538,15529,103047,479909.0,24485152.0
2007-10-23,15845,16003,15370,15648,88983,483582.0,24485152.0
2007-10-24,15607,15687,14816,15054,79806,465218.0,24485152.0
2007-10-25,15053,15251,14459,14459,169334,446854.0,24485152.0
2007-10-26,14577,14895,14260,14895,1097008,460321.0,24485152.0
2007-10-29,15766,15845,14934,15212,311043,470115.0,24485152.0
2007-10-30,15568,16321,15409,15806,468620,488479.0,24485152.0
2007-10-31,15924,16162,15489,15846,315813,489703.0,24485152.0
2007-11-01,16082,16638,15924,16401,483769,506843.0,24485152.0
2007-11-02,15964,16439,15806,16005,207465,494600.0,24485152.0
2007-11-05,15766,16003,14815,15212,327126,470115.0,24485152.0
2007-11-06,14934,15330,14816,15291,187314,472563.0,24485152.0
2007-11-07,15409,15489,14300,14301,286788,441957.0,24485152.0
2007-11-08,14102,14102,13191,13271,367470,410126.0,24485152.0
2007-11-09,13666,13904,13349,13706,158428,423593.0,24485152.0
2007-11-12,13349,13944,13231,13945,88856,430939.0,24485152.0
2007-11-13,14142,14775,13984,14658,154780,452975.0,24485152.0
2007-11-14,14895,15053,14419,14618,125201,451751.0,24485152.0
2007-11-15,14657,14775,14339,14776,86990,456648.0,24485152.0
2007-11-16,14538,14736,14380,14737,53050,455424.0,24485152.0
2007-11-19,14736,14816,14102,14262,44441,440733.0,24485152.0
2007-11-20,14181,14181,13468,13945,61290,430939.0,24485152.0
2007-11-21,13944,14023,13548,13667,51780,422369.0,24485152.0
2007-11-22,13508,13706,13310,13351,52858,412575.0,24485152.0
2007-11-23,13349,13587,12280,12795,120861,395435.0,24485152.0
2007-11-26,13072,13468,12834,13351,49211,414358.0,24590997.0
2007-11-27,13112,13508,12795,13509,54919,419276.0,24590997.0
2007-11-28,13548,13984,13508,13588,78180,421736.0,24590997.0
2007-11-29,13785,14181,13785,13905,40801,431572.0,24590997.0
2007-11-30,13904,14023,13627,13865,61330,430342.0,24590997.0
2007-12-03,13706,13984,13587,13667,46276,424195.0,24590997.0
2007-12-04,13508,13785,13349,13469,68526,418047.0,24590997.0
2007-12-05,13468,13587,13152,13152,164421,408211.0,24590997.0
2007-12-06,13310,13468,13152,13351,80335,414358.0,24590997.0
2007-12-07,13389,13785,13349,13667,75656,424195.0,24590997.0
2007-12-10,13548,13706,13310,13548,45220,420506.0,24590997.0
2007-12-11,13864,14260,13825,14262,171573,442638.0,24590997.0
2007-12-12,13944,14260,13785,14222,91690,441408.0,24590997.0
2007-12-13,14380,14380,13864,13865,49471,430342.0,24590997.0
2007-12-14,14023,14339,13864,14262,72446,442638.0,24590997.0
2007-12-17,14260,14339,13864,13984,32440,434031.0,24590997.0
2007-12-18,13904,14775,13825,14776,108301,458622.0,24590997.0
2007-12-20,15053,15053,14657,14658,64237,454933.0,24590997.0
2007-12-21,14855,14895,14339,14341,75207,445097.0,24590997.0
2007-12-24,14577,15053,14339,14935,88501,463540.0,24590997.0
2007-12-26,15211,15449,14895,15173,110205,470918.0,24590997.0
2007-12-27,14934,15211,14934,15014,46506,467282.0,24658691.0
2007-12-28,15013,15053,14934,15054,47180,468515.0,24658691.0
2008-01-02,14934,15053,14459,14578,51499,453720.0,24658691.0
2008-01-03,14538,16082,14339,15688,259398,488242.0,24658691.0
2008-01-04,16043,17470,16003,16440,866867,511668.0,24658691.0
2008-01-07,16241,17826,16123,17510,811651,544957.0,24658691.0
2008-01-08,17905,17945,16914,17431,447352,542491.0,24658691.0
2008-01-09,17073,17746,17034,17431,278924,542491.0,24658691.0
2008-01-10,17667,18182,17350,18184,341189,565917.0,24658691.0
2008-01-11,18420,18578,16677,16837,230320,523997.0,24658691.0
2008-01-14,16835,17153,16003,16797,280559,522764.0,24658691.0
2008-01-15,16914,17113,16518,16876,210431,525230.0,24658691.0
2008-01-16,16796,17430,16518,16876,288041,525230.0,24658691.0
2008-01-17,17311,17826,16875,17827,212365,554821.0,24658691.0
2008-01-18,17509,18460,17509,18460,273526,574548.0,24658691.0
2008-01-21,18618,18618,18064,18460,172109,574548.0,24658691.0
2008-01-22,17985,18064,15845,16163,268950,503037.0,24658691.0
2008-01-23,16835,17390,15449,16163,202035,503037.0,24658691.0
2008-01-24,16638,17826,16321,17827,207414,554821.0,24658691.0
2008-01-25,18222,18302,17470,17589,167851,547423.0,24658691.0
2008-01-28,17192,17470,16638,17272,109458,537559.0,24658691.0
2008-01-29,17826,18064,17271,17787,119041,553588.0,24658691.0
2008-01-30,17786,18420,17628,17945,146795,558519.0,24658691.0
2008-01-31,17628,18460,17192,18460,240373,574548.0,24658691.0
2008-02-01,18261,18777,17588,17669,135504,549889.0,24658691.0
2008-02-04,17945,19331,17153,19016,268469,591809.0,24658691.0
2008-02-05,18975,19410,18618,18857,157643,586877.0,24658691.0
2008-02-11,18302,19728,18302,19491,198476,606604.0,24658691.0
2008-02-12,19767,19767,19133,19728,216776,614001.0,24658691.0
2008-02-13,19569,19767,18578,19253,125696,599206.0,24658691.0
2008-02-14,19252,19450,18618,18619,157350,579479.0,24658691.0
2008-02-15,18261,18896,18103,18381,298660,572082.0,24658691.0
2008-02-18,18499,18935,18261,18421,80164,573315.0,24658691.0
2008-02-19,18618,19014,18261,18698,139964,581945.0,24658691.0
2008-02-20,18539,19093,18499,19095,277202,594274.0,24658691.0
2008-02-21,19093,19331,18658,18896,171775,588110.0,24658691.0
2008-02-22,18539,19014,17866,19016,166044,591809.0,24658691.0
2008-02-25,19014,19965,18935,19927,374596,620166.0,24658691.0
2008-02-26,20124,20836,20124,20600,491613,641126.0,24658691.0
2008-02-27,21154,21154,19965,20243,217972,630030.0,24658691.0
2008-02-28,20520,20520,19965,20203,91305,628797.0,24658691.0
2008-02-29,20045,20282,19292,19371,124703,602905.0,24658691.0
2008-03-03,18737,19609,18737,19570,94881,609070.0,24658691.0
2008-03-04,20004,20004,19133,19134,73690,595507.0,24658691.0
2008-03-05,19133,19728,19133,19412,80988,604138.0,24658691.0
2008-03-06,19649,20203,19331,20164,111774,627564.0,24658691.0
2008-03-07,19807,20361,19649,20164,74834,627564.0,24658691.0
2008-03-10,19807,19886,18460,18500,84470,575780.0,24658691.0
2008-03-11,18499,19965,18499,19887,71796,618933.0,24658691.0
2008-03-12,20322,20322,19490,19491,54595,606604.0,24658691.0
2008-03-13,19807,20045,18856,19016,42922,591809.0,24658691.0
2008-03-14,19569,19569,18302,19174,60512,596740.0,24658691.0
2008-03-17,18935,18935,17826,18460,49910,574548.0,24658691.0
2008-03-18,18341,18697,17985,18698,43166,581945.0,24658691.0
2008-03-19,19173,19410,18618,19412,34140,604138.0,24658691.0
2008-03-20,18975,19331,18697,19332,15220,601672.0,24658691.0
2008-03-21,19410,19490,18777,18777,29237,584411.0,24658691.0
2008-03-24,18856,19252,18618,18659,31583,580712.0,24658691.0
2008-03-25,18658,18856,17826,18619,170271,579479.0,24658691.0
2008-03-26,18341,18460,17311,17827,187755,554821.0,24658691.0
2008-03-27,17667,17985,16638,16638,233666,517833.0,24658691.0
2008-03-28,16835,17192,16518,16916,191021,526463.0,24658691.0
2008-03-31,17113,17153,16360,16480,176883,512901.0,24658691.0
2008-04-01,16559,17430,16559,17431,179370,542491.0,24658691.0
2008-04-02,17509,17985,17192,17193,245634,535094.0,24658691.0
2008-04-03,17311,17588,16559,16599,167974,516600.0,24658691.0
2008-04-04,16638,16717,15766,16084,270639,500571.0,24658691.0
2008-04-07,16241,16756,16082,16242,191655,505503.0,24658691.0
2008-04-08,16360,17153,16162,16955,191660,527696.0,24658691.0
2008-04-10,17271,17588,16954,17034,191200,530162.0,24658691.0
2008-04-11,17113,17470,16638,17352,119927,540025.0,24658691.0
2008-04-14,17430,17667,17113,17470,185374,543724.0,24658691.0
2008-04-15,17628,19172,17549,19134,375983,595507.0,24658691.0
2008-04-16,20004,20163,18817,18817,386220,585644.0,24658691.0
2008-04-17,19252,19807,18856,19649,172610,611536.0,24658691.0
2008-04-18,19490,19925,19213,19768,176673,615234.0,24658691.0
2008-04-21,19767,19886,19014,19016,138379,591809.0,24658691.0
2008-04-22,19014,19450,18856,19253,143899,599206.0,24658691.0
2008-04-23,19410,20045,19173,19649,173526,611536.0,24658691.0
2008-04-24,19410,19965,19252,19253,74029,599206.0,24658691.0
2008-04-25,19252,19965,19252,19966,155660,621399.0,24658691.0
2008-04-28,20124,20401,19846,20045,130430,623865.0,24658691.0
2008-04-29,19925,19965,18896,19966,102994,621399.0,24658691.0
2008-04-30,19965,19965,19371,19807,69552,616467.0,24658691.0
2008-05-02,19807,20480,19490,20243,137522,630030.0,24658691.0
2008-05-06,20045,20678,20045,20639,93704,642359.0,24658691.0
2008-05-07,20757,21708,20480,21234,222211,660853.0,24658691.0
2008-05-08,21193,21312,20836,20917,64475,650989.0,24658691.0
