동원시스템즈(014820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,36575,37475,35965,36906,648600,92892.0,2381856.0
1999-01-05,37476,39746,35966,37946,866500,95512.0,2381856.0
1999-01-06,38806,43627,38146,42867,1461900,107898.0,2381856.0
1999-01-07,42919,45149,41169,43530,1249500,109565.0,2381856.0
1999-01-08,43534,43724,42114,42205,721800,106231.0,2381856.0
1999-01-11,42202,47792,42202,45422,1308400,114329.0,2381856.0
1999-01-12,47316,47316,43535,44476,767000,111947.0,2381856.0
1999-01-13,45529,46189,44578,44949,591400,113138.0,2381856.0
1999-01-14,44003,44483,40223,41353,544700,104087.0,2381856.0
1999-01-15,40690,43430,40690,42110,493400,105993.0,2381856.0
1999-01-18,42587,47317,42307,45328,776900,114091.0,2381856.0
1999-01-19,45340,45340,42689,43530,436500,109565.0,2381856.0
1999-01-20,43154,43344,40793,41164,408900,103611.0,2381856.0
1999-01-21,40797,40797,37007,37757,584800,95036.0,2381856.0
1999-01-22,36439,37389,35119,35959,400900,90511.0,2381856.0
1999-01-25,36432,37662,35962,36432,535000,91701.0,2381856.0
1999-01-26,37770,37770,34169,34540,407500,86938.0,2381856.0
1999-01-27,34545,35496,34545,35486,227900,89320.0,2381856.0
1999-01-28,35010,36910,35010,35770,221900,90034.0,2381856.0
1999-01-29,34548,36818,34548,36149,168100,90987.0,2381856.0
1999-02-01,36344,37764,35964,37095,238400,93369.0,2381856.0
1999-02-02,37764,37764,35533,36054,258600,90749.0,2381856.0
1999-02-03,36059,36819,34739,34729,303700,87414.0,2381856.0
1999-02-04,35016,35396,33886,34067,156400,85747.0,2381856.0
1999-02-05,35012,35112,34162,35013,164900,88129.0,2381856.0
1999-02-08,35775,35775,34265,34445,100200,86700.0,2381856.0
1999-02-09,34452,34452,32362,32553,220100,81936.0,2381856.0
1999-02-10,32174,32654,31423,32174,362600,80983.0,2381856.0
1999-02-11,32554,33594,32174,32174,229500,80983.0,2381856.0
1999-02-12,31804,34545,31804,34445,204700,86700.0,2381856.0
1999-02-18,34545,34545,33034,33215,147100,83603.0,2381856.0
1999-02-19,32987,32987,32277,32647,295700,82174.0,2381856.0
1999-02-22,31612,33122,31512,32553,156200,81936.0,2381856.0
1999-02-23,32552,33032,31232,32553,101900,81936.0,2381856.0
1999-02-24,32084,33124,31704,32174,201100,80983.0,2381856.0
1999-02-25,31702,32172,31232,31322,54400,78839.0,2381856.0
1999-02-26,31980,32170,31510,31701,46900,79792.0,2381856.0
1999-03-02,32840,33120,32360,33120,207800,83365.0,2381856.0
1999-03-03,33318,33598,33128,33499,169200,84318.0,2381856.0
1999-03-04,33128,33888,32658,33499,99700,84318.0,2381856.0
1999-03-05,32930,34820,32930,34351,336600,86461.0,2381856.0
1999-03-08,35016,36157,34926,35297,327300,88843.0,2381856.0
1999-03-09,35493,35583,34732,35013,225200,88129.0,2381856.0
1999-03-10,34542,35392,34542,35013,137200,88129.0,2381856.0
1999-03-11,34734,35964,34734,35865,321400,90272.0,2381856.0
1999-03-12,35582,36432,35492,35723,308300,89915.0,2381856.0
1999-03-15,36018,36628,35968,36149,310500,90987.0,2381856.0
1999-03-16,34738,36349,34738,35959,202400,90511.0,2381856.0
1999-03-17,35961,37381,35961,37331,468300,93964.0,2381856.0
1999-03-18,37856,39656,37006,37946,535400,95512.0,2381856.0
1999-03-19,37854,39935,37194,39555,951700,99562.0,2381856.0
1999-03-22,40226,42586,39275,39366,1048000,99085.0,2381856.0
1999-03-23,39465,40036,38705,39366,339500,99085.0,2381856.0
1999-03-24,39378,40228,38808,38798,330500,97656.0,2381856.0
1999-03-25,37001,39081,37001,38041,257700,95751.0,2381856.0
1999-03-26,38805,39275,38044,38325,223700,96465.0,2381856.0
1999-03-29,38331,38511,37381,37852,178700,95274.0,2381856.0
1999-03-30,38321,39082,37851,39082,179500,98371.0,2381856.0
1999-03-31,39563,40033,38703,38704,105200,97418.0,2381856.0
1999-04-01,40698,42588,39658,41259,938800,103849.0,2381856.0
1999-04-02,42118,42118,40608,41259,382400,103849.0,2381856.0
1999-04-06,41641,43911,41351,43151,509000,108613.0,2381856.0
1999-04-07,43530,44480,41920,41921,394100,105516.0,2381856.0
1999-04-08,42305,42965,40975,42016,256500,105754.0,2381856.0
1999-04-09,42581,42631,41161,41732,400700,105040.0,2381856.0
