이연제약(102460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-06-10,12697,13044,10812,10812,2349649,164554.0,11712000.0
2010-06-11,10619,11235,10542,10774,918183,163968.0,11712000.0
2010-06-14,10966,11043,9504,9619,661441,146400.0,11712000.0
2010-06-15,9773,10350,9696,9812,533521,149328.0,11712000.0
2010-06-16,9965,10119,9234,9312,413453,141715.0,11712000.0
2010-06-17,9350,9465,8811,8850,502819,134688.0,11712000.0
2010-06-18,8926,9234,8772,8927,337093,135859.0,11712000.0
2010-06-21,9196,9504,9003,9042,270725,137616.0,11712000.0
2010-06-22,9003,9042,8696,8734,226634,132931.0,11712000.0
2010-06-23,8465,8580,8349,8504,164246,129418.0,11712000.0
2010-06-24,8542,8734,8465,8619,122642,131174.0,11712000.0
2010-06-25,8465,8811,8041,8427,417885,138003.0,12603000.0
2010-06-28,8503,8772,8388,8427,208820,138003.0,12603000.0
2010-06-29,8503,8503,8080,8080,151217,132332.0,12603000.0
2010-06-30,7926,8118,7695,8003,83692,131071.0,12603000.0
2010-07-01,8080,8080,7695,8003,125541,131071.0,12603000.0
2010-07-02,8003,8272,7926,8080,78240,132332.0,12603000.0
2010-07-05,8118,8195,7849,7850,77838,128551.0,12603000.0
2010-07-06,7772,7887,7634,7850,110540,128551.0,12603000.0
2010-07-07,7926,8465,7734,8273,207793,135482.0,12603000.0
2010-07-08,8388,8465,8234,8311,105524,136112.0,12603000.0
2010-07-09,8349,8426,8157,8234,71236,134852.0,12603000.0
2010-07-12,8195,8234,7926,7965,82665,130441.0,12603000.0
2010-07-13,7964,8118,7964,8003,49950,131071.0,12603000.0
2010-07-14,8041,9119,8041,8619,332047,141154.0,12603000.0
2010-07-15,8772,9042,8503,8658,385299,141784.0,12603000.0
2010-07-16,8696,8734,8349,8427,120133,138003.0,12603000.0
2010-07-19,8272,8426,8272,8311,50351,136112.0,12603000.0
2010-07-20,8349,8772,8311,8350,147053,136743.0,12603000.0
2010-07-21,8388,8465,7964,8003,172220,131071.0,12603000.0
2010-07-22,8041,8041,7687,7773,136734,127290.0,12603000.0
2010-07-23,7849,8041,7734,7773,64407,127290.0,12603000.0
2010-07-26,7734,7926,7734,7888,46174,129181.0,12603000.0
2010-07-27,7887,7887,7772,7811,52611,127920.0,12603000.0
2010-07-28,7811,7887,7734,7773,40582,127290.0,12603000.0
2010-07-29,7734,7811,7687,7688,61660,125904.0,12603000.0
2010-07-30,7695,7926,7603,7680,102659,125778.0,12603000.0
2010-08-02,7772,7772,7618,7657,30680,125400.0,12603000.0
2010-08-03,7695,7695,7557,7557,42801,123761.0,12603000.0
2010-08-04,7572,7626,7503,7503,56792,122879.0,12603000.0
2010-08-05,7564,7564,7387,7403,53450,121241.0,12603000.0
2010-08-06,7518,7595,7403,7580,39475,124140.0,12603000.0
2010-08-09,7657,8041,7595,7888,97155,129181.0,12603000.0
2010-08-10,8003,8003,7657,7734,74504,126660.0,12603000.0
2010-08-11,7772,7772,7657,7673,42114,125652.0,12603000.0
2010-08-12,7695,8118,7657,8003,112437,131071.0,12603000.0
2010-08-13,8041,8080,7887,8080,93373,132332.0,12603000.0
2010-08-16,8388,8734,8157,8157,328172,133592.0,12603000.0
2010-08-17,8157,8234,7926,8003,101908,131071.0,12603000.0
2010-08-18,8041,8311,7926,8157,82019,133592.0,12603000.0
2010-08-19,8080,8234,7964,7965,55771,130441.0,12603000.0
2010-08-20,8003,8003,7811,7888,50360,129181.0,12603000.0
2010-08-23,8080,8426,8003,8427,182319,138003.0,12603000.0
2010-08-24,8388,8772,8118,8234,361644,134852.0,12603000.0
2010-08-25,8195,8272,7887,8042,155922,131701.0,12603000.0
2010-08-26,7964,8080,7734,7734,129489,126660.0,12603000.0
2010-08-27,7695,7887,7680,7696,60536,126030.0,12603000.0
2010-08-30,7811,7887,7734,7773,37241,127290.0,12603000.0
2010-08-31,7695,7734,7664,7696,49750,126030.0,12603000.0
2010-09-01,7772,7811,7695,7811,42775,127920.0,12603000.0
2010-09-02,7849,7849,7734,7734,36072,126660.0,12603000.0
2010-09-03,7734,7772,7695,7734,39599,126660.0,12603000.0
2010-09-06,7849,8888,7849,8888,784438,145565.0,12603000.0
2010-09-07,8696,8772,8118,8196,848148,134222.0,12603000.0
2010-09-08,8195,8888,8195,8658,696177,141784.0,12603000.0
2010-09-09,8734,9388,8580,8773,758323,143674.0,12603000.0
2010-09-10,8772,8811,8465,8696,301680,142414.0,12603000.0
