한일홀딩스(003300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14283,14856,13193,14627,51090,161487.0,6332807.0
1999-01-05,14340,15372,14053,15086,71180,166553.0,6332807.0
1999-01-06,15201,16119,15201,15774,78440,174152.0,6332807.0
1999-01-07,16061,16864,15831,16692,100980,184285.0,6332807.0
1999-01-08,15029,16635,15029,16635,53240,183651.0,6332807.0
1999-01-11,16635,17208,16463,17036,65730,188084.0,6332807.0
1999-01-12,17380,17380,16291,16922,46410,186818.0,6332807.0
1999-01-13,16635,16807,16405,16692,25630,184285.0,6332807.0
1999-01-14,16233,16233,15487,15889,18820,175419.0,6332807.0
1999-01-15,15889,16061,15086,15889,38450,175419.0,6332807.0
1999-01-18,15889,16463,15488,15488,44180,170986.0,6332807.0
1999-01-19,15488,15488,14570,14885,17300,164336.0,6332807.0
1999-01-20,15487,16520,15401,16061,102830,177319.0,6332807.0
1999-01-21,16061,16348,15488,15488,125760,170986.0,6332807.0
1999-01-22,15488,15488,13767,13767,15760,151987.0,6332807.0
1999-01-25,13824,14341,13767,13767,35240,151987.0,6332807.0
1999-01-26,13767,14627,12504,13193,24460,145655.0,6332807.0
1999-01-27,13307,15172,12619,14283,19800,157687.0,6332807.0
1999-01-28,14053,14627,13250,14627,19320,161487.0,6332807.0
1999-01-29,14627,14741,13479,13480,12700,148821.0,6332807.0
1999-02-01,13594,14053,13594,13939,6820,153887.0,6332807.0
1999-02-02,13939,14054,13251,13767,10410,151987.0,6332807.0
1999-02-03,13766,13766,12619,13021,10810,143755.0,6332807.0
1999-02-04,13250,13250,13021,13021,16690,143755.0,6332807.0
1999-02-05,13193,13709,13021,13193,14330,145655.0,6332807.0
1999-02-08,13193,13537,13193,13193,35990,145655.0,6332807.0
1999-02-09,13308,13308,12161,12333,49030,136155.0,6332807.0
1999-02-10,12332,12332,11472,12046,63510,132989.0,6332807.0
1999-02-11,12332,12475,12045,12046,24530,132989.0,6332807.0
1999-02-12,12103,12562,12046,12562,15850,138688.0,6332807.0
1999-02-18,12619,12906,11873,11874,32860,131089.0,6332807.0
1999-02-19,12046,13251,11473,12333,30740,136155.0,6332807.0
1999-02-22,12390,13078,12390,12562,18600,138688.0,6332807.0
1999-02-23,12561,12791,12303,12505,35410,138055.0,6332807.0
1999-02-24,12906,12906,12505,12562,5510,138688.0,6332807.0
1999-02-25,12562,12562,11988,12046,4730,132989.0,6332807.0
1999-02-26,12791,12791,12045,12046,23150,132989.0,6332807.0
1999-03-02,12074,12504,12074,12505,30560,138055.0,6332807.0
1999-03-03,12619,12906,12504,12677,24390,139955.0,6332807.0
1999-03-04,12677,12792,11817,12620,11860,139322.0,6332807.0
1999-03-05,12676,13480,12676,13021,49370,143755.0,6332807.0
1999-03-08,13021,13882,13021,13078,31060,144388.0,6332807.0
1999-03-09,13250,13480,13107,13365,12530,147554.0,6332807.0
1999-03-10,13135,13193,13078,13193,8080,145655.0,6332807.0
1999-03-11,13308,13480,12620,12620,24620,139322.0,6332807.0
1999-03-12,13193,13594,13135,13193,17520,145655.0,6332807.0
1999-03-15,13996,13996,13423,13537,29990,149454.0,6332807.0
1999-03-16,13594,13709,13250,13480,10360,148821.0,6332807.0
1999-03-17,12676,13709,12676,13193,9590,145655.0,6332807.0
1999-03-18,12964,13882,12964,13250,24140,146288.0,6332807.0
1999-03-19,13308,14054,13308,13623,20430,150404.0,6332807.0
1999-03-22,13624,13824,13308,13767,27830,151987.0,6332807.0
1999-03-23,13737,14569,13651,14283,29330,157687.0,6332807.0
1999-03-24,14283,14340,13767,14340,17110,158320.0,6332807.0
1999-03-25,14283,14857,14226,14226,29730,157054.0,6332807.0
1999-03-26,14226,14599,13882,14226,18100,157054.0,6332807.0
1999-03-29,13595,14168,13480,13767,142350,151987.0,6332807.0
1999-03-30,13967,14283,13652,14168,23940,156420.0,6332807.0
1999-03-31,14168,14197,13766,13996,10500,154520.0,6332807.0
1999-04-01,13824,14226,13767,13767,22310,151987.0,6332807.0
1999-04-02,13882,14025,13480,13709,23410,151354.0,6332807.0
1999-04-06,13709,15430,13709,14512,84750,160220.0,6332807.0
1999-04-07,14570,15028,14340,14627,54930,161487.0,6332807.0
1999-04-08,14799,16291,14627,16291,143710,179852.0,6332807.0
1999-04-09,16692,16750,15574,15574,93800,171936.0,6332807.0
1999-04-12,16118,16892,16061,16348,63040,180485.0,6332807.0
1999-04-13,16061,16634,15544,16348,36240,180485.0,6332807.0
1999-04-14,16061,16577,16061,16233,11080,179218.0,6332807.0
1999-04-15,16348,17036,16233,16377,141090,180802.0,6332807.0
1999-04-16,16635,17552,16635,17495,186380,193151.0,6332807.0
1999-04-19,17782,18929,16634,18929,106460,208983.0,6332807.0
1999-04-20,19503,19503,18356,18872,39410,208349.0,6332807.0
1999-04-21,18872,18929,17782,18642,27210,205816.0,6332807.0
1999-04-22,18470,18642,17266,17266,29980,190617.0,6332807.0
1999-04-23,18069,19847,17553,19847,91820,219115.0,6332807.0
1999-04-26,21223,21223,19331,20937,18460,231147.0,6332807.0
1999-04-27,20650,20736,19503,20134,89080,222282.0,6332807.0
1999-04-28,19560,20363,19503,19503,48620,215315.0,6332807.0
1999-04-29,18929,19675,17782,17782,25790,196317.0,6332807.0
1999-04-30,18126,18356,17495,18356,30630,202650.0,6332807.0
1999-05-03,18355,18929,17610,18757,17070,207083.0,6332807.0
1999-05-04,19216,19216,18356,18929,25620,208983.0,6332807.0
1999-05-06,19503,19790,18929,19503,77970,215315.0,6332807.0
1999-05-07,19962,19962,18814,19503,60290,215315.0,6332807.0
1999-05-10,20076,21510,19589,21511,115950,237480.0,6332807.0
1999-05-11,21510,21682,19503,19790,101210,218482.0,6332807.0
1999-05-12,19790,20076,19216,20019,57610,221015.0,6332807.0
1999-05-13,20019,20593,18929,19216,29300,212149.0,6332807.0
1999-05-14,18929,18929,17380,18356,24680,202650.0,6332807.0
1999-05-17,17208,17782,17208,17495,8910,193151.0,6332807.0
1999-05-18,17208,17782,17208,17495,17420,193151.0,6332807.0
1999-05-19,17667,17782,16663,17495,40130,193151.0,6332807.0
1999-05-20,17495,18069,16061,16922,29560,186818.0,6332807.0
1999-05-21,16176,17208,16176,17208,8320,189984.0,6332807.0
1999-05-24,15832,17208,15832,17208,10540,189984.0,6332807.0
1999-05-25,17208,17725,17208,17696,5220,195367.0,6332807.0
