유엔젤(072130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-07-01,14000,16100,14000,16100,1381,201057.0,6244000.0
2003-07-02,18500,18500,18500,18500,832,231028.0,6244000.0
2003-07-03,21275,21275,20000,21275,445650,265682.0,6244000.0
2003-07-04,22000,24450,21500,24450,622814,305332.0,6244000.0
2003-07-07,25000,27750,24700,26050,330750,325312.0,6244000.0
2003-07-08,27200,27250,23550,23650,226487,295341.0,6244000.0
2003-07-09,23050,24500,22000,22225,191190,277546.0,6244000.0
2003-07-10,22000,23800,22000,23000,156415,287224.0,6244000.0
2003-07-11,22300,23000,21825,22400,85669,279731.0,6244000.0
2003-07-14,22150,22750,21650,21950,85083,274112.0,6244000.0
2003-07-15,21975,23175,21975,22050,97517,275360.0,6244000.0
2003-07-16,22400,22650,21075,21450,79176,267868.0,6244000.0
2003-07-18,20550,21750,20150,20150,58068,251633.0,6244000.0
2003-07-21,20150,20900,20025,20200,55135,252258.0,6244000.0
2003-07-22,19900,20425,18000,20150,96850,251633.0,6244000.0
2003-07-23,20050,20125,19000,19275,23755,240706.0,6244000.0
2003-07-24,18700,19400,18475,18525,38696,231340.0,6244000.0
2003-07-25,18100,18600,17800,18300,39416,228530.0,6244000.0
2003-07-28,19100,21025,18800,21025,85141,262560.0,6244000.0
2003-07-29,21750,22900,21050,21500,211148,268492.0,6244000.0
2003-07-30,21600,22225,20625,21850,74451,272863.0,6244000.0
2003-07-31,21500,21850,20950,20950,52428,261624.0,6244000.0
2003-08-01,20650,20800,19850,19925,66117,248823.0,6244000.0
2003-08-04,19000,19600,18700,18725,47341,233838.0,6244000.0
2003-08-05,18750,20225,18750,19600,96794,244765.0,6244000.0
2003-08-06,18850,19250,18100,18250,75208,227906.0,6244000.0
2003-08-07,17925,18700,17600,18300,37966,228530.0,6244000.0
2003-08-08,18025,18600,18025,18025,39435,225096.0,6244000.0
2003-08-11,18000,18300,17350,17350,36608,216667.0,6244000.0
2003-08-12,17400,17750,17100,17250,23620,215418.0,6244000.0
2003-08-13,17350,18825,17350,17750,55920,221662.0,6244000.0
2003-08-14,17900,18000,17300,17500,31624,218540.0,6244000.0
2003-08-18,17400,17600,16750,16825,44462,210111.0,6244000.0
2003-08-19,17100,17150,16025,16400,44537,204803.0,6244000.0
2003-08-20,16400,16750,15800,15800,33295,197310.0,6244000.0
2003-08-21,15550,16900,15550,15925,51432,198871.0,6244000.0
2003-08-22,16200,16650,15600,15675,45580,195749.0,6244000.0
2003-08-25,15950,16200,15575,15700,58690,196062.0,6244000.0
2003-08-26,15700,17600,15700,16550,172351,206676.0,6244000.0
2003-08-27,16850,17300,16300,16850,92961,210423.0,6244000.0
2003-08-28,17050,17350,16000,16000,68170,199808.0,6244000.0
2003-08-29,16250,17075,15375,16650,176073,207925.0,6244000.0
2003-09-01,16650,16650,15700,15700,307989,196062.0,6244000.0
2003-09-02,15800,15950,15125,15250,182443,190442.0,6244000.0
2003-09-03,15500,15800,15250,15300,193757,191066.0,6244000.0
2003-09-04,15400,16000,14800,14825,745259,185135.0,6244000.0
2003-09-05,14750,15100,14000,14000,195999,174832.0,6244000.0
2003-09-08,13750,13850,12250,12500,213468,156100.0,6244000.0
2003-09-09,12400,12900,11650,11850,232043,147983.0,6244000.0
2003-09-15,11975,12625,11975,12350,202054,154227.0,6244000.0
2003-09-16,12500,13450,12500,13450,273831,167964.0,6244000.0
2003-09-17,13500,13675,12675,12950,201579,161720.0,6244000.0
2003-09-18,13000,13100,12225,12225,156414,152666.0,6244000.0
2003-09-19,12500,13250,12025,13100,362670,163593.0,6244000.0
2003-09-22,13375,13975,12500,13375,605295,167027.0,6244000.0
2003-09-23,13600,13675,12800,13675,282626,170773.0,6244000.0
2003-09-24,13850,14075,13450,13450,310388,167964.0,6244000.0
2003-09-25,12750,13150,12300,12750,212874,159222.0,6244000.0
2003-09-26,12750,13075,11875,11875,221166,148295.0,6244000.0
2003-09-29,11900,12250,11550,11900,182863,148607.0,6244000.0
2003-09-30,12150,12225,10900,10950,275335,136744.0,6244000.0
2003-10-01,10600,10750,10175,10750,225427,134246.0,6244000.0
2003-10-02,11150,11150,10675,10700,186882,133622.0,6244000.0
2003-10-06,10725,11800,10725,11625,328367,145173.0,6244000.0
2003-10-07,11725,11775,11175,11525,159549,143924.0,6244000.0
2003-10-08,11575,11900,11300,11500,193761,143612.0,6244000.0
2003-10-09,11450,11700,11175,11300,180865,141114.0,6244000.0
2003-10-10,11400,11925,11300,11750,278075,146734.0,6244000.0
2003-10-13,11825,12050,11550,11950,167556,149232.0,6244000.0
2003-10-14,12150,12800,12000,12425,446620,155163.0,6244000.0
2003-10-15,12625,12625,11975,12075,147471,150793.0,6244000.0
2003-10-16,12000,12475,11900,12050,210480,150480.0,6244000.0
2003-10-17,12000,12250,11300,12250,255523,152978.0,6244000.0
2003-10-20,12050,12450,11950,12200,95100,152354.0,6244000.0
2003-10-21,12425,13125,12350,12750,481112,159222.0,6244000.0
2003-10-22,12800,13000,12100,12200,251540,152354.0,6244000.0
2003-10-23,11950,12000,10950,10950,251761,136744.0,6244000.0
2003-10-24,10850,11250,10750,11000,97884,137368.0,6244000.0
2003-10-27,10950,11300,10950,11125,148165,138929.0,6244000.0
2003-10-28,11125,11300,10925,11000,120457,137368.0,6244000.0
2003-10-29,11225,11425,10850,10850,194031,135495.0,6244000.0
2003-10-30,11050,11250,10950,11025,189487,137680.0,6244000.0
2003-10-31,11075,11100,9400,9550,373022,119260.0,6244000.0
2003-11-03,9350,9675,8950,9675,196300,120821.0,6244000.0
2003-11-04,9675,9700,9100,9150,97488,114265.0,6244000.0
2003-11-05,8925,8925,8100,8175,242830,102089.0,6244000.0
2003-11-06,8150,8400,8025,8050,107195,100528.0,6244000.0
2003-11-07,8125,8425,7825,8300,137173,103650.0,6244000.0
2003-11-10,8150,8750,8150,8450,218994,105524.0,6244000.0
2003-11-11,8600,8850,8200,8675,283220,108333.0,6244000.0
2003-11-12,8750,9150,8600,9100,226151,113641.0,6244000.0
2003-11-13,9400,9400,8850,9000,153786,112392.0,6244000.0
2003-11-14,8925,9000,8700,8725,92494,108958.0,6244000.0
2003-11-17,8400,8750,8400,8500,50606,106148.0,6244000.0
2003-11-18,8550,8850,8525,8850,75940,110519.0,6244000.0
2003-11-19,8625,8675,8400,8675,84381,108333.0,6244000.0
2003-11-20,8975,8975,8625,8625,89602,107709.0,6244000.0
2003-11-21,8500,8600,8350,8525,76330,106460.0,6244000.0
2003-11-24,8325,8500,7800,7800,61279,97406.0,6244000.0
2003-11-25,7800,8075,7750,7950,86950,99280.0,6244000.0
2003-11-26,7850,8300,7850,8125,104313,101465.0,6244000.0
2003-11-27,8225,8325,8025,8050,58201,100528.0,6244000.0
2003-11-28,8200,8200,7950,8000,72157,99904.0,6244000.0
2003-12-01,7975,8875,7900,8700,215435,108646.0,6244000.0
2003-12-02,8950,9075,8625,9000,273480,112392.0,6244000.0
2003-12-03,9100,9175,8775,8875,109914,110831.0,6244000.0
2003-12-04,8850,9275,8850,8900,183721,111143.0,6244000.0
2003-12-05,8900,9075,8625,8675,113188,108333.0,6244000.0
2003-12-08,8600,9250,8600,9100,235723,113641.0,6244000.0
2003-12-09,9275,9400,8950,9000,162340,112392.0,6244000.0
2003-12-10,9000,9250,8875,8875,95920,110831.0,6244000.0
2003-12-11,8800,9000,8725,8750,72222,109270.0,6244000.0
2003-12-12,8825,9050,8800,8875,102612,110831.0,6244000.0
2003-12-15,9025,10175,8950,10075,557495,125817.0,6244000.0
2003-12-16,9800,10025,9625,9750,221800,121758.0,6244000.0
2003-12-17,10000,10000,9300,9325,141211,116451.0,6244000.0
2003-12-18,9250,9500,9000,9000,122621,112392.0,6244000.0
2003-12-19,9200,9225,8825,8825,97848,110207.0,6244000.0
2003-12-22,8800,8975,8100,8125,175550,101465.0,6244000.0
2003-12-23,8225,8475,8050,8175,127200,102089.0,6244000.0
2003-12-24,8200,8400,7950,7950,68410,99280.0,6244000.0
2003-12-26,7900,8050,7900,7900,55388,98655.0,6244000.0
2003-12-29,7850,8475,7850,8300,74176,103650.0,6244000.0
2003-12-30,8500,8500,8275,8400,60572,104899.0,6244000.0
2004-01-02,8475,8525,8300,8350,61350,104275.0,6244000.0
2004-01-05,8350,8575,8325,8475,69960,105836.0,6244000.0
2004-01-06,8625,8700,8275,8275,126288,103338.0,6244000.0
2004-01-07,8250,8350,7850,7975,98081,99592.0,6244000.0
2004-01-08,7900,8075,7900,7975,77221,101935.0,6390890.0
2004-01-09,7925,8350,7925,8075,74274,103213.0,6390890.0
2004-01-12,8000,8175,7875,8125,90694,103852.0,6390890.0
