송원산업(004430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,2309,2343,2248,2343,137800,43040.0,1600000.0
1999-01-05,2317,2343,2269,2321,188500,42640.0,1600000.0
1999-01-06,2352,2509,2326,2482,208200,45600.0,1600000.0
1999-01-07,2448,2509,2413,2491,114100,45760.0,1600000.0
1999-01-08,2465,2465,2396,2439,108500,44800.0,1600000.0
1999-01-11,2396,2605,2370,2517,268800,46240.0,1600000.0
1999-01-12,2518,2570,2448,2461,84700,45200.0,1600000.0
1999-01-13,2483,2522,2426,2456,119000,45120.0,1600000.0
1999-01-14,2370,2417,2309,2386,143700,43840.0,1600000.0
1999-01-15,2370,2431,2343,2430,69500,44640.0,1600000.0
1999-01-18,2483,2744,2448,2678,522800,49200.0,1600000.0
1999-01-19,2674,2674,2531,2552,76800,46880.0,1600000.0
1999-01-20,2526,2552,2483,2482,81000,45600.0,1600000.0
1999-01-21,2570,2570,2378,2421,73400,44480.0,1600000.0
1999-01-22,2361,2378,2265,2265,68800,41600.0,1600000.0
1999-01-25,2265,2309,2169,2169,65600,39840.0,1600000.0
1999-01-26,2169,2261,2047,2169,70600,39840.0,1600000.0
1999-01-27,2187,2265,2169,2186,114000,40160.0,1600000.0
1999-01-28,2252,2352,2195,2343,66400,43040.0,1600000.0
1999-01-29,2335,2343,2256,2308,121100,42400.0,1600000.0
1999-02-01,2309,2378,2309,2369,34800,43520.0,1600000.0
1999-02-02,2370,2483,2370,2439,148100,44800.0,1600000.0
1999-02-03,2483,2500,2396,2439,158300,44800.0,1600000.0
1999-02-04,2404,2474,2378,2395,134900,44000.0,1600000.0
1999-02-05,2396,2439,2352,2439,85500,44800.0,1600000.0
1999-02-08,2439,2526,2431,2439,127100,44800.0,1600000.0
1999-02-09,2378,2439,2309,2378,76600,43680.0,1600000.0
1999-02-10,2352,2431,2291,2317,66800,42560.0,1600000.0
1999-02-11,2343,2404,2291,2395,70100,44000.0,1600000.0
1999-02-12,2422,2431,2404,2404,19400,44160.0,1600000.0
1999-02-18,2396,2465,2309,2386,45700,43840.0,1600000.0
1999-02-19,2343,2387,2226,2386,92500,43840.0,1600000.0
1999-02-22,2313,2317,2313,2317,1300,42560.0,1600000.0
1999-02-23,2343,2370,2256,2308,46900,42400.0,1600000.0
1999-02-24,2309,2435,2274,2352,111100,43200.0,1600000.0
1999-02-25,2343,2431,2335,2421,99600,44480.0,1600000.0
1999-02-26,2361,2439,2317,2430,100000,44640.0,1600000.0
1999-03-02,2387,2483,2387,2474,77400,45440.0,1600000.0
1999-03-03,2439,2465,2413,2439,27000,44800.0,1600000.0
1999-03-04,2439,2474,2439,2439,63900,44800.0,1600000.0
1999-03-05,2439,2496,2413,2439,138800,44800.0,1600000.0
1999-03-08,2444,2509,2439,2478,64700,45520.0,1600000.0
1999-03-09,2474,2491,2439,2474,30700,45440.0,1600000.0
1999-03-10,2483,2509,2439,2491,98400,45760.0,1600000.0
1999-03-11,2474,2509,2422,2421,71600,44480.0,1600000.0
1999-03-12,2465,2483,2422,2465,67900,45280.0,1600000.0
1999-03-15,2465,2526,2439,2491,85900,45760.0,1600000.0
1999-03-16,2491,2692,2439,2657,246300,48800.0,1600000.0
1999-03-17,2661,2735,2613,2657,126100,48800.0,1600000.0
1999-03-18,2692,2735,2552,2569,141900,47200.0,1600000.0
1999-03-19,2579,2683,2544,2665,86400,48960.0,1600000.0
1999-03-22,2666,2744,2535,2700,253300,49600.0,1600000.0
1999-03-23,2701,2709,2666,2674,73900,49120.0,1600000.0
1999-03-24,2701,2701,2613,2665,128400,48960.0,1600000.0
1999-03-25,2622,2692,2587,2604,32900,47840.0,1600000.0
1999-03-26,2570,2692,2570,2596,21400,47680.0,1600000.0
1999-03-29,2570,2657,2513,2657,24300,48800.0,1600000.0
1999-03-30,2657,2918,2657,2857,163700,52480.0,1600000.0
1999-03-31,2888,3005,2831,2831,139800,52000.0,1600000.0
1999-04-01,2788,2953,2788,2892,66000,53120.0,1600000.0
1999-04-02,2953,3001,2849,2848,80900,52320.0,1600000.0
1999-04-06,2849,3049,2849,3049,182300,56000.0,1600000.0
1999-04-07,3136,3136,3005,3057,223000,56160.0,1600000.0
1999-04-08,3049,3101,3005,3057,165300,56160.0,1600000.0
1999-04-09,3066,3066,2962,2996,119700,55040.0,1600000.0
1999-04-12,2875,2997,2875,2953,37400,54240.0,1600000.0
1999-04-13,2962,3005,2892,2996,127300,55040.0,1600000.0
1999-04-14,3040,3093,3005,3057,149600,56160.0,1600000.0
1999-04-15,3049,3093,3014,3040,132200,55840.0,1600000.0
1999-04-16,2884,3040,2884,2918,66100,53600.0,1600000.0
1999-04-19,2962,2962,2788,2918,89000,53600.0,1600000.0
1999-04-20,2953,2953,2831,2831,58200,52000.0,1600000.0
1999-04-21,2840,2936,2840,2909,29800,53440.0,1600000.0
1999-04-22,2953,2953,2857,2909,12900,53440.0,1600000.0
1999-04-23,2831,2927,2831,2879,19100,52880.0,1600000.0
1999-04-26,2936,2936,2831,2874,48600,52800.0,1600000.0
1999-04-27,2875,2910,2805,2883,47100,52960.0,1600000.0
1999-04-28,2953,3302,2936,3127,123100,57440.0,1600000.0
1999-04-29,2901,3136,2901,3049,154700,56000.0,1600000.0
1999-04-30,3058,3127,3049,3049,107200,56000.0,1600000.0
1999-05-03,3049,3319,3049,3301,106900,60640.0,1600000.0
1999-05-04,3319,3319,3162,3175,32900,58320.0,1600000.0
1999-05-06,3337,3337,3232,3249,48500,59680.0,1600000.0
1999-05-07,3380,3397,3276,3380,206600,62080.0,1600000.0
1999-05-10,3398,3885,3380,3885,466900,71360.0,1600000.0
1999-05-11,3964,4308,3729,3728,373000,68480.0,1600000.0
1999-05-12,3729,3729,3554,3658,79300,67200.0,1600000.0
1999-05-13,3659,3702,3485,3506,176500,64400.0,1600000.0
1999-05-14,3380,3650,3380,3510,124000,64480.0,1600000.0
1999-05-17,3380,3511,3380,3397,109600,62400.0,1600000.0
1999-05-18,3310,3485,3310,3397,72500,62400.0,1600000.0
1999-05-19,3406,3615,3398,3615,183300,66400.0,1600000.0
