유화증권(003460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,12241,13504,12241,13115,179920,147471.0,10923795.0
1999-01-05,13310,13310,12339,12727,147930,143102.0,10923795.0
1999-01-06,12922,13213,12241,12727,209130,143102.0,10923795.0
1999-01-07,13019,13067,12533,12921,149510,145286.0,10923795.0
1999-01-08,12970,13893,12922,13407,325850,150748.0,10923795.0
1999-01-11,13699,14185,13164,14087,294260,158395.0,10923795.0
1999-01-12,14087,14282,13116,13310,146470,149656.0,10923795.0
1999-01-13,13116,13310,12484,13018,165200,146379.0,10923795.0
1999-01-14,12096,12533,11173,11658,120500,131086.0,10923795.0
1999-01-15,11659,12144,11659,11901,193800,133816.0,10923795.0
1999-01-18,12144,12387,11659,11707,114310,131632.0,10923795.0
1999-01-19,11610,12096,11173,11707,87440,131632.0,10923795.0
1999-01-20,11804,11950,11173,11269,101640,126716.0,10923795.0
1999-01-21,10978,11173,10201,10395,130400,116885.0,10923795.0
1999-01-22,9910,10881,9541,10298,161510,115792.0,10923795.0
1999-01-25,10493,10687,9910,10201,78630,114700.0,10923795.0
1999-01-26,10590,10687,9337,9423,75280,105961.0,10923795.0
1999-01-27,9424,10493,8754,10104,198490,113607.0,10923795.0
1999-01-28,10104,10493,9715,10201,83970,114700.0,10923795.0
1999-01-29,9910,10493,9910,10395,54320,116885.0,10923795.0
1999-02-01,10396,11173,10201,10832,147880,121800.0,10923795.0
1999-02-02,10930,10930,10201,10395,75480,116885.0,10923795.0
1999-02-03,10104,10201,9715,10104,53120,113607.0,10923795.0
1999-02-04,9813,10396,9715,9909,56600,111423.0,10923795.0
1999-02-05,10396,11173,9910,10249,134560,115246.0,10923795.0
1999-02-08,10444,11561,10250,10492,228800,117977.0,10923795.0
1999-02-09,10687,12047,10201,12047,285760,135455.0,10923795.0
1999-02-10,12533,12824,11659,11658,657180,131086.0,10923795.0
1999-02-11,12144,12533,11513,12338,287960,138732.0,10923795.0
