S&T홀딩스(036530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-03-07,8960,8960,8960,8960,510,67200.0,750000.0
2000-03-08,10000,10000,10000,10000,1800,75000.0,750000.0
2000-03-09,11200,11200,11200,11200,20,84000.0,750000.0
2000-03-10,12500,12500,12500,12500,30,93750.0,750000.0
2000-03-13,14000,14000,14000,14000,90,105000.0,750000.0
2000-03-14,15650,15650,15650,15650,250,117375.0,750000.0
2000-03-15,17500,17500,17500,17500,60470,131250.0,750000.0
2000-03-16,19600,19600,19600,19600,2950,147000.0,750000.0
2000-03-17,21950,21950,21950,21950,18020,164625.0,750000.0
2000-03-20,24550,24550,19350,19350,734780,145125.0,750000.0
2000-03-21,17050,17050,17050,17050,8050,127875.0,750000.0
2000-03-22,17050,18499,15049,15300,739540,114750.0,750000.0
2000-03-23,15500,17100,15000,17100,605410,128250.0,750000.0
2000-03-24,17100,19150,16900,19150,498980,143625.0,750000.0
2000-03-27,20450,21400,20150,21400,128700,160500.0,750000.0
2000-03-28,23950,23950,18850,18850,697050,141375.0,750000.0
2000-03-29,17100,18000,16600,16600,359730,124500.0,750000.0
2000-03-30,15200,18400,15200,17400,460890,130500.0,750000.0
2000-03-31,16500,17800,15499,16150,280840,121125.0,750000.0
2000-04-03,16500,17000,14250,14250,161320,106875.0,750000.0
2000-04-04,13000,13500,12549,13100,257740,98250.0,750000.0
2000-04-06,13550,13900,12100,12400,198040,93000.0,750000.0
2000-04-07,12700,13850,12700,13500,351890,101250.0,750000.0
2000-04-10,14649,15000,14000,14900,238800,111750.0,750000.0
2000-04-11,13200,13450,13150,13150,54700,98625.0,750000.0
2000-04-12,12000,12700,11600,12300,162480,92250.0,750000.0
2000-04-14,11800,13500,11800,12650,132930,94875.0,750000.0
2000-04-17,11150,11150,11150,11150,16190,83625.0,750000.0
2000-04-18,11500,12250,10100,10900,110450,81750.0,750000.0
2000-04-19,11300,12100,11000,11350,133450,85125.0,750000.0
2000-04-20,10500,12500,10500,12000,175240,90000.0,750000.0
2000-04-21,12300,13000,11949,12700,209380,95250.0,750000.0
2000-04-24,12900,13100,11500,12000,109090,90000.0,750000.0
2000-04-25,11500,13400,11400,13400,253970,100500.0,750000.0
2000-04-26,14000,14800,13000,13400,276710,100500.0,750000.0
2000-04-27,13400,13950,12000,12800,155100,96000.0,750000.0
2000-04-28,13000,14300,12500,14300,231360,107250.0,750000.0
2000-05-02,15350,16000,14600,16000,320650,120000.0,750000.0
2000-05-03,16000,17400,15000,16200,851690,121500.0,750000.0
2000-05-04,16400,17500,16000,16350,538740,122625.0,750000.0
2000-05-08,16900,18100,16349,16650,591030,124875.0,750000.0
2000-05-09,16900,17450,15100,16850,465410,126375.0,750000.0
2000-05-10,15850,18850,15850,18850,677120,141375.0,750000.0
2000-05-12,20300,21100,20000,21100,234450,158250.0,750000.0
2000-05-15,23500,23600,18600,18700,1165900,140250.0,750000.0
2000-05-16,18400,18800,16700,17700,449150,132750.0,750000.0
2000-05-17,18900,19800,18000,19800,841280,148500.0,750000.0
2000-05-18,19700,22150,17450,20400,1066850,153000.0,750000.0
2000-05-19,20000,20400,18000,18000,536620,135000.0,750000.0
2000-05-22,16000,17300,15850,15850,245420,118875.0,750000.0
2000-05-23,14050,14800,13950,13950,90810,104625.0,750000.0
2000-05-24,12300,13800,12300,12600,264730,94500.0,750000.0
2000-05-25,13100,14100,13100,14100,181710,105750.0,750000.0
2000-05-26,14700,15500,13000,13900,655650,104250.0,750000.0
2000-05-29,13000,13800,12250,13000,365920,97500.0,750000.0
2000-05-30,13700,14550,13300,14550,472110,109125.0,750000.0
2000-05-31,15500,16250,15400,16250,539640,121875.0,750000.0
2000-06-01,16250,16250,16250,16250,0,121875.0,750000.0
2000-06-02,16250,16250,16250,16250,0,,
2000-06-05,18200,18200,18200,18200,10877,136500.0,7500000.0
2000-06-07,20350,20350,20350,20350,1763,152625.0,7500000.0
2000-06-08,22750,22750,22750,22750,2020,170625.0,7500000.0
2000-06-09,24100,25450,22100,25450,775626,190875.0,7500000.0
2000-06-12,27500,28500,25500,26400,416183,198000.0,7500000.0
2000-06-13,25500,26400,23250,23250,427476,174375.0,7500000.0
2000-06-14,24000,26000,20600,26000,380538,195000.0,7500000.0
2000-06-15,26999,28800,24300,25100,694617,188250.0,7500000.0
2000-06-16,25000,27100,23000,25200,392652,189000.0,7500000.0
