컨버즈(109070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-03-17,18887,21713,18887,21758,237580,28780.0,10839771.0
2009-03-18,24985,24985,24124,24996,641245,33061.0,10839771.0
2009-03-19,27549,28675,21365,22779,2077210,30135.0,10839771.0
2009-03-20,22735,23165,20449,21178,636257,28021.0,10839771.0
2009-03-23,21410,24148,21299,22172,811119,29322.0,10839771.0
2009-03-24,22532,22632,21296,21307,270946,28183.0,10839771.0
2009-03-25,21594,22919,21528,21804,265978,28834.0,10839771.0
2009-03-26,21469,22650,21469,22374,389049,29593.0,10839771.0
2009-03-27,22583,22749,20519,20939,254976,27696.0,10839771.0
2009-03-30,21452,21474,19244,19256,174888,25473.0,10839771.0
2009-03-31,18488,19647,18212,19338,277456,25582.0,10839771.0
2009-04-01,19032,19485,18547,19099,150067,25257.0,10839771.0
2009-04-02,19340,19384,18688,19219,168692,25419.0,10839771.0
2009-04-03,19467,19632,18716,18805,165252,24877.0,10839771.0
2009-04-06,18738,18738,17612,17701,243310,23414.0,10839771.0
2009-04-07,17535,18285,17501,18032,169777,23847.0,10839771.0
2009-04-08,18153,18694,17833,18032,127381,23847.0,10839771.0
2009-04-09,18170,18567,18059,18556,212160,24552.0,10839771.0
2009-04-10,18873,20782,18784,20286,520510,26828.0,10839771.0
2009-04-13,21677,23266,21677,23322,186358,30839.0,10839771.0
2009-04-14,26765,26765,23266,23322,973906,30839.0,10839771.0
2009-04-15,22267,22797,20059,20534,570116,27154.0,10839771.0
2009-04-16,21275,21783,20359,20691,254831,27370.0,10839771.0
2009-04-17,20773,20861,18002,19173,257247,25564.0,10924665.0
2009-04-20,19222,20039,18714,19752,137857,26328.0,10924665.0
2009-04-21,19873,19873,19100,19752,139405,26328.0,10924665.0
2009-04-22,19895,19895,19365,19587,155640,26110.0,10924665.0
2009-04-23,19555,20880,19389,20074,188822,26765.0,10924665.0
2009-04-24,20362,20583,18861,19016,135966,25345.0,10924665.0
2009-04-27,18992,19312,18407,18529,120187,24690.0,10924665.0
2009-04-28,18536,18646,17597,17664,153553,23543.0,10924665.0
2009-04-29,17673,18644,17607,18446,64078,24580.0,10924665.0
2009-04-30,18020,18484,17921,18198,143574,24253.0,10924665.0
2009-05-04,18318,18992,18318,18529,88304,24690.0,10924665.0
2009-05-06,18720,19923,18720,19173,112750,25564.0,10924665.0
2009-05-07,19229,19472,18170,18280,139536,24362.0,10924665.0
2009-05-08,18236,18479,17662,18280,96773,24362.0,10924665.0
2009-05-11,18181,18721,18181,18446,67792,24580.0,10924665.0
2009-05-12,18376,18939,18376,18851,106030,25127.0,10924665.0
2009-05-13,19001,19001,18306,18317,99440,24417.0,10924665.0
2009-05-14,18043,18285,17833,18032,121623,24034.0,10924665.0
2009-05-15,18096,18549,18096,18317,93716,24417.0,10924665.0
2009-05-18,18320,18806,18210,18685,103929,24908.0,10924665.0
2009-05-19,19086,19273,18545,18556,130078,24744.0,10924665.0
2009-05-20,18401,19340,18148,19384,225078,25837.0,10924665.0
2009-05-21,19557,19667,18806,19016,228208,25345.0,10924665.0
2009-05-22,19181,20252,18696,18851,225553,25152.0,10935838.0
2009-05-25,19077,19507,17277,18768,176451,25043.0,10935838.0
2009-05-26,18727,19235,17998,18529,83768,24715.0,10935838.0
2009-05-27,18405,18405,17356,17820,188742,23785.0,10935838.0
2009-05-28,17301,17776,16605,17213,97185,22965.0,10935838.0
2009-05-29,17191,17456,16672,16882,54524,22528.0,10935838.0
2009-06-01,16887,17196,16865,16965,43940,22637.0,10935838.0
2009-06-02,17196,17461,16975,17130,81583,22856.0,10935838.0
2009-06-03,17106,17371,16720,17416,97480,23239.0,10935838.0
2009-06-04,17356,17356,16760,16882,66992,22528.0,10935838.0
2009-06-05,16891,17597,16891,17498,63680,23348.0,10935838.0
2009-06-08,17612,17711,17126,17535,115468,23403.0,10935838.0
2009-06-09,17608,17608,17354,17498,78140,23348.0,10935838.0
2009-06-10,17529,18644,17529,18280,125878,24387.0,10935838.0
2009-06-11,18808,20960,17108,17130,1683994,22856.0,10935838.0
2009-06-12,17218,17439,16677,16965,122640,22637.0,10935838.0
