미래에셋대우(006800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14680,14958,13850,14924,2103570,1063149.0,49334064.0
1999-01-05,14784,15026,13918,14888,2419090,1060682.0,49334064.0
1999-01-06,14957,15337,14473,14681,2169010,1045882.0,49334064.0
1999-01-07,14679,14887,14195,14681,1813520,1045882.0,49334064.0
1999-01-08,14679,15511,14402,14888,2626090,1060682.0,49334064.0
1999-01-11,14958,15304,14612,14992,1352340,1068082.0,49334064.0
1999-01-12,14993,15027,13608,13885,1543750,989148.0,49334064.0
1999-01-13,13537,13884,13053,13642,1205160,971881.0,49334064.0
1999-01-14,12672,13157,11806,12118,1449200,863346.0,49334064.0
1999-01-15,12188,12777,12188,12465,1007020,888013.0,49334064.0
1999-01-18,13158,13435,12603,12742,966250,907747.0,49334064.0
1999-01-19,12672,13122,12152,12776,923490,910213.0,49334064.0
1999-01-20,12949,13157,12499,12534,1354600,892947.0,49334064.0
1999-01-21,12048,12464,11494,11633,856330,828812.0,49334064.0
1999-01-22,11356,12083,11080,11633,1444740,828812.0,49334064.0
1999-01-25,11841,11980,11081,11149,703280,794278.0,49334064.0
1999-01-26,11564,11634,10387,10388,950040,740011.0,49334064.0
1999-01-27,10457,11702,10110,11357,1493480,809079.0,49334064.0
1999-01-28,11287,11563,10941,10941,906670,779478.0,49334064.0
1999-01-29,11045,11495,10872,11046,742200,786878.0,49334064.0
1999-02-01,11080,11634,10941,11357,823430,809079.0,49334064.0
1999-02-02,11218,11357,10596,10873,575110,774545.0,49334064.0
1999-02-03,10664,10734,10387,10456,510820,744944.0,49334064.0
1999-02-04,10524,10733,10386,10733,487970,764678.0,49334064.0
1999-02-05,10733,11356,10595,10975,957920,781945.0,49334064.0
1999-02-08,11080,11529,10941,10941,689350,779478.0,49334064.0
1999-02-09,10802,11149,10664,10873,527480,774545.0,49334064.0
1999-02-10,10872,11081,10664,10838,679940,772078.0,49334064.0
1999-02-11,10907,11149,10872,10873,339340,774545.0,49334064.0
1999-02-12,10975,11772,10975,11495,1154980,818945.0,49334064.0
1999-02-18,11772,11875,11390,11392,884210,811545.0,49334064.0
1999-02-19,11253,11253,10457,10873,623050,774545.0,49334064.0
1999-02-22,10525,10734,10180,10180,589710,725211.0,49334064.0
1999-02-23,10317,10456,9764,9902,526040,705477.0,49334064.0
1999-02-24,9903,10110,9556,9556,427880,680810.0,49334064.0
1999-02-25,9347,9694,9140,9417,566050,670943.0,49334064.0
1999-02-26,9417,9832,9417,9834,410380,700544.0,49334064.0
