한솔테크닉스(004710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,13366,14570,13233,14145,110430,28331.0,5355650.0
1999-01-05,14116,14678,13502,14412,147720,28867.0,5355650.0
1999-01-06,14703,16548,14570,16552,251740,33151.0,5355650.0
1999-01-07,19009,19009,19009,19011,65560,38079.0,5355650.0
1999-01-08,21816,21842,20051,21846,1104110,43756.0,5355650.0
1999-01-11,22191,25106,21977,25107,534290,50290.0,5355650.0
1999-01-12,28741,28741,28741,28744,96380,57573.0,5355650.0
1999-01-13,33019,33019,29007,31685,1224430,63464.0,5355650.0
1999-01-14,27003,30479,27003,27006,734030,54092.0,5355650.0
1999-01-15,28607,31015,27538,31016,673860,62126.0,5355650.0
1999-01-18,33419,35560,33419,35561,456900,71230.0,5355650.0
1999-01-19,37431,39836,32082,32620,857360,65339.0,5355650.0
1999-01-20,35560,35560,28340,31016,521650,62126.0,5355650.0
1999-01-21,31015,32885,29409,31283,638060,62661.0,5355650.0
1999-01-22,30612,31015,26603,26739,460360,53556.0,5355650.0
1999-01-25,26602,28340,24864,25937,550430,51950.0,5355650.0
1999-01-26,27538,27806,23528,23529,387840,47130.0,5355650.0
1999-01-27,23795,24731,21388,23529,526250,47130.0,5355650.0
1999-01-28,24088,27003,23794,27006,569450,54092.0,5355650.0
1999-01-29,31015,31015,29409,31016,679890,62126.0,5355650.0
1999-02-01,32082,35560,31816,35561,1702310,71230.0,5355650.0
1999-02-02,40874,40874,40874,40878,106000,51896.0,5355650.0
1999-02-03,46823,46823,38175,41975,2166640,53289.0,5355650.0
1999-02-04,41760,47666,37542,47247,1049260,59983.0,5355650.0
1999-02-05,48087,53361,44291,44715,2040060,56770.0,5355650.0
1999-02-08,43026,45557,39651,40498,758790,51527.0,5367440.0
1999-02-09,38385,41760,38385,39654,613580,50454.0,5367440.0
1999-02-10,39061,41971,36488,39274,803420,49971.0,5367440.0
1999-02-11,39652,40874,37965,38220,330990,48629.0,5367440.0
1999-02-12,38386,40075,37542,37967,429850,48307.0,5367440.0
1999-02-18,38596,39230,36909,37967,351380,48307.0,5367440.0
1999-02-19,37119,39230,36699,37503,470870,47717.0,5367440.0
1999-02-22,36275,38005,34167,34170,241520,43476.0,5367440.0
1999-02-23,33745,34799,31256,31640,327620,40256.0,5367440.0
1999-02-24,31425,34589,31214,32060,576180,40793.0,5367440.0
1999-02-25,32059,32059,27925,28686,313110,36499.0,5367440.0
1999-02-26,28684,32902,28684,32904,831410,41866.0,5367440.0
1999-03-02,34252,37837,34167,37840,727280,48146.0,5367440.0
1999-03-03,38597,39820,35012,35436,1021300,45086.0,5367440.0
1999-03-04,35560,37542,34589,35561,526510,45248.0,5367440.0
1999-03-05,34927,35854,33829,34170,386070,43476.0,5367440.0
1999-03-08,35052,37119,35052,35519,357090,45194.0,5367440.0
1999-03-09,35855,40075,35644,37418,1777180,47609.0,5367440.0
1999-03-10,37542,39102,35433,35857,647940,45623.0,5367440.0
1999-03-11,36109,36741,35433,36701,422600,46697.0,5367440.0
1999-03-12,36910,37966,36065,36490,320160,46428.0,5367440.0
1999-03-15,36909,37796,35897,36279,290320,46160.0,5367440.0
1999-03-16,35855,38597,35518,36490,502080,46428.0,5367440.0
1999-03-17,37795,38174,36487,36574,439890,46536.0,5367440.0
1999-03-18,36488,37120,33745,33748,251280,42940.0,5367440.0
1999-03-19,32944,35011,32944,34170,214720,43476.0,5367440.0
1999-03-22,34167,36276,33366,34381,260650,43745.0,5367440.0
1999-03-23,34758,35390,34167,34381,161570,43745.0,5367440.0
1999-03-24,34421,35644,34167,34381,243770,43745.0,5367440.0
1999-03-25,34589,35390,34167,34381,208810,43745.0,5367440.0
1999-03-26,34631,36700,34631,35646,533270,45355.0,5367440.0
1999-03-29,35390,36613,34589,34592,287590,44013.0,5367440.0
1999-03-30,35433,35644,34378,34592,202070,44013.0,5367440.0
1999-03-31,35096,36065,35096,35772,266580,45516.0,5367440.0
1999-04-01,35770,36150,35011,35140,265590,44711.0,5367440.0
1999-04-02,32481,34547,30792,32946,1534650,41920.0,5367440.0
1999-04-06,32058,32860,31214,32060,672560,40793.0,5367440.0
1999-04-07,31004,33662,30877,32271,1910140,99201.0,12967440.0
1999-04-08,32481,32986,30581,31218,981230,95959.0,12967440.0
1999-04-09,31425,31635,29949,30373,914130,93366.0,12967440.0
1999-04-12,29780,33113,28894,32060,1508890,98553.0,12967440.0
1999-04-13,31214,32901,30791,30795,683640,94662.0,12967440.0
1999-04-14,30581,31214,29738,29782,569710,91550.0,12967440.0
1999-04-15,29781,30793,29696,29951,608990,92069.0,12967440.0
1999-04-16,29908,30371,28684,28855,648720,88705.0,12968591.0
1999-04-19,27840,28852,27460,27716,783830,85204.0,12968591.0
1999-04-20,27712,30961,27670,30332,1061510,93244.0,12968591.0
1999-04-21,30370,32352,28684,32060,1006930,98561.0,12968591.0
1999-04-22,32481,33325,30371,30416,1477160,93504.0,12968591.0
1999-04-23,30835,31595,30161,30246,725340,92985.0,12968591.0
1999-04-26,30666,32058,30286,31218,937860,95968.0,12968591.0
1999-04-27,31424,34799,31424,34802,2332080,106991.0,12968591.0
1999-04-28,36275,39987,35854,39991,1235180,122942.0,12968591.0
1999-04-29,45347,45557,40496,40539,2672000,124628.0,12968591.0
1999-04-30,40917,42182,37077,40708,1618580,125147.0,12968591.0
1999-05-03,42184,43027,40075,40076,1039220,123202.0,12968591.0
1999-05-04,39652,41339,38597,38811,883790,119311.0,12968591.0
1999-05-06,38386,40665,38386,38811,943150,119311.0,12968591.0
1999-05-07,39018,39651,37541,38177,944390,117366.0,12968591.0
1999-05-10,38386,40075,38386,40076,1211270,126034.0,13266749.0
1999-05-11,40790,43448,39652,39654,1727420,124707.0,13266749.0
1999-05-12,39230,39652,35855,35857,1954670,112767.0,13266749.0
1999-05-13,37742,40783,36746,38007,1420930,96184.0,13266749.0
1999-05-14,37742,39263,34281,34705,576730,87826.0,13266749.0
1999-05-17,33968,34701,32761,32766,403090,82917.0,13266749.0
1999-05-18,31450,34962,31450,34967,499620,88489.0,13266749.0
1999-05-19,35644,35854,34071,34127,526290,86367.0,13266749.0
1999-05-20,35174,35645,31714,32503,413840,82254.0,13266749.0
1999-05-21,31714,34020,31714,31978,356550,80927.0,13266749.0
1999-05-24,31450,32237,30507,31454,252950,79600.0,13266749.0
1999-05-25,31714,34336,31451,32712,629370,82785.0,13266749.0
1999-05-26,32710,33443,31818,33027,376320,83581.0,13266749.0
1999-05-27,37951,37951,34649,34652,1027620,87693.0,13266749.0
1999-05-28,35120,35540,33075,33708,356080,85414.0,13283676.0
1999-05-31,33810,34335,33024,33027,247070,83687.0,13283676.0
1999-06-01,32342,33443,32342,32608,246050,82624.0,13283676.0
1999-06-02,32604,33181,32342,32817,279800,83156.0,13283676.0
1999-06-03,32500,34440,32500,33027,352730,83687.0,13283676.0
1999-06-04,34072,34072,32500,32556,209300,82492.0,13283676.0
1999-06-07,32081,33025,32081,32503,359700,82359.0,13283676.0
1999-06-08,32761,34019,32551,33289,503700,84351.0,13283676.0
1999-06-09,34072,36430,33548,33814,839350,85680.0,13283676.0
1999-06-10,34336,34598,32815,33970,567380,86078.0,13283676.0
1999-06-11,34597,34597,32814,33027,854410,83687.0,13283676.0
1999-06-14,37950,37950,36169,37745,2059390,95642.0,13283676.0
1999-06-15,36431,36431,32501,33552,838290,85016.0,13283676.0
1999-06-16,34598,34598,33549,33552,460820,85016.0,13283676.0
1999-06-17,33547,34806,32970,33080,559530,83820.0,13283676.0
1999-06-18,32552,33548,32133,32188,364410,81562.0,13283676.0
1999-06-21,32342,32500,30612,30772,508550,77975.0,13283676.0
1999-06-22,30770,31398,29931,30720,432110,77842.0,13283676.0
1999-06-23,31450,32394,30979,31559,399460,79968.0,13283676.0
1999-06-24,33496,33969,32238,32293,494420,81827.0,13283676.0
1999-06-25,31714,32971,31189,31454,328270,79702.0,13283676.0
1999-06-28,30927,31818,30507,30667,339760,77710.0,13283676.0
1999-06-29,30926,32761,30926,32240,746780,81695.0,13283676.0
1999-06-30,33549,36800,33286,34600,1792920,87672.0,13283676.0
1999-07-01,34597,34597,32552,33814,605970,85680.0,13283676.0
1999-07-02,33810,35330,32551,34967,750960,88602.0,13283676.0
1999-07-05,35384,36695,33549,35439,1173590,89798.0,13283676.0
1999-07-06,35435,36064,34386,35385,596570,89665.0,13283676.0
1999-07-07,34596,37741,34491,36434,1261570,92322.0,13283676.0
1999-07-08,37218,41411,36221,39579,1722250,100292.0,13283676.0
1999-07-09,38791,39839,37270,37797,2126880,182295.0,25283676.0
1999-07-12,39314,41882,38004,39003,3107700,188111.0,25283676.0
1999-07-13,38790,40363,35487,35701,1216800,172182.0,25283676.0
1999-07-14,35907,38267,35750,35909,1239830,173193.0,25283676.0
1999-07-15,35907,36903,34335,35647,1110840,171929.0,25283676.0
1999-07-16,35959,38528,35697,37483,1688250,180778.0,25283676.0
