미원에스씨(268280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-22,80000,82400,64100,67200,246843,348036.0,5179111.0
2017-05-23,67900,68100,61300,61700,105417,319551.0,5179111.0
2017-05-24,62400,78300,61300,72000,606642,372896.0,5179111.0
2017-05-25,71900,77300,67400,68900,472274,356841.0,5179111.0
2017-05-26,70900,89500,69900,89500,589518,463530.0,5179111.0
2017-05-29,103000,106500,76400,79500,439284,411739.0,5179111.0
2017-05-30,77500,78300,71300,74300,189160,384808.0,5179111.0
2017-05-31,75700,76800,70500,70500,86842,365127.0,5179111.0
2017-06-01,70200,71300,67400,70100,82554,363056.0,5179111.0
2017-06-02,70500,71600,68200,69400,54999,359430.0,5179111.0
2017-06-05,69600,70000,68200,68700,28537,355805.0,5179111.0
2017-06-07,68700,70000,67900,68600,21734,355287.0,5179111.0
2017-06-08,68900,74800,68700,68900,159052,356841.0,5179111.0
2017-06-09,69600,69600,68000,68100,19726,352697.0,5179111.0
2017-06-12,68000,68800,66900,66900,18000,346483.0,5179111.0
2017-06-13,66600,68000,66200,66300,11848,343375.0,5179111.0
2017-06-14,67000,70500,66000,66100,47840,342339.0,5179111.0
2017-06-15,65900,68900,65900,67100,45314,347518.0,5179111.0
2017-06-16,67200,67700,66100,66200,19802,342857.0,5179111.0
2017-06-19,65900,67000,65300,65300,13067,338196.0,5179111.0
2017-06-20,65900,66000,63600,63600,19146,329391.0,5179111.0
2017-06-21,63600,64100,62500,62900,7464,325766.0,5179111.0
2017-06-22,63000,64000,62500,62600,13677,324212.0,5179111.0
2017-06-23,68800,73900,63800,63800,101835,330427.0,5179111.0
2017-06-26,63000,65400,63000,63900,8601,330945.0,5179111.0
2017-06-27,63600,65500,63400,63600,11437,329391.0,5179111.0
2017-06-28,63600,64200,63000,63000,3967,326284.0,5179111.0
2017-06-29,62900,63500,62700,62700,4731,324730.0,5179111.0
2017-06-30,62700,63300,61900,62300,4953,322659.0,5179111.0
2017-07-03,62500,62900,61800,62100,4262,321623.0,5179111.0
2017-07-04,62100,62500,61500,61700,5379,319551.0,5179111.0
2017-07-05,61800,62700,61700,62400,3123,323177.0,5179111.0
2017-07-06,62600,64900,62300,64200,9889,332499.0,5179111.0
2017-07-07,64400,64500,63400,63800,3776,330427.0,5179111.0
2017-07-10,63900,63900,62500,63000,3471,326284.0,5179111.0
2017-07-11,64400,64400,62700,62800,3069,325248.0,5179111.0
2017-07-12,64600,64600,63000,63600,2964,329391.0,5179111.0
2017-07-13,63300,64200,63000,63100,3550,326802.0,5179111.0
2017-07-14,62800,63500,62400,62400,3688,323177.0,5179111.0
2017-07-17,61700,63600,61700,63200,3406,327320.0,5179111.0
2017-07-18,63000,63300,62500,62900,2725,325766.0,5179111.0
2017-07-19,62300,63300,62300,62700,2854,324730.0,5179111.0
2017-07-20,63500,63500,62500,62700,3266,324730.0,5179111.0
2017-07-21,62600,62800,62100,62600,1845,324212.0,5179111.0
2017-07-24,63800,63800,61000,61900,5403,320587.0,5179111.0
2017-07-25,61000,62500,61000,62100,2768,321623.0,5179111.0
2017-07-26,61800,62300,61700,61700,3509,319551.0,5179111.0
2017-07-27,61700,62300,61400,61700,1437,319551.0,5179111.0
2017-07-28,61500,62200,61100,61100,5819,316444.0,5179111.0
2017-07-31,61000,61200,60500,61100,4807,316444.0,5179111.0
2017-08-01,61100,61500,60500,60700,2942,314372.0,5179111.0
2017-08-02,61100,61100,60300,60700,2609,314372.0,5179111.0
2017-08-03,60700,60700,59100,59700,5666,309193.0,5179111.0
2017-08-04,59200,60200,59200,59700,2518,309193.0,5179111.0
2017-08-07,60000,60000,59400,59400,1694,307639.0,5179111.0
2017-08-08,59200,59500,58400,58700,4012,304014.0,5179111.0
2017-08-09,59000,59900,58500,58700,2612,304014.0,5179111.0
2017-08-10,58700,59600,58200,58800,1972,304532.0,5179111.0
2017-08-11,58500,58700,58000,58700,1781,304014.0,5179111.0
2017-08-14,58600,59000,58000,58200,1126,301424.0,5179111.0
2017-08-16,59900,59900,58100,59200,1276,306603.0,5179111.0
2017-08-17,59500,59500,58100,59200,3732,306603.0,5179111.0
2017-08-18,59300,59400,58600,59400,1498,307639.0,5179111.0
2017-08-21,59100,59100,58000,58500,2416,302978.0,5179111.0
2017-08-22,59500,59500,57500,57800,2200,299353.0,5179111.0
2017-08-23,58400,58400,57000,57000,1791,295209.0,5179111.0
2017-08-24,57000,57500,56700,57300,900,296763.0,5179111.0
2017-08-25,57000,57300,56700,56900,1074,294691.0,5179111.0
2017-08-28,57000,57900,56400,57200,2448,296245.0,5179111.0
2017-08-29,57200,57300,56600,57300,3468,296763.0,5179111.0
2017-08-30,56900,57600,56500,56700,4678,293656.0,5179111.0
2017-08-31,56700,57200,56000,57000,1985,295209.0,5179111.0
2017-09-01,57500,57500,56500,57500,745,297799.0,5179111.0
2017-09-04,57000,57700,56000,56500,1633,292620.0,5179111.0
2017-09-05,56600,57100,55400,56900,3602,294691.0,5179111.0
2017-09-06,56900,57300,55500,55700,3519,288476.0,5179111.0
2017-09-07,55500,56900,55500,56700,1088,293656.0,5179111.0
2017-09-08,56900,57000,55700,57000,2762,295209.0,5179111.0
2017-09-11,57800,57800,55600,56900,3209,294691.0,5179111.0
2017-09-12,56300,57200,55900,56700,2975,293656.0,5179111.0
2017-09-13,56700,56800,55200,55200,5581,285887.0,5179111.0
2017-09-14,54500,56000,54500,55600,1708,287959.0,5179111.0
2017-09-15,54700,55700,54000,54400,7069,281744.0,5179111.0
2017-09-18,54400,55900,53000,53500,5136,277082.0,5179111.0
2017-09-19,54600,54600,52400,53200,2795,275529.0,5179111.0
2017-09-20,53200,53200,51300,51800,6698,268278.0,5179111.0
2017-09-21,51400,51800,49500,49800,10040,257920.0,5179111.0
2017-09-22,49000,50300,48700,49000,8420,253776.0,5179111.0
2017-09-25,49800,49800,47300,47300,6367,244972.0,5179111.0
2017-09-26,47300,49450,47000,48750,5518,252482.0,5179111.0
2017-09-27,48050,55400,48050,51000,8875,264135.0,5179111.0
2017-09-28,52000,55100,51000,53200,4883,275529.0,5179111.0
2017-09-29,52700,54400,49950,52600,6439,272421.0,5179111.0
2017-10-10,52500,53000,52000,52500,690,271903.0,5179111.0
2017-10-11,52200,53300,52100,53000,2429,274493.0,5179111.0
2017-10-12,53300,54800,52700,54200,2629,280708.0,5179111.0
2017-10-13,54300,55600,54300,55000,4165,284851.0,5179111.0
2017-10-16,55000,55700,54700,55100,1019,285369.0,5179111.0
2017-10-17,55100,55800,54100,55000,2285,284851.0,5179111.0
2017-10-18,55700,55700,54800,55300,1799,286405.0,5179111.0
2017-10-19,55300,55400,55000,55200,1062,285887.0,5179111.0
2017-10-20,55200,55600,55000,55300,1488,286405.0,5179111.0
