한국철강(104700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-09-29,9600,10580,9590,10180,296236,468789.0,9210000.0
2008-09-30,9400,9860,9300,9700,85343,446685.0,9210000.0
2008-10-01,9900,9960,8500,8500,188479,391425.0,9210000.0
2008-10-02,8440,8470,7230,7300,305232,336165.0,9210000.0
2008-10-06,7040,7550,7040,7150,173519,329258.0,9210000.0
2008-10-07,6960,7499,6720,7180,148664,330639.0,9210000.0
2008-10-08,6780,6920,6109,6380,136015,293799.0,9210000.0
2008-10-09,6219,6480,5739,6190,120793,285050.0,9210000.0
2008-10-10,5600,6690,5269,6300,131380,290115.0,9210000.0
2008-10-13,6300,6850,6260,6700,59303,308535.0,9210000.0
2008-10-14,7100,7660,7010,7600,74893,349980.0,9210000.0
2008-10-15,7300,7620,6800,7200,83574,331560.0,9210000.0
2008-10-16,6400,6600,6120,6120,85242,281826.0,9210000.0
2008-10-17,6440,6579,5510,5890,90946,271234.0,9210000.0
2008-10-20,5870,5980,5450,5920,46188,272616.0,9210000.0
2008-10-21,5979,6250,5460,5830,87929,268472.0,9210000.0
2008-10-22,5630,5820,4960,5600,80834,257880.0,9210000.0
2008-10-23,5040,5150,4760,4760,62979,219198.0,9210000.0
2008-10-24,4560,4710,4049,4050,136038,186502.0,9210000.0
2008-10-27,3540,4049,3450,3450,126334,158872.0,9210000.0
2008-10-28,3110,3760,2940,3660,169883,168543.0,9210000.0
2008-10-29,3900,4080,3120,3480,181338,160254.0,9210000.0
2008-10-30,3720,4000,3610,4000,74868,184200.0,9210000.0
2008-10-31,4200,4460,4040,4040,133855,186042.0,9210000.0
2008-11-03,4100,4440,4060,4420,109535,203541.0,9210000.0
2008-11-04,4500,4550,4210,4420,78756,203541.0,9210000.0
2008-11-05,4660,5020,4500,4730,135538,217816.0,9210000.0
2008-11-06,4300,4400,4040,4180,99548,192489.0,9210000.0
2008-11-07,3820,4270,3820,4200,201586,193410.0,9210000.0
2008-11-10,4320,4750,4100,4730,254401,217816.0,9210000.0
2008-11-11,4570,4780,4420,4750,219093,218738.0,9210000.0
2008-11-12,4500,4780,4470,4600,76842,211830.0,9210000.0
2008-11-13,4250,4400,4140,4400,151970,202620.0,9210000.0
2008-11-14,4640,4740,4480,4680,54197,215514.0,9210000.0
2008-11-17,4610,4670,4470,4600,40418,211830.0,9210000.0
2008-11-18,4510,4640,4310,4370,47266,201238.0,9210000.0
2008-11-19,4370,4380,3990,4370,34781,201238.0,9210000.0
2008-11-20,4040,4170,3950,4060,57830,186963.0,9210000.0
2008-11-21,3820,4400,3820,4400,52441,202620.0,9210000.0
2008-11-24,4340,4490,4180,4370,36144,201238.0,9210000.0
2008-11-25,4540,4660,4400,4540,46933,209067.0,9210000.0
2008-11-26,4660,4670,4500,4550,31744,209528.0,9210000.0
2008-11-27,4660,4920,4620,4750,51467,218738.0,9210000.0
2008-11-28,4890,5460,4740,5460,148135,251433.0,9210000.0
2008-12-01,5600,5659,5040,5270,116823,242684.0,9210000.0
2008-12-02,4900,5080,4740,5040,57035,232092.0,9210000.0
2008-12-03,5190,5190,4920,4980,34721,229329.0,9210000.0
