금호타이어(073240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-02-17,56135,56433,50312,50761,2565651,1156000.0,68000000.0
2005-02-18,49715,49864,47774,48223,976097,1098200.0,68000000.0
2005-02-21,48521,49267,47476,47924,624451,1091400.0,68000000.0
2005-02-22,47774,48819,46580,46879,619290,1067600.0,68000000.0
2005-02-23,47028,47028,45535,46282,389031,1054000.0,68000000.0
2005-02-24,46281,46729,45983,46132,490172,1050600.0,68000000.0
2005-02-25,46878,46878,45684,45834,428387,1043800.0,68000000.0
2005-02-28,46281,46580,45385,45685,477123,1040400.0,68000000.0
2005-03-02,45833,47028,45833,46730,684930,1064200.0,68000000.0
2005-03-03,46430,46878,45684,45685,375323,1040400.0,68000000.0
2005-03-04,45684,47774,44938,47775,1396575,1088000.0,68000000.0
2005-03-07,48371,48670,47476,47775,587586,1120000.0,70000000.0
2005-03-08,47177,47476,45833,46282,359991,1085000.0,70000000.0
2005-03-09,45535,47177,45385,47177,221712,1106000.0,70000000.0
2005-03-10,46580,50163,46580,49417,930260,1158500.0,70000000.0
2005-03-11,49864,50611,48670,50014,624110,1172500.0,70000000.0
2005-03-14,50163,50461,49118,50014,321156,1172500.0,70000000.0
2005-03-15,50014,50163,47923,49118,297929,1151500.0,70000000.0
2005-03-16,48371,48670,47028,47775,170933,1120000.0,70000000.0
2005-03-17,46878,47476,45833,45834,448480,1074500.0,70000000.0
2005-03-18,45833,46580,45535,45535,183190,1067500.0,70000000.0
2005-03-21,45535,45983,45385,45834,257210,1074500.0,70000000.0
2005-03-22,45833,46580,45684,46431,248092,1088500.0,70000000.0
2005-03-23,45983,46281,45087,45386,364464,1064000.0,70000000.0
2005-03-24,45684,45684,43445,44042,365692,1032500.0,70000000.0
2005-03-25,44639,44938,43892,44938,229079,1053500.0,70000000.0
2005-03-28,44938,46430,44938,45237,345117,1060500.0,70000000.0
2005-03-29,45385,45385,44042,44789,197212,1050000.0,70000000.0
2005-03-30,44191,44191,43146,43594,452395,1022000.0,70000000.0
2005-03-31,44191,44490,43743,44192,257653,1036000.0,70000000.0
2005-04-01,43594,45087,43594,45087,276962,1057000.0,70000000.0
2005-04-04,44938,45385,43743,44042,371402,1032500.0,70000000.0
2005-04-06,44340,45385,44191,44789,371486,1050000.0,70000000.0
2005-04-07,44639,44788,43743,43744,498261,1025500.0,70000000.0
2005-04-08,44042,44191,43594,44042,260929,1032500.0,70000000.0
2005-04-11,44042,44042,43445,43445,207304,1018500.0,70000000.0
2005-04-12,43295,44639,43295,44042,544552,1032500.0,70000000.0
2005-04-13,44191,44191,43445,43594,320373,1022000.0,70000000.0
2005-04-14,43743,44340,43445,43594,488014,1022000.0,70000000.0
2005-04-15,43445,43594,42698,42848,382054,1004500.0,70000000.0
2005-04-18,41802,42250,40160,40459,377455,948500.0,70000000.0
2005-04-19,40608,41952,40608,41952,382555,983500.0,70000000.0
2005-04-20,41802,42250,41205,41952,250249,983500.0,70000000.0
2005-04-21,41205,42698,40907,42699,148232,1001000.0,70000000.0
2005-04-22,43295,43445,42698,43146,197431,1011500.0,70000000.0
2005-04-25,42400,43146,42250,42251,254609,990500.0,70000000.0
2005-04-26,42400,42847,42101,42251,175127,990500.0,70000000.0
2005-04-27,41653,42250,41354,41654,143391,976500.0,70000000.0
2005-04-28,41802,42250,41205,41206,185381,966000.0,70000000.0
2005-04-29,40757,41504,40309,40758,228698,955500.0,70000000.0
2005-05-02,40907,41205,40309,40758,181869,955500.0,70000000.0
2005-05-03,40757,40907,40459,40459,87341,948500.0,70000000.0
2005-05-04,40907,41056,40608,40907,177075,959000.0,70000000.0
2005-05-06,41205,41802,40907,41504,137320,973000.0,70000000.0
2005-05-09,41802,41802,40907,41504,109968,973000.0,70000000.0
2005-05-10,41653,42549,41653,42400,203409,994000.0,70000000.0
2005-05-11,41802,42101,41504,41654,55275,976500.0,70000000.0
2005-05-12,41802,42101,40907,41206,66270,966000.0,70000000.0
2005-05-13,40907,41056,40459,40608,138734,952000.0,70000000.0
2005-05-16,40907,40907,39861,40161,274296,941500.0,70000000.0
2005-05-17,40459,40608,39115,39563,275784,927500.0,70000000.0
2005-05-18,39414,39563,37921,38070,474587,892500.0,70000000.0
2005-05-19,38816,39414,38369,39414,321777,924000.0,70000000.0
2005-05-20,39712,40757,39563,40758,320060,955500.0,70000000.0
2005-05-23,40608,40757,40011,40310,277566,945000.0,70000000.0
2005-05-24,40608,40907,39861,40161,303834,941500.0,70000000.0
2005-05-25,40160,41056,40160,40310,210972,945000.0,70000000.0
2005-05-26,40459,41802,40309,41504,255170,973000.0,70000000.0
2005-05-27,41802,42250,41205,42251,171226,990500.0,70000000.0
2005-05-30,42250,42250,41653,41803,129367,980000.0,70000000.0
2005-05-31,41802,41802,41056,41654,129687,976500.0,70000000.0
2005-06-01,41653,42101,41205,41952,142901,983500.0,70000000.0
2005-06-02,42400,42549,41802,42549,168779,997500.0,70000000.0
2005-06-03,42400,42400,41952,42101,79280,987000.0,70000000.0
2005-06-07,41653,42250,41504,42251,157891,990500.0,70000000.0
2005-06-08,42400,42400,41653,41803,162532,980000.0,70000000.0
2005-06-09,41802,41802,41056,41803,195282,980000.0,70000000.0
2005-06-10,41802,42400,41504,41504,147537,973000.0,70000000.0
2005-06-13,41952,42549,41802,42400,204539,994000.0,70000000.0
2005-06-14,42549,43743,42549,43146,460627,1011500.0,70000000.0
2005-06-15,43295,43892,43146,43893,270241,1029000.0,70000000.0
