조비(001550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,10183,10958,10183,10958,9840,7443.0,1815379.0
1999-01-05,10957,11732,10690,11491,40230,7806.0,1815379.0
1999-01-06,13175,13175,11519,12159,42660,8260.0,1815379.0
1999-01-07,11505,12293,11505,11758,30980,7988.0,1815379.0
1999-01-08,11491,12426,11223,12025,65050,8169.0,1815379.0
1999-01-11,12292,13815,12292,13815,84120,9386.0,1815379.0
1999-01-12,15712,15712,13895,14563,103620,9894.0,1815379.0
1999-01-13,14699,16730,14298,16730,111040,11364.0,1815379.0
1999-01-14,16033,18171,14243,15231,161150,10348.0,1815379.0
1999-01-15,16061,17505,15794,17370,124060,11800.0,1815379.0
1999-01-18,18040,19964,18040,19964,100030,13561.0,1815379.0
1999-01-19,22155,22155,17104,17104,89100,11618.0,1815379.0
1999-01-20,17932,18172,15233,16034,55550,10892.0,1815379.0
1999-01-21,15179,16301,14698,14964,52120,10166.0,1815379.0
1999-01-22,14966,16569,13389,16034,71530,10892.0,1815379.0
1999-01-25,16034,16569,13656,13655,36930,9277.0,1815379.0
1999-01-26,13897,15234,13897,14164,45580,9622.0,1815379.0
1999-01-27,14164,15100,13897,15099,27900,10257.0,1815379.0
1999-01-28,14966,16169,14164,15767,35270,10711.0,1815379.0
1999-01-29,15794,16462,14992,16034,36560,10892.0,1815379.0
1999-02-01,16034,17103,16034,16301,39540,11074.0,1815379.0
1999-02-02,16036,16543,15501,15501,37580,10529.0,1815379.0
1999-02-03,15580,16702,15580,15632,33440,10620.0,1815379.0
1999-02-04,15766,16167,14724,14964,17530,10166.0,1815379.0
1999-02-05,14992,15500,14992,15473,16810,10511.0,1815379.0
1999-02-08,16009,16009,14833,14832,12020,10075.0,1815379.0
1999-02-09,14457,14457,12613,12693,31830,8623.0,1815379.0
1999-02-10,12027,13898,12027,13897,30510,9440.0,1815379.0
1999-02-11,12013,14699,12013,14431,24410,9803.0,1815379.0
1999-02-12,13896,15232,13896,14296,13440,9712.0,1815379.0
1999-02-18,15501,16436,15501,16435,48930,11165.0,1815379.0
1999-02-19,17345,18708,16436,17104,197020,11618.0,1815379.0
1999-02-22,17131,17131,15233,15767,34440,10711.0,1815379.0
1999-02-23,15501,15768,13630,14164,43580,9622.0,1815379.0
1999-02-24,13896,15473,13896,14698,48380,9985.0,1815379.0
1999-02-25,14833,15234,14031,14164,31080,9622.0,1815379.0
1999-02-26,13896,15233,13896,14698,20670,9985.0,1815379.0
1999-03-02,14965,15766,14965,15525,40930,10547.0,1815379.0
1999-03-03,15553,16007,14430,14964,18480,10166.0,1815379.0
1999-03-04,15634,15634,14832,15099,13780,10257.0,1815379.0
1999-03-05,15233,16836,15233,15553,44250,10566.0,1815379.0
1999-03-08,15554,16703,15554,16435,70980,11165.0,1815379.0
1999-03-09,17370,17370,16087,16193,43040,11001.0,1815379.0
1999-03-10,16301,16301,15633,16006,27670,10874.0,1815379.0
