롯데하이마트(071840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-06-29,53100,58700,50300,57000,2292207,1345640.0,23607712.0
2011-06-30,56000,56600,52200,54800,740039,1293703.0,23607712.0
2011-07-01,54800,57400,53700,57000,484983,1345640.0,23607712.0
2011-07-04,57000,57700,55800,55800,154045,1317310.0,23607712.0
2011-07-05,55300,55500,53500,54000,396287,1274816.0,23607712.0
2011-07-06,54200,54200,52800,53200,137933,1255930.0,23607712.0
2011-07-07,53900,53900,52800,52800,120379,1246487.0,23607712.0
2011-07-08,52600,53000,50600,52700,302665,1244126.0,23607712.0
2011-07-11,53300,53900,52700,53200,161198,1255930.0,23607712.0
2011-07-12,52000,52700,51300,51300,106168,1211076.0,23607712.0
2011-07-13,52000,56700,51700,55400,399216,1307867.0,23607712.0
2011-07-14,55300,58800,54300,58200,544710,1373969.0,23607712.0
2011-07-15,58600,59300,57000,59200,251048,1397577.0,23607712.0
2011-07-18,59400,63000,58500,61700,317576,1456596.0,23607712.0
2011-07-19,61000,62300,60400,61600,229024,1454235.0,23607712.0
2011-07-20,62500,62800,60900,61900,155930,1461317.0,23607712.0
2011-07-21,62400,64500,61500,64000,230561,1510894.0,23607712.0
2011-07-22,65000,65000,63400,63900,164196,1508533.0,23607712.0
2011-07-25,64000,67000,63900,66600,335742,1572274.0,23607712.0
2011-07-26,67300,68500,65700,67700,183721,1598242.0,23607712.0
2011-07-27,67000,69000,67000,68700,107500,1621850.0,23607712.0
2011-07-28,68000,70500,67800,70400,156121,1661983.0,23607712.0
2011-07-29,70400,72100,66400,67900,206530,1602964.0,23607712.0
2011-08-01,68000,69400,65200,68300,162267,1612407.0,23607712.0
2011-08-02,68300,70700,68300,70700,158109,1669065.0,23607712.0
2011-08-03,69700,70100,67500,69400,124116,1638375.0,23607712.0
2011-08-04,70000,70000,68000,68300,40504,1612407.0,23607712.0
2011-08-05,64700,70300,62600,68300,112561,1612407.0,23607712.0
2011-08-08,66500,69000,65100,66000,100363,1558109.0,23607712.0
2011-08-09,64800,68700,60600,63000,147695,1487286.0,23607712.0
2011-08-10,66000,66500,62900,64700,154472,1527419.0,23607712.0
2011-08-11,61200,66200,61200,66200,76174,1562831.0,23607712.0
2011-08-12,67000,71900,66800,70100,163498,1654901.0,23607712.0
2011-08-16,72000,74100,71000,71700,103141,1692673.0,23607712.0
2011-08-17,71500,75900,71200,75000,81096,1770578.0,23607712.0
2011-08-18,74500,86000,72100,82000,130680,1935832.0,23607712.0
2011-08-19,79000,87000,72200,73000,161291,1723363.0,23607712.0
2011-08-22,73000,76800,69500,69500,91347,1640736.0,23607712.0
2011-08-23,71000,71400,63400,66500,253495,1569913.0,23607712.0
2011-08-24,66900,67600,62200,64700,165419,1527419.0,23607712.0
2011-08-25,66100,69700,64700,64700,142191,1527419.0,23607712.0
2011-08-26,65900,71700,65500,71700,208845,1692673.0,23607712.0
2011-08-29,72200,73300,69400,69400,269197,1638375.0,23607712.0
2011-08-30,70000,70800,68600,69900,382796,1650179.0,23607712.0
2011-08-31,70500,75800,69100,73400,334791,1732806.0,23607712.0
2011-09-01,73700,77000,73400,75900,239308,1791825.0,23607712.0
2011-09-02,76200,79400,76000,78000,284753,1841402.0,23607712.0
2011-09-05,78400,78400,73700,74000,175536,1746971.0,23607712.0
2011-09-06,73000,77400,73000,77200,153557,1822515.0,23607712.0
2011-09-07,78300,80500,76700,80400,274280,1898060.0,23607712.0
2011-09-08,79900,81600,78000,80000,120084,1888617.0,23607712.0
2011-09-09,80900,83700,79500,81600,89827,1926389.0,23607712.0
2011-09-14,82000,82500,76000,76000,76611,1794186.0,23607712.0
2011-09-15,78000,78900,72000,75700,127488,1787104.0,23607712.0
2011-09-16,76900,78000,74200,76500,168925,1805990.0,23607712.0
2011-09-19,77400,77400,74000,74000,62382,1746971.0,23607712.0
2011-09-20,74000,76800,71500,76800,78955,1813072.0,23607712.0
2011-09-21,77500,80700,76100,80700,128152,1905142.0,23607712.0
2011-09-22,78500,83100,78100,81600,93141,1926389.0,23607712.0
2011-09-23,78500,82900,78500,81200,141290,1916946.0,23607712.0
2011-09-26,82100,85500,75000,81200,151540,1916946.0,23607712.0
2011-09-27,85000,86300,83500,84400,73228,1992491.0,23607712.0
2011-09-28,85200,85400,80100,82000,119837,1935832.0,23607712.0
2011-09-29,82500,84200,81800,84000,120915,1983048.0,23607712.0
2011-09-30,85000,85500,80500,85200,94486,2011377.0,23607712.0
2011-10-04,81200,85800,81000,84000,75888,1983048.0,23607712.0
2011-10-05,84100,84900,78000,79600,124411,1879174.0,23607712.0
2011-10-06,81100,82000,73700,76300,185718,1801268.0,23607712.0
2011-10-07,77000,77700,73500,75300,196544,1777661.0,23607712.0
2011-10-10,77000,80800,75300,79600,113824,1879174.0,23607712.0
2011-10-11,81000,81500,76200,78900,221321,1862648.0,23607712.0
2011-10-12,77900,80800,77500,79600,101754,1879174.0,23607712.0
2011-10-13,79600,81000,78500,78500,79917,1853205.0,23607712.0
2011-10-14,78400,80700,78200,80700,73335,1905142.0,23607712.0
2011-10-17,81400,83000,79400,83000,129768,1959440.0,23607712.0
2011-10-18,82900,86500,81900,86500,161213,2042067.0,23607712.0
2011-10-19,86100,94900,86100,91800,281900,2167188.0,23607712.0
2011-10-20,91500,91600,87100,87100,113552,2056232.0,23607712.0
2011-10-21,88300,91500,87100,90300,132520,2131776.0,23607712.0
2011-10-24,88200,91500,88200,89100,81306,2103447.0,23607712.0
2011-10-25,89200,90000,86000,87800,51969,2072757.0,23607712.0
2011-10-26,88100,89700,87000,89700,50503,2117612.0,23607712.0
2011-10-27,89700,90000,85800,87300,103575,2060953.0,23607712.0
2011-10-28,89400,89400,78100,84600,561699,1997212.0,23607712.0
2011-10-31,84500,86000,80600,84900,147788,2004295.0,23607712.0
2011-11-01,83100,85200,82000,84300,106269,1990130.0,23607712.0
2011-11-02,82500,84900,81600,83700,99798,1975965.0,23607712.0
2011-11-03,84800,87200,83700,85000,105907,2006656.0,23607712.0
2011-11-04,87200,89500,84600,89100,139349,2103447.0,23607712.0
