한화손해보험(000370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,33342,37303,33342,36313,53340,73273.0,6661140.0
1999-01-05,38293,38293,34662,36313,43870,73273.0,6661140.0
1999-01-06,37962,40603,37797,39613,150420,79934.0,6661140.0
1999-01-07,37961,42583,37961,41263,193740,83264.0,6661140.0
1999-01-08,38292,42914,38292,42914,133230,86595.0,6661140.0
1999-01-11,41924,47206,41924,47206,223260,95254.0,6661140.0
1999-01-12,47206,48856,43905,47206,201220,95254.0,6661140.0
1999-01-13,46215,46876,44895,46216,107590,93256.0,6661140.0
1999-01-14,46215,46215,41264,44400,102410,89592.0,6661140.0
1999-01-15,41265,44565,41265,44566,83120,89925.0,6661140.0
1999-01-18,44565,47206,44565,44566,82500,89925.0,6661140.0
1999-01-19,44564,44564,41264,43244,59540,87261.0,6661140.0
1999-01-20,42914,45556,41594,43244,141090,87261.0,6661140.0
1999-01-21,44564,44564,39613,40274,71310,81266.0,6661140.0
1999-01-22,39613,39613,34496,39283,91480,79268.0,6661140.0
1999-01-25,39283,42914,36972,37633,86960,75937.0,6661140.0
1999-01-26,37963,38623,32846,32847,43280,66278.0,6661140.0
1999-01-27,33836,34661,32020,33341,82490,67278.0,6661140.0
1999-01-28,33011,34991,32845,34992,66150,70608.0,6661140.0
1999-01-29,33671,35487,33175,34332,102010,69276.0,6661140.0
1999-02-01,34331,35981,33670,35982,50990,72606.0,6661140.0
1999-02-02,35323,36312,34332,34662,33070,69942.0,6661140.0
1999-02-03,33343,34497,33343,33837,26950,68277.0,6661140.0
1999-02-04,33010,35651,33010,33341,35720,67278.0,6661140.0
1999-02-05,33671,38293,33671,38294,253480,77269.0,6661140.0
1999-02-08,38954,40274,36313,36313,225590,73273.0,6661140.0
1999-02-09,37137,37137,33010,33341,67000,67278.0,6661140.0
1999-02-10,33671,34992,33343,33837,46510,68277.0,6661140.0
1999-02-11,28884,32681,28884,30337,411170,61216.0,6661140.0
1999-02-12,29082,30039,26936,28423,644440,57352.0,6661140.0
1999-02-18,29115,29776,28719,28720,217440,57952.0,6661140.0
1999-02-19,27465,28357,26441,27234,96100,54954.0,6661140.0
1999-02-22,25749,26410,25320,25749,59710,51957.0,6661140.0
1999-02-23,25814,26011,24163,24164,67740,48760.0,6661140.0
1999-02-24,23073,24922,22447,22579,77810,45562.0,6661140.0
1999-02-25,22612,22943,21490,22117,77850,44630.0,6661140.0
1999-02-26,22481,24362,22481,24363,113960,49159.0,6661140.0
1999-03-02,25055,26904,24065,26409,124680,53289.0,6661140.0
1999-03-03,26046,26078,25121,25551,82080,51557.0,6661140.0
1999-03-04,26375,27068,25484,27069,79150,54621.0,6661140.0
1999-03-05,28026,30369,27794,28885,209140,58285.0,6661140.0
1999-03-08,30370,31031,29148,31030,149060,62615.0,6661140.0
1999-03-09,32350,34825,30435,33341,410530,67278.0,6661140.0
1999-03-10,34992,36312,33671,35322,299220,71274.0,6661140.0
1999-03-11,35983,38624,34001,36313,263520,73273.0,6661140.0
1999-03-12,37302,39613,36311,38458,225730,77602.0,6661140.0
1999-03-15,39614,43575,39614,42750,230300,86262.0,6661140.0
1999-03-16,42914,43244,38292,43244,168900,87261.0,6661140.0
1999-03-17,41264,43244,40273,40274,177380,81266.0,6661140.0
1999-03-18,37962,40273,36641,36642,128950,73939.0,6661140.0
1999-03-19,37632,40934,37632,40934,141090,82598.0,6661140.0
1999-03-22,41264,43574,39613,40274,130370,81266.0,6661140.0
1999-03-23,40273,42254,38623,39449,101740,79601.0,6661140.0
1999-03-24,42914,42914,40933,42254,176990,85263.0,6661140.0
1999-03-25,42254,42254,40768,41429,62370,83597.0,6661140.0
1999-03-26,42253,42583,41264,42254,125950,85263.0,6661140.0
1999-03-29,41759,42254,39943,41760,73340,84263.0,6661140.0
1999-03-30,41265,42090,40768,41594,53730,83930.0,6661140.0
1999-03-31,40934,44565,40934,42750,137380,86262.0,6661140.0
1999-04-01,42915,42915,41265,41925,72130,84596.0,6661140.0
1999-04-02,41593,42914,37962,40438,371710,81599.0,6661140.0
1999-04-06,38623,39943,37962,39449,231970,79601.0,6661140.0
1999-04-07,40603,43574,39613,42254,275180,85263.0,6661140.0
1999-04-08,40768,43905,40768,43411,170810,87594.0,6661140.0
1999-04-09,42585,49187,41924,45226,247180,91258.0,6661140.0
1999-04-12,46876,47866,45225,46216,205690,93256.0,6661140.0
1999-04-13,46876,50507,46215,47867,293360,96587.0,6661140.0
1999-04-14,49351,49516,47536,47701,99680,96253.0,6661140.0
1999-04-15,48857,52818,47206,50838,218560,102582.0,6661140.0
1999-04-16,51167,51497,47536,48692,179550,98252.0,6661140.0
1999-04-19,48692,50838,47867,50838,208980,102582.0,6661140.0
1999-04-20,50837,58429,50176,58430,367440,117902.0,6661140.0
1999-04-21,59090,65362,54468,59421,180980,119901.0,6661140.0
1999-04-22,60411,61070,56449,59421,107600,119901.0,6661140.0
1999-04-23,61069,61069,58099,58099,93230,117236.0,6661140.0
1999-04-26,59420,62721,58100,59421,150460,119901.0,6661140.0
1999-04-27,60080,61069,58099,61071,107440,123231.0,6661140.0
1999-04-28,61069,64041,59419,61731,176460,124563.0,6661140.0
1999-04-29,61731,63051,58100,59421,113820,119901.0,6661140.0
1999-04-30,59420,66684,58431,62062,209870,125229.0,6661140.0
1999-05-03,65527,66022,62720,65363,124470,131891.0,6661140.0
1999-05-04,64372,66022,63051,63382,92540,127894.0,6661140.0
1999-05-06,63382,70975,62721,66022,175590,133223.0,6661140.0
1999-05-07,68003,75265,67673,73945,180700,149210.0,6661140.0
1999-05-10,77247,84178,74605,84179,220610,169859.0,6661140.0
1999-05-11,85829,87481,77576,77577,155680,156537.0,6661140.0
1999-05-12,78401,79887,67673,75927,150910,153206.0,6661140.0
1999-05-13,75761,87150,74936,77577,211460,156537.0,6661140.0
1999-05-14,77576,82198,69324,71304,110250,143881.0,6661140.0
1999-05-17,61234,65692,60739,60740,185130,122565.0,6661140.0
1999-05-18,57439,61730,56448,61071,95860,123231.0,6661140.0
1999-05-19,62391,64701,60079,60080,146300,121233.0,6661140.0
1999-05-20,57934,59419,51497,52818,64580,106578.0,6661140.0
1999-05-21,50505,55788,49021,54468,58820,109909.0,6661140.0
