삼화왕관(004450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14312,14523,13996,14103,5860,33379.0,2490970.0
1999-01-05,14313,14839,13892,14840,21660,35123.0,2490970.0
1999-01-06,15049,16418,14839,16103,41370,38112.0,2490970.0
1999-01-07,16313,16629,15681,15892,38050,37614.0,2490970.0
1999-01-08,15997,17681,15997,16734,43400,39606.0,2490970.0
1999-01-11,17156,18366,16314,18102,53060,42845.0,2490970.0
1999-01-12,18103,18945,17786,18839,73460,44588.0,2490970.0
1999-01-13,18838,20312,18838,19892,74750,47079.0,2490970.0
1999-01-14,19155,19471,17261,17260,34700,40852.0,2490970.0
1999-01-15,17261,18839,17261,18418,28900,43592.0,2490970.0
1999-01-18,19154,20944,18523,19997,51600,47328.0,2490970.0
1999-01-19,19051,19840,18419,18418,32430,43592.0,2490970.0
1999-01-20,19260,20313,18734,18944,76980,44837.0,2490970.0
1999-01-21,18944,19259,17680,17892,17250,42346.0,2490970.0
1999-01-22,16840,17682,16314,16418,22300,38859.0,2490970.0
1999-01-25,14735,16735,14735,14734,11160,34874.0,2490970.0
1999-01-26,14945,16419,14945,15471,25700,36617.0,2490970.0
1999-01-27,14840,16314,14840,15734,7940,37240.0,2490970.0
1999-01-28,16733,17575,16206,17050,18630,40354.0,2490970.0
1999-01-29,17260,17575,16838,17050,15300,40354.0,2490970.0
1999-02-01,17156,17576,16997,17260,11510,40852.0,2490970.0
1999-02-02,17366,18418,17049,17997,37260,42596.0,2490970.0
1999-02-03,18208,18208,17261,17260,17820,40852.0,2490970.0
1999-02-04,17260,17260,16523,16629,6440,39357.0,2490970.0
1999-02-05,16629,17260,16629,16734,5970,39606.0,2490970.0
1999-02-08,16734,17787,16314,16418,5460,38859.0,2490970.0
1999-02-09,16206,16206,15418,16103,6780,38112.0,2490970.0
1999-02-10,15259,16313,14944,16208,4610,38361.0,2490970.0
1999-02-11,17156,17156,15997,16313,4090,38610.0,2490970.0
1999-02-12,16314,16629,16314,16313,8640,38610.0,2490970.0
1999-02-18,16629,16629,15997,15997,980,37863.0,2490970.0
1999-02-19,15260,15682,15208,15313,4520,36244.0,2490970.0
1999-02-22,15682,15682,14683,15629,5570,36991.0,2490970.0
1999-02-23,15261,15525,14735,14734,5500,34874.0,2490970.0
1999-02-24,13893,14735,13893,14313,4980,33877.0,2490970.0
1999-02-25,14313,14313,13892,14208,3810,33628.0,2490970.0
1999-02-26,13683,14735,13683,14734,5500,34874.0,2490970.0
1999-03-02,14734,16313,14524,15787,18590,37365.0,2490970.0
1999-03-03,15312,15787,15155,15787,6250,37365.0,2490970.0
1999-03-04,15261,15577,15261,15576,2600,36866.0,2490970.0
1999-03-05,15261,15735,15156,15734,4740,37240.0,2490970.0
1999-03-08,15260,16629,15260,16313,16320,38610.0,2490970.0
1999-03-09,15997,16207,15787,15787,4860,37365.0,2490970.0
1999-03-10,15787,15787,15050,15050,4550,35621.0,2490970.0
1999-03-11,15472,15682,14525,15471,54120,36617.0,2490970.0
1999-03-12,15787,16208,15472,15576,25290,36866.0,2490970.0
1999-03-15,15787,16261,15787,15892,16430,37614.0,2490970.0
1999-03-16,15787,16261,15787,15997,7430,37863.0,2490970.0
1999-03-17,15997,16313,15576,15787,16500,37365.0,2490970.0
