효성첨단소재(298050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-07-13,223000,233000,156500,160000,890434,716792.0,4479948.0
2018-07-16,163500,180000,162000,174000,667957,779511.0,4479948.0
2018-07-17,167500,177000,165000,174000,291798,779511.0,4479948.0
2018-07-18,171000,177500,160500,162500,172571,727992.0,4479948.0
2018-07-19,165500,176000,163500,169500,192445,759351.0,4479948.0
2018-07-20,167000,168000,159000,163000,131393,730232.0,4479948.0
2018-07-23,164000,166000,153000,154500,79709,692152.0,4479948.0
2018-07-24,153000,156000,150500,154500,65673,692152.0,4479948.0
2018-07-25,156000,158000,148000,151500,63498,678712.0,4479948.0
2018-07-26,151500,156000,148000,156000,37620,698872.0,4479948.0
2018-07-27,156000,163000,154000,160000,57547,716792.0,4479948.0
2018-07-30,163000,167000,160500,166500,45047,745911.0,4479948.0
2018-07-31,166500,170000,162000,170000,47931,761591.0,4479948.0
2018-08-01,170000,170500,165000,168000,29004,752631.0,4479948.0
2018-08-02,167500,168000,159000,159500,44807,714552.0,4479948.0
2018-08-03,161000,162500,156000,160000,29571,716792.0,4479948.0
2018-08-06,159500,163500,158000,160000,20620,716792.0,4479948.0
2018-08-07,160000,161000,157000,160500,23485,719032.0,4479948.0
2018-08-08,161000,162500,159000,162000,27426,725752.0,4479948.0
2018-08-09,162000,163500,160000,160000,31185,716792.0,4479948.0
2018-08-10,161000,161500,157500,160000,16412,716792.0,4479948.0
2018-08-13,158500,158500,152000,156000,32502,698872.0,4479948.0
2018-08-14,156000,158000,154500,157000,32384,703352.0,4479948.0
2018-08-16,153500,155500,151500,154000,31271,689912.0,4479948.0
2018-08-17,154500,156000,152500,156000,31044,698872.0,4479948.0
2018-08-20,155000,159500,154500,157500,28102,705592.0,4479948.0
2018-08-21,158500,163500,158000,163500,28959,732471.0,4479948.0
2018-08-22,162000,163000,154000,157000,48208,703352.0,4479948.0
2018-08-23,157000,157000,149500,152000,42651,680952.0,4479948.0
2018-08-24,151500,156500,151000,153000,21836,685432.0,4479948.0
2018-08-27,154000,154000,147000,149500,42669,669752.0,4479948.0
2018-08-28,149500,153500,148000,152500,33433,683192.0,4479948.0
2018-08-29,152500,158000,151500,156000,37147,698872.0,4479948.0
2018-08-30,157000,161500,156500,160000,50073,716792.0,4479948.0
2018-08-31,160000,160000,157000,160000,17009,716792.0,4479948.0
2018-09-03,160500,160500,154000,155000,26951,694392.0,4479948.0
2018-09-04,155000,157000,154000,154500,10184,692152.0,4479948.0
2018-09-05,153000,154000,149500,149500,29218,669752.0,4479948.0
2018-09-06,150000,152000,148000,151000,26607,676472.0,4479948.0
2018-09-07,151500,151500,148500,151500,18078,678712.0,4479948.0
2018-09-10,150000,151500,147500,149000,16942,667512.0,4479948.0
2018-09-11,148000,148500,144500,146000,25694,654072.0,4479948.0
2018-09-12,146000,150000,145500,148500,25366,665272.0,4479948.0
2018-09-13,149000,149000,144500,146000,19917,654072.0,4479948.0
2018-09-14,145500,149500,145500,149500,25016,669752.0,4479948.0
2018-09-17,153000,153000,147500,151500,18903,678712.0,4479948.0
2018-09-18,151500,151500,147500,149000,12761,667512.0,4479948.0
2018-09-19,148000,150500,147000,149500,17799,669752.0,4479948.0
2018-09-20,148500,148500,143500,143500,26386,642873.0,4479948.0
2018-09-21,145000,146000,142000,142500,33246,638393.0,4479948.0
2018-09-27,142500,143500,140500,143500,23676,642873.0,4479948.0
2018-09-28,143500,143500,140500,141500,26581,633913.0,4479948.0
2018-10-01,141000,142000,137000,141500,29584,633913.0,4479948.0
2018-10-02,139000,140500,136000,137000,19850,613753.0,4479948.0
2018-10-04,136000,137000,128500,133000,40319,595833.0,4479948.0
2018-10-05,131000,133500,128000,132500,22780,593593.0,4479948.0
2018-10-08,133000,135000,129000,130500,16033,584633.0,4479948.0
2018-10-10,129000,130500,121500,125000,25391,559994.0,4479948.0
2018-10-11,118000,122500,117500,118500,58573,530874.0,4479948.0
2018-10-12,116500,120500,116000,119000,26279,533114.0,4479948.0
2018-10-15,118500,119500,113000,114500,29603,512954.0,4479948.0
2018-10-16,113500,116000,110500,111500,38455,499514.0,4479948.0
2018-10-17,113000,114500,110500,112500,35993,503994.0,4479948.0
2018-10-18,112500,117000,111000,114500,24092,512954.0,4479948.0
2018-10-19,113000,114500,111000,114000,15920,510714.0,4479948.0
