오리온(271560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-07-07,87100,89700,75700,82300,1619864,3253607.0,39533501.0
2017-07-10,82300,88000,81000,88000,840451,3478948.0,39533501.0
2017-07-11,88000,88000,82700,82800,422303,3273374.0,39533501.0
2017-07-12,83700,84600,80000,83500,238407,3301047.0,39533501.0
2017-07-13,83400,84000,80800,81600,218138,3225934.0,39533501.0
2017-07-14,81000,83200,80500,81000,195088,3202214.0,39533501.0
2017-07-17,81800,83000,80900,82200,141369,3249654.0,39533501.0
2017-07-18,82400,83300,81500,83300,165584,3293141.0,39533501.0
2017-07-19,83400,85100,83200,84600,223083,3344534.0,39533501.0
2017-07-20,84600,84900,80000,80500,183151,3182447.0,39533501.0
2017-07-21,80500,81700,80200,81200,92821,3210120.0,39533501.0
2017-07-24,81900,83000,81300,83000,123728,3281281.0,39533501.0
2017-07-25,83400,83800,82600,83300,116806,3293141.0,39533501.0
2017-07-26,83300,85400,83100,85100,121061,3364301.0,39533501.0
2017-07-27,85100,85600,84100,84200,68816,3328721.0,39533501.0
2017-07-28,83700,85500,83300,84800,95657,3352441.0,39533501.0
2017-07-31,81800,84500,81800,82100,77011,3245700.0,39533501.0
2017-08-01,82500,84900,82400,83500,89377,3301047.0,39533501.0
2017-08-02,83100,83600,81900,82900,62216,3277327.0,39533501.0
2017-08-03,82000,83800,81000,83700,82484,3308954.0,39533501.0
2017-08-04,84500,85300,83800,85300,63572,3372208.0,39533501.0
2017-08-07,85600,85800,84300,85600,40097,3384068.0,39533501.0
2017-08-08,86000,86000,84600,85000,40475,3360348.0,39533501.0
2017-08-09,84100,85900,84100,85600,38950,3384068.0,39533501.0
2017-08-10,85000,87300,84500,85300,75619,3372208.0,39533501.0
2017-08-11,85200,86900,84600,86500,60086,3419648.0,39533501.0
2017-08-14,87200,90000,86600,89400,106552,3534295.0,39533501.0
2017-08-16,89400,98500,89200,95300,239188,3767543.0,39533501.0
2017-08-17,95200,95200,91000,92200,129941,3644989.0,39533501.0
2017-08-18,91900,95800,90900,95400,94515,3771496.0,39533501.0
2017-08-21,96400,96400,92400,92500,63817,3656849.0,39533501.0
2017-08-22,92700,94800,90800,93600,98102,3700336.0,39533501.0
2017-08-23,93000,95400,93000,94300,78239,3728009.0,39533501.0
2017-08-24,94400,94800,93100,93900,50476,3712196.0,39533501.0
2017-08-25,93800,93800,91100,92200,60684,3644989.0,39533501.0
2017-08-28,91400,92000,89000,89600,101907,3542202.0,39533501.0
2017-08-29,89300,91000,89300,90800,74316,3589642.0,39533501.0
2017-08-30,90300,90800,88600,90300,54611,3569875.0,39533501.0
2017-08-31,89700,91400,87300,87300,104709,3451275.0,39533501.0
2017-09-01,88000,88800,87300,87400,59116,3455228.0,39533501.0
2017-09-04,87500,88700,85500,86400,47663,3415694.0,39533501.0
2017-09-05,86900,87600,84300,85200,61294,3368254.0,39533501.0
2017-09-06,85300,88700,85100,86300,103961,3411741.0,39533501.0
2017-09-07,86900,87700,85400,86900,47383,3435461.0,39533501.0
2017-09-08,86200,89000,86200,87300,49147,3451275.0,39533501.0
2017-09-11,88400,92300,88400,91700,98648,3625222.0,39533501.0
2017-09-12,91800,92600,90200,92500,58778,3656849.0,39533501.0
2017-09-13,92100,94500,90400,93300,87262,3688476.0,39533501.0
2017-09-14,93400,96700,93400,96000,150398,3795216.0,39533501.0
2017-09-15,96000,96600,95300,96600,135228,3818936.0,39533501.0
2017-09-18,96700,97500,96200,97000,55832,3834750.0,39533501.0
2017-09-19,96300,97300,95600,97100,70406,3838703.0,39533501.0
2017-09-20,97400,98700,96500,97500,87986,3854516.0,39533501.0
2017-09-21,96200,99400,96100,99100,117504,3917770.0,39533501.0
2017-09-22,99500,100500,98400,99400,119851,3929630.0,39533501.0
2017-09-25,99900,100000,95500,95900,96876,3791263.0,39533501.0
2017-09-26,95700,99400,94400,99000,88680,3913817.0,39533501.0
2017-09-27,98500,99100,96400,98000,53926,3874283.0,39533501.0
2017-09-28,96300,97700,94000,95100,210687,3759636.0,39533501.0
2017-09-29,95500,98400,94900,97000,130721,3834750.0,39533501.0
2017-10-10,94700,96000,94200,95000,121490,3755683.0,39533501.0
2017-10-11,93400,94700,90500,91000,161332,3597549.0,39533501.0
2017-10-12,90600,94000,90600,94000,94760,3716149.0,39533501.0
2017-10-13,92800,95300,92300,94300,58961,3728009.0,39533501.0
2017-10-16,93500,95200,92400,94800,41409,3747776.0,39533501.0
2017-10-17,93800,95100,92800,93800,40727,3708242.0,39533501.0
