삼성SDI(006400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,61000,61500,59800,60100,384270,2393592.0,39826816.0
1999-01-05,61400,61400,58100,59000,391670,2349782.0,39826816.0
1999-01-06,59300,59900,57500,58600,335490,2333851.0,39826816.0
1999-01-07,59300,63000,58300,61500,1118290,2449349.0,39826816.0
1999-01-08,61000,61900,59500,60000,407130,2389609.0,39826816.0
1999-01-11,60000,60500,58700,59000,273600,2349782.0,39826816.0
1999-01-12,59000,59500,57000,58000,270750,2309955.0,39826816.0
1999-01-13,58000,58000,56600,57000,185250,2270129.0,39826816.0
1999-01-14,52500,56500,52500,56000,308920,2230302.0,39826816.0
1999-01-15,57000,58500,56000,57500,384400,2384698.0,41473003.0
1999-01-18,57500,58100,56500,56900,197820,2359814.0,41473003.0
1999-01-19,56800,58000,55700,56500,200260,2343225.0,41473003.0
1999-01-20,57000,57000,55400,55400,189140,2297604.0,41473003.0
1999-01-21,55400,55400,52200,53500,206470,2218806.0,41473003.0
1999-01-22,52700,53000,50000,50000,170870,2073650.0,41473003.0
1999-01-25,49100,50400,48500,49600,180920,2057061.0,41473003.0
1999-01-26,51000,52000,49600,50000,162800,2073650.0,41473003.0
1999-01-27,50000,52900,50000,52300,176290,2169038.0,41473003.0
1999-01-28,52500,55200,51800,55000,371740,2281015.0,41473003.0
1999-01-29,54500,54800,53200,54000,234320,2239542.0,41473003.0
1999-02-01,53700,54000,53000,53500,74840,2218806.0,41473003.0
1999-02-02,52500,53400,51300,51500,1509300,2135860.0,41473003.0
1999-02-03,51500,51500,50100,50400,115310,2090239.0,41473003.0
1999-02-04,50400,50900,49800,50500,89490,2094387.0,41473003.0
1999-02-05,49200,52700,49200,52000,151160,2156596.0,41473003.0
1999-02-08,51500,53600,51500,53000,125410,2198069.0,41473003.0
1999-02-09,51100,52000,49800,50900,181750,2110976.0,41473003.0
1999-02-10,50000,50800,49600,50600,128750,2098534.0,41473003.0
1999-02-11,50000,51600,50000,50500,62500,2094387.0,41473003.0
1999-02-12,51400,52000,50500,52000,87430,2156596.0,41473003.0
1999-02-18,53000,53000,49800,50000,130410,2073650.0,41473003.0
1999-02-19,49300,49500,46850,47400,235300,1965820.0,41473003.0
1999-02-22,47000,47000,45300,45600,229230,1891169.0,41473003.0
1999-02-23,45700,46600,44800,45400,188760,1882874.0,41473003.0
1999-02-24,45400,46800,45400,46000,171140,1907758.0,41473003.0
1999-02-25,46000,48600,45100,47100,194360,1953378.0,41473003.0
1999-02-26,47800,49700,47800,49500,230320,2052914.0,41473003.0
1999-03-02,50100,52500,50000,51500,229900,2135860.0,41473003.0
1999-03-03,50000,51500,49200,50000,173070,2073650.0,41473003.0
1999-03-04,49500,50000,48800,49300,55160,2044619.0,41473003.0
1999-03-05,49000,52500,48900,50000,152520,2073650.0,41473003.0
1999-03-08,50600,52400,50600,52000,166310,2156596.0,41473003.0
1999-03-09,52000,52500,51000,51800,186350,2148302.0,41473003.0
1999-03-10,52000,52000,50600,51300,100630,2127565.0,41473003.0
1999-03-11,51500,52300,51000,51400,280540,2131712.0,41473003.0
1999-03-12,51500,52000,51200,51400,155410,2131712.0,41473003.0
1999-03-15,51400,53100,51400,52000,254600,2156596.0,41473003.0
1999-03-16,51500,54000,51500,53900,190510,2235395.0,41473003.0
1999-03-17,54000,54700,52500,53900,249000,2235395.0,41473003.0
1999-03-18,51500,54800,51500,53600,334040,2222953.0,41473003.0
1999-03-19,54000,58100,54000,58100,518690,2409581.0,41473003.0
1999-03-22,58100,60800,57100,58900,443300,2442760.0,41473003.0
1999-03-23,58000,58900,57300,58000,295030,2405434.0,41473003.0
1999-03-24,57200,57800,56000,56800,245490,2355667.0,41473003.0
1999-03-25,54000,56800,54000,55500,286930,2301752.0,41473003.0
1999-03-26,55600,56800,55600,56200,148610,2330783.0,41473003.0
1999-03-29,56000,57500,55000,57400,196750,2380550.0,41473003.0
1999-03-30,58100,60500,58100,60200,527930,2496675.0,41473003.0
1999-03-31,60300,61000,59000,60300,262820,2500822.0,41473003.0
1999-04-01,60200,61300,59300,61000,327240,2529853.0,41473003.0
1999-04-02,61500,61500,60200,61000,319440,2529853.0,41473003.0
1999-04-06,60900,61500,60500,61000,290170,2529853.0,41473003.0
1999-04-07,61000,62300,60000,60000,321440,2488380.0,41473003.0
1999-04-08,59500,60500,59000,60000,200450,2488380.0,41473003.0
1999-04-09,60000,61000,58100,59800,214630,2480086.0,41473003.0
1999-04-12,60900,60900,59000,60500,215870,2509117.0,41473003.0
1999-04-13,60100,60500,59000,59500,388470,2467644.0,41473003.0
1999-04-14,59600,60200,59000,59500,158410,2467644.0,41473003.0
1999-04-15,59400,61500,59400,61000,314114,2529853.0,41473003.0
1999-04-16,60700,67900,60700,63900,666259,2650125.0,41473003.0
1999-04-19,69500,69500,66000,69300,515010,2874079.0,41473003.0
1999-04-20,69000,69300,66000,66900,422028,2774544.0,41473003.0
1999-04-21,65700,66200,62000,62100,373190,2575473.0,41473003.0
1999-04-22,62000,62000,60200,62000,453860,2571326.0,41473003.0
1999-04-23,62000,64500,61300,63500,300790,2633536.0,41473003.0
1999-04-26,63500,64000,62500,63900,345635,2650125.0,41473003.0
1999-04-27,63900,63900,62000,62500,392460,2592063.0,41473003.0
1999-04-28,62500,65000,61800,64900,740060,2691598.0,41473003.0
1999-04-29,63900,64900,62500,62600,244450,2596210.0,41473003.0
1999-04-30,62500,62600,59500,61000,444000,2529853.0,41473003.0
1999-05-03,60200,62500,60200,61600,160330,2554737.0,41473003.0
1999-05-04,62100,63000,61700,62600,118100,2596210.0,41473003.0
1999-05-06,62000,64000,62000,64000,380670,2654272.0,41473003.0
1999-05-07,64000,64800,61000,62400,439833,2587915.0,41473003.0
1999-05-10,62500,63200,62100,62500,280870,2592063.0,41473003.0
1999-05-11,62500,62900,60100,60100,256124,2492527.0,41473003.0
1999-05-12,60500,61400,58600,60000,271600,2488380.0,41473003.0
1999-05-13,60000,60000,57500,57500,154330,2384698.0,41473003.0
1999-05-14,59500,60000,56100,56800,168610,2355667.0,41473003.0
1999-05-17,57000,57500,55800,56900,187200,2359814.0,41473003.0
1999-05-18,58400,58400,57100,58000,116490,2405434.0,41473003.0
1999-05-19,58000,58500,56800,58000,132540,2405434.0,41473003.0
1999-05-20,58000,58500,56600,58500,116970,2426171.0,41473003.0
1999-05-21,58500,58500,57100,58000,111560,2405434.0,41473003.0
1999-05-24,57500,58000,57000,57500,70800,2384698.0,41473003.0
1999-05-25,57500,58300,57400,57400,111710,2380550.0,41473003.0
1999-05-26,57400,58100,57000,57900,179980,2401287.0,41473003.0
1999-05-27,58200,59500,57100,57900,260640,2401287.0,41473003.0
1999-05-28,57900,58500,57000,57000,249570,2363961.0,41473003.0
1999-05-31,57000,57500,56500,56600,607996,2347372.0,41473003.0
1999-06-01,56500,59000,56400,58500,466960,2426171.0,41473003.0
1999-06-02,59900,61700,59100,60000,564190,2488380.0,41473003.0
1999-06-03,61000,61000,57000,59300,885006,2459349.0,41473003.0
1999-06-04,59300,61500,59300,60000,577451,2488380.0,41473003.0
1999-06-07,61000,62700,60600,62500,535820,2592063.0,41473003.0
1999-06-08,62500,63000,60700,61000,594430,2529853.0,41473003.0
1999-06-09,60600,60600,57500,57600,401500,2388845.0,41473003.0
1999-06-10,57600,59500,56900,59300,1004803,2459349.0,41473003.0
1999-06-11,59500,61500,58200,59500,1003730,2467644.0,41473003.0
1999-06-14,60000,61800,58600,58600,706249,2430318.0,41473003.0
1999-06-15,58000,58600,56000,57500,354880,2384698.0,41473003.0
1999-06-16,57500,58700,56600,57400,362550,2380550.0,41473003.0
1999-06-17,57700,62400,57700,60200,1396455,2496675.0,41473003.0
1999-06-18,61000,61300,58700,59800,492488,2480086.0,41473003.0
1999-06-21,60000,67000,60000,66700,1571242,2766249.0,41473003.0
1999-06-22,67000,67800,65100,66300,927896,2749660.0,41473003.0
1999-06-23,67100,68500,65000,65400,1081290,2712334.0,41473003.0
1999-06-24,65400,66200,63000,63000,915826,2612799.0,41473003.0
1999-06-25,62800,62800,61100,62500,410660,2592063.0,41473003.0
1999-06-28,63000,64700,62000,62300,791140,2583768.0,41473003.0
1999-06-29,62300,64400,62100,62600,684315,2596210.0,41473003.0
1999-06-30,62800,68800,61000,63000,1637978,2882260.0,45750163.0
1999-07-01,63000,72400,63000,70900,2641666,3243687.0,45750163.0
1999-07-02,69500,70800,67000,68900,1607652,3152186.0,45750163.0
1999-07-05,69900,70000,66200,67500,1127968,3088136.0,45750163.0
1999-07-06,66500,73000,66100,70500,2018434,3225386.0,45750163.0
1999-07-07,72900,74700,71300,72200,1774759,3303162.0,45750163.0
1999-07-08,72500,75500,71000,72200,1227507,3303162.0,45750163.0
1999-07-09,75400,82900,73700,81000,2383551,3757731.0,46391737.0
1999-07-12,81000,81500,73100,75000,1231090,3479380.0,46391737.0
1999-07-13,75200,76800,72600,72900,894971,3381958.0,46391737.0
1999-07-14,72900,73900,69000,69200,853380,3210308.0,46391737.0
1999-07-15,69500,71000,68900,71000,657240,3293813.0,46391737.0
1999-07-16,71100,74900,71000,73000,814948,3386597.0,46391737.0
1999-07-19,79500,79500,73000,75200,985730,3488659.0,46391737.0
1999-07-20,74900,75100,71500,71500,518872,3317009.0,46391737.0
1999-07-21,71500,72000,69000,69700,623680,3233504.0,46391737.0
1999-07-22,68500,70700,66000,70300,562250,3261339.0,46391737.0
1999-07-23,69600,69600,63000,63500,520760,2945875.0,46391737.0
1999-07-26,60200,65000,60200,62600,595000,2904123.0,46391737.0
1999-07-27,64000,67000,62600,66500,449250,3085051.0,46391737.0
1999-07-28,66500,69500,65000,66900,731255,3103607.0,46391737.0
1999-07-29,67000,75000,67000,75000,1402195,3479380.0,46391737.0
1999-07-30,74000,76000,69500,71000,1228873,3293813.0,46391737.0
1999-08-02,71000,74900,70000,71000,969520,3293813.0,46391737.0
1999-08-03,72000,76000,71000,74500,1278856,3456184.0,46391737.0
1999-08-04,75000,75900,73000,73000,637760,3386597.0,46391737.0
1999-08-05,71900,72400,68100,68800,501960,3191752.0,46391737.0
1999-08-06,68500,70400,66400,68200,374620,3163916.0,46391737.0
1999-08-09,67000,70000,66600,68800,195603,3191752.0,46391737.0
1999-08-10,68400,71000,67500,70700,303500,3279896.0,46391737.0
1999-08-11,70100,70700,67700,68500,276550,3177834.0,46391737.0
1999-08-12,68600,69300,67500,67500,279890,3131442.0,46391737.0
1999-08-13,66800,67000,64100,65400,269835,3034020.0,46391737.0
1999-08-16,64000,67500,63800,66600,188610,3089690.0,46391737.0
1999-08-17,66600,67000,64500,65500,340670,3038659.0,46391737.0
1999-08-18,64000,65500,62500,63700,271810,2955154.0,46391737.0
1999-08-19,63800,64800,62500,62500,281002,2899484.0,46391737.0
1999-08-20,63000,63800,62200,62500,279415,2899484.0,46391737.0
1999-08-23,63000,64500,62400,64300,250161,2982989.0,46391737.0
1999-08-24,65100,67500,65100,65400,349710,3034020.0,46391737.0
1999-08-25,65400,69500,64700,69500,437595,3224226.0,46391737.0
1999-08-26,69300,69500,67700,68000,321220,3154638.0,46391737.0
1999-08-27,67000,69000,66100,67900,335160,3149999.0,46391737.0
1999-08-30,68000,68900,67300,67300,259260,3122164.0,46391737.0
1999-08-31,67900,69400,67300,68300,1198660,3168556.0,46391737.0
1999-09-01,69900,74600,69000,71700,1512090,3326288.0,46391737.0
1999-09-02,70000,72900,68500,69200,750442,3210308.0,46391737.0
1999-09-03,69600,70500,67900,68300,450733,3168556.0,46391737.0
1999-09-06,69500,71900,69500,71500,608844,3317009.0,46391737.0
1999-09-07,72800,73800,71000,71000,510434,3293813.0,46391737.0
1999-09-08,70000,71000,68500,69000,388948,3201030.0,46391737.0
1999-09-09,69500,70500,68500,69500,239232,3224226.0,46391737.0
1999-09-10,70000,72300,69900,70500,381591,3270617.0,46391737.0
1999-09-13,71100,73000,70800,72100,432190,3344844.0,46391737.0
1999-09-14,72100,73500,71500,72300,753757,3354123.0,46391737.0
1999-09-15,72000,73500,71600,73000,354651,3386597.0,46391737.0
1999-09-16,73100,76500,73100,74000,935490,3432989.0,46391737.0
1999-09-17,73400,74000,70700,73900,319763,3428349.0,46391737.0
1999-09-20,73900,73900,72600,73200,266209,3395875.0,46391737.0
1999-09-21,73200,74600,73200,73200,435710,3395875.0,46391737.0
1999-09-22,74200,79000,73600,76500,1284071,3548968.0,46391737.0
1999-09-27,78000,78000,74000,74500,302135,3456184.0,46391737.0
1999-09-28,74500,75000,72000,72900,357887,3381958.0,46391737.0
1999-09-29,72400,72400,69000,69500,314200,3224226.0,46391737.0
1999-09-30,69500,70800,69000,69000,274408,3201030.0,46391737.0
1999-10-01,68300,69900,66600,69900,362670,3242782.0,46391737.0
1999-10-04,70000,71000,68000,68000,211100,3154638.0,46391737.0
1999-10-05,68100,69500,66000,66500,245370,3085051.0,46391737.0
1999-10-06,67000,69000,66500,68500,215420,3177834.0,46391737.0
1999-10-07,68500,69500,67300,68600,195500,3182473.0,46391737.0
1999-10-08,68100,68800,67200,68800,218170,3191752.0,46391737.0
1999-10-11,68000,69400,67800,68100,122420,3159277.0,46391737.0
1999-10-12,68000,69000,67000,69000,129643,3201030.0,46391737.0
1999-10-13,68000,68300,66700,67700,254091,3140721.0,46391737.0
1999-10-14,67200,68400,66500,67200,347439,3117525.0,46391737.0
1999-10-15,67200,68200,66900,67300,193492,3122164.0,46391737.0
1999-10-18,61700,66100,61700,65800,235130,3052576.0,46391737.0
1999-10-19,64500,66200,63500,63500,218129,2945875.0,46391737.0
1999-10-20,64500,64900,63600,63600,155320,2950514.0,46391737.0
1999-10-21,64100,64900,61400,61700,266202,2862370.0,46391737.0
1999-10-22,61700,62500,61500,62000,213326,2876288.0,46391737.0
1999-10-25,62100,62500,60500,61700,164080,2862370.0,46391737.0
1999-10-26,60100,62000,60100,61400,130100,2848453.0,46391737.0
1999-10-27,61400,62500,60900,61100,102680,2834535.0,46391737.0
1999-10-28,60300,63100,60300,63100,157900,2927319.0,46391737.0
1999-10-29,63900,64500,63000,63000,197910,2922679.0,46391737.0
1999-11-01,63500,64200,62700,63700,442260,2955154.0,46391737.0
1999-11-02,63700,65000,63100,63500,373810,2945875.0,46391737.0
1999-11-03,63500,66500,63500,63700,450470,2955154.0,46391737.0
1999-11-04,63700,65300,63700,64100,335110,2973710.0,46391737.0
1999-11-05,64500,65800,64500,64800,515330,3006185.0,46391737.0
1999-11-08,65500,67500,65100,65900,490410,3057215.0,46391737.0
1999-11-09,65900,67500,65900,67300,487660,3122164.0,46391737.0
1999-11-10,67900,68700,66200,66200,475726,3071133.0,46391737.0
1999-11-11,66500,66900,65900,66100,436458,3066494.0,46391737.0
1999-11-12,66100,70000,66000,66900,853549,3103607.0,46391737.0
1999-11-15,68000,68200,66100,66900,386251,3103607.0,46391737.0
1999-11-16,66800,66800,64700,65300,460860,3029380.0,46391737.0
1999-11-17,65700,66000,62100,62100,619950,2880927.0,46391737.0
1999-11-18,62100,63300,61700,62200,501840,2885566.0,46391737.0
1999-11-19,64000,65300,63200,63500,595801,2945875.0,46391737.0
1999-11-22,63700,65900,63000,64000,732920,2969071.0,46391737.0
1999-11-23,63700,64000,63000,63300,257870,2936597.0,46391737.0
1999-11-24,62500,62800,61500,61600,283343,2857731.0,46391737.0
1999-11-25,62800,62800,59500,60300,587882,2797422.0,46391737.0
1999-11-26,60000,60000,58000,59000,722532,2737112.0,46391737.0
1999-11-29,58500,61800,57400,61800,605855,2867009.0,46391737.0
1999-11-30,61800,65500,61700,61800,759760,2867009.0,46391737.0
1999-12-01,63800,65500,61900,62000,712378,2876288.0,46391737.0
1999-12-02,63400,63700,59600,60000,492920,2783504.0,46391737.0
1999-12-03,61000,62000,58500,59000,349160,2737112.0,46391737.0
1999-12-06,59200,60900,58800,58800,480610,2727834.0,46391737.0
1999-12-07,59300,59800,55600,56500,456140,2621133.0,46391737.0
1999-12-08,56000,56700,52900,53300,538995,2472680.0,46391737.0
1999-12-09,52900,55000,52500,53300,616400,2472680.0,46391737.0
1999-12-10,53500,57400,52100,54200,1043010,2514432.0,46391737.0
1999-12-13,56700,59300,55500,57400,1071080,2662886.0,46391737.0
1999-12-14,58200,58900,56100,56400,561633,2616494.0,46391737.0
1999-12-15,55100,55900,53000,54000,479101,2505154.0,46391737.0
1999-12-16,53000,54000,52000,52700,411970,2444845.0,46391737.0
1999-12-17,52600,53800,50000,51000,388923,2365979.0,46391737.0
1999-12-20,50100,51900,50100,50600,337208,2347422.0,46391737.0
1999-12-21,50600,50900,48100,48500,611615,2249999.0,46391737.0
1999-12-22,48000,48400,44500,46600,714690,2161855.0,46391737.0
1999-12-23,47000,48500,46200,46200,597415,2143298.0,46391737.0
1999-12-24,46300,47500,45000,46000,448140,2134020.0,46391737.0
1999-12-27,46800,49800,46200,47300,642644,2194329.0,46391737.0
1999-12-28,47000,48200,46000,47200,506062,2189690.0,46391737.0
2000-01-04,47500,51500,47500,50400,511990,2338144.0,46391737.0
2000-01-05,49000,49900,47000,47500,388150,2203608.0,46391737.0
2000-01-06,47600,48450,42900,43000,624043,1994845.0,46391737.0
2000-01-07,43000,43450,40700,41000,542830,1902061.0,46391737.0
