대한해운(005880),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,259748,273527,255650,264907,32400,45276.0,5880000.0
1999-01-05,268336,268336,248678,251481,52150,42983.0,5880000.0
1999-01-06,273531,289042,261484,288993,115800,49392.0,5880000.0
1999-01-07,332011,332397,326853,332349,154400,56801.0,5880000.0
1999-01-08,330256,361228,316526,344035,253360,58800.0,5880000.0
1999-01-11,343994,364652,327127,357773,135000,61152.0,5880000.0
1999-01-12,361228,361228,334057,344035,69030,58800.0,5880000.0
1999-01-13,313052,337145,313052,336809,53490,57565.0,5880000.0
1999-01-14,314737,319894,302690,306166,53980,52332.0,5880000.0
1999-01-15,302690,323309,295810,306166,58370,52332.0,5880000.0
1999-01-18,345697,350904,319921,350904,108850,59976.0,5880000.0
1999-01-19,368054,371479,330192,330252,238640,56448.0,5880000.0
1999-01-20,343328,343714,313118,313080,64070,53508.0,5880000.0
1999-01-21,292476,313144,292476,292428,55790,49980.0,5880000.0
1999-01-22,276289,282120,268390,268341,66210,45864.0,5880000.0
1999-01-25,271791,282096,258349,276950,51080,47334.0,5880000.0
1999-01-26,288997,306151,258025,278645,35990,47628.0,5880000.0
1999-01-27,275160,291394,268320,275210,28620,47040.0,5880000.0
1999-01-28,270053,278625,270053,275210,32030,47040.0,5880000.0
1999-01-29,288968,288968,270032,279002,36260,47687.0,5880000.0
1999-02-01,320567,320567,302700,320618,110230,54802.0,5880000.0
1999-02-02,326789,331947,306121,321644,175750,54978.0,5880000.0
1999-02-03,321593,330214,306121,321644,101220,54978.0,5880000.0
1999-02-04,326867,326867,304507,316514,107720,54096.0,5880000.0
1999-02-05,302775,323393,302775,316514,135610,54096.0,5880000.0
1999-02-08,346079,346079,291351,291313,38720,43512.0,5880000.0
1999-02-09,279444,283394,263745,263747,31750,39396.0,5880000.0
1999-02-10,263762,275561,236155,267672,44840,39984.0,5880000.0
1999-02-11,287379,290903,271631,271642,39220,40572.0,5880000.0
1999-02-12,271607,283416,271607,283418,34820,42336.0,5880000.0
1999-02-18,291319,291319,267662,267672,42000,39984.0,5880000.0
1999-02-19,267624,271574,247966,251927,25010,37632.0,5880000.0
