SPC삼립(005610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4686,5897,4663,5897,600,1806.0,1400000.0
1999-01-05,5029,5486,5029,5051,13770,1547.0,1400000.0
1999-01-06,5074,5371,5074,5302,7810,1624.0,1400000.0
1999-01-07,5943,5943,4800,5028,3380,1540.0,1400000.0
1999-01-08,4800,4937,4297,4662,21730,1428.0,1400000.0
1999-01-11,4800,5349,4800,5028,9240,1540.0,1400000.0
1999-01-12,5029,5486,5029,5257,17820,1610.0,1400000.0
1999-01-13,5257,6034,4846,6034,22260,1848.0,1400000.0
1999-01-14,6926,6926,6034,6400,33010,1960.0,1400000.0
1999-01-15,7269,7269,7086,7085,40910,2170.0,1400000.0
1999-01-18,7771,8137,7771,8137,17700,2492.0,1400000.0
1999-01-19,9349,9349,8686,8685,32920,2660.0,1400000.0
1999-01-20,8686,8914,7383,7382,15640,2261.0,1400000.0
1999-01-21,6286,6423,6286,6285,7580,1925.0,1400000.0
1999-01-22,6286,6286,5371,5942,40160,1820.0,1400000.0
1999-01-25,5280,5966,5051,5394,7610,1652.0,1400000.0
1999-01-26,5554,6080,5486,5805,19720,1778.0,1400000.0
1999-01-27,5943,6171,5920,5942,8860,1820.0,1400000.0
1999-01-28,5897,6171,5897,5942,20260,1820.0,1400000.0
1999-01-29,5943,6629,5897,6628,28920,2030.0,1400000.0
1999-02-01,6629,6629,6629,6628,0,2030.0,1400000.0
1999-02-02,6629,6629,6629,6628,0,,
1999-02-03,6629,6629,6629,6628,0,,
1999-02-04,6629,6629,6629,6628,0,,
1999-02-05,6629,6629,6629,6628,0,,
1999-02-08,6629,6629,6629,6628,0,,
1999-02-09,6629,6629,6629,6628,0,,
1999-02-10,6629,6629,6629,6628,0,,
1999-02-11,6629,6629,6629,6628,0,,
1999-02-12,6629,6629,6629,6628,0,,
1999-02-18,6629,6629,6629,6628,0,,
1999-02-19,6629,6629,6629,6628,0,,
1999-02-22,6629,6629,6629,6628,0,,
1999-02-23,6629,6629,6629,6628,0,,
1999-02-24,6629,6629,6629,6628,0,,
1999-02-25,6629,6629,6629,6628,0,,
1999-02-26,6629,6629,6629,6628,0,,
1999-03-02,6629,6629,6629,6628,0,,
1999-03-03,6629,6629,6629,6628,0,,
1999-03-04,6629,6629,6629,6628,0,,
1999-03-05,5966,6400,5646,6285,16160,1384.0,503220.0
1999-03-08,5600,6149,5600,5714,4410,1258.0,503220.0
1999-03-09,5714,6057,5714,5828,5370,1283.0,503220.0
1999-03-10,5943,5943,5714,5714,5940,1258.0,503220.0
1999-03-11,5600,5600,5051,5577,1870,1228.0,503220.0
1999-03-12,5714,5714,5486,5600,4140,1233.0,503220.0
1999-03-15,5714,5966,5714,5942,13180,1308.0,503220.0
1999-03-16,5920,5943,5600,5714,2190,1258.0,503220.0
1999-03-17,5943,5943,5749,5920,280,1303.0,503220.0
1999-03-18,5829,5829,5074,5165,1010,1137.0,503220.0
1999-03-19,5257,5531,5257,5257,2950,1157.0,503220.0
1999-03-22,5143,5554,5143,5462,3610,1203.0,503220.0
1999-03-23,5577,5577,5120,5120,250,1127.0,503220.0
1999-03-24,5074,5474,5029,5474,2150,1205.0,503220.0
1999-03-25,5829,6263,5829,6205,7000,1366.0,503220.0
1999-03-26,5943,6057,5943,6057,1130,1334.0,503220.0
1999-03-29,6057,6057,5714,5714,630,1258.0,503220.0
1999-03-30,5714,5714,5714,5714,600,1258.0,503220.0
1999-03-31,5269,5269,5269,5268,1320,1160.0,503220.0
1999-04-01,5280,5943,5280,5714,280,1258.0,503220.0
1999-04-02,5714,5920,5714,5714,2750,1258.0,503220.0
1999-04-06,5280,5486,5280,5485,900,1208.0,503220.0
1999-04-07,5486,5714,5486,5600,1760,1233.0,503220.0
1999-04-08,5646,5943,5257,5714,4920,1258.0,503220.0
1999-04-09,6400,6571,6400,6571,22680,1447.0,503220.0
1999-04-12,7554,7554,7554,7554,4360,1663.0,503220.0
1999-04-13,8686,8686,8686,8685,4100,1912.0,503220.0
1999-04-14,9600,9600,8000,8000,25600,1761.0,503220.0
1999-04-15,8114,8686,8114,8457,9600,1862.0,503220.0
1999-04-16,8457,8457,7314,7314,3860,1610.0,503220.0
1999-04-19,7314,7314,6400,7314,3920,1610.0,503220.0
1999-04-20,7314,7314,6400,6400,3970,1409.0,503220.0
1999-04-21,6446,7314,6446,7314,1340,1610.0,503220.0
1999-04-22,7314,7314,6469,6628,2260,1459.0,503220.0
1999-04-23,6446,6811,6446,6742,2460,1484.0,503220.0
1999-04-26,6743,6743,5851,5851,280,1288.0,503220.0
1999-04-27,6286,6629,5989,5988,6950,1318.0,503220.0
1999-04-28,6057,6171,5989,6171,14030,1359.0,503220.0
1999-04-29,6263,6629,6263,6628,5040,1459.0,503220.0
1999-04-30,6857,7623,6857,6857,19240,1510.0,503220.0
1999-05-03,6857,7131,6400,7085,3020,1560.0,503220.0
1999-05-04,7063,7063,6400,6857,3920,1510.0,503220.0
1999-05-06,7086,7543,6857,7131,34390,1570.0,503220.0
1999-05-07,7543,7771,7314,7771,16790,1711.0,503220.0
1999-05-10,7657,7657,7086,7428,12420,1635.0,503220.0
1999-05-11,7497,7543,7429,7497,20340,1651.0,503220.0
1999-05-12,7497,7497,7246,7245,10870,1595.0,503220.0
1999-05-13,6949,7314,6857,6948,5940,1530.0,503220.0
1999-05-14,6949,6949,6857,6857,3790,1510.0,503220.0
1999-05-17,6857,6857,6651,6651,1790,1464.0,503220.0
1999-05-18,6400,6629,6400,6628,2100,1459.0,503220.0
1999-05-19,6583,6857,6583,6628,3540,1459.0,503220.0
