화천기공(000850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-11-18,11060,11060,9720,11059,131990,24276.0,1680000.0
1999-11-19,11060,11060,9414,9490,98490,20832.0,1680000.0
1999-11-22,9338,9644,8878,9031,43990,19824.0,1680000.0
1999-11-23,8802,9950,8802,9605,60670,21084.0,1680000.0
1999-11-24,9032,9797,8802,8878,27570,19488.0,1680000.0
1999-11-25,8917,9108,7730,8189,44320,17976.0,1680000.0
1999-11-26,8190,8190,7126,7309,20180,16044.0,1680000.0
1999-11-29,6927,8037,6621,7500,19860,16464.0,1680000.0
1999-11-30,7654,7960,7118,7347,26690,16128.0,1680000.0
1999-12-01,6582,7577,6582,7271,15460,15960.0,1680000.0
1999-12-02,7348,7348,6888,6911,9120,15170.0,1680000.0
1999-12-03,6973,7348,6812,7194,10450,15792.0,1680000.0
1999-12-06,7003,7195,7003,7118,13770,15624.0,1680000.0
1999-12-07,7156,7263,6973,6972,8880,15305.0,1680000.0
1999-12-08,6973,7348,6888,6896,9080,15137.0,1680000.0
1999-12-09,6965,7922,6888,7921,13600,17388.0,1680000.0
1999-12-10,7922,8381,7654,7730,26620,16968.0,1680000.0
1999-12-13,8037,8343,7960,8342,15580,18312.0,1680000.0
1999-12-14,8496,9108,8381,8955,14340,19656.0,1680000.0
1999-12-15,9070,9338,8572,8801,10730,19320.0,1680000.0
1999-12-16,8764,9032,8572,8648,7870,18984.0,1680000.0
1999-12-17,8802,9185,8496,9184,13080,20160.0,1680000.0
1999-12-20,9453,9453,8840,9184,5510,20160.0,1680000.0
1999-12-21,8878,9032,7883,9031,8240,19824.0,1680000.0
1999-12-22,8649,8725,8151,8725,3130,19152.0,1680000.0
1999-12-23,8075,9338,8037,9337,55750,20496.0,1680000.0
1999-12-24,9338,9797,9185,9796,51830,21504.0,1680000.0
1999-12-27,9797,10639,9797,10638,39830,23352.0,1680000.0
1999-12-28,10715,10715,10409,10638,52300,23352.0,1680000.0
2000-01-04,10792,12208,10754,12207,79690,26796.0,1680000.0
2000-01-05,12208,12591,11749,12207,44330,26796.0,1680000.0
2000-01-06,12361,12629,11749,12628,39380,27720.0,1680000.0
2000-01-07,12284,13318,12246,12935,40990,28392.0,1680000.0
2000-01-10,12705,12705,11940,12284,39790,26964.0,1680000.0
2000-01-11,11940,11940,11251,11710,33130,25704.0,1680000.0
2000-01-12,10792,12017,10333,12016,78280,26376.0,1680000.0
2000-01-13,11634,11863,11251,11863,25660,26040.0,1680000.0
2000-01-14,11634,11787,11251,11748,57930,25788.0,1680000.0
2000-01-17,11328,11940,11136,11442,15910,25116.0,1680000.0
2000-01-18,11557,11634,10907,11595,28070,25452.0,1680000.0
2000-01-19,11328,11366,9873,9873,9450,21672.0,1680000.0
2000-01-20,8458,9873,8419,8419,8980,18480.0,1680000.0
2000-01-21,7730,9682,7730,9682,19660,21252.0,1680000.0
2000-01-24,9567,10333,8917,10332,11400,22680.0,1680000.0
2000-01-25,10103,10103,9720,9950,49580,21840.0,1680000.0
2000-01-26,10103,10103,9223,9796,21860,21504.0,1680000.0
2000-01-27,9950,11251,9950,11251,63290,24696.0,1680000.0
2000-01-28,11863,12629,11634,12093,75160,26544.0,1680000.0
2000-01-31,12323,13892,12131,13776,80950,30240.0,1680000.0
2000-02-01,13853,14925,13318,13930,69300,30576.0,1680000.0
2000-02-02,13777,14542,13241,13891,74640,30492.0,1680000.0
2000-02-03,13203,13930,11825,11825,87860,25956.0,1680000.0
2000-02-07,11596,12170,10945,11404,57530,25032.0,1680000.0
2000-02-08,11481,11634,10562,10906,42260,23940.0,1680000.0
2000-02-09,10562,11404,10333,10524,59600,23100.0,1680000.0
2000-02-10,10409,10868,9797,10485,61480,23016.0,1680000.0
2000-02-11,10792,11863,10486,11174,79890,24528.0,1680000.0
2000-02-14,11175,11328,10065,10064,34740,22092.0,1680000.0
2000-02-15,9797,10333,9185,9720,24080,21336.0,1680000.0
2000-02-16,9873,10486,9873,10332,33510,22680.0,1680000.0
2000-02-17,10486,10945,10333,10868,27490,23856.0,1680000.0
2000-02-18,10486,11251,10486,10906,31110,23940.0,1680000.0
2000-02-21,10868,10983,10409,10983,34950,24108.0,1680000.0
2000-02-22,11328,12131,10792,11786,54340,25872.0,1680000.0
2000-02-23,11863,12131,11175,11174,60380,24528.0,1680000.0
2000-02-24,11098,11175,10792,11098,19820,24360.0,1680000.0
2000-02-25,11251,11481,10639,10715,31320,23520.0,1680000.0
2000-02-28,10562,11710,10562,11480,41540,25200.0,1680000.0
2000-02-29,11634,12093,11251,11251,54010,24696.0,1680000.0
2000-03-02,11634,12093,11404,11786,58320,25872.0,1680000.0
2000-03-03,11787,13547,11634,13547,78660,29736.0,1680000.0
2000-03-06,14925,15576,14351,15575,136600,34188.0,1680000.0
2000-03-07,16379,17910,15308,16073,182590,35280.0,1680000.0
2000-03-08,15384,17374,15384,16073,56760,35280.0,1680000.0
2000-03-09,16456,18484,16226,18484,70870,40572.0,1680000.0
2000-03-10,19211,21239,16303,17068,226680,37464.0,1680000.0
2000-03-13,16838,17987,15882,16991,58790,37296.0,1680000.0
2000-03-14,17221,17298,14925,15613,48100,34272.0,1680000.0
2000-03-15,14925,15614,13777,13853,47300,30408.0,1680000.0
2000-03-16,14236,15078,13700,14159,25310,31080.0,1680000.0
2000-03-17,14389,14542,12246,12935,29700,28392.0,1680000.0
2000-03-20,13012,13241,12017,12437,24970,27300.0,1680000.0
2000-03-21,12246,13624,12246,12896,57880,28308.0,1680000.0
2000-03-22,13088,13547,12552,12858,37350,28224.0,1680000.0
2000-03-23,12858,13394,12552,13011,26870,28560.0,1680000.0
2000-03-24,13165,13165,12093,12093,54820,26544.0,1680000.0
2000-03-27,12705,12705,11863,12628,37020,27720.0,1680000.0
2000-03-28,12629,12629,12017,12246,24470,26880.0,1680000.0
2000-03-29,11557,12552,11557,12207,27090,26796.0,1680000.0
2000-03-30,12246,12476,11825,11863,23100,26040.0,1680000.0
2000-03-31,12246,13012,11978,12781,37040,28056.0,1680000.0
2000-04-03,13394,13394,12629,13164,35220,28896.0,1680000.0
2000-04-04,13394,13394,12437,12858,20940,28224.0,1680000.0
2000-04-06,12629,13012,12399,12437,15310,27300.0,1680000.0
2000-04-07,12323,12705,12323,12437,16930,27300.0,1680000.0
2000-04-10,12017,12744,12017,12743,23390,27972.0,1680000.0
2000-04-11,12705,13394,12170,12743,18550,27972.0,1680000.0
2000-04-12,12782,14619,12246,14618,94970,32088.0,1680000.0
2000-04-14,14925,16150,14236,15078,120940,33096.0,1680000.0
2000-04-17,13088,14542,12820,13088,48560,28728.0,1680000.0
2000-04-18,13700,14160,13394,13853,35120,30408.0,1680000.0
2000-04-19,13547,15308,13547,14771,76280,32424.0,1680000.0
2000-04-20,14925,15767,14466,14465,87870,31752.0,1680000.0
2000-04-21,14619,15231,13777,14312,59960,31416.0,1680000.0
2000-04-24,14619,14619,13394,14006,33470,30744.0,1680000.0
2000-04-25,14007,15576,13739,15154,98480,33264.0,1680000.0
2000-04-26,15231,16571,14619,14618,173940,32088.0,1680000.0
2000-04-27,14657,14695,12438,13547,69500,29736.0,1680000.0
2000-04-28,13241,14313,13088,14312,46900,31416.0,1680000.0
2000-05-02,14542,15231,14542,14618,87490,32088.0,1680000.0
2000-05-03,14925,14925,14007,14389,32170,31584.0,1680000.0
2000-05-04,14619,14619,14160,14465,29590,31752.0,1680000.0
2000-05-08,14236,15308,14236,14427,40840,31668.0,1680000.0
2000-05-09,14236,15040,13777,15039,42780,33012.0,1680000.0
2000-05-10,15040,15652,14810,14886,85330,32676.0,1680000.0
2000-05-12,14887,14887,13930,14542,44440,31920.0,1680000.0
2000-05-15,14313,14772,14007,14771,38550,32424.0,1680000.0
2000-05-16,14389,14925,14389,14771,42890,32424.0,1680000.0
2000-05-17,14619,14887,14045,14083,38020,30912.0,1680000.0
2000-05-18,14389,14389,11978,11978,40120,26292.0,1680000.0
2000-05-19,10218,11481,10218,11327,47150,24864.0,1680000.0
2000-05-22,10409,11825,10409,10485,24490,23016.0,1680000.0
2000-05-23,9146,11022,8917,10677,96710,23436.0,1680000.0
2000-05-24,10141,11787,10141,11633,44560,25536.0,1680000.0
2000-05-25,11481,13356,11481,13049,40950,28644.0,1680000.0
2000-05-26,13088,13088,11902,12667,49980,27804.0,1680000.0
2000-05-29,12246,14045,12246,14006,59280,30744.0,1680000.0
2000-05-30,14007,14542,13892,14312,38230,31416.0,1680000.0
2000-05-31,14160,15384,13777,15307,54810,33600.0,1680000.0
2000-06-01,14695,15576,14695,15307,48640,33600.0,1680000.0
2000-06-02,15231,15231,14695,14925,33010,32760.0,1680000.0
2000-06-05,15078,15308,14734,14925,34240,32760.0,1680000.0
2000-06-07,14963,15690,14198,15690,63640,34440.0,1680000.0
2000-06-08,15767,15920,15155,15613,30100,34272.0,1680000.0
2000-06-09,14925,16341,14925,16340,48990,35868.0,1680000.0
2000-06-12,14160,16456,14160,16417,28070,36036.0,1680000.0
2000-06-13,16073,16303,14619,15690,23080,34440.0,1680000.0
2000-06-14,15078,15997,15078,15652,14310,34356.0,1680000.0
2000-06-15,15690,15690,13318,13317,21870,29232.0,1680000.0
2000-06-16,12782,12820,11328,11404,124320,25032.0,1680000.0
2000-06-19,11404,11978,11404,11480,32010,25200.0,1680000.0
2000-06-20,11481,12017,11481,11786,16000,25872.0,1680000.0
2000-06-21,11787,12973,11787,12628,32650,27720.0,1680000.0
2000-06-22,12858,12858,12093,12399,16340,27216.0,1680000.0
2000-06-23,11863,12093,11481,11863,19630,26040.0,1680000.0
2000-06-26,11519,11863,11481,11672,10460,25620.0,1680000.0
2000-06-27,11175,11863,11175,11519,16000,25284.0,1680000.0
2000-06-28,11519,12170,11251,11863,19400,26040.0,1680000.0
2000-06-29,12017,12017,11328,11557,14060,25368.0,1680000.0
2000-06-30,11557,12093,11404,11786,16910,25872.0,1680000.0
2000-07-03,11519,12017,11519,11863,15360,26040.0,1680000.0
2000-07-04,11940,12131,11557,11633,14690,25536.0,1680000.0
2000-07-05,11481,11902,11251,11710,10640,25704.0,1680000.0
2000-07-06,11863,11863,11251,11480,16430,25200.0,1680000.0
2000-07-07,11481,12629,11404,12628,39620,27720.0,1680000.0
2000-07-10,12629,13471,12629,13317,37110,29232.0,1680000.0
2000-07-11,12935,14083,12935,13394,41270,29400.0,1680000.0
2000-07-12,13394,14007,13088,13930,36310,30576.0,1680000.0
2000-07-13,13700,14083,13547,13776,26360,30240.0,1680000.0
2000-07-14,13547,13930,13165,13394,15370,29400.0,1680000.0
2000-07-18,12629,13012,11787,11786,31220,25872.0,1680000.0
2000-07-19,11519,12055,11366,11863,23220,26040.0,1680000.0
2000-07-20,11557,11863,11328,11863,16050,26040.0,1680000.0
2000-07-21,11863,13126,11596,12628,27230,27720.0,1680000.0
2000-07-24,13012,13394,12208,13241,56390,29064.0,1680000.0
2000-07-25,13012,13241,12782,13202,26210,28980.0,1680000.0
2000-07-26,13012,13394,12782,13241,26020,29064.0,1680000.0
2000-07-27,13241,13279,12476,13011,28710,28560.0,1680000.0
2000-07-28,12399,12820,12017,12016,10990,26376.0,1680000.0
2000-07-31,12017,12017,11251,11863,12950,26040.0,1680000.0
2000-08-01,11634,12017,11557,11940,14000,26208.0,1680000.0
2000-08-02,11863,12093,11710,12093,14560,26544.0,1680000.0
2000-08-03,12093,12246,11787,11863,13080,26040.0,1680000.0
2000-08-04,11634,11825,11481,11825,16600,25956.0,1680000.0
2000-08-07,11940,11940,11481,11480,8920,25200.0,1680000.0
2000-08-08,11404,11749,11404,11480,9080,25200.0,1680000.0
2000-08-09,11481,11634,11366,11519,10840,25284.0,1680000.0
2000-08-10,11519,11519,11098,11289,10790,24780.0,1680000.0
2000-08-11,11289,12973,10868,12246,35460,26880.0,1680000.0
2000-08-14,12629,12629,11825,12016,20690,26376.0,1680000.0
2000-08-16,12017,12514,11825,12514,18760,27468.0,1680000.0
2000-08-17,12514,12514,12017,12016,8680,26376.0,1680000.0
2000-08-18,11787,12323,11787,11863,20090,26040.0,1680000.0
2000-08-21,11749,12017,11596,11595,10260,25452.0,1680000.0
2000-08-22,11519,11710,11481,11480,17060,25200.0,1680000.0
2000-08-23,11481,11710,11366,11365,12360,24948.0,1680000.0
2000-08-24,11175,11404,10868,11174,12090,24528.0,1680000.0
2000-08-25,11022,11481,10868,11327,10040,24864.0,1680000.0
2000-08-28,11634,11634,11098,11251,3800,24696.0,1680000.0
2000-08-29,11098,11328,10945,10945,11880,24024.0,1680000.0
2000-08-30,11060,11213,10868,10868,6210,23856.0,1680000.0
2000-08-31,10868,11022,10371,10715,7100,23520.0,1680000.0
2000-09-01,10486,10868,10486,10562,6370,23184.0,1680000.0
2000-09-04,10333,10754,10333,10677,7640,23436.0,1680000.0
2000-09-05,10448,10792,10409,10562,6780,23184.0,1680000.0
2000-09-06,10486,10677,10409,10600,4380,23268.0,1680000.0
2000-09-07,10639,10639,9797,9950,7410,21840.0,1680000.0
2000-09-08,10027,10180,9146,9529,4410,20916.0,1680000.0
2000-09-14,9491,9529,8802,9031,5430,19824.0,1680000.0
2000-09-15,8917,9453,8917,9184,7480,20160.0,1680000.0
2000-09-18,8993,8993,7807,7806,8510,17136.0,1680000.0
2000-09-19,7493,8075,7348,7845,9350,17220.0,1680000.0
2000-09-20,8037,8878,8037,8725,16100,19152.0,1680000.0
2000-09-21,8649,9108,7769,8380,9640,18396.0,1680000.0
2000-09-22,8381,8381,7654,7845,8600,17220.0,1680000.0
2000-09-25,7730,8343,7730,7883,9840,17304.0,1680000.0
2000-09-26,8037,8075,7730,7806,7830,17136.0,1680000.0
2000-09-27,7883,8228,7807,8151,8400,17892.0,1680000.0
2000-09-28,8113,8304,7960,8227,5420,18060.0,1680000.0
2000-09-29,8266,8955,8037,8419,12970,18480.0,1680000.0
2000-10-02,8725,8725,8190,8189,6470,17976.0,1680000.0
2000-10-04,8304,8802,8304,8610,9260,18900.0,1680000.0
2000-10-05,8419,9032,8419,8610,15870,18900.0,1680000.0
2000-10-06,8725,9414,8611,8955,31990,19656.0,1680000.0
2000-10-09,9146,9491,8993,8993,24490,19740.0,1680000.0
2000-10-10,9108,9185,8840,8993,13390,19740.0,1680000.0
2000-10-11,8993,9261,8419,8840,14730,19404.0,1680000.0
2000-10-12,8725,10141,8725,9414,201860,20664.0,1680000.0
2000-10-13,9491,10218,8802,10026,135280,22008.0,1680000.0
2000-10-16,10333,10715,9797,10064,101120,22092.0,1680000.0
2000-10-17,10065,10639,9453,9452,87840,20748.0,1680000.0
2000-10-18,9414,9567,8955,8955,33610,19656.0,1680000.0
2000-10-19,8878,9414,8840,9184,28950,20160.0,1680000.0
2000-10-20,9185,9567,9070,9414,40880,20664.0,1680000.0
2000-10-23,9529,9873,8993,8993,43860,19740.0,1680000.0
2000-10-24,9185,9338,8725,9261,41410,20328.0,1680000.0
2000-10-25,9453,10601,9338,9796,178340,21504.0,1680000.0
2000-10-26,9529,11251,9491,10562,187280,23184.0,1680000.0
2000-10-27,10945,10945,10027,10103,69570,22176.0,1680000.0
2000-10-30,9835,10294,9759,9796,41510,21504.0,1680000.0
2000-10-31,9644,9644,8419,9414,30380,20664.0,1680000.0
2000-11-01,9070,9873,9070,9414,30910,20664.0,1680000.0
2000-11-02,9644,9644,9223,9567,29450,21000.0,1680000.0
2000-11-03,9414,9682,9261,9261,22310,20328.0,1680000.0
2000-11-06,9108,9644,9032,9452,25410,20748.0,1680000.0
2000-11-07,9491,9567,9108,9184,16600,20160.0,1680000.0
2000-11-08,8955,9185,8840,8840,23030,19404.0,1680000.0
