휴니드테크놀러지스(005870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,239700,240000,225300,228300,95320,37441.0,4919995.0
1999-01-05,225000,243000,204000,236100,212860,38720.0,4919995.0
1999-01-06,237000,254700,231000,250200,184380,41033.0,4919995.0
1999-01-07,267000,267900,252000,252000,182550,41328.0,4919995.0
1999-01-08,252000,252000,237000,243000,165700,39852.0,4919995.0
1999-01-11,246300,279300,243000,279300,345110,45805.0,4919995.0
1999-01-12,297000,321000,285300,321000,542610,52644.0,4919995.0
1999-01-13,327000,360000,292500,309000,512720,50676.0,4919995.0
1999-01-14,309000,309000,276000,282000,316850,46248.0,4919995.0
1999-01-15,285000,318000,273000,318000,411470,52152.0,4919995.0
1999-01-18,324000,357000,321000,348000,582320,57072.0,4919995.0
1999-01-19,348000,348000,306000,309000,288290,50676.0,4919995.0
1999-01-20,315000,318000,282000,288000,224140,47232.0,4919995.0
1999-01-21,291000,297000,270000,274500,250520,45018.0,4919995.0
1999-01-22,265500,276000,255300,258600,216030,42410.0,4919995.0
1999-01-25,249000,255000,234000,234000,204260,38376.0,4919995.0
1999-01-26,237300,243900,210000,216300,203460,35473.0,4919995.0
1999-01-27,216300,228000,210000,219000,188380,35916.0,4919995.0
1999-01-28,220500,246000,220500,234000,229740,38376.0,4919995.0
1999-01-29,240000,249000,234000,241500,156270,39606.0,4919995.0
1999-02-01,241500,253200,240000,247500,132980,40590.0,4919995.0
1999-02-02,249300,251700,231300,244500,156630,40098.0,4919995.0
1999-02-03,234000,240000,228300,228300,65940,37441.0,4919995.0
1999-02-04,228300,235500,219000,234000,77780,38376.0,4919995.0
1999-02-05,238200,243000,228900,242700,90740,39803.0,4919995.0
1999-02-08,231600,241500,231000,231300,67730,37933.0,4919995.0
1999-02-09,219300,222000,210000,212700,94750,34883.0,4919995.0
1999-02-10,210900,219000,204900,213000,81120,34932.0,4919995.0
1999-02-11,216000,220500,210000,213000,74550,34932.0,4919995.0
1999-02-12,216000,222000,215700,219000,66330,35916.0,4919995.0
1999-02-18,243000,243000,222300,230700,113250,37835.0,4919995.0
1999-02-19,222000,222000,210000,218700,62790,35867.0,4919995.0
1999-02-22,210900,216000,207000,208500,45070,34194.0,4919995.0
1999-02-23,210000,215400,198000,211500,86950,34686.0,4919995.0
1999-02-24,198000,214500,198000,198000,52070,32472.0,4919995.0
1999-02-25,183300,195000,183300,184500,58890,30258.0,4919995.0
1999-02-26,184800,195000,183000,190500,68490,31242.0,4919995.0
1999-03-02,193500,205200,193500,201300,65320,33013.0,4919995.0
1999-03-03,201000,201300,189300,194700,50780,31931.0,4919995.0
1999-03-04,190500,203700,190500,200400,47000,32866.0,4919995.0
1999-03-05,200400,204000,194400,202200,43470,33161.0,4919995.0
1999-03-08,204000,219000,204000,216000,83040,35424.0,4919995.0
1999-03-09,219000,219000,205500,210000,90790,34440.0,4919995.0
1999-03-10,208500,215400,207000,210600,60440,34538.0,4919995.0
1999-03-11,213000,216000,204300,216000,121430,35424.0,4919995.0
1999-03-12,219000,228000,216300,216300,138070,35473.0,4919995.0
1999-03-15,225300,230700,219300,220500,118470,36162.0,4919995.0
1999-03-16,222000,222000,214500,217500,75790,35670.0,4919995.0
1999-03-17,223500,224400,212100,216600,129120,35522.0,4919995.0
1999-03-18,219000,249000,219000,249000,463570,40836.0,4919995.0
1999-03-19,249000,259500,234300,249000,492180,40836.0,4919995.0
1999-03-22,258000,264000,246000,255000,183800,41820.0,4919995.0
1999-03-23,258000,275400,251400,251400,368540,41230.0,4919995.0
1999-03-24,252600,258000,246300,249000,163730,40836.0,4919995.0
1999-03-25,252300,278400,252000,262500,282000,43050.0,4919995.0
1999-03-26,273000,275700,255000,266400,227320,43690.0,4919995.0
1999-03-29,266400,266400,255000,255000,130370,41820.0,4919995.0
1999-03-30,258000,275700,258000,273000,221820,44772.0,4919995.0
1999-03-31,273000,287700,271500,286500,280580,46986.0,4919995.0
1999-04-01,294000,295500,277500,285000,196590,46740.0,4919995.0
1999-04-02,292500,293700,279000,285000,227810,46740.0,4919995.0
1999-04-06,288300,299700,288300,290700,164600,47675.0,4919995.0
1999-04-07,292500,298500,288000,290400,229570,47626.0,4919995.0
1999-04-08,291000,294600,282000,288000,133410,47232.0,4919995.0
1999-04-09,291000,294000,276000,276000,115210,45264.0,4919995.0
1999-04-12,275400,279900,265500,268500,174060,44034.0,4919995.0
1999-04-13,273000,286500,270300,276000,144980,45264.0,4919995.0
1999-04-14,282600,316500,282000,316500,510150,51906.0,4919995.0
1999-04-15,327000,342000,309000,333000,627160,54612.0,4919995.0
1999-04-16,333000,343500,318000,327000,310000,53628.0,4919995.0
1999-04-19,327000,357000,321000,336000,258140,55104.0,4919995.0
1999-04-20,336000,348000,328500,339000,208290,55596.0,4919995.0
1999-04-21,345000,369000,342000,349500,288380,57318.0,4919995.0
1999-04-22,360000,360000,333000,336000,195630,55104.0,4919995.0
1999-04-23,330000,336000,300000,321000,296280,52644.0,4919995.0
1999-04-26,321000,340500,315000,324000,157360,53136.0,4919995.0
1999-04-27,324000,369000,324000,360000,553030,59040.0,4919995.0
1999-04-28,375000,387000,354000,378000,309140,61992.0,4919995.0
1999-04-29,375000,432000,375000,405000,391930,66420.0,4919995.0
