이수화학(005950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14400,14500,13800,14200,162810,135870.0,9568277.0
1999-01-05,14300,14400,13700,14100,154390,134913.0,9568277.0
1999-01-06,14300,15900,14300,15700,422370,150222.0,9568277.0
1999-01-07,15700,16300,15300,15700,350500,150222.0,9568277.0
1999-01-08,15800,15800,15100,15450,160410,147830.0,9568277.0
1999-01-11,15600,16100,15500,15900,174460,152136.0,9568277.0
1999-01-12,16100,16200,15200,15850,217890,151657.0,9568277.0
1999-01-13,15800,15800,15200,15500,136730,148308.0,9568277.0
1999-01-14,14600,15000,13600,14500,125340,138740.0,9568277.0
1999-01-15,15100,15850,14800,15500,216390,148308.0,9568277.0
1999-01-18,16000,16600,16000,16400,302690,156920.0,9568277.0
1999-01-19,16200,16200,15500,15600,124580,149265.0,9568277.0
1999-01-20,16000,17350,15600,16400,535940,156920.0,9568277.0
1999-01-21,16800,17300,16100,16500,545580,157877.0,9568277.0
1999-01-22,16500,16900,15400,15400,240770,147351.0,9568277.0
1999-01-25,14600,15600,14500,14500,175180,138740.0,9568277.0
1999-01-26,14800,15300,13700,13700,136420,131085.0,9568277.0
1999-01-27,13300,14300,13300,14100,126360,134913.0,9568277.0
1999-01-28,14200,15100,14000,14800,100760,141610.0,9568277.0
1999-01-29,14700,15200,14600,14700,93060,140654.0,9568277.0
1999-02-01,14800,15700,14800,15450,111180,147830.0,9568277.0
1999-02-02,15500,16350,15500,16100,240640,154049.0,9568277.0
1999-02-03,16500,16500,15950,16200,130680,155006.0,9568277.0
1999-02-04,16000,16400,15800,16300,114210,155963.0,9568277.0
1999-02-05,16000,16450,16000,16100,64280,154049.0,9568277.0
1999-02-08,15800,16100,15700,15900,65300,152136.0,9568277.0
1999-02-09,15600,15750,15000,15500,89720,148308.0,9568277.0
1999-02-10,15100,15500,14800,15150,47890,144959.0,9568277.0
1999-02-11,15200,15500,14500,14500,46240,138740.0,9568277.0
1999-02-12,15200,15400,15000,15350,35750,146873.0,9568277.0
1999-02-18,15800,15800,14800,14800,48950,141610.0,9568277.0
1999-02-19,14500,14700,14100,14700,51330,140654.0,9568277.0
1999-02-22,14000,14700,14000,14400,22430,137783.0,9568277.0
1999-02-23,14000,14700,14000,14400,37120,137783.0,9568277.0
1999-02-24,14800,14900,14300,14350,13000,137305.0,9568277.0
1999-02-25,14500,14500,14100,14350,30970,137305.0,9568277.0
1999-02-26,14500,14800,14500,14800,39210,141610.0,9568277.0
1999-03-02,14950,15600,14900,15500,54630,148308.0,9568277.0
1999-03-03,15700,15950,15550,15700,50810,150222.0,9568277.0
1999-03-04,15800,16400,15300,16400,76540,156920.0,9568277.0
1999-03-05,16500,16500,15950,16000,114750,153092.0,9568277.0
1999-03-08,16100,17950,16050,16750,243900,160269.0,9568277.0
1999-03-09,16900,16900,16200,16200,88710,155006.0,9568277.0
1999-03-10,16500,16700,16200,16200,64160,155006.0,9568277.0
1999-03-11,16200,16400,15800,15800,67610,151179.0,9568277.0
1999-03-12,16200,16500,16000,16200,104460,155006.0,9568277.0
1999-03-15,16000,16450,16000,16200,137960,155006.0,9568277.0
1999-03-16,16350,16800,16300,16700,110860,159790.0,9568277.0
1999-03-17,16700,16700,16200,16600,91460,158833.0,9568277.0
1999-03-18,16500,17400,16350,16500,232260,157877.0,9568277.0
1999-03-19,16700,17100,16550,16800,130110,160747.0,9568277.0
1999-03-22,17100,18300,17000,18000,341160,172229.0,9568277.0
1999-03-23,18000,18350,17700,18150,185500,173664.0,9568277.0
1999-03-24,17800,18000,17600,17900,138220,171272.0,9568277.0
1999-03-25,17600,17900,17250,17300,144750,165531.0,9568277.0
1999-03-26,17000,17300,16800,17000,128250,162661.0,9568277.0
1999-03-29,17000,17100,16600,16900,74780,161704.0,9568277.0
1999-03-30,17200,17300,16900,16900,115980,161704.0,9568277.0
1999-03-31,16950,17300,16700,16800,104100,160747.0,9568277.0
1999-04-01,17000,17250,16800,17250,112400,165053.0,9568277.0
1999-04-02,17650,18450,17200,18100,203290,173186.0,9568277.0
1999-04-06,18500,19800,18500,19600,359700,187538.0,9568277.0
1999-04-07,19600,19800,19000,19000,206960,181797.0,9568277.0
1999-04-08,19000,20500,19000,19600,216300,187538.0,9568277.0
1999-04-09,19400,20200,19200,20200,154410,193279.0,9568277.0
1999-04-12,20200,20700,19300,19800,166480,189452.0,9568277.0
1999-04-13,19400,20050,19400,19800,136580,189452.0,9568277.0
1999-04-14,19500,19800,19400,19800,185080,189452.0,9568277.0
1999-04-15,19550,20200,19500,20200,168670,193279.0,9568277.0
1999-04-16,20700,20700,19500,20000,220570,191366.0,9568277.0
1999-04-19,20000,20500,19900,20200,149470,193279.0,9568277.0
1999-04-20,20500,22400,20000,20800,274160,199020.0,9568277.0
1999-04-21,20500,21300,20050,20050,80880,191844.0,9568277.0
1999-04-22,20100,20200,19300,19500,90280,186581.0,9568277.0
1999-04-23,19600,20400,19500,19800,149500,189452.0,9568277.0
1999-04-26,19900,20300,19800,20100,94650,192322.0,9568277.0
1999-04-27,20200,21000,20000,20600,174160,197107.0,9568277.0
1999-04-28,20600,21700,20600,21600,258960,206675.0,9568277.0
1999-04-29,21600,22700,21400,21600,165470,206675.0,9568277.0
1999-04-30,22500,22500,21000,21600,159870,206675.0,9568277.0
1999-05-03,21600,22800,21300,21800,281500,208588.0,9568277.0
1999-05-04,21800,23000,21700,22550,430980,215765.0,9568277.0
1999-05-06,23300,25900,23300,25900,595040,247818.0,9568277.0
1999-05-07,25900,27000,25000,25800,393980,246862.0,9568277.0
1999-05-10,25500,26400,25100,26250,149870,251167.0,9568277.0
1999-05-11,25800,26500,25000,25000,186790,239207.0,9568277.0
1999-05-12,24100,25200,23200,24000,233740,229639.0,9568277.0
1999-05-13,23100,23650,21500,21500,218110,205718.0,9568277.0
1999-05-14,21700,22400,20100,21000,444730,200934.0,9568277.0
1999-05-17,21300,21300,20000,20000,133940,191366.0,9568277.0
1999-05-18,19600,20700,19400,20500,146590,196150.0,9568277.0
1999-05-19,20700,21300,20550,20650,168110,197585.0,9568277.0
1999-05-20,20300,20600,19100,20000,129510,191366.0,9568277.0
1999-05-21,19500,20400,19300,20000,100580,191366.0,9568277.0
1999-05-24,20200,21000,20200,20500,109140,196150.0,9568277.0
1999-05-25,20600,21500,20600,20900,81530,199977.0,9568277.0
1999-05-26,21000,21700,20800,21400,74990,204761.0,9568277.0
1999-05-27,21000,23800,21000,22700,292300,217200.0,9568277.0
1999-05-28,22500,23500,22300,23000,107850,220070.0,9568277.0
1999-05-31,23000,23500,22700,22750,68320,217678.0,9568277.0
1999-06-01,22750,23700,22600,23600,100160,225811.0,9568277.0
1999-06-02,23300,24200,23300,23400,95680,223898.0,9568277.0
1999-06-03,23800,23900,22200,23300,110020,222941.0,9568277.0
1999-06-04,24300,25000,24000,25000,346750,239207.0,9568277.0
1999-06-07,25600,25900,24500,25600,244420,244948.0,9568277.0
1999-06-08,25100,26400,25000,26300,150020,251646.0,9568277.0
1999-06-09,26000,26000,24600,25300,138310,242077.0,9568277.0
1999-06-10,25300,26000,24500,26000,140420,248775.0,9568277.0
1999-06-11,25300,26000,25000,25100,83810,240164.0,9568277.0
1999-06-14,25100,25100,23600,23700,65340,226768.0,9568277.0
1999-06-15,23500,23900,22600,23200,71480,221984.0,9568277.0
1999-06-16,23200,23700,23100,23200,39780,221984.0,9568277.0
1999-06-17,23300,24400,23300,23500,129940,224855.0,9568277.0
1999-06-18,24500,24500,22700,23700,136050,226768.0,9568277.0
1999-06-21,23100,24000,23100,23500,133150,224855.0,9568277.0
1999-06-22,24000,24000,23250,23500,187440,224855.0,9568277.0
1999-06-23,24700,26200,24300,24700,686790,236336.0,9568277.0
1999-06-24,24700,24700,23900,23900,165470,228682.0,9568277.0
1999-06-25,24500,24500,23700,23800,107940,227725.0,9568277.0
1999-06-28,23200,24200,23050,23300,204310,222941.0,9568277.0
1999-06-29,23600,24700,23350,24500,178620,234423.0,9568277.0
1999-06-30,24000,24900,23650,23950,94150,229160.0,9568277.0
1999-07-01,24100,25200,23950,25100,258370,240164.0,9568277.0
1999-07-02,25300,26200,25300,25600,273900,244948.0,9568277.0
1999-07-05,25800,26150,25450,25700,175560,245905.0,9568277.0
1999-07-06,25700,25900,25000,25000,118900,239207.0,9568277.0
1999-07-07,24600,26000,24600,25000,335020,239207.0,9568277.0
