삼양식품(003230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,2400,2600,2400,2600,550,3749.0,1442000.0
1999-01-05,2800,2800,2500,2600,8100,3749.0,1442000.0
1999-01-06,2700,2700,2605,2605,4380,3756.0,1442000.0
1999-01-07,2610,2750,2600,2700,8490,3893.0,1442000.0
1999-01-08,2700,3100,2700,2850,28880,4110.0,1442000.0
1999-01-11,3150,3150,3000,3150,15780,4542.0,1442000.0
1999-01-12,3620,3620,3150,3300,14710,4759.0,1442000.0
1999-01-13,3280,3795,3250,3795,28820,5472.0,1442000.0
1999-01-14,3600,3600,3400,3400,17850,4903.0,1442000.0
1999-01-15,3400,3700,3400,3700,20940,5335.0,1442000.0
1999-01-18,3750,4255,3750,4255,34120,6136.0,1442000.0
1999-01-19,4255,4255,3810,4200,11720,6056.0,1442000.0
1999-01-20,3990,3990,3570,3570,14550,5148.0,1442000.0
1999-01-21,3600,3600,3200,3490,2220,5033.0,1442000.0
1999-01-22,3250,3310,3010,3250,6890,4686.0,1442000.0
1999-01-25,3010,3250,3010,3210,3910,4629.0,1442000.0
1999-01-26,3400,3500,3250,3300,6310,4759.0,1442000.0
1999-01-27,3500,3500,3300,3400,1980,4903.0,1442000.0
1999-01-28,3400,3405,3200,3405,6070,4910.0,1442000.0
1999-01-29,3420,3600,3420,3600,3540,5191.0,1442000.0
1999-02-01,3600,3700,3600,3650,1370,5263.0,1442000.0
1999-02-02,3790,3790,3500,3700,7940,5335.0,1442000.0
1999-02-03,3600,3600,3500,3600,8430,5191.0,1442000.0
1999-02-04,3500,3600,3400,3600,3890,5191.0,1442000.0
1999-02-05,3790,3790,3790,3790,500,5465.0,1442000.0
1999-02-08,3700,3700,3500,3600,4700,5191.0,1442000.0
1999-02-09,3480,3480,3400,3400,4320,4903.0,1442000.0
1999-02-10,3195,3400,3145,3400,5260,4903.0,1442000.0
1999-02-11,3300,3500,3300,3500,2930,5047.0,1442000.0
1999-02-12,3200,3700,3200,3500,3590,5047.0,1442000.0
1999-02-18,3700,3700,3500,3500,15470,5047.0,1442000.0
1999-02-19,3450,3550,3400,3500,16930,5047.0,1442000.0
1999-02-22,3500,3610,3500,3540,6290,5105.0,1442000.0
1999-02-23,3595,3600,3540,3540,6780,5105.0,1442000.0
1999-02-24,3600,3600,3500,3600,2630,5191.0,1442000.0
1999-02-25,3550,3600,3060,3600,4220,5191.0,1442000.0
1999-02-26,3600,3650,3600,3650,5690,5263.0,1442000.0
1999-03-02,3650,3650,3450,3600,3940,5191.0,1442000.0
1999-03-03,3415,3600,3400,3600,530,5191.0,1442000.0
1999-03-04,3600,3650,3550,3600,3400,5191.0,1442000.0
1999-03-05,3600,3600,3600,3600,3100,5191.0,1442000.0
1999-03-08,3600,3600,3500,3500,1620,5047.0,1442000.0
1999-03-09,3050,3500,3050,3400,6870,4903.0,1442000.0
1999-03-10,3250,3450,3250,3260,2980,4701.0,1442000.0
1999-03-11,3180,3745,3100,3745,6210,5400.0,1442000.0
1999-03-12,3790,3790,3500,3590,11160,5177.0,1442000.0
1999-03-15,3590,3590,3470,3570,5290,5148.0,1442000.0
1999-03-16,3300,3600,3300,3600,2990,5191.0,1442000.0
1999-03-17,3550,3550,3450,3450,8170,4975.0,1442000.0
1999-03-18,3450,3450,3350,3350,3690,4831.0,1442000.0
1999-03-19,3350,3350,3100,3100,5930,4470.0,1442000.0
1999-03-22,3280,3300,3280,3300,6020,4759.0,1442000.0
1999-03-23,3355,3500,3355,3500,2810,5047.0,1442000.0
1999-03-24,3500,3500,3240,3500,7760,5047.0,1442000.0
1999-03-25,3450,3450,3400,3400,1200,4903.0,1442000.0
1999-03-26,3300,3300,3010,3300,14730,4759.0,1442000.0
1999-03-29,3115,3250,3100,3250,5440,4686.0,1442000.0
1999-03-30,3250,3290,3200,3250,2750,4686.0,1442000.0
1999-03-31,3120,3300,3120,3230,1940,4658.0,1442000.0
1999-04-01,3250,3260,3250,3260,5350,4701.0,1442000.0
1999-04-02,3035,3200,3035,3110,2530,4485.0,1442000.0
1999-04-06,3120,3190,3100,3150,10210,4542.0,1442000.0
1999-04-07,3100,3205,3100,3190,8660,4600.0,1442000.0
