이마트(139480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-06-10,241000,269000,208000,223500,572119,6230246.0,27875819.0
2011-06-13,232000,246000,223500,225000,462091,6272059.0,27875819.0
2011-06-14,224000,235000,217000,222000,389135,6188432.0,27875819.0
2011-06-15,225000,246500,224000,243000,440773,6773824.0,27875819.0
2011-06-16,243000,246000,230500,230500,311005,6425376.0,27875819.0
2011-06-17,230500,239000,227000,233000,114772,6495066.0,27875819.0
2011-06-20,230000,231500,224000,228500,104853,6369625.0,27875819.0
2011-06-21,229000,234000,227500,232000,65955,6467190.0,27875819.0
2011-06-22,235000,235000,229000,231000,111013,6439314.0,27875819.0
2011-06-23,229500,233500,227500,229500,88593,6397500.0,27875819.0
2011-06-24,233000,237000,230500,235000,92702,6550817.0,27875819.0
2011-06-27,232500,246500,232500,245000,115540,6829576.0,27875819.0
2011-06-28,248000,249000,241500,245000,75036,6829576.0,27875819.0
2011-06-29,246500,249000,240000,245000,121754,6829576.0,27875819.0
2011-06-30,242000,244500,240000,244500,91419,6815638.0,27875819.0
2011-07-01,243000,244500,239500,240000,114451,6690197.0,27875819.0
2011-07-04,242500,247000,240000,245500,117470,6843514.0,27875819.0
2011-07-05,247000,247000,240500,243000,99375,6773824.0,27875819.0
2011-07-06,244000,245500,240000,245000,81851,6829576.0,27875819.0
2011-07-07,247000,256500,246000,256500,206954,7150148.0,27875819.0
2011-07-08,258000,263500,253000,261000,117585,7275589.0,27875819.0
2011-07-11,259500,266500,258000,263000,115608,7331340.0,27875819.0
2011-07-12,262000,262000,254000,255500,70065,7122272.0,27875819.0
2011-07-13,258000,259500,251000,255500,45842,7122272.0,27875819.0
2011-07-14,254000,255000,246500,250500,69954,6982893.0,27875819.0
2011-07-15,256000,259000,254500,258500,76150,7205899.0,27875819.0
2011-07-18,269500,279000,268000,278500,281900,7763416.0,27875819.0
2011-07-19,277500,278000,270000,274500,98296,7651912.0,27875819.0
2011-07-20,273000,276500,271500,273500,107648,7624036.0,27875819.0
2011-07-21,275000,275000,264000,273000,77944,7610099.0,27875819.0
2011-07-22,275000,278000,271500,275000,80242,7665850.0,27875819.0
2011-07-25,271500,274500,270000,274000,36321,7637974.0,27875819.0
2011-07-26,271000,273000,266000,273000,50999,7610099.0,27875819.0
2011-07-27,274500,278500,268500,277000,46618,7721602.0,27875819.0
2011-07-28,277000,277000,270000,273000,38017,7610099.0,27875819.0
2011-07-29,273000,276000,271000,275000,42213,7665850.0,27875819.0
2011-08-01,273500,274500,271500,273500,29337,7624036.0,27875819.0
2011-08-02,274000,274000,260500,269500,60035,7512533.0,27875819.0
2011-08-03,262500,264000,253500,262500,164654,7317402.0,27875819.0
2011-08-04,267000,269500,263000,268000,77339,7470719.0,27875819.0
2011-08-05,255000,263000,255000,262000,104646,7303465.0,27875819.0
2011-08-08,258000,265500,247500,256000,64710,7136210.0,27875819.0
2011-08-09,250000,256000,232500,246000,65352,6857451.0,27875819.0
2011-08-10,255500,273500,252000,265000,193248,7387092.0,27875819.0
2011-08-11,257000,265500,257000,262000,134306,7303465.0,27875819.0
2011-08-12,265000,279500,265000,279000,167362,7777354.0,27875819.0
2011-08-16,281500,288000,273000,274000,81434,7637974.0,27875819.0
2011-08-17,271000,280000,271000,275000,80579,7665850.0,27875819.0
2011-08-18,273000,292000,273000,292000,129907,8139739.0,27875819.0
2011-08-19,288000,300000,282000,289000,131177,8056112.0,27875819.0
2011-08-22,293500,299500,286000,291000,104808,8111863.0,27875819.0
2011-08-23,295000,302000,291500,302000,105647,8418497.0,27875819.0
2011-08-24,301000,301000,289500,292500,54777,8153677.0,27875819.0
2011-08-25,286000,294500,282000,282000,44581,7860981.0,27875819.0
2011-08-26,277000,292000,274000,291000,89833,8111863.0,27875819.0
2011-08-29,291000,299000,283500,288000,130465,8028236.0,27875819.0
2011-08-30,289000,292000,286000,289000,64696,8056112.0,27875819.0
2011-08-31,294000,316000,292000,316000,154533,8808759.0,27875819.0
2011-09-01,312000,324000,303000,309500,131367,8627566.0,27875819.0
2011-09-02,309500,315000,298000,304000,73367,8474249.0,27875819.0
2011-09-05,301000,307500,296500,296500,42629,8265180.0,27875819.0
2011-09-06,297000,304500,293000,297000,80128,8279118.0,27875819.0
2011-09-07,302000,307000,301500,306000,62520,8530001.0,27875819.0
2011-09-08,308500,312500,296000,296500,61037,8265180.0,27875819.0
2011-09-09,296000,305500,296000,301000,61220,8390622.0,27875819.0
2011-09-14,306500,306500,299500,303000,54745,8446373.0,27875819.0
2011-09-15,310000,322000,308500,322000,98514,8976014.0,27875819.0
2011-09-16,322000,323000,306500,321000,153104,8948138.0,27875819.0
2011-09-19,317000,328500,315000,325500,64229,9073579.0,27875819.0
2011-09-20,323000,334000,321500,331000,77253,9226896.0,27875819.0
2011-09-21,326500,332500,324000,329000,106905,9171144.0,27875819.0
2011-09-22,318000,329000,315000,315000,74145,8780883.0,27875819.0
2011-09-23,303000,308000,289500,293000,61056,8167615.0,27875819.0
2011-09-26,290000,306500,276000,302000,48109,8418497.0,27875819.0
2011-09-27,300000,321000,299500,310500,61434,8655442.0,27875819.0
2011-09-28,310500,324500,310500,318000,65708,8864510.0,27875819.0
2011-09-29,320000,329000,318500,324000,55565,9031765.0,27875819.0
2011-09-30,323000,324000,297500,298000,143430,8306994.0,27875819.0
2011-10-04,289000,302000,287000,302000,118881,8418497.0,27875819.0
2011-10-05,300000,300500,289500,289500,43844,8070050.0,27875819.0
2011-10-06,290000,295000,268000,268000,165459,7470719.0,27875819.0
2011-10-07,273500,288000,272000,288000,97356,8028236.0,27875819.0
2011-10-10,280000,300000,280000,293500,46699,8181553.0,27875819.0
2011-10-11,298000,299000,279000,280000,104441,7805229.0,27875819.0
2011-10-12,282500,286000,277000,285000,61882,7944608.0,27875819.0
2011-10-13,283000,290000,281000,289000,69730,8056112.0,27875819.0
2011-10-14,298000,300000,292000,300000,60735,8362746.0,27875819.0
2011-10-17,299000,304500,291000,300000,73702,8362746.0,27875819.0
2011-10-18,290500,299500,290500,299500,37423,8348808.0,27875819.0
2011-10-19,299500,300000,291500,297000,51684,8279118.0,27875819.0
2011-10-20,291000,308500,291000,304000,52877,8474249.0,27875819.0
2011-10-21,309000,309000,300000,300000,40209,8362746.0,27875819.0
2011-10-24,301000,305000,298000,299000,39455,8334870.0,27875819.0
2011-10-25,301500,305500,292500,297000,39715,8279118.0,27875819.0
2011-10-26,295000,299500,294000,297500,43563,8293056.0,27875819.0
2011-10-27,301500,302000,296500,297000,38680,8279118.0,27875819.0
2011-10-28,301500,302000,282500,287500,132538,8014298.0,27875819.0
2011-10-31,281500,290500,280000,289500,78762,8070050.0,27875819.0
2011-11-01,283000,298000,283000,294000,62882,8195491.0,27875819.0
2011-11-02,292000,308500,290500,306500,68931,8543939.0,27875819.0
2011-11-03,301000,304500,294000,294000,57361,8195491.0,27875819.0
2011-11-04,296000,300000,288000,290000,75659,8083988.0,27875819.0
2011-11-07,292500,294500,288500,288500,72961,8042174.0,27875819.0
2011-11-08,293000,297500,288000,292500,42104,8153677.0,27875819.0
2011-11-09,292500,295500,288000,295500,44668,8237305.0,27875819.0
2011-11-10,293000,296000,288000,293000,32004,8167615.0,27875819.0
2011-11-11,293500,296500,290000,296500,22481,8265180.0,27875819.0
2011-11-14,297500,301000,293500,298000,33517,8306994.0,27875819.0
2011-11-15,298000,303000,295500,295500,35599,8237305.0,27875819.0
2011-11-16,296500,299000,295500,298500,28358,8320932.0,27875819.0
2011-11-17,302000,302500,296500,302000,35693,8418497.0,27875819.0
2011-11-18,297500,303000,288500,288500,53507,8042174.0,27875819.0
2011-11-21,289000,300000,289000,292500,31382,8153677.0,27875819.0
2011-11-22,291000,295000,281000,282000,47300,7860981.0,27875819.0
2011-11-23,280500,292500,280000,288500,42161,8042174.0,27875819.0
2011-11-24,288000,305000,285500,305000,39290,8502125.0,27875819.0
2011-11-25,307000,307000,294000,294000,18316,8195491.0,27875819.0
2011-11-28,299000,299500,293500,293500,18206,8181553.0,27875819.0
2011-11-29,293500,297000,288500,296500,35671,8265180.0,27875819.0
2011-11-30,294500,298000,288500,289000,62586,8056112.0,27875819.0
2011-12-01,294000,296000,288500,288500,28753,8042174.0,27875819.0
2011-12-02,292000,292000,281500,285000,64263,7944608.0,27875819.0
2011-12-05,285000,286000,280500,282000,41520,7860981.0,27875819.0
2011-12-06,285000,288500,282500,283000,34143,7888857.0,27875819.0
2011-12-07,283000,287500,281500,287500,36450,8014298.0,27875819.0
2011-12-08,282500,287500,282500,287500,41156,8014298.0,27875819.0
2011-12-09,284000,287000,277000,277500,49272,7735540.0,27875819.0
2011-12-12,277500,280500,272500,276500,60111,7707664.0,27875819.0
2011-12-13,277000,282000,273000,275500,55131,7679788.0,27875819.0
2011-12-14,274500,281500,273500,281500,40423,7847043.0,27875819.0
2011-12-15,287000,290500,280000,285500,117726,7958546.0,27875819.0
2011-12-16,285000,289500,284000,284000,47112,7916733.0,27875819.0
2011-12-19,280000,280000,271500,271500,39551,7568285.0,27875819.0
2011-12-20,272500,275500,262500,263000,52963,7331340.0,27875819.0
2011-12-21,268000,277000,267000,276000,78910,7693726.0,27875819.0
2011-12-22,272500,277500,270500,277500,38157,7735540.0,27875819.0
2011-12-23,275000,277000,268500,269000,83146,7498595.0,27875819.0
2011-12-26,270000,272000,268000,270500,20408,7540409.0,27875819.0
2011-12-27,269000,270000,265000,265000,28612,7387092.0,27875819.0
2011-12-28,270000,275000,266500,274500,43543,7651912.0,27875819.0
2011-12-29,267000,279000,267000,279000,39019,7777354.0,27875819.0
2012-01-02,273000,275000,265000,270500,42810,7540409.0,27875819.0
