신화실업(001770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,8900,10600,8900,9550,59870,8595.0,900000.0
1999-01-05,9810,10350,9700,9900,28850,8910.0,900000.0
1999-01-06,10000,10800,9700,10100,32150,9090.0,900000.0
1999-01-07,10300,10500,10100,10200,27480,9180.0,900000.0
1999-01-08,10000,10800,9950,10500,28550,9450.0,900000.0
1999-01-11,10550,11450,10350,11000,47860,9900.0,900000.0
1999-01-12,11300,11750,10700,10900,33200,9810.0,900000.0
1999-01-13,11500,12100,11100,11400,49260,10260.0,900000.0
1999-01-14,11100,11500,10000,10000,35000,9000.0,900000.0
1999-01-15,10850,10950,10050,10700,19550,9630.0,900000.0
1999-01-18,10900,11950,10800,11750,49440,10575.0,900000.0
1999-01-19,11950,12900,11300,12450,100910,11205.0,900000.0
1999-01-20,12900,12900,11900,12250,66900,11025.0,900000.0
1999-01-21,12200,12400,11550,11700,51900,10530.0,900000.0
1999-01-22,12000,12150,11200,11700,53460,10530.0,900000.0
1999-01-25,11900,12200,11600,11700,55380,10530.0,900000.0
1999-01-26,12000,13400,11700,11700,111020,10530.0,900000.0
1999-01-27,12000,12500,11700,12000,61740,10800.0,900000.0
1999-01-28,12000,12100,11400,11750,55250,10575.0,900000.0
1999-01-29,11600,12200,11600,12200,47840,10980.0,900000.0
1999-02-01,13000,13400,12250,12250,44260,11025.0,900000.0
1999-02-02,12000,12450,11800,12200,34790,10980.0,900000.0
1999-02-03,12100,12100,11550,11550,21630,10395.0,900000.0
1999-02-04,11200,11750,11200,11300,17790,10170.0,900000.0
1999-02-05,11350,11700,11000,11300,18230,10170.0,900000.0
1999-02-08,11300,11700,11050,11200,16330,10080.0,900000.0
1999-02-09,11200,11200,9630,9770,24890,8793.0,900000.0
1999-02-10,9600,10000,9100,9990,11100,8991.0,900000.0
1999-02-11,9730,10300,9730,10300,10000,9270.0,900000.0
1999-02-12,10100,10800,10100,10800,12670,9720.0,900000.0
1999-02-18,10800,11150,10150,10150,11450,9135.0,900000.0
1999-02-19,10100,10100,9410,9900,8710,8910.0,900000.0
1999-02-22,9900,9900,9620,9700,6930,8730.0,900000.0
1999-02-23,9700,9900,9360,9360,3950,8424.0,900000.0
1999-02-24,9150,9840,9150,9400,5620,8460.0,900000.0
1999-02-25,9210,9600,9210,9450,4560,8505.0,900000.0
1999-02-26,9600,9900,9500,9500,16260,8550.0,900000.0
1999-03-02,9500,9750,9500,9700,5420,8730.0,900000.0
1999-03-03,9600,9700,9500,9650,8870,8685.0,900000.0
1999-03-04,10000,10000,9660,9950,7260,8955.0,900000.0
1999-03-05,9810,9900,9550,9900,7460,8910.0,900000.0
1999-03-08,9900,10600,9900,10500,11430,9450.0,900000.0
1999-03-09,10300,10700,10200,10500,6090,9450.0,900000.0
1999-03-10,10300,10500,10000,10400,8600,9360.0,900000.0
1999-03-11,10400,10400,10100,10200,5910,9180.0,900000.0
1999-03-12,10200,10600,10200,10600,12150,9540.0,900000.0
1999-03-15,10600,11000,10350,10400,28640,9360.0,900000.0
1999-03-16,10900,11200,10600,10600,19840,9540.0,900000.0
1999-03-17,10700,10850,10400,10600,10590,9540.0,900000.0
1999-03-18,10700,10700,9950,10250,7340,9225.0,900000.0
1999-03-19,9810,10500,9810,10250,4460,9225.0,900000.0
1999-03-22,10000,10400,10000,10400,10620,9360.0,900000.0
1999-03-23,10100,10400,10000,10000,4060,9000.0,900000.0
