동원F&B(049770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-11-23,9990,9990,8500,8500,68440,25500.0,3000000.0
2000-11-24,7230,7230,7230,7230,16800,21690.0,3000000.0
2000-11-27,6810,7760,6700,7120,346830,21360.0,3000000.0
2000-11-28,7450,7450,6900,6990,181560,20970.0,3000000.0
2000-11-29,6820,6980,6470,6510,87000,19530.0,3000000.0
2000-11-30,6520,6690,5900,6010,105400,18030.0,3000000.0
2000-12-01,5620,6730,5620,6400,77800,19200.0,3000000.0
2000-12-04,6040,6300,5900,5900,71310,17700.0,3000000.0
2000-12-05,5710,5900,5550,5650,64040,16950.0,3000000.0
2000-12-06,5750,5790,5400,5400,83850,16200.0,3000000.0
2000-12-07,5020,5300,5020,5060,35650,15180.0,3000000.0
2000-12-08,5110,5330,5070,5230,59780,15690.0,3000000.0
2000-12-11,5400,5400,5100,5110,47620,15330.0,3000000.0
2000-12-12,5050,5200,5050,5120,53930,15360.0,3000000.0
2000-12-13,5070,5840,5060,5290,146150,15870.0,3000000.0
2000-12-14,5210,5270,5150,5180,38070,15540.0,3000000.0
2000-12-15,5150,5240,5040,5060,37830,15180.0,3000000.0
2000-12-18,4990,5170,4950,5030,42700,15090.0,3000000.0
2000-12-19,4950,5050,4855,4855,39770,14565.0,3000000.0
2000-12-20,4850,4850,4260,4300,49960,12900.0,3000000.0
2000-12-21,3950,4490,3810,4180,40710,12540.0,3000000.0
2000-12-22,4170,4170,3845,3845,26230,11535.0,3000000.0
2000-12-26,3910,3950,3800,3870,44710,11610.0,3000000.0
2001-01-02,3900,4230,3900,4070,29600,12210.0,3000000.0
2001-01-03,4090,4130,3910,4090,44670,12270.0,3000000.0
2001-01-04,4210,4385,4180,4280,64520,12840.0,3000000.0
2001-01-05,4210,4340,4130,4235,59250,12705.0,3000000.0
2001-01-08,4230,4660,4110,4545,110290,13635.0,3000000.0
2001-01-09,4840,5220,4680,5220,248380,15660.0,3000000.0
2001-01-10,5350,5940,4850,5200,240650,15600.0,3000000.0
2001-01-11,5500,5500,5020,5200,62040,15600.0,3000000.0
2001-01-12,5200,5410,5100,5270,162120,15810.0,3000000.0
2001-01-15,5220,5270,5010,5100,118020,15300.0,3000000.0
2001-01-16,5020,5170,4750,4930,74190,14790.0,3000000.0
2001-01-17,4830,4970,4715,4830,43470,14490.0,3000000.0
2001-01-18,4715,4850,4680,4695,48940,14085.0,3000000.0
2001-01-19,4605,4770,4605,4630,21760,13890.0,3000000.0
2001-01-22,4600,5140,4600,5140,53510,15420.0,3000000.0
2001-01-26,5430,5430,4855,4880,31520,14640.0,3000000.0
2001-01-29,4805,5290,4805,5250,43930,15750.0,3000000.0
2001-01-30,5350,5590,5150,5400,90110,16200.0,3000000.0
2001-01-31,5360,5580,5200,5300,39710,15900.0,3000000.0
2001-02-01,5500,6090,5400,6090,149110,18270.0,3000000.0
2001-02-02,6390,7000,5710,6000,379080,18000.0,3000000.0
2001-02-05,6190,6190,5460,5610,95780,16830.0,3000000.0
2001-02-06,5690,5740,5400,5500,73840,16500.0,3000000.0
2001-02-07,5600,6290,5450,5910,234460,17730.0,3000000.0
2001-02-08,5670,5880,5530,5600,121370,16800.0,3000000.0
2001-02-09,6290,6330,5880,6100,328490,18300.0,3000000.0
2001-02-12,6150,6420,6000,6400,150260,19200.0,3000000.0
2001-02-13,6490,7360,6490,7360,556670,22080.0,3000000.0
2001-02-14,7370,8430,7010,7760,478080,23280.0,3000000.0
2001-02-15,7800,8150,7460,7500,250090,22500.0,3000000.0
2001-02-16,7550,8620,7550,8620,403540,25860.0,3000000.0
2001-02-19,9000,9910,8900,9910,155520,29730.0,3000000.0
2001-02-20,11350,11350,9500,10100,591630,30300.0,3000000.0
2001-02-21,9710,10050,9300,9450,176180,28350.0,3000000.0
2001-02-22,9640,9640,8210,8610,189980,25830.0,3000000.0
2001-02-23,7500,8950,7500,8300,110340,24900.0,3000000.0
2001-02-26,8410,9540,8410,9530,227090,28590.0,3000000.0
2001-02-27,9450,9900,9000,9200,181780,27600.0,3000000.0
2001-02-28,8900,9490,8900,9110,104830,27330.0,3000000.0
2001-03-02,9000,9150,8130,8130,72570,24390.0,3000000.0
2001-03-05,7750,8130,7250,8000,92410,24000.0,3000000.0
2001-03-06,8100,8410,7900,8000,81550,24000.0,3000000.0
2001-03-07,7550,8200,7550,7820,48880,23460.0,3000000.0
2001-03-08,8000,8580,7700,8250,95690,24750.0,3000000.0
2001-03-09,8360,8850,8350,8450,69910,25350.0,3000000.0
2001-03-12,8050,8490,7900,8110,54320,24330.0,3000000.0
2001-03-13,7990,7990,7200,7230,65450,21690.0,3000000.0
2001-03-14,7800,7800,7450,7590,51480,22770.0,3000000.0
2001-03-15,7010,8200,7010,7700,181850,23100.0,3000000.0
2001-03-16,7830,7900,7410,7430,63940,22290.0,3000000.0
2001-03-19,7450,7540,7200,7250,34320,21750.0,3000000.0
2001-03-20,7350,7790,7300,7390,67610,22170.0,3000000.0
2001-03-21,7200,8490,7200,8490,379280,25470.0,3000000.0
2001-03-22,8950,9760,8890,9760,487360,29280.0,3000000.0
2001-03-23,10300,10400,8320,8400,875750,25200.0,3000000.0
2001-03-26,8600,8700,8020,8120,193890,24360.0,3000000.0
2001-03-27,8200,8890,8150,8200,142880,24600.0,3000000.0
2001-03-28,8200,8700,8000,8010,81260,24030.0,3000000.0
2001-03-29,7700,8150,7700,7800,58660,23400.0,3000000.0
2001-03-30,7800,8250,7600,7850,53810,23550.0,3000000.0
2001-04-02,8000,8900,8000,8800,254540,26400.0,3000000.0
2001-04-03,8400,8580,7900,7910,109470,23730.0,3000000.0
2001-04-04,7710,7880,7510,7630,48000,22890.0,3000000.0
2001-04-06,7900,7950,7710,7840,39490,23520.0,3000000.0
2001-04-09,7610,7950,7560,7600,38200,22800.0,3000000.0
2001-04-10,7610,8170,7540,7750,137020,23250.0,3000000.0
2001-04-11,7950,7950,7610,7810,42170,23430.0,3000000.0
2001-04-12,7700,7850,7640,7780,39210,23340.0,3000000.0
2001-04-13,7780,8200,7720,7950,78570,23850.0,3000000.0
2001-04-16,7910,8200,7910,7970,43620,23910.0,3000000.0
2001-04-17,7970,8070,7910,8040,20770,24120.0,3000000.0
2001-04-18,8300,8300,8040,8160,50630,24480.0,3000000.0
2001-04-19,8200,8500,8180,8290,57170,24870.0,3000000.0
2001-04-20,8300,8430,8150,8200,33790,24600.0,3000000.0
2001-04-23,8200,8250,8060,8140,31170,24420.0,3000000.0
2001-04-24,8310,9190,8300,8500,417040,25500.0,3000000.0
2001-04-25,8700,8700,8120,8170,116370,24510.0,3000000.0
2001-04-26,8200,8250,8130,8130,27700,24390.0,3000000.0
2001-04-27,8050,8490,8050,8170,46880,24510.0,3000000.0
2001-04-30,8050,8280,8050,8220,30760,24660.0,3000000.0
2001-05-02,8300,8500,8250,8400,55990,25200.0,3000000.0
2001-05-03,8500,8700,8250,8350,52180,25050.0,3000000.0
2001-05-04,8250,8390,8250,8390,38710,25170.0,3000000.0
2001-05-07,8300,8600,8250,8400,32210,25200.0,3000000.0
2001-05-08,8290,8410,8250,8300,33550,24900.0,3000000.0
2001-05-09,8400,8740,8400,8600,61890,25800.0,3000000.0
2001-05-10,8600,9300,8500,9280,121710,27840.0,3000000.0
2001-05-11,9300,10000,9150,9750,203300,29250.0,3000000.0
2001-05-14,10100,10350,9780,10000,197840,30000.0,3000000.0
2001-05-15,9800,10100,9640,9800,56570,29400.0,3000000.0
2001-05-16,10600,10600,9400,9400,126640,28200.0,3000000.0
2001-05-17,9600,9800,9250,9500,97180,28500.0,3000000.0
2001-05-18,9500,9900,9250,9900,78950,29700.0,3000000.0
2001-05-21,10100,10350,9800,10000,119460,30000.0,3000000.0
2001-05-22,10200,11250,9930,11000,149260,33000.0,3000000.0
2001-05-23,11000,11350,10650,11300,68050,33900.0,3000000.0
2001-05-24,11300,11400,10850,11350,47370,34050.0,3000000.0
2001-05-25,11500,12000,11400,11400,80270,34200.0,3000000.0
2001-05-28,11200,11900,11000,11350,88910,34050.0,3000000.0
2001-05-29,11300,11850,11300,11700,74320,35100.0,3000000.0
2001-05-30,11700,12500,11700,12150,64490,36450.0,3000000.0
2001-05-31,12050,12400,11350,11500,98070,34500.0,3000000.0
2001-06-01,11800,11800,11300,11600,37390,34800.0,3000000.0
2001-06-04,11500,11750,11400,11600,46660,34800.0,3000000.0
2001-06-05,11400,11800,11200,11400,68350,34200.0,3000000.0
2001-06-07,11400,11850,11300,11450,61920,34350.0,3000000.0
2001-06-08,11300,11500,11000,11300,76930,33900.0,3000000.0
2001-06-11,11350,11350,11100,11300,37950,33900.0,3000000.0
2001-06-12,11200,11700,11200,11650,41390,34950.0,3000000.0
2001-06-13,11750,11900,11500,11500,29170,34500.0,3000000.0
2001-06-14,11400,11900,11300,11450,43250,34350.0,3000000.0
2001-06-15,11300,11700,11300,11450,14500,34350.0,3000000.0
2001-06-18,11700,11700,11350,11550,21510,34650.0,3000000.0
2001-06-19,11550,12350,11500,12000,81470,36000.0,3000000.0
2001-06-20,12350,12750,12100,12450,82290,37350.0,3000000.0
2001-06-21,12700,12750,12050,12050,49950,36150.0,3000000.0
2001-06-22,11850,12000,11500,11750,46910,35250.0,3000000.0
2001-06-25,11500,11850,11350,11650,33380,34950.0,3000000.0
2001-06-26,11550,11800,11500,11750,44170,35250.0,3000000.0
2001-06-27,11500,11700,11300,11600,8970,34800.0,3000000.0
2001-06-28,11800,11800,10900,11000,39270,33000.0,3000000.0
2001-06-29,11100,11200,10600,11000,45450,33000.0,3000000.0
2001-07-02,10850,11050,10700,10800,14650,32400.0,3000000.0
2001-07-03,10800,11050,10600,10800,9170,32400.0,3000000.0
2001-07-04,10600,11000,10600,10850,11850,32550.0,3000000.0
2001-07-05,11000,11300,10950,11050,23070,33150.0,3000000.0
2001-07-06,11300,11300,10500,10550,15550,31650.0,3000000.0
2001-07-09,10200,10500,9900,10500,29820,31500.0,3000000.0
2001-07-10,10250,10450,10050,10050,16730,30150.0,3000000.0
2001-07-11,10200,10300,9950,10250,9620,30750.0,3000000.0
2001-07-12,10400,10450,10050,10450,8900,31350.0,3000000.0
2001-07-13,10700,10700,10400,10400,10460,31200.0,3000000.0
2001-07-16,10400,10700,10250,10400,5560,31200.0,3000000.0
2001-07-18,10250,10650,10250,10400,7960,31200.0,3000000.0
2001-07-19,10250,10300,10100,10300,6230,30900.0,3000000.0
2001-07-20,10250,10300,10050,10200,3110,30600.0,3000000.0
2001-07-23,10050,10400,9750,9900,16780,29700.0,3000000.0
2001-07-24,9700,10000,9530,10000,12390,30000.0,3000000.0
2001-07-25,9750,10000,9620,9800,8190,29400.0,3000000.0
2001-07-26,10000,10100,9830,10000,6610,30000.0,3000000.0
2001-07-27,10000,10250,9860,10000,20720,30000.0,3000000.0
2001-07-30,10050,10200,9980,10000,7350,30000.0,3000000.0
2001-07-31,9830,9950,9820,9830,20450,29490.0,3000000.0
2001-08-01,9800,10000,9800,9860,10970,29580.0,3000000.0
2001-08-02,9900,10200,9870,10200,21970,30600.0,3000000.0
2001-08-03,10250,11000,10200,10500,23820,31500.0,3000000.0
2001-08-06,10700,10750,10550,10600,5910,31800.0,3000000.0
2001-08-07,10400,10600,10400,10550,4260,31650.0,3000000.0
2001-08-08,10700,10700,10450,10650,12430,31950.0,3000000.0
2001-08-09,10400,10900,10400,10900,11420,32700.0,3000000.0
2001-08-10,11000,11300,10700,11300,37640,33900.0,3000000.0
2001-08-13,11400,11550,11350,11450,14170,34350.0,3000000.0
2001-08-14,11550,11550,10700,10700,47480,32100.0,3000000.0
2001-08-16,10500,10800,10500,10600,16900,31800.0,3000000.0
2001-08-17,11200,11200,10300,10650,14560,31950.0,3000000.0
2001-08-20,10900,11000,10500,10850,25180,32550.0,3000000.0
2001-08-21,10500,11600,10500,10800,171050,32400.0,3000000.0
2001-08-22,10850,11100,10700,10750,45030,32250.0,3000000.0
2001-08-23,10800,10900,10600,10600,31510,31800.0,3000000.0
2001-08-24,10500,10950,10500,10750,13870,32250.0,3000000.0
2001-08-27,10800,11100,10800,11100,39630,33300.0,3000000.0
2001-08-28,11100,11350,10950,11300,20790,33900.0,3000000.0
2001-08-29,11300,11350,10700,11000,30480,33000.0,3000000.0
2001-08-30,11000,11000,10600,10900,19050,32700.0,3000000.0
2001-08-31,10600,10600,10150,10300,22280,30900.0,3000000.0
2001-09-03,10200,10300,9930,10050,16240,30150.0,3000000.0
2001-09-04,10300,10300,10050,10150,17780,30450.0,3000000.0
2001-09-05,10000,10450,10000,10250,27640,30750.0,3000000.0
2001-09-06,10450,10500,10400,10450,18170,31350.0,3000000.0
2001-09-07,10350,11300,10300,10950,33720,32850.0,3000000.0
2001-09-10,10600,11200,10550,11200,34380,33600.0,3000000.0
2001-09-11,11700,12850,11400,11500,298150,34500.0,3000000.0
2001-09-12,9800,10050,9800,9800,98800,29400.0,3000000.0
2001-09-13,10050,10350,9720,10100,97210,30300.0,3000000.0
2001-09-14,10000,10100,9000,9440,39510,28320.0,3000000.0
2001-09-17,9510,9510,8320,8700,10210,26100.0,3000000.0
2001-09-18,8710,9300,8710,9240,7910,27720.0,3000000.0
2001-09-19,9050,9500,9050,9300,9780,27900.0,3000000.0
2001-09-20,9150,9270,8970,8970,8440,26910.0,3000000.0
2001-09-21,8710,9000,8450,8850,10550,26550.0,3000000.0
2001-09-24,9360,10100,9360,9480,50560,28440.0,3000000.0
2001-09-25,9350,9540,8920,8950,38680,26850.0,3000000.0
2001-09-26,8950,9000,8730,8950,18300,26850.0,3000000.0
2001-09-27,8750,9240,8750,9060,14330,27180.0,3000000.0
2001-09-28,9000,9210,8950,9110,15560,27330.0,3000000.0
2001-10-04,9400,9500,9200,9420,32230,28260.0,3000000.0
2001-10-05,9310,9630,9300,9500,57510,28500.0,3000000.0
2001-10-08,9300,9480,9150,9450,11600,28350.0,3000000.0
2001-10-09,9980,9980,9360,9460,19530,28380.0,3000000.0
2001-10-10,9250,9580,9250,9540,15070,28620.0,3000000.0
2001-10-11,9650,9720,9540,9720,33020,29160.0,3000000.0
2001-10-12,9800,10300,9710,9920,55750,29760.0,3000000.0
2001-10-15,9850,9850,9700,9720,19020,29160.0,3000000.0
2001-10-16,9730,9960,9700,9810,17410,29430.0,3000000.0
2001-10-17,9970,9990,9780,9840,34500,29520.0,3000000.0
2001-10-18,9840,10300,9800,10050,38880,30150.0,3000000.0
2001-10-19,10000,10100,9940,9960,24380,29880.0,3000000.0
2001-10-22,10350,10350,10000,10300,11770,30900.0,3000000.0
2001-10-23,10300,10550,10200,10350,17740,31050.0,3000000.0
2001-10-24,10350,10500,10250,10350,14580,31050.0,3000000.0
2001-10-25,10350,10600,10350,10350,7620,31050.0,3000000.0
