잇츠한불(226320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-28,86000,87250,75000,76000,475968,1327819.0,8735650.0
2015-12-29,77500,79000,71000,73750,148500,1288508.0,8735650.0
2015-12-30,75250,79000,73500,76500,150031,1336554.0,8735650.0
2016-01-04,78000,81500,76250,79250,120942,1384601.0,8735650.0
2016-01-05,78250,84500,78000,84250,92377,1471957.0,8735650.0
2016-01-06,85000,87000,81750,84000,96616,1467589.0,8735650.0
2016-01-07,83750,94500,83000,90750,190139,1585520.0,8735650.0
2016-01-08,89250,92250,88000,90500,70119,1581153.0,8735650.0
2016-01-11,91500,91750,83750,85000,68768,1485060.0,8735650.0
2016-01-12,85500,88250,82500,84750,53845,1480693.0,8735650.0
2016-01-13,84750,86250,83750,85000,22986,1485060.0,8735650.0
2016-01-14,82750,85250,80750,84750,48832,1480693.0,8735650.0
2016-01-15,85250,86500,80500,81000,50678,1415175.0,8735650.0
2016-01-18,79250,80750,77750,79750,38774,1393336.0,8735650.0
2016-01-19,81500,85250,80750,85250,50870,1489428.0,8735650.0
2016-01-20,86500,86500,79750,84000,38426,1467589.0,8735650.0
2016-01-21,84250,85750,82750,83250,34057,1454486.0,8735650.0
2016-01-22,83500,88500,83500,88250,74333,1541842.0,8735650.0
2016-01-25,90000,90000,87250,89250,34832,1559314.0,8735650.0
2016-01-26,88000,92000,88000,90000,53209,1572417.0,8735650.0
2016-01-27,90750,92000,86000,88000,41457,1537474.0,8735650.0
2016-01-28,87500,88000,84500,86500,24702,1511267.0,8735650.0
2016-01-29,87250,90250,85250,89000,28000,1554946.0,8735650.0
2016-02-01,90000,90250,88250,89250,19576,1559314.0,8735650.0
2016-02-02,89750,89750,86250,87000,18298,1520003.0,8735650.0
2016-02-03,87000,88250,84750,85750,22006,1498164.0,8735650.0
2016-02-04,86250,86500,84250,85500,24641,1493796.0,8735650.0
2016-02-05,85500,86000,84250,85500,9405,1493796.0,8735650.0
2016-02-11,83000,84250,82500,83500,30640,1458854.0,8735650.0
2016-02-12,82500,83250,74500,81500,67213,1423911.0,8735650.0
2016-02-15,80750,81500,78500,81500,10480,1423911.0,8735650.0
2016-02-16,81500,86000,81500,83750,36366,1463221.0,8735650.0
2016-02-17,84500,84750,77000,81000,58715,1415175.0,8735650.0
2016-02-18,81000,82000,78500,79500,19294,1388968.0,8735650.0
2016-02-19,79250,79500,78000,78000,12716,1362761.0,8735650.0
2016-02-22,77250,80000,76500,79250,15456,1384601.0,8735650.0
2016-02-23,80250,80500,76000,76500,22034,1336554.0,8735650.0
2016-02-24,76500,78250,74250,76500,21685,1336554.0,8735650.0
