진도(088790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-03-28,6721,7537,5812,6196,578431,37734.0,6289010.0
2006-03-29,6144,7125,5885,7125,542739,43394.0,6289010.0
2006-03-30,8187,8187,8187,8189,26040,49872.0,6289010.0
2006-03-31,9406,9406,7857,8199,3587165,49935.0,6289010.0
2006-04-03,8209,8457,7847,7961,852275,48488.0,6289010.0
2006-04-04,8063,8301,7753,8158,937437,49683.0,6289010.0
2006-04-05,8105,9376,8105,8426,2401847,51318.0,6289010.0
2006-04-06,8519,8570,8075,8436,592590,51381.0,6289010.0
2006-04-07,8415,9025,8157,9004,653315,54840.0,6289010.0
2006-04-10,8963,10326,8880,10326,933554,62890.0,6289010.0
2006-04-11,10996,11719,10149,10946,2455670,66664.0,6289010.0
2006-04-12,10894,12546,10532,12546,1942330,76411.0,6289010.0
2006-04-13,13269,13991,12701,13372,2227199,81443.0,6289010.0
2006-04-14,13062,13940,12339,13682,1629347,83329.0,6289010.0
2006-04-17,13372,13527,11668,11668,1588978,71066.0,6289010.0
2006-04-18,11306,12080,10841,11772,1580218,71695.0,6289010.0
2006-04-19,11926,12288,10016,10016,1773722,61003.0,6289010.0
2006-04-20,9716,10005,8983,9851,1750280,59997.0,6289010.0
2006-04-21,9778,10429,9623,9789,1225311,59620.0,6289010.0
2006-04-24,9808,11254,9808,10481,2502887,63833.0,6289010.0
2006-04-25,10428,10686,9932,10182,922848,62010.0,6289010.0
2006-04-26,10222,10584,10026,10078,870507,61381.0,6289010.0
2006-04-27,10129,10532,9613,10429,894242,63519.0,6289010.0
2006-04-28,10325,11667,10118,11204,1949074,68236.0,6289010.0
2006-05-02,10945,11152,9551,9603,1029862,58488.0,6289010.0
2006-05-03,9799,9923,9045,9221,580173,56161.0,6289010.0
2006-05-04,9190,9376,8787,9035,465667,55029.0,6289010.0
2006-05-08,9055,9334,8890,9035,531868,55029.0,6289010.0
2006-05-09,9096,9488,9065,9180,507313,55909.0,6289010.0
2006-05-10,9283,9499,8932,9097,441533,55406.0,6289010.0
2006-05-11,9097,9262,8849,8849,245462,53897.0,6289010.0
2006-05-12,8611,8704,8260,8271,326210,50375.0,6289010.0
2006-05-15,8105,8209,7909,7982,152770,48614.0,6289010.0
2006-05-16,8044,8436,7775,8147,372453,49620.0,6289010.0
2006-05-17,8208,8538,8053,8251,287330,50249.0,6289010.0
2006-05-18,8064,8519,8033,8075,407830,49180.0,6289010.0
2006-05-19,8075,8302,7620,7796,218491,47482.0,6289010.0
2006-05-22,7836,7836,7330,7466,162670,45470.0,6289010.0
2006-05-23,7330,7382,6824,6826,202606,41570.0,6289010.0
2006-05-24,6834,7031,6659,6867,175080,41822.0,6289010.0
2006-05-25,6969,7072,6194,6196,219662,37734.0,6289010.0
2006-05-26,6297,6504,6039,6196,258216,39200.0,6533408.0
2006-05-29,6246,6556,6039,6041,371869,38220.0,6533408.0
2006-05-30,6122,6143,5420,5442,381149,34431.0,6533408.0
2006-06-01,5575,6256,5471,6258,415717,41074.0,6777806.0
2006-06-02,6721,7185,6297,7053,1796398,46292.0,6777806.0
2006-06-05,6845,6865,5998,6134,488795,40260.0,6777806.0
2006-06-07,5958,6051,5421,5483,302046,35990.0,6777806.0
2006-06-08,5317,5534,5214,5266,281046,34567.0,6777806.0
2006-06-09,5369,5761,5369,5421,356807,35583.0,6777806.0
2006-06-12,5389,5533,5203,5473,214383,35922.0,6777806.0
2006-06-13,5358,5368,5120,5122,288649,33618.0,6777806.0
